SMILES,TARGET
Nc1cccc(Oc2ccccc2)c1,588.15
COC(=O)OC,363.65
CCCCCCCCCCCCCC(=O)O,599.35
COC(=O)c1cccc(C(=O)OC)c1,555.15
O=C(O)c1ccccc1C(=O)O,598.0
CCCCCCCC[Si](Cl)(Cl)Cl,505.15
CCCC(C)C(C)(C)C,406.75
ICCI,473.16
CC=C(C)C(C)(C)C,385.15
CC(O)C(Cl)(Cl)Cl,436.15
C#CCCCC#C,385.15
CC(O)c1ccccc1,478.15
COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl,638.15
Cc1ccc(O)c(O)c1,524.15
Cc1cc(N)ccc1N,546.65
C=C(c1ccccc1)c1ccccc1,550.15
CNC(C)CCC=C(C)C,450.15
C[C@@H]1CC[C@H]2[C@@H]1[C@H]1[C@@H](CC[C@@]2(C)O)C1(C)C,565.15
CCCCCCCCF,415.55
CC(=O)C[C@H](C)O,450.15
C=CC=CCC,346.65
NC(=O)c1cccc([N+](=O)[O-])c1,585.65
CCc1ccc(C)cc1,435.16
CC(O)CC(F)(F)F,373.0
O=CC=O,323.55
FC(F)=C(F)C(F)=C(F)F,279.15
CC(C)OC(N)=O,456.15
Nc1cccc(N)c1N,609.15
CC(O)CC(C)O,472.15
O=S(=O)(Cl)C(Cl)(Cl)Cl,443.15
FC(Br)(Br)Br,381.15
CCOC(=O)c1ccc(OCC)cc1,548.15
CCCOCC(C)C,380.15
NCCOCCO,514.0
Cc1ccc(N)c(N)c1,538.15
Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,641.15
CCOC(=O)c1ccc(OC)cc1,542.65
Cc1ccc(Br)cc1,457.5
CCCC(C)C(C)C,388.76
CNc1ccccc1C,480.65
CCC(=O)F,317.15
CC(O)CN(C)C,397.65
C=CC(C)Cl,337.65
C=C[Si](C)(C)OCC,372.15
Cc1ccc(Cl)c(O)c1Cl,510.15
CCCCCCCCCCCSCCCC,603.16
CC(F)=C(Cl)Cl,351.15
CCNC,309.65
CCCCOCCOCCOCCCC,529.15
CCN(C(C)=O)C(C)=O,470.15
CC(CC1CCCCC1)CC1CCCCC1,568.35
CCCC=CC(=O)OCC,447.65
C=C(C)C1CC=C(C)C(=O)C1,503.316667
CC1(C)CC1,293.75
CCC[Si](Cl)(Cl)Cl,396.65
C=CC(=C)CCC=C(C)C,440.15
Cc1ccc(O)c(C(C)(C)C)c1,510.15
Cc1ccccc1NCCO,558.65
CCCCCCCCCCCCCCCSCCCC,659.16
C=C(CC(=O)OCC)C(=O)OCC,501.15
CCOc1ccc(F)cc1,446.15
C=CCOC(=O)CCCCC,459.15
CCOC,280.5
O=C(O)C1CCCC1,485.15
Oc1ccccc1Br,467.65
CCCCON=O,351.15
CC1CCC(C(C)C)C(O)C1,485.15
CCCC(Br)C(=O)OCC,464.15
CN(C)CCO,407.15
Sc1cccc2ccccc12,558.15
O=C(Cl)C(Cl)=C(Cl)Cl,431.15
CCC(C)(CC)CC,391.42
CC(C)(C)C(=O)O,437.15
CCOCCOC(C)(C)C,421.15
CC(O)C(C)C(C)O,484.65
N#CCCOCCC#N,579.0
CC1CCNCC1,403.15
CCCCc1cccc(O)c1,521.15
CCCOC(=O)c1ccccc1,484.15
CCCCCCCOC(=O)CCCCCC,550.15
CC(=O)CC(=O)C(F)(F)F,379.15
Cc1cccc(O)c1O,514.15
C=Cc1ccc(Cl)cc1,465.15
CC1COC(=O)O1,515.15
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,375.15
COC(=O)c1cccc(O)c1,554.15
Cc1c(N)cccc1Cl,518.15
O=Cc1cccc(F)c1,446.15
C1CSCCS1,472.65
CN=Cc1ccccc1,458.15
CCC(C)(CC)CC(C)C,434.26
O=[N+]([O-])OCCO[N+](=O)[O-],471.65
Cc1cccc(C)c1,412.27
CC#CCCCCCC,435.05
Brc1ccc(Oc2ccc(Br)cc2)cc1,612.15
O=C(c1ccccc1O)c1ccccc1O,606.15
COB1OB(OC)OB(OC)O1,403.15
c1ccc2cccc-2cc1,515.16
CCCCCCCCCC(=O)OC,497.15
CC(C)(O)Cc1ccccc1,488.15
CCCCCCCCC(=O)OCC,500.15
OCCCC(F)(F)F,398.15
O=C(Cl)OCCOCCOC(=O)Cl,502.15
CCCC(=O)c1ccc(C)cc1,524.65
CCCCCCCCCc1cccc2ccccc12,639.0
CC(=O)Br,349.15
CCC=CCCO,429.65
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,468.15
Cc1ccccc1I,484.65
C=CC[Si](Cl)(Cl)Cl,390.65
Cc1cc(O)cc(O)c1C,557.15
ClCC=CCCl,427.455
CCOC(=O)c1ccc(N)cc1,583.15
CC(C)C(c1ccccc1)C(C)C,493.85
OC1CCCC1,413.55
c1ccc(-c2c3ccccc3nc3ccccc23)cc1,677.15
C=C(C)C(=C)C,341.93
CCCOC(=O)C(O)C(O)C(=O)OCCC,576.15
NN1CCOCC1,439.15
Clc1ccc2cccc(Cl)c2c1,558.65
C=C(C)C(=O)OCCN(C)C,459.15
C=CC#CCCC,383.15
CCC[C@@H](C)S,386.05
Clc1ccc(Oc2ccc(Cl)cc2)cc1,586.15
CCc1cc(CC)cc(CC)c1,489.16
Fc1c(F)c(F)c(F)c(F)c1F,353.41
C=CC(C)(O)CCC=C(C)C,470.65
Fc1c(F)c(F)c(Br)c(F)c1F,410.15
CCCCCC(=O)OCCC,460.15
OC(CCl)CCl,449.15
COS(=O)(=O)OC,461.95
CCOC(=O)c1ccccc1,486.55
O=C(O)C1CCCCC1,505.65
CC(C)OC(=O)CCl,423.65
CC(C)=NN=C(C)C,406.15
c1ccc(-c2ccc3ccccc3c2)cc1,618.65
CCOC(=O)CC,372.25
O=[N+]([O-])c1ccc(Oc2ccccc2)cc1,593.15
Cc1ccc(C#N)cc1,490.15
CCSc1cccc(C)c1,492.15
Sc1ccccc1Cl,478.65
O=C1OC(C(O)CO)C(O)=C1O,637.0
Cc1cc(-c2ccc(N)c(C)c2)ccc1N,612.15
CC=C=CC,321.4
O=C(c1ccccc1)c1ccccc1,579.24
CCOCCOCCO,475.15
CCCCCCC(C(=O)OCC)C(=O)OCC,542.15
CC(C)c1cccc(C(C)C)c1N,530.15
CCOS(C)(=O)=O,486.65
CCCCCCCCCCCCCC,526.73
Nc1ccc(O)cc1,557.15
CCN(CC)CC#N,443.15
CCCC/C=C\CCCCCCCCCC=O,523.15
CCCCC(CC)CN,442.15
CCC(Br)CBr,439.46
CCOC(=O)C=C(C)C,426.65
CCCCCc1cccc2ccccc12,580.16
CC(C)C(C)(C)O,391.55
N#Cc1cccc2ccccc12,572.15
CC(Cl)CBr,391.15
CC(=O)C(C)(C)C(C)=O,446.15
CCOC(Cl)CCl,418.15
CCCCCCCCNCCCCCCCC,570.65
C=Cc1ccccc1,410.31
BrCBr,370.1
N#Cc1ccc(Cl)cc1,496.15
CC1=CCCCCC1,409.15
CC(=O)C(C)(C)C,379.25
O=C=Nc1cccc2c(N=C=O)cccc12,603.0
ClCCC(Cl)Cl,418.65
CN(C)c1ccc(Br)cc1,537.15
C[C@H](O)CCc1ccccc1,512.15
Cc1c(Br)cc(Br)cc1Br,563.15
C#COCC,323.15
C=Cc1cccc(C=C)c1,472.65
C1CC2CCC1C2,378.45
Nc1c(Cl)cc(Cl)cc1Br,546.15
CC(C)=C(C)Cl,369.15
CC(C)C1CC=C(C=O)CC1,496.15
CCC/C=C/COC(C)=O,438.65
O=[N+]([O-])c1ccc2ccccc2c1,587.15
OCc1cccc(I)c1,525.15
Cc1ccc(C)c(O)c1C,499.15
C=CC1CC2C=CC1C2,413.65
C=CC1CC=CCC1,401.15
Ic1ccc(-c2ccccc2)cc1,593.15
CCOCCBr,400.65
CCC1(C)CC1,329.95
C1CC1,240.37
C[Si](C)(Cl)O[Si](C)(C)Cl,411.15
C#CC(=O)OCC,393.15
FC(F)(F)Oc1ccccc1,375.15
CCCOC(C)C,356.15
COC(=O)CC(=O)OC,454.55
CCCCCc1ccc2ccccc2c1,583.16
NCCCN,412.95
CCCCC#CCCCC,450.15
CCCCCCC(C)CC,440.95
CCCCC(C)C(C)CC,436.56
C=CCSC,365.15
CC(C)(C)c1ccc(Br)cc1,504.65
CCCOC(=O)CC,395.65
c1ccc(CCCc2ccccc2)cc1,573.45
CCCCCCCCCc1ccccc1,555.2
CCCC(=O)Oc1ccccc1,498.15
CC[C@H](C)CBr,394.75
S=C=Nc1cccc(Cl)c1,522.65
O=CC1CCCC1,406.65
OC1CCCCC1,434.0
CCC(C)C(C)(C)CC,413.62
CCCCCOC=O,406.6
CNC(C)C,323.55
C=CCSC#N,434.15
C=CCCC(=O)O,461.65
C=CCOC=O,356.75
C=C(C)CCl,344.65
COc1cccc(F)c1,432.15
CCOC(=O)C(Br)Br,467.15
OCC1CCC(CO)CC1,558.15
O=[N+]([O-])c1ccccc1-c1ccccc1[N+](=O)[O-],578.15
CC(=O)N(C)C(C)=O,468.15
C#CCCO,402.15
CCCCC(=O)OC,400.55
O=[N+]([O-])c1cc(Cl)ccc1Cl,540.15
CC(C)=CCCC(C)=CC(=O)O,523.15
c1ccc2cc(-c3ccc4ccccc4c3)ccc2c1,725.15
CCCCCCCCCCCCCCCCCC#N,635.15
CCc1ccc(CC)c(CC)c1CC,524.16
C=CC(C)CCCC(C)C,427.15
ClCC#CCCl,438.65
COC1CCCCC1,406.15
CCC(Cl)C(C)Cl,412.15
CS(=O)(=O)F,396.65
NCC(F)(F)C(F)(F)F,322.15
CN(C)c1cccc(O)c1,539.65
CCOc1ccc([N+](=O)[O-])cc1,556.15
CCCC/C=C/CCCC,444.15
O=C(O)CCCCC(=O)O,611.0
O=[N+]([O-])OC(CO)CO,430.65
Cc1c(N)cccc1N,533.15
CCCC#CCCC,404.75
Cc1cccc(Cl)c1,434.95
CC(=O)N(C)C,439.25
Cc1cccc(-c2cccc(C)c2)c1,553.15
CCOCC(C)O,404.15
CC(C)(C)C(=O)C(=O)O,462.15
ClC=C(Cl)Cl,360.1
CCCCCCOC(=O)CC,463.15
FC(F)(F)c1ccccc1Br,440.65
Nc1ccc(Oc2ccc(N)cc2)cc1,623.15
CCNCCO,442.65
CCCCC(=O)O,458.65
