SMILES,TARGET
N#Cc1ccccc1,111.488
CCC(C)OC,136.3672
C(=Cc1ccccc1)c1ccccc1,194.3882
C=C1CC(=O)O1,88.9119
CC(C)(C)c1ccc(O)c(O)c1,214.9748
CF,38.462
O=[N+]([O-])c1ccccc1,119.0198
C[Si](C)(C)O[Si](C)(C)C,242.9958
C=CC(=O)O,78.6357
O=C1CCO1,73.405
CC(C)CC(C)O,157.1652
Cc1cccc(C)n1,124.2565
c1ccc(-c2cccc(-c3ccccc3)c2)cc1,245.4935
c1ccc2c(c1)CCCC2,155.8505
CCC(C)S,122.1052
C=C(C)C,91.6229
Nc1ccccc1Cl,125.0307
CCCCCOCCCCC,246.282
CCC(C)C(C)CC,183.0291
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,482.1515
CCC#CCC,118.1835
C=Cc1cccc(C)c1,150.0939
C[Si](C)(C)N[Si](C)(C)C,206.7631
CCCCCCCCC(=O)OCCCC,315.0281
CC(C#N)CCC#N,142.6715
ClCc1ccccc1,99.5917
[C-]#[O+],29.0772
CCOCCC(=O)OCC,189.783
N#CCCO,84.5978
CCCO,93.4806
C=Cc1ccc(C)cc1,150.0939
COC(=O)c1ccc(C(=O)OC)cc1,166.8634
CC(C)c1ccccc1,155.7457
FC(F)C(F)(F)F,96.7351
FC(F)(F)C(Cl)Br,106.003
c1ccc(P(c2ccccc2)c2ccccc2)cc1,268.4969
O=C1CCCCCO1,122.2004
N=CO,47.5442
COC(=O)CC#N,104.1341
CCC(=O)OC(=O)CC,151.2891
C#CCCl,72.2546
C=CC(=O)OCCCC,186.3754
CCCCCCCCCCCCCCCCCCC,455.1699
C=C=CC,80.0004
CCCC(CC)CC,252.6184
CCCCCCC=O,176.6108
O=C(C(F)(F)F)C(F)(F)F,120.0362
CCC(C)(C)OC,159.9219
Cc1ccc(O)cc1C,165.0727
COCCOCCO,155.7486
Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],175.3168
COC,66.0251
C1=Cc2ccccc2C1,125.4867
O=C(O)c1ccc2c(c1)C(=O)OC2=O,146.0899
CCCCCCCCOC=O,223.765
O=Cc1ccccc1O,132.4771
O=Cc1ccccc1,115.3383
C=C(C)C(C)=O,104.234
c1ccc(C(=C(c2ccccc2)c2ccccc2)c2ccccc2)cc1,364.926
c1ccc2cnccc2c1,133.5942
Brc1ccccc1,101.8682
CCCCCCCCC,215.6814
CC(C)(C)NC=O,126.5688
C=CCCCCCCCCCCCCC,343.6425
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,271.0585
CCCC#N,99.5873
CCCCCCCCCCCCCCCCCC(=O)O,436.3995
c1cc[nH]c1,74.2797
CC(C)Cc1ccccc1,172.3237
C=COC,77.0794
CC(=O)Cl,69.1324
CCCCC(O)C(=O)O,173.0999
CC=CCCC,133.19375
C#CC,61.9541
C=CCCCC,135.6651
CC(c1ccccc1)c1ccccc1,204.7417
c1ccc2c(c1)CCC2,121.0043
c1ccc2c(c1)ccc1c3ccccc3ccc21,242.3005
c1ccc2c(c1)[nH]c1ccccc12,176.9457
CCCCC(C)C,166.9387
C=CCCCCCCCCCCCC,328.4476
CCCCCCCCCCCCCC,334.2052
CCCCCCCCCCCS,284.5991
Cc1ccc(Cl)cc1Cl,137.7245
CCc1cccc(C)c1C,183.489
CCCBr,88.413
CC(O)C(C)O,127.694
O=S1(=O)CCCC1,116.9657
Cc1ccc(Cl)cc1,120.5764
OCCNCCO,140.8025
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,153.3698
O=C(Cl)c1cccc(Cl)c1,137.6602
CN1CCCC1=O,102.766
O=CNc1ccccc1,114.6552
CCCCCCCCCCCCCC(=O)O,332.5125
CCCCCCCCCCS,261.1986
CCCCCCCCCCCC(=O)OC,319.4813
Cc1ccc(N)cc1N,155.1205
C=COC(C)=O,98.81
CCCCCCS,167.688
CCCCC(C)O,157.4602
C=C(C)C(=O)OCCCC,182.2521
c1ccc2ncccc2c1,133.9229
Cc1ccccc1[N+](=O)[O-],140.9668
CCCCC=O,126.4313
N#CC=CCCC#N,126.0595
FC(F)=CCl,73.2962
BrCCBr,87.4576
O=C1CCCCC1,111.7864
CC(=O)OCc1ccccc1,162.6715
CCC=CCCCC,174.1101
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,171.8098
BrCBr,55.5583
CC=CC(=O)O,99.1815
C#N,35.9152
CCCCc1cccc2ccccc12,232.2518
C1=CC2C3C=CC(C3)C2C1,155.2914
OCc1ccccc1,111.3672
O=C(O)c1ccccc1,108.4923
CCCCCCCCN,208.0836
OCCc1ccccc1,141.0232
Cn1cccc1,97.0368
CC(C)CCCC(C)C,213.3021
CCc1cccc2ccccc12,183.6985
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,187.7198
CCC(C)O,115.5731
N#CCC=CCC#N,126.5478
FC(F)(F)c1ccc(Cl)cc1Cl,165.2193
C#CCCCC,130.9779
CCOCCOCCOCC,220.3492
CCCCc1ccccc1,181.7399
CCCCCCCCOCCCCCCCC,382.593
FC(F)(F)Cl,66.8156
CC(=O)N(C)C,110.2907
CCCC(=O)O,115.5642
ClC(Cl)C(Cl)Cl,99.8554
C=CC(C)CC,146.368
CCc1ccccc1C,157.5395
CCCCCCCC,192.3777
CCc1cc(C)ccc1C,178.6522
CC(O)CC(C)(C)O,172.7662
c1ccc2c(c1)ccc1ccccc12,189.767
Oc1cccc(Cl)c1,118.1578
COCCOCCOC,178.1764
CC(C)Cl,88.7253
COc1ccccc1,111.8084
Cc1ccc(N)cc1,130.3372
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],175.3168
CO,45.1631
Nc1ccccc1,112.8793
CCCCOC=O,132.9021
CCCCCCCCCCCCC,310.6401
CCCC(C)C,144.1169
CCC(C)C(C)(C)C,186.9915
Nc1ccccc1N,134.1809
Oc1cccc(O)c1O,143.4117
C=CCC#N,86.8906
Cc1cccc(O)c1,127.3136
CCCCC(C)(C)C,191.2809
C=CC(C)C,121.5083
CCCCCCCCCCCCCCCCCCCCO,484.7015
Oc1ccccc1,104.4251
N#CCCCC#N,109.1939
CS(=O)(=O)O,74.3812
BrC(Br)C(Br)Br,108.0665
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,310.7379
CCCCCCCCCCCCCCCCCC(=O)OCCCC,522.7871
O=C(Cl)c1ccccc1,121.1642
COC(=O)c1ccccc1C(=O)OC,171.5427
C=C(C)Cl,80.5226
CCCCS(=O)(=O)CCCC,235.9898
FC(F)F,51.7523
FC(Cl)(Cl)C(F)(Cl)Cl,132.0166
CCOC(=O)CC(=O)OCC,181.7069
CCCC(=O)OC(=O)CCC,231.4413
C=C=O,47.0896
C=C(CC)CCCC,177.4911
CCc1ccc(C)cc1C,178.6522
CCCCCCOC(=O)CCCCC(=O)OCCCCCC,400.7218
CC(C)N,94.4493
CC(C)CC(C)(C)C,190.3198
C=C=C,58.9929
CC1=CCC(C(C)C)C=C1,187.6963
Cc1ccc(C)c(O)c1,159.6192
CN,52.1019
CCCCCCO,156.9728
CCCCCCCCCCCCCCCCC,406.7767
CCc1ccc(C)c(C)c1,178.8362
CCCCCC=O,153.1206
