SMILES,TARGET
CCl,675.4
S=C=S,1104.2
CCOCC,2503.5
CCCC#N,2414.8
c1ccccc1,3135.6
CCOC(C)=O,2061.0
Cc1ccccc1,3733.9
Clc1ccccc1Cl,2826.0
CCC,2043.1
CCO,1235.5
CCCO,1843.8
CC=O,1104.6
ClCCl,513.9
ClCCCl,1105.0
CC(C)=O,1659.2
C1CCCC1,3070.9
CCCCCCO,3674.4
CC(Cl)Cl,1109.7
CCC(C)=O,2261.6
CCC(=O)CC,2880.4
C=C(Cl)Cl,1003.7
Clc1ccccc1,2976.1
ClCC(Cl)Cl,963.9
CC(Cl)(Cl)Cl,975.0
Cc1ccc(C)cc1,4332.8
CCCl,1284.9
CCCC,2657.5
CCCCN,2776.3
CCCCO,2456.0
CCC=O,1685.7
C1COCCO1,2187.8
CCCC(C)=O,2880.0
Brc1ccccc1,3019.2
C[N+](=O)[O-],643.2
CC(C)c1ccccc1,4951.3
CSC,1744.0
CCC#N,1800.7
CCNCC,2800.3
COCOC,1799.8
COC=O,920.9
C=CC#N,1690.0
C=CCCC,3129.7
CCCCCCC,4464.9
CCCOC=O,2041.0
C=CCCCC,3739.4
CCCOCCC,3725.0
CC(=O)O,786.4
CCCCCCl,3085.2
CC(C)CO,2449.0
c1ccncc1,2672.1
CC(C)CCO,3062.3
CCC(=O)O,1395.0
C1CCCCC1,3655.8
BrC(Br)Br,439.7
CCCCOCCCC,4947.2
CCCC(=O)O,2006.2
C1=CCCCC1,3531.4
CCCCCCCCO,4899.5
CC(Cl)CCl,1704.6
C=CC(=C)C,2985.5
CCCCOC(C)=O,3283.0
CCCc1ccccc1,4954.1
C=Cc1ccccc1,4219.3
CC(=O)OC(C)C,2658.1
ClC(Cl)=C(Cl)Cl,735.5
NCCN,1691.0
C=CC,1925.7
CCBr,1284.4
CCCS,2345.0
CC#N,1190.4
C=CCl,1158.0
C=CC=C,2409.7
CCC(C)C,3240.3
CCCCCCCC,5074.1
C=CCCCCC,4349.5
CCCCCCCCC,5685.1
CC(C)(C)C,3250.4
CCOC(=O)CC,2674.0
CCCCCC(C)C,5069.4
CCCCC(C)=O,3490.0
COc1ccccc1,3601.8
CCc1ccccc1,4344.8
CC(C)C(C)C,3848.7
O=Cc1ccccc1,3393.1
CCCC(=O)OCC,3284.5
CC(C)OC(C)C,3702.3
CCCCC(C)(C)C,5062.6
CCCC(C)(C)CC,5066.9
CCCCc1ccccc1,5564.4
CCCCCOC(C)=O,3893.1
CCOCCOC(C)=O,3150.0
CC(C)CCC(C)C,5064.1
CCCCCCOC(C)=O,4505.0
ClC(Cl)(Cl)Cl,258.1
CCC(C)(C)C(C)C,5068.8
CC(C)C(C)C(C)C,5069.4
CCC(C)C(C)(C)C,5067.5
Cc1ccc(C)c(C)c1,4930.7
CCC[N+](=O)[O-],1858.9
CC(C)(C)c1ccccc1,5557.1
Clc1ccc(Cl)c(Cl)c1,2656.3
Cc1cccc([N+](=O)[O-])c1,3570.0
CI,709.6
CCS,1735.7
C#N,623.3
COCCO,1670.0
C=CCO,1731.9
CCCOCC,3120.0
CCCCC=O,2910.5
C1CCNC1,2621.4
CCCNCCC,4018.9
C1CCOC1,2325.0
ClCCCCl,1744.0
CCC(C)Cl,2465.2
CC1CCCC1,3673.7
C1=CCCC1,2939.1
CCCCOCCO,3550.0
Cc1ccncc1,3265.3
CCCCCCC=O,4136.0
CCCCCCCCN,5220.0
CCCCNCCCC,5239.7
C=CCCCCCC,4960.6
Fc1ccccc1,2814.5
CCC(=O)OC,2078.0
CCCC(C)CC,4462.7
CCCCCCCCCC,6294.2
O=C1CCCCC1,3298.8
CCCCC(C)CC,5072.1
CCCOC(C)=O,2672.0
CCC(C)(C)CC,4456.3
CCCCCC(C)=O,4099.5
ClCC(Cl)CCl,1553.6
CCCC(C)(C)C,4450.8
CC(=O)N(C)C,2360.0
CCc1ccccc1C,4946.1
Oc1ccccc1Cl,2790.0
CC(=O)C(C)C,2877.0
Cc1cccc(N)c1,3840.0
CCCN(CCC)CCC,5874.0
Cc1cccc(C)c1C,4934.0
CCc1ccc(C)cc1,4942.7
CCc1cccc(CC)c1,5554.3
CCc1ccc(CC)cc1,5550.0
CC(C)Cc1ccccc1,5558.0
ClC(Cl)C(Cl)Cl,834.6
CCC(C)c1ccccc1,5561.4
Cc1cc(C)cc(C)c1,4929.1
Cc1cccc2ccccc12,5594.0
CC(C)(C)CC(C)(C)C,5679.8
ICI,639.7
CCSCC,2960.7
CCCCCN,3387.0
CC(C)C,2649.0
CCOCCO,2340.0
CCC(C)S,2950.0
c1ccsc1,2435.2
CCC(O)CC,3048.3
CC=C(C)C,3107.6
CC(C)C#N,2408.4
C1COCCN1,2460.0
CCC(CC)CC,4464.6
Cc1ccccn1,3263.9
C1CCCCCC1,4289.7
OCc1ccco1,2416.8
CNc1ccccc1,3900.0
CCC1CCCCC1,4870.5
