SMILES,TARGET
O=C1CCC1,-96.3
CCCCOC(=O)C(C)(C)C,-566.0
FC(F)(Cl)C(F)(Cl)Cl,-694.96
CCCCOCOCCCC,-501.0
Cc1ccccc1N,58.0
COC(=O)c1ccccc1O,-464.3
F[SiH](F)F,-1200.81
[N-]=[N+]=NC1CCCCC1,154.4
CN(C)C(=O)c1ccccc1,-84.6
CC(=O)C12CC3CC(CC(C3)C1)C2,-298.3
O=C1CCC2CCC1C2,-218.0
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,328.0
CC(C)CCOC(=O)CCl,-516.7
c1ccc(P(c2ccccc2)c2ccccc2)cc1,320.2
O=CC(Cl)Cl,-201.0
CCCCCCCCCCCCCCCCCCCl,-446.0
COC(=O)c1ccc(C(=O)OC)cc1,-637.0
O=C1CCCCCCC1,-272.1
CC(=CC(=O)O)C(=O)O,-740.0
CCOC(=O)C(C)C,-499.6
C1CC[C@@H]2C[C@@H]2CC1,-6.1
Cc1cc(C)c2ccccc2c1,81.8
C=CC(=C)O,-77.0
CCOc1ccc(N)cc1,-103.0
CCCCCCCCCSCCC,-248.99
CC1CCC(O)CC1,-357.35
CC1CO1,-92.76
C=C(C)C(C)=O,-180.0
CCCCCCCCCCCCCCCO,-504.67
C#CCCCCCCCCCCCCCCC,-103.09
C=C=CC(C)(C)C=C=C,340.0
[SiH]#I,313.63
C1CC1C(C1CC1)(C1CC1)C(C1CC1)(C1CC1)C1CC1,466.5
CCCCCCC(C)CC,-253.97
CCc1ccccc1C(=O)O,-340.7
Oc1c(Cl)cc(Cl)c2cccnc12,-48.8
O=C(O)c1ccccc1I,-202.8
ClC1CCCCC1,-164.8267
CC12CCC(CC1=O)C2,-204.4
c1ccc2nc3ccccc3nc2c1,336.9
CC1(Cl)N=N1,238.0
CCc1cccc(O)c1,-146.2
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,-341.0
CCCCOC,-258.1
Cc1c(O)cc(C(C)C)cc1C(C)C,-259.0
CC(C)CCSCCC(C)C,-222.0
CC(C)(c1ccccc1)c1ccc(O)cc1,-65.6
C=CC(=O)OCC(CC)CCCC,-470.0
c1cc(-c2ccncc2)ccn1,293.1
COC1=CCCCC1,-161.0
c1ccc2c(c1)CCC2,60.7
c1ccc2c(c1)CCOC2,-63.1
C=CCBr,49.37
O=C1CCO1,-297.06
O=C(O)[C@H]1CCCN1,-366.2
CNC1CCCCC1,-103.0
O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,-55.8
CCCN,-72.38
C#CC#C,464.0
Cl[SiH2]Cl,-320.49
CCc1c(C)cccc1C,-26.23
COC1(OC)CCCC1,-397.0
[C-]#[N+]C12CCC(CC1)C2,165.8
c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,295.0
CC1(C)CC(=O)CC(=O)C1,-383.6
CC(=O)OC(OC(C)=O)c1ccccc1,-676.85
CCCCCCCCCCCCCCCCC1CCCCC1,-460.49
Nc1cccc(O)c1,-94.0
CC(C)c1ccc(C(C)C)cc1,-77.6
CCC(Cl)CCl,-191.2
CC(=O)c1c(C)cc(C)cc1C,-205.0
c1ccc2oc3cc4ccccc4c-3cc2c1,200.0
FC(F)(Cl)Br,-431.37
O=[N+]([O-])N1CCOCC1,-131.0
CC1CCCC(O)C1,-350.9
CCCCCCCCCCCCCSCCC,-331.46
C1=CC[C@H]2C[C@@H]2C1,232.0
C=CCCCCCCCCCCCCCC,-247.82
O[C@H]1C[C@H]2C[C@@H]1C1C2[C@H]2CC[C@@H]1C2,-218.0
O=C=NCl,221.0
CCCC#CCCC,60.1
CCC(C)C(C)C,-199.24
O=C1c2ccccc2-c2ccccc21,52.3
FSBr,-972.82
C=C=CS(=O)(=O)c1ccccc1,2.1
Cc1cccc(C(=O)O)c1,-328.5
CCCCCCCCCCCCCCCC(=O)O,-737.0
C1=CCC=C1,130.8
CCc1ccc(CC)cc1,-22.26
C1CCOC1,-184.18
C1COCO1,-301.7
CCCCCC(C)C,-215.48
C1CC2C3CC1C23,168.0
