SMILES,TARGET
CCCCCC/C=C\CCCCCCCC(=O)OC,-674.29
C=CC(=O)OC,-362.2
CC(C)CO,-334.3
CCOC(=O)CC(C)C,-571.3
CCCC[C@H]1CO[C@@H](C)OC1,-610.0
CC(C)CC(C)(C)C,-259.3
CCCCO,-328.0
Cc1cccc(N)c1,42.3
CCCNN=C(C)C,-6.3
CC(C)(C)O,-358.1667
CC(C)(C)CC(=O)C(C)(C)C,-442.7
O=C1CCCC1,-238.0333
Cc1noc(C)c1C,-70.2
CCC(C)CC(C)(C)C,-282.8
C[C@H]1CC2CCC1C2,-122.1
CCCCOC(=O)CCCC,-613.0
CNN,54.14
CC(C)COC(=O)CC(C)Cl,-623.4
FC(F)(Cl)C(F)(F)C(Cl)(Cl)OC(F)(F)C(F)(Cl)Cl,-1805.0
FC(F)(Cl)C(F)(Cl)Cl,-755.0
CCCCC(=O)OC,-520.6
CC(C)(C)C(=O)C(C)(C)C,-391.2
O=C(Cl)C(Cl)(Cl)Cl,-235.0
CCCCCCCCCCCOS(=O)(=O)O,-1061.0
Cc1cc(C)c(C2CC2)c(C)c1,5.0
OCC(F)(F)F,-932.57
CBr,-60.6
CC/C=C/C(=O)OCCCC,-495.0
CCCCC(=O)OC(C)C,-592.0
OCc1ccco1,-276.5333
COc1ccc(C=O)cc1,-247.0
CCCCOC(=O)CCl,-538.0
C1COCCO1,-354.315
CCCC(C)C(C)(C)C,-282.7
c1ccnnc1,224.9
CCCCCCCCCCCC,-350.7
c1ccc(C2CCCCC2)cc1,-77.85
CCSC=O,-216.0
CN(C)CO,-253.6
CCCCOC(=O)C(C)CC,-609.5
CCC(=O)OOC(=O)CC,-620.1
CCC/C=C(\C=O)CC,-261.3
CCCCCCCCCCCCF,-553.19
CCS,-73.68
CCCCCC/C=C\CCCCCCCC(=O)O,-713.4
CCCCCCCCCCC(C)=O,-476.1
CCCCCC#CC(=N)O,-188.1
O=C1CC(c2ccccc2)C1,-56.57
CCOC(=O)C(C(C)=O)C(C)=O,-789.5
O=C1CCCO1,-422.434
OCC(O)CO,-669.1
CCCCNC,-141.2
CN(C)c1ccc(/C=C(/C#N)c2nc3ccccc3[nH]2)cc1,301.8
CCCCCCO,-382.125
CC(C)COC(=O)CCCl,-572.8
Cc1cc(C(C)C)c(Cl)cc1C(C)C,-193.6
C=C(C)C(=O)OC,-385.6
CSC(C)C,-124.7
CNC,-47.4
CC(C)(C)OOCC1CO1,-319.0
CCO[N+](=O)[O-],-190.7
COc1cc(C)ccc1O,-362.8
CS(C)=O,-203.4
CCCC(O)CO,-546.7
CC1=CCCC1,-37.15
O=P(O)(O)O,-1271.66
O=[N+]([O-])Cc1ccccc1,-22.8
FC(F)(F)Cc1ccccc1,-669.95
CCCCCCCCCCCCCCCC(=O)OC,-1441.8
CC(C)CCOC(=O)CCCCl,-656.5
Cc1cc(-c2ccccc2)on1,18.0
CN(C)N,48.3
CCCCOC(=O)CCCCl,-618.0
CCCCCCCCCCCCO,-528.5
CC(C)C(C)(C)S,-187.2
C#CC(C)(O)CCCC(C)CCCC(C)CCCC(C)C,-434.3667
CCCCN=NCCCC,-35.05
CCCOC(=O)CCl,-516.0
N=C(O)C#Cc1ccccc1,47.4
CCOC(=O)N(C)c1ccccc1,-380.5
COC(=O)CC(C)C,-538.9
CCN(CC)S(=O)N(CC)CC,-322.6
O=C(Br)Br,-145.0
C1COCOC1,-380.925
C(=Nc1ccccc1)=Nc1ccccc1,286.0
CCCSSCCC,-171.5
c1cnoc1,43.455
CS(=O)(=O)c1ccccc1,-345.4
CCC(Cl)CCl,-231.8
O=C1CCCCC1C1=CCCCC1,-288.8
CCOC(C)(C)OCC,-538.5
CCc1ccc(CC)cc1,-72.97
Cc1ccncc1,54.6833
SCCCCCS,-130.3
c1c2c(cc3c1CC3)CC2,310.0
O=[N+]([O-])C[N+](=O)[O-],-104.9
Cc1cc(C)c2c(c1)CCC2,-63.7
COC(CCC#N)OC,-311.2
CC=C(C)C,-68.35
CCCCCCCCCCN(CCCCCCCCCC)CCCCCCCCCC,-738.0
COC(=O)[C@@H](C)N(C)C,-440.7
CCCOC(=O)CC#N,-343.0
CCCCCC[C@H]1OC[C@@H](C)CO1,-646.0
CCOCOC(=O)CC,-667.2
CC(C)(C)c1ccc2ccccc2c1,-26.3
CCC(O)CC,-369.6
CCCN(CCC)CCC,-206.9
C/C=C/C(=O)OC,-383.0
CCOc1ccccc1,-156.0
FCc1cccc(F)c1F,-636.7
CCCCSC,-142.6
CCCCNCC(C)C,-216.0
C=CCS(=O)(=O)CC,-406.0
C1=CCNCC1,33.0
C=CCCC,-49.0
C/C=C/CC#N,81.0
CC(=O)c1c(C)cc(C)cc1C,-267.0
C1=CC[C@@H]2C=CC[C@@H]2C1,64.3
CN(C)CC(=O)c1ccccc1,-116.0
CC(=O)OC(C)C(C)OC(C)=O,-916.3
Cc1ccc(Cl)c(C(C)C)c1,-111.6
CN(C)CCCN,-77.1
CCCCCCCCN=[N+]=[N-],96.7
CC(=O)I,-164.9667
CC1O[C@@H](C)C[C@H](C)O1,-490.0
CC(C)(C)SSC(C)(C)C,-252.0
C=C(C)c1ccc(C)cc1C,-23.0
CC(C)(O)C#N,-120.9
CCCCS(C)(=O)=O,-535.84
S=C=Nc1ccccc1,212.0
O=Cc1cccc(Cl)c1,-105.0
CCOC(C)=O,-480.3125
COC(=N)O,-472.7
CCCCCCCCCCCCCCCOS(=O)(=O)O,-1175.0
CCCCCCCCCC,-301.0
O=C1CCCCCO1,-458.0
CCCCC(O)CO,-577.1
CCCCCCN=[N+]=[N-],151.0
COC(OC)N(C)C,-395.0
CC/C=C\C(=O)OCC,-441.0
C#CC(C)(O)CCCC(C)CCCC(C)C,-338.7333
C=CCOc1ccccc1,-37.7
C=C(C)OC(C)=O,-386.2
CC12CC1(C)C2,161.0
CCCCCC(=O)CCCCC,-448.1
N#CCCSCCC#N,96.3
Nc1cccc(C(F)(F)F)c1,-686.01
CCC(C)S,-131.0
O=C1CC2CCC1CC2,-274.0
O=[N+]([O-])O[C@H]1COC[C@@H]1O[N+](=O)[O-],-386.0
CCN(C=C(C)C)CC,-105.0
CCCCC(=O)OCC,-553.6667
OCCN(CCO)CCO,-664.2
CC(C)CCOC(=O)CCl,-571.5
C=C1CC(=O)O1,-233.1
CCCCOC(C)(C)CC,-428.34
CC1CC=CC1,-17.7
C1CCC2(CC1)CCCC2,-200.0
Cc1ccc(Cl)cc1C(C)C,-108.0
CCCCOCOCCCC,-549.0
Cc1ccc(C)c2c1CCC2,-65.7
CCCCCCCCCCCCCCCC,-456.2
CC(=O)Cc1ccccc1,-155.5667
C=CC=C,90.5
Fc1c(F)c(F)c(Cl)c(F)c1F,-850.4
Cc1ccc(Br)cc1,12.0
CCCC(C)(C)Cl,-264.0
ICCCCI,-30.0
C[C@@H]1C[C@@H](C)OCO1,-462.6
CCOC(C)(C)CC,-379.8
CCC(C)CS,-154.1
C/C=C/CC(=O)OCCCC,-487.0
CCCC(=O)OCC1CO1,-560.4
CCCOC(=O)CCCCl,-591.6
C1=CCC=CC1,67.9
O=C1CCCCCCCCCCCCO1,-644.0
C[C@H]1C[C@H](C)OC(C)(C)O1,-526.3
C1=CCCC=CCC1,24.0
C1=C(c2ccccc2)CCCC1,170.0
CC1(C)CCC(C)(C)N=N1,-7.9
CCCCCCCCCCCCCCCCCCC,-530.9
CC(=O)CC(C)(C)O,-592.8
CCC(C)Br,-155.65
C1=CC2C=CC(C1)C2,120.0
O=C1CCCCCCCCC1,-363.4
Cc1ccccc1C,-24.4
CCc1ccccc1O,-208.8
CN(C(=O)N(C)[N+](=O)[O-])[N+](=O)[O-],-109.5
Br[Si](Br)(Br)Br,-457.31
CC(C)CCOC(=O)C(C)Cl,-627.2
CCCCC(=O)O,-557.848
Clc1cccc(Cl)c1,-20.5
CCOCC1CO1,-295.3
C1CO1,-95.7
CCCC(=O)OC(C)CC,-592.0
CCC(CC)CC,-225.85
C1C2CC2C2CC12,112.7
C=C1CCC1,93.85
Cc1ccc(O)cc1,-193.0
c1ccc(CCN2CCC2)cc1,122.0
CC(C)CSSCC(C)C,-232.8
CC[C@H]1CO[C@H](C)OC1,-491.0
COC(=O)CCCCC(=O)OC,-862.8
CC(C)CCC(C)C,-260.5
c1ccc([C@H]2C[C@@H]2c2ccccc2)cc1,166.0
CCCCCCCCCCCCCCCCCC(=O)O,-891.0
CCCCCCCCCCC(=O)OCC,-705.4
CC(C)COC(C)(C)C,-409.1
Cc1ccc2ccccc2n1,93.0
[N-]=[N+]=NCc1ccccc1,368.0
CC(=O)OC(C)(C)OC(C)=O,-887.3
CCC(=O)C(C)(C)C,-356.1
O=C1CCCCCCC1,-326.0
CC(C)(Br)CBr,-153.55
CC1=CCCO1,-165.0
O=[Si]=O,-902.66
CC(CCO)CC(C)(C)C,-456.9
CCOC(=O)C(C)(C(=O)OCC)C(=O)OCC,-1271.6
CCOC(=O)C(C)CC,-560.4
C=C(OC)OC,-316.1
CCCCOC(=O)C(Cl)Cl,-550.2
CCCCCCC(=O)OC,-567.1
Cc1cccc(C(C)C)c1O,-270.0
COC(=O)C(C)C#N,-319.0
C[C@@H]1O[C@H](C)C[C@H](C)O1,-488.3
CN(C=O)c1ccccc1,-145.9
Cc1ccccc1C1CC1,75.3
CC(C)CCS,-154.1
CC(C)OC(C)OC(C)C,-569.2
CCCC(C#N)N(CC)CC,-61.9
C1CC12C1(CC1)C21CC1,381.5
C=CCCCCCCCCCC,-226.2
C=C(C=O)CC,-168.0
CCC(O)C(C)C,-396.4
CC(C)=CC=C(C)C,-63.12
FC(c1ccccc1)c1ccccc1,-112.4
CC1=CC2CCC1CC2,-62.0
CCOC(C)(OCC)c1ccccc1,-441.4
CC(=O)/C(O)=C/c1ccccc1,330.0
Cc1c(C)c(C)c(C)c(C)c1C,-142.0
CC(=O)S,-217.9
CC(C)CC(C)(C)Cl,-277.0
CC(=O)OCC(O)CO,-903.53
Brc1ccccc1,59.75
CCOC(=O)C(C)(C)C,-572.0
COC(=O)c1ccc([N+](=O)[O-])cc1,-387.2
C=CCI,55.2
CC(C)(C)c1ccc(C(C)(C)C)cc1,-188.9
CCC(CC)C(C)(C)C,-272.7
CCCCCCCCCCCO,-504.9
CCCCCCCCCCCCCCCCBr,-444.5
CCc1ccccc1Cl,-51.25
ClSC(Cl)(Cl)Cl,-75.7
CCCCC(CC)CO,-432.88
O=C1CCCCCCCCO1,-529.0
C1C[C@H]2[C@@H]1[C@H]1CC[C@@H]21,193.0
C#CCNCC#C,429.7
COC(CCl)(OC)OC,-661.1
CC(C)(C)OO,-294.0
Cc1cnc(C)c(C)n1,20.4
CCCCCC(C)O,-416.9
FC1=C(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,-1966.2
CCN(CC)CC(=O)c1ccccc1,-167.7
N#C/C(=C\c1ccccc1)c1nc2ccccc2[nH]1,362.0
Clc1ccccc1,11.1
CC(C)(C)OOC(C)(C)C,-382.2667
Cc1ccncc1C,18.2
C1CCSC1,-72.95
Cc1ccc(I)cc1,67.4
O=CC(Cl)(Cl)Cl,-218.1
CCN(N=C(C)C)C(C)C,-53.1
C1CC2CC1C1C3CC(C4CC43)C21,25.8
CCCCOC(=O)C(C)(C)C,-616.4
O=C(Cl)c1cccc(Cl)c1,-190.0
CCCC(C)(C)CC,-257.7
CC1=CS(=O)(=O)c2c(C)cccc21,63.01
C[C@@]1(C2CC2)C[C@@H]1C1CC1,134.1
FC(F)C(F)(F)COC(C(F)(F)F)C(F)(F)F,-2370.2
CCCS(=O)CCC,-329.0
c1cc[nH]c1,63.1
COC(=O)CC(=O)OC,-799.69
CCCCNC(C)C,-203.2
COCC#N,-77.36
COC(=O)C(C)C(=O)OC,-826.34
Cc1ccc(C)[nH]1,-16.8
C=CCCC(=O)OCC,-431.0
CCOC(=O)N(CC)CC,-592.3
CCCC(=O)OOC(=O)CCC,-673.6
CCCC(O)CCC,-416.3
CC(C)(C)OC=O,-493.0
COC(=O)CN(C)C,-414.3
N#C/C(=C\c1ccccc1Cl)c1nc2ccccc2[nH]1,412.8
CC(=O)C=CC=C(C)CCC=C(C)C,-213.4
CSCc1ccccc1,26.0
CCCS,-100.6
O=COc1ccccc1,-268.6
CCCCCC[C@H]1CO[C@@H](C)OC1,-632.2
COC(=O)CC#N,-310.765
FC(F)(F)c1ccccc1,-620.45
OCCOCCOCCO,-804.2
CC(=O)C(C)C,-299.47
O=C(I)c1ccccc1,-51.51
CCNc1cccc(C)c1,-29.5
Cc1no[n+]([O-])c1C,45.2
Cc1ccccc1,12.0
C1C2C3CC(C12)C1C2CC2CC31,127.5
CC1CC=CCC1,-75.0
CC#CC#CC,335.2
CC1=CCC(C(C)C)CC1,-159.8
CC(C)c1cccc(C(C)(C)C)c1O,-330.0
C[C@@H]1S[C@H]1C,-30.0
Cc1nnnn1C,186.1
CC(C)(C)C(=O)CC(=O)C(C)(C)C,-587.8
CCOCC(=O)O,-648.4
C=CCN,10.0
C=C(C)C(=O)OCCCC,-413.1
OCCOCCOCCOCCO,-981.7
CC1CCOCO1,-416.85
C=NN(CCC)CCC,13.0
C1CC12CC21CC1,267.8
CC(=O)OC(C)C,-526.9
CCCC=O,-240.625
CC(C)(O)CCC(C)(C)OOC(C)(C)C,-695.9
CC(C)C[C@@H](N)C(=O)O,-648.9
CCCCCC[C@H]1OC[C@H](C)CO1,-580.0
CC(C)c1cc(C(C)C)c(O)c(C(C)C)c1,-390.0
CC(Cl)CCCl,-238.15
CN1CCCC1=O,-265.73
COC(=O)C(C)(C)C(=O)OC,-858.43
CC(C)(C)S,-140.5
C=CCSCC,-21.0
CC(C)c1ccc(C(C)C)c(O)c1,-330.0
CCC(=O)c1ccccc1,-167.2
Cc1cccc(I)c1,79.1
C=C(C)C(=O)O,-417.25
CCC(C)c1ccccc1O,-251.3
CCCCC([N+](=O)[O-])[N+](=O)[O-],-217.0
O=C1CCCCCC1,-298.3
OC[C@@H](O)[C@H](O)[C@@H](O)CO,-1118.6
CC(O)CO,-495.7667
CCCc1cccc(C)c1,-75.8
CC(C)(O)CO,-540.0
CCCl,-137.0
C1COCCN1,-186.7
C#CCl,207.0
c1ccc([C@H]2C[C@H]2c2ccccc2)cc1,179.0
CCC(C)(C)S,-162.6
CCCCC(C)O,-391.5
C[C@]1(C2CC2)C[C@@H]1C1CC1,131.9
CS,-46.65
CCC(C)(C)ON=O,-251.0
N#C/C(=C\c1ccc([N+](=O)[O-])cc1)c1nc2ccccc2[nH]1,282.3
CCCSCC,-144.7
CC(=O)OCC(COC(C)=O)OC(C)=O,-1330.8
