SMILES,TARGET
COC(=O)C(F)(F)C(F)(F)F,-1463.0
C=C[C@@H]1CC2C=CC1C2,114.8
C/C=C/C(OC)OC,-346.0
CCC(Cl)(Cl)[N+](=O)[O-],-228.0
CC1SC1C,-24.0
CC(C)(C)ON=O,-206.0
S,1.85
OCC(F)(F)C(F)F,-1114.9
CC=C1CCCC1,-56.82
CC(C)I,-74.9
CCCC(Br)CBr,-164.8
CC(C)CCOC(=O)C(C)Cl,-627.2
C#CC(C)(C)CCC(C)(C)C#C,211.1
CCCCN(CCCC)CCCC,-281.8
COCCOC=O,-565.3
CCC#CC(=O)OCC,-302.0
COC(=O)CN(C)C,-414.3
C[C@@H]1C[C@@H](C)OCO1,-462.6
CC(C)CN(CC(C)C)CC(C)C,-332.0
CC1O[C@@H](C)C[C@H](C)O1,-490.0
ClCC(Cl)(Cl)Cl,-188.3
COC(=O)CCC(=O)OC(C)(C)C,-951.0
ClC(Cl)(Cl)Cl,-128.25
CN(C)C1CCCCC1,-134.8
ClC(Cl)Cl,-134.2
CC[C@H]1CCCC[C@H]1C,-236.2
ClCCSCCCl,-200.5
FC1=C(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,-1966.2
CCCCCCCCCCCCCCCCC1CCCC2(CCCC2)C1,-590.4
CCN(O)CC,-174.75
CC/C=C\CCC,-104.45
C[C@@H]1CC[C@H](C)C1,-168.2
CC/C=C/C(=O)OCCCC,-495.0
CC(C)CCOCC1CO1,-384.0
C[C@]1(C2CC2)C[C@@H]1C1CC1,131.9
NC1CCC1,5.61
CCC(=O)NC,-320.1
C=C=C(C)C,101.2
CC(=O)N(C(C)=O)C(C)=O,-610.49
COC(=O)C(C)CC(C)(C)C,-614.7
CCN(CC)[N+](=O)[O-],-106.0
N#CCCC=O,12.8
BrCCCCBr,-140.1
C/C=C\CC,-55.66
C1CCC2CC2CC1,-60.0
C=C1CC2CCC1C2,-4.1
CCCCCCCCCCO,-482.51
CC/C=C/C(=O)OCCC,-465.0
CCCCCC(C)O,-416.9
CCCCN=NC,42.5
CCC(C)=O,-276.15
CCCCCCCCCC#N,-158.4
CCCCOS(=O)OCCCC,-692.9
C=C(C)C(=O)OCCCC,-413.1
CCOC(=O)C[N+](=O)[O-],-487.0
CC(C)CCOC(=O)CCCl,-593.3
CC(=O)OCC(O)CO,-903.53
CCCCCCC1CC1(C)C,-193.0
CC(C)OC(C)(C)C,-393.0
C=CCOC(=O)/C=C/C(=O)OOC(C)(C)C,-673.2
C=NN(CCC)CCC,13.0
CCC(C)(C)S,-162.6
CC12CCC(CC1=O)C2,-252.0
C=C[C@H]1CC2C=CC1C2,114.8
SCCCS,-79.5
O=C(Cl)C(Cl)Cl,-281.0
COC(=N)O,-472.7
CCCCCCCC/C=C\CCCCCCCC(=O)O,-764.8
COC(OC)(OC)OC,-767.2
CCCC(C)O,-366.2333
O=CC1CCCO1,-318.7
ClSSCl,-58.16
CC(C)CC(C)C,-236.5
CC(C)CO,-334.3
CCC(=O)OOC(=O)CC,-620.1
CC1OCCCO1,-436.5
CS,-46.65
CCOCC(O)COC(C)(C)C,-751.0
CCCCOC(=O)C(C)CC,-609.5
C/C=C1/CC2C=CC1C2,102.27
CCCCCCC=O,-312.0
CCC(C)(C)OOC(C)(C)CC,-599.6
CC1(C)CC1(C)C,-119.8
CC1CCOC(C)(C)O1,-500.9
COC(O)(C(F)(F)F)C(F)(F)F,-1579.0
CCC(C)(C)OCC1CO1,-392.0
C=C(CC)CC,-87.2
CC/C=C\C(=O)OCC,-441.0
CCCCON=O,-182.0
ClC(Cl)C(Cl)(Cl)Cl,-197.0
CN(C)N=NN(C)C,226.6
C1CCOCC1,-255.0
CCC(C)(C)C,-213.4
CCOCC(=O)OCC,-639.5
C=CCSC(C)(C)C,-90.7
CCCC(=O)OCC1CO1,-560.4
OCCCCCCCO,-574.2
CC1=CCCC1,-37.15
CCCSSCCC,-171.5
CCOC(=O)CC#N,-330.3
CC(C)COC(=O)CCCl,-572.8
CCCCCCCCCCCCCCF,-606.51
CC(=O)S,-217.9
CCCCC(=O)CCCC,-398.2
C/C=C/C(=O)OOC(C)(C)C,-417.0
CCCCOC(=O)C(Cl)(Cl)Cl,-546.4
OCCN1CCNCC1,-227.6
CCCCC(C)(C)C,-262.0
CC1CCCCC1,-192.75
CCC[N+](=O)[O-],-167.8
C/C=C\C#N,95.1
FC(F)(F)CCCl,-799.31
CCOCC1CO1,-295.3
CC(C)(O)CCC(C)(C)OOC(C)(C)C,-695.9
C1CCCNCC1,-89.3
CC(I)([N+](=O)[O-])[N+](=O)[O-],-28.0
C#CCNCC#C,429.7
O=C1CC[C@H]2CCC[C@H]12,-260.0
CCCC(O)CO,-546.7
CCCC#N,-5.8
COC(CCC#N)OC,-311.2
CCCCCCC(=O)OCC,-603.8
CCC1(C)CCCC1,-193.8
COC(=O)C(C)(C)C(=O)OC,-858.43
C[C@H]1CC[C@@H](O)CC1,-418.44
C[C@H]1[C@H](C)C1(Cl)Cl,-90.0
C1=COCCC1,-147.73
CCC(C)O,-342.6333
CCCC(=O)OCC,-528.4
COC(C)(C)C#N,-162.8
C/C=C/C(=O)OCC,-420.0
O=C1CCCCCCC1,-326.0
OCC(F)(F)C(F)(F)C(F)(F)F,-1781.9
C1CCC(NC2CCCCC2)CC1,-226.8
CC(=O)OC(C)=O,-625.0
CCSC(=O)C(F)(F)F,-851.9
O=C1OCCO1,-682.8
C=C1COC(C)O1,-420.2
CCN(CC)C(=S)SC,-104.0
CC(C)(C(=O)O)C(=O)O,-797.1
OCC(F)(F)F,-932.57
CCCCCC[C@H]1CO[C@@H](C)OC1,-632.2
CC(=O)CCCC(C)CCCC(C)CCCC(C)C,-628.75
O=[N+]([O-])C(F)(COCC1CO1)[N+](=O)[O-],-510.8
CCCCN(CCO[N+](=O)[O-])[N+](=O)[O-],-192.47
C=CC#CC(C)(C)OO,63.6
CCCOC(=O)Cl,-533.4
C1CC2CCC(C1)O2,-9.54
CCSC(=NC)SCC,-31.2
S=C=S,89.41
CCCCCO,-354.618
CC1CCCC1,-138.6333
CCCCCCCCN,-228.1
O=C=C=C=O,-121.5
CC(C)(Br)CBr,-153.55
CC(N)CC#N,-51.3
CC(N=[N+]=[N-])([N+](=O)[O-])[N+](=O)[O-],196.0
C[C@H]1CCCC[C@@H]1O,-421.25
CC#CC#CC,335.2
CC(C)CCOC(=O)CCl,-571.5
CCCOC(=O)C(Cl)(Cl)Cl,-513.4
CC(C)(Cl)Cl,-206.0
CCC(Br)CCBr,-170.8
OC[C@@H](O)[C@H](O)[C@@H](O)CO,-1118.6
C=COCCC,-191.0
