SMILES,TARGET
C=CCCC,5.807
CCCCCCCC(C)O,14.3
C(=Cc1ccccc1)c1ccccc1,27.828
CCCCCCCCCCCCCCCCCO,64.0
CC(C)=O,5.691
CCCCCC,13.079
C1CCSC1,7.351
C=CCC(C)CC,7.5
CC#N,6.912
CCCC,4.661
C1=Cc2ccccc2C1,10.2
C=CCCCCCC,15.313
C1CCCC1,0.609
c1ccc2c(c1)-c1cccc3cccc-2c13,18.73
CCC=CCC,9.6635
C1CCC2CCCCC2C1,14.41
c1ccc(-c2ccccc2-c2ccccc2)cc1,17.191
CC(CO)OC(C)CO.CC(O)COCC(C)O,22.7
CCCOC(C)=O,11.2
C=CBr,5.504
ClC(Cl)Cl,9.54
CC(=O)N(C)C,10.418
COC(C)=O,7.97
C=C(C)CC,7.911
OCCCO,12.0
Cn1cccc1,0.941
CCC(C)(C)O,4.456
CCCOCCC,11.0
C=C(C)C(C)(C)C,0.79
CCCCCCC(C)C,18.0
CCCCCCO,15.397
C=C,3.351
BrCCBr,10.962
CC(C)C,4.54
C1CCC1,1.088
ClCC1CO1,10.46
C=CCCCCCCCCCCC,22.83
CC1CCCC1C,4.412
Cc1ccc2ccccc2c1,12.125
O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],97.9
CCNCC,11.4
CC(O)C#N,12.8
C=COC=C,7.95
CC(C)CS,4.982
CCCCCCCCCCCCCCCCCCCC,69.873
CCl,6.548
FC(F)=C(F)Cl,5.553
c1ccc(Oc2ccccc2)cc1,17.216
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,29.286
c1ccc2c(c1)ccc1c3ccccc3ccc21,26.2
NCCN,22.563
ClCCl,4.602
O=C(O)CCS,16.97
CC(C)(c1ccccc1)c1ccc(O)cc1,21.677
CCCCCCCC(=O)O,21.38
CCCOC=O,13.2
C#CCCCCCCCCCCCCCCCCCC,34.3
CCCCCCCCC,15.468
C=CC,3.003
CCCCC(C)CCC,16.0
CC(=O)CCC(=O)O,9.22
C1=CCCCC1,3.293
C=C(C)C(=O)OC,14.435
FC(F)(F)F,0.712
FC(F)(F)C(F)(F)C(F)(F)F,0.477
CC(O)CO,7.57
CCCCCCCCCCCS,39.9
CCCOC(=O)CCC,17.8
CC12CCC(CC1=O)C2(C)C,6.82
CC(C)CO,8.322
ClC(Cl)C(Cl)(Cl)Cl,11.34
COC(=O)C=CC(=O)OC,14.64
CCCCC,8.393
CC(C)(C)O,6.694
CCCCCCCCN,28.6
CC(C)CC(C)C,6.845
CCCCCCOC(C)=O,16.9
CCC#N,5.029
CC1CCCC1,6.929
CCC=CCCC,10.5
CCCCCCCCCCCC,36.836
NCCNCCN,19.7
CCCCCCCCCCO,37.656
C=CCC,3.848
CCCCCC=O,18.9
c1cc2ccc3cccc4ccc(c1)c2c34,17.36
CC(C)N,7.325
CCCCOCCCC,16.6
N#CC#N,6.109
C1CN1,5.67
O=C1OC(=O)c2ccccc21,23.43
COC(C)C,5.85
O=C=O,9.019
c1ccc(CCc2ccccc2)cc1,30.543
C1CCNC1,8.577
CCCCCCCCCCC1CCCCC1,38.6
FC(F)(F)C(F)(F)F,2.686
CC(c1ccccc1)c1ccccc1,17.573
C(#Cc1ccccc1)c1ccccc1,21.402
CCCCCO,9.791
C1CCOC1,8.54
CCCCCC#N,16.62
CC=CC(=O)O,12.979
CCC(CC)CO,8.22
CC(C)CC(=O)O,7.322
CCC(CO)(CO)CO,24.606
O=S1(=O)CCCC1,1.373
CCCCCCCCCCCC(=O)O,36.295
OC1CCCCC1,1.783
CCCC(C)CC,9.46
CCCOCC,8.395
CC(C)OC(C)C,11.046
CC(O)CCO,8.32
CC(C)S,5.736
CCCCCCC(C)O,19.7
CCOC(C)=O,10.48
CCCCCCCCCCCCCCCCCC(=O)OCCCC,58.902
CC(C)CNCC(C)C,14.0
CCO,4.931
FC(F)F,4.059
c1ccc2c(c1)CCC2,8.598
Cc1ccc2ccc(C)cc2c1,23.351
CCCCCCCCCCCCCCCC(=O)O,53.711
c1ccc(Cc2ccccc2)cc1,18.242
CN(C)C,6.544
c1ccc(NNc2ccccc2)cc1,17.63
CC=CCC,7.732
CN,6.134
CC1(C)CCCCC1,2.021
CCC(C)S,6.477
CCCCCCC(=O)O,15.437
CN(C)P(=O)(N(C)C)N(C)C,16.945
C=C=CC,6.962
C#N,8.406
OCc1ccco1,13.131
CCCCC(C)C,9.184
c1cc[nH]c1,7.908
CCCCCCCCCCCCCCCCCCCCO,99.161
CCC(C)(C)C,0.579
CC(C)CCC(C)C,12.954
O=C(O)c1ccc2c(c1)C(=O)OC2=O,29.037
CCCNCCC,14.5
CC=CCCCC,12.0
C[Si](Cl)(Cl)Cl,8.945
CC(N)=O,15.707
CCCCCOC(C)=O,16.5
CC(C)CCCC(C)C,13.0
OCC(CO)(CO)CO,20.2
c1ccc2ccccc2c1,18.979
CC(C)=CC(C)(C)C,6.794
CC(C)NC(C)C,6.53
