SMILES,TARGET
CCCOC(=O)CC,15.0
C=C(C)C,5.931
C=CC=C,7.985
CCc1ccc(C)cc1,13.355
CCc1ccccc1CC,16.778
Nc1cccc(Cl)c1,10.152
Cc1ccc(C(=O)O)cc1,22.719
FC(F)(F)C(F)(F)Cl,1.878
Cc1ccccc1N,7.53
Fc1ccccc1,11.305
C(#Cc1ccccc1)c1ccccc1,21.402
FC(F)F,4.059
CS,5.904
CCC=O,9.75
CC(C)CCCC(C)C,13.0
COCCOCCOCCOCCOC,25.4
ClC(Cl)(Cl)C(Cl)(Cl)Cl,9.749
COC,4.937
N#CCCCC#N,12.58
C=CC#N,6.23
c1ccc(-c2ccccc2)cc1,18.577
FC1(F)C(F)(F)C(F)(F)C1(F)F,2.77
CC(C)CN,9.99
CCCCCCc1ccccc1,18.41
Cc1cccc([N+](=O)[O-])c1,14.058
Nc1ccccc1Cl,11.883
CCCC(=O)O,11.59
Cc1ccc2cc(C)ccc2c1,22.3
O=[N+]([O-])c1cccc(Cl)c1,20.782
Oc1cccc(Cl)c1,13.6
CCC#N,5.029
FC(F)Cl,4.123
CCC(C)=O,8.439
COCCC#N,15.9
CC(C)COC=O,11.2
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,18.0
CCC(C)(CC)CC,10.8
CCC1CCCCC1,8.334
C1CCC2CCCCC2C1,14.41
CCCCCCCCc1ccccc1,22.5
COC=O,7.531
OCCOCCOCCO,31.2
CC=CC(C)C,7.2595
O=C(O)CCCC(=O)O,20.676
CCc1ccc(C)cc1C,12.93
COC(=O)c1ccc(C(=O)OC)cc1,31.63
CC(C)O,5.41
C=CCC=C,6.073
Clc1ccc(Cl)cc1,18.2
C=C(Cl)Cl,6.515
CC=C(C)CC,5.92
O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],97.9
CN=CO,14.3
OCCNCCO,25.104
O=C1CCC(=O)O1,20.415
FC(F)=C(F)F,7.715
Cc1cccc(C)c1O,15.2
C=CC(=O)OC,11.129
C1COCCO1,12.845
C,0.941
FC(F)(F)C(F)(F)C(F)(F)F,0.477
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,33.726
CCCC(C)CC,9.46
CC(N)=O,15.707
CC1CCCCC1C,6.0335
CC(C)CC(C)(C)C,9.196
C=CC(C)CC,3.6
CCCC(C)(C)C,5.824
FC(F)(F)F,0.712
C=C(C)CC(C)(C)C,8.766
CC(O)C#N,12.8
c1cc[nH]c1,7.908
CC12CCC(CC1=O)C2(C)C,6.82
CCCC1CCCC1,10.033
Nc1ccc([N+](=O)[O-])cc1,21.087
c1ccncc1,8.28
CCCCCc1ccccc1,15.24
CCc1c(C)cccc1C,14.71
CC(=O)OCC(C)C,12.4
CCC(CC)CO,8.22
CC=CC(=O)O,12.979
CCOCC,7.19
Cc1ccccc1C(C)C,10.0
CCC(C)C(C)(C)C,8.619
C=CC(C)C,5.36
O=[N+]([O-])c1ccc(Cl)cc1,14.101
Clc1cccc(Cl)c1,12.59
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],21.2
C=CCO,5.12
Cc1cccc(C)n1,10.043
O=C1CCCCC1,1.19
c1ccc2c(c1)Cc1ccccc1-2,19.578
C[Si](C)(C)C,6.874
CC(C)=CC(C)(C)C,6.794
C1=Cc2ccccc2C1,10.2
CC(C)c1ccccc1,7.326
C1CCCC1,0.609
OCC=CCO,14.5
CCCC(C)O,8.48
C=C(C)C(C)(C)C,0.79
CC(C)=C(C)C,6.452
CCCC(C)C,6.268
Clc1ccccc1Cl,12.66
OCC(O)CO,18.284
CC(C)(C)O,6.694
CC(C)Br,6.527
O=C1OCCO1,10.042
CCC(CO)(CO)CO,24.606
C=CCCC,5.807
ClC(Cl)C(Cl)(Cl)Cl,11.34
OCCCCCCO,26.8
CCC(O)CC,9.08
c1ccc2[nH]ccc2c1,9.0
Cc1cc(C)cc(O)c1,17.41
CCC(C(C)C)C(C)C,7.2
Cc1ccccc1Cl,8.37
CCOCCOCCOC(C)=O,25.4
CC(Br)Br,10.63
c1ccc(P(c2ccccc2)c2ccccc2)cc1,19.69
CCOCCOC(C)=O,17.2
CCc1cccc2ccccc12,16.3
CCOC(=O)CC,12.3
Cc1ccc(Cl)cc1,12.98
CCCCCCCCCCC1CCCCC1,38.6
CC(C)(C)CO,12.5
CCC(C)N,8.93
O=[N+]([O-])c1ccccc1,11.632
CCc1ccccc1,9.184
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,15.0
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],20.126
CCc1ccc(O)cc1,17.0
CCCC(=O)OCC,12.5
c1ccc2cnccc2c1,13.18
Cc1cccc(C(C)C)c1,13.682
