SMILES,TARGET
Brc1cccc(Br)c1,1.9
CCC(C)OC,1.4
c1cc2c3c(cccc3c1)CC2,0.8
CCC(C)O,1.7
Cc1ccc(C(C)C)cc1,0.7
O=C1CCCC1,1.7
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,2.0
CCCCN,1.7
C=CF,2.6
C#CCCCCCCCCCCCCCCC,0.5
CCCC=CCCC,0.9
CCCCCCCCCCCCCCC1CCCCC1,0.4
CCC(C)OC(C)=O,1.7
CCCCOCCOCCOCCCC,0.6
CCCC(C)CC(C)CC,0.7
N#CC#N,6.0
C=CCO,2.5
CCOc1cc(C=O)ccc1O,1.0
CCCCCc1ccccc1,0.7
CCC(C)(C)C,1.2
CCCCCCCCCCCCCCCCCCCC,0.4
CC(C)COC=O,1.7
c1ccc2c(c1)ccc1c3ccccc3ccc21,0.5
CC1=C(C)C(C)c2ccccc21,0.7
CC(C)(C)c1ccc(O)cc1,0.8
CCCC(C)(CC)CCC,0.7
CCCCCOC=O,1.3
CCC(C)CC(CC)CC,0.7
CC(C)CCC(C)(C)C,0.8
O=C1CCO1,2.9
CC(C)CC(C)C(C)(C)C,0.7
C1=CCCC=CCC1,1.0
CCCCCCCCCS,0.7
CCc1c(CC)c(CC)c(CC)c(CC)c1CC,0.4
CCC(C)CC,1.2
CCCC(C)(C)C(C)(C)C,0.7
CCCCCCCCCCCS,0.6
CCCCOC(=O)CC,1.1
C=CCCCCCCCCCCCCCCCCCC,0.4
CCCCCCCCCCCC1CCCCC1,0.4
CCNCC,1.8
O=C1CCCC(=O)O1,2.0
N#CCCCC#N,1.6
Cn1cccc1,1.6
CCCCC(O)C(=O)O,1.4
COC(=O)c1ccccc1C(=O)OC,0.9
C[SiH](Cl)Cl,3.4
Cc1ccc(O)c(C)c1,1.1
Nc1cccc(Cl)c1,1.5
C=CCCl,2.9
CCc1cc(CC)c(CC)c(CC)c1,0.6
CNC1CCCCC1,1.0
CCCCCOC(C)=O,1.1
Cc1ccc(O)cc1C,1.1
C1=CCOC1,2.1
Nc1ccc(N)cc1,1.3
CC=CCCC,1.2
CC(C)(C)C,1.4
O=C1CCCCC1,1.0
CCCCC(C)C(C)C,0.8
CCC(C)(C)CCC(C)C,0.7
CCC(C)C(C)(C)C,1.0
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0.5
CCCCCCCCCc1ccccc1,0.5
O=C(Cl)c1ccccc1,1.2
Cc1ccc(C(=O)O)cc1,1.2
C1CN1,3.3
C=Cc1ccccc1,1.1
CCCCCCCCCCCCCc1ccccc1,0.4
CCCc1ccccc1,0.9
C=CCCCCCCCCCCCCCC,0.5
CCCCC(C=O)CC,0.9
OCC1CCCO1,1.5
CCOC(=O)c1ccccc1,1.0
CC1=CC=CC1,1.3
CCC(C)c1ccccc1,0.8
CCCCC(C)CC,1.0
CC#N,4.4
Cc1cc2ccccc2o1,1.0
CCc1cccc(CC)c1,0.8
CC(C)Cl,2.8
CCC(C)CC(C)C,0.9
Cc1cc(C)c(C)c(C)c1,0.8
CC(C)(C)CC(C)(C)C,0.9
O=C1OCCO1,3.6
Oc1cccc(O)c1O,1.7
CCCCCCCCOCCCCCCCC,0.5
CCCCCCC(C)O,0.8
CC(C)C=O,1.6
CC(C)NC(C)C,0.8
c1ccc(-c2cccc3ccccc23)cc1,0.6
CCC(CC)C(C)C,0.9
Cc1c(C)c(C)c(C)c(C)c1C,0.7
Cc1ccc(Cl)cc1,1.3
CCCCCCCCCCCCCC1CCCCC1,0.4
CCCC(CCC)CCC,0.7
CC(F)(F)Cl,6.2
CCCCC(C)C(C)(C)C,0.7
c1ccc2c(c1)CCC2,1.0
COc1ccccc1O,1.3
C=CCC=C,1.6
CC(C)CCCCC(C)C,0.7
C1CCOC1,2.0
CC(C)CCO,1.2
CCC(C)C(C)C(C)CC,0.7
CC(C)Cc1ccccc1,0.8
Cc1cc(C)c(C)cc1C,0.8
CCCCN(CCCC)CCCC,0.8
CCC(CC)C(C)C(C)C,0.7
CCCCCCCCCCCCCCCCC1CCCCC1,0.3
O=[N+]([O-])c1cccc(C(F)(F)F)c1,1.6
C1CCCC1,1.4
N=CO,7.0
CCCCC1CCCC1,0.8
CCc1ccccc1CC,0.8
Cc1ccccc1C(=O)O,1.2
C1=CC2C3C=CC(C3)C2C1,1.0
CCCCC(CC)C(C)C,0.7
Cc1ccc([N+](=O)[O-])cc1,1.6
C=CCCC=C,1.3
c1ccc(P(c2ccccc2)c2ccccc2)cc1,0.5
CCOc1ccccc1,1.1
CCCCCCCCCCCCN,0.6
CS,3.9
CCCCC1CCCCC1,0.9
CCCCCCCCCCCCCCCC(=O)O,0.5
C#N,6.0
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1.4
CCC(C)C(CC)CC,0.8
CCC(C)(C)C(C)C(C)C,0.7
CCC(C)C(C)C,1.1
Nc1ccccc1,1.3
O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1,0.6
C=C(C)C1CC=C(C)CC1,0.7
c1ccccc1,1.4
C=CCCCCCCCCCCC,0.6
C=CCCCCCCCCC,0.7
ClC=C(Cl)Cl,8.0
CCCO,2.0
O=C1CCCCCN1,1.4
C1=CCCC1,1.5
CC(C)c1ccccc1,0.9
CCC(C)(C)CC(C)(C)C,0.7
CCCCCCCCCCCCc1ccccc1,0.4
C1=CCC1,2.0
CC1(O)CCCCC1,1.1
c1ccncc1,1.8
C=CCCCCCCCC,0.7
Nc1ccccc1N,1.5
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,1.1
CCC(C)(C)CC,1.0
CCCCCCCCN,0.9
CCCCCCC1CCCCC1,0.6
C(#Cc1ccccc1)c1ccccc1,0.7
CCCC(CC)CC,0.9
Nc1ccc(Cl)c(Cl)c1,2.8
CCC=O,2.6
C1CN2CCN1CC2,1.2
CCCC(C)(CC)C(C)C,0.7
NC1CCCCC1,12.0
CCCCCCCCc1ccccc1,0.6
Cc1ccccc1C,1.0
CCCC(C)C(C)C,0.9
CC(C)CCC(C)C(C)C,0.7
O=CCCl,5.7
CCc1ccc(C)cc1,0.9
CC1=CCC(C(C)C)C=C1,0.8
Nc1ccc(N=Nc2ccccc2)cc1,0.7
CCCCCCCCCCCCCO,0.6
C=C1CCC2CC1C2(C)C,0.8
CCC(CO)(CO)CO,1.3
Cc1cc(C)c2ccccc2c1,0.8
CC(C)(C)OOC(C)(C)C,0.9
Cc1cccc(O)c1,1.1
c1ccc(Cc2ccccc2)cc1,0.7
C#CC(C)C,1.6
CC(C)(C)O,2.4
