SMILES,TARGET
CCl,-1.3129
S=C=S,2.5554
CCCC#N,1.2917
COC(C)=O,2.3311
c1ccccc1,1.9769
CCOC(C)=O,1.9703
Cc1ccccc1,1.4542
Clc1ccccc1Cl,0.132
Clc1cccc(Cl)c1,0.3313
CCC,3.855
CCO,1.7725
CCCO,1.3158
CC=O,2.9536
ClCCl,2.6365
ClCCCl,1.8983
CC(C)=O,2.2939
C1CCCC1,2.502
CCCCCCO,-0.0328
CC(Cl)Cl,2.3566
CCC(C)=O,1.9571
C=C(Cl)Cl,2.7783
Cc1ccccc1C,0.8215
Clc1ccccc1,1.0776
ClCC(Cl)Cl,1.3662
Cc1ccc(C)cc1,0.9493
CBr,3.213
CCCCN,1.9614
CCCCO,0.8483
CCC=O,2.5006
CCCCC,2.7106
CCCCCO,0.3928
CCCCCl,2.0068
CCCCCC,2.1834
CCCC=O,2.0466
CCCC(C)=O,1.5715
C[N+](=O)[O-],1.5555
CC(C)c1ccccc1,0.6578
CSC,2.74
CCNCC,2.3753
COC=O,2.7676
CN(C)C,3.2073
C=CC#N,2.0354
C=CCCC,2.807
CCCCCCN,0.9537
CCCCCCC,1.6586
CCCOC=O,1.9147
C=CCCCC,2.2696
CCCOCCC,1.7959
CC(=O)O,1.1964
CC(C)CO,1.0188
CCC(C)CC,2.2786
CC(C)CCO,0.5029
CCC(=O)O,0.562
C1CCCCC1,1.9932
BrC(Br)Br,0.7406
CCCC(=O)O,-0.0241
ClC(Cl)Cl,2.295
CCCCCCCCO,-1.1035
CC(Cl)CCl,1.7168
C=CC(=C)C,2.7114
COC(C)(C)C,2.397
CCC(C)(C)O,1.2251
CCCCOC(C)=O,1.0617
CC(=O)OC(C)C,1.7806
CC[N+](=O)[O-],1.3185
ClC(Cl)=C(Cl)Cl,1.2681
NCCN,1.0851
C=CC,3.9382
CCBr,2.6696
CCCS,2.1879
CC#N,1.9596
C=CCl,3.4742
C1CO1,3.1193
CCCCl,2.537
C=CCC,3.3522
CC(C)N,2.7631
C=CC=C,3.3235
CCC(C)O,1.2632
CC(C)CN,0.1453
CCCC(C)C,2.3249
C=C(C)CC,2.7854
CCCCCCCC,1.1475
C=CCCCCC,1.7504
CN(C)C=O,0.5983
CCCCCCCCC,0.6483
CC(C)(C)C,3.1095
CC1CCCCC1,1.6627
CCCCCC(C)C,1.315
COc1ccccc1,0.549
CCc1ccccc1,0.9836
CC(C)C(C)C,2.3717
O=Cc1ccccc1,0.0721
CC(C)C(=O)O,0.259
CCCC(=O)OCC,1.2299
CC(C)OC(C)C,2.1723
CCCCC(C)(C)C,1.5319
CCCCCOC(C)=O,0.5444
CCCCCCOC(C)=O,0.1217
ClC(Cl)(Cl)Cl,2.0571
CC(C)CC(C)(C)C,1.6932
CC(C)C(C)C(C)C,1.4351
CCC(C)C(C)(C)C,1.506
Cc1ccc(C)c(C)c1,0.3548
CC(C)(C)c1ccccc1,0.3293
Cc1cccc([N+](=O)[O-])c1,-0.6838
CI,3.1024
CCS,2.7235
C#N,2.8709
CCN,3.0203
CCCBr,2.1421
C1CN1,2.3284
COCCO,0.9543
C=CCO,1.4162
CC1CO1,2.7267
CCCCBr,1.6228
CCC(C)N,2.2503
C1CCNC1,1.797
CCCNCCC,1.3024
C1CCOC1,2.2098
ClCCCCl,1.2591
CC1CCCC1,2.138
CCCC(C)O,0.7857
C1=CCCC1,2.5802
CCCCOCCO,-0.0596
CCCCCCC=O,0.5481
CCCCCCCCN,-0.0144
CCCCNCCCC,0.4125
C=CCCCCCC,1.2407
CCCCCCCBr,0.1045
CCC(=O)OC,1.9244
CCCCCCCCCC,0.1544
CCCCC(C)CC,1.292
CCCOC(C)=O,1.5223
CCC(C)(C)CC,1.9175
CCCCCC(C)=O,0.581
ClCC(Cl)CCl,0.5659
CC(=O)N(C)C,0.2994
Oc1ccccc1Cl,0.4032
CC(=O)C(C)C,1.7178
Cc1cccc(N)c1,-0.5193
CCCN(CCC)CCC,0.1793
CCc1ccc(C)cc1,0.4761
CC(C)C(C)(C)C,2.01
CCc1cccc(CC)c1,0.0537
CCc1ccc(CC)cc1,0.023
CC(C)Cc1ccccc1,0.2845
ClC(Cl)C(Cl)Cl,0.6643
Cc1cc(C)cc(C)c1,0.3941
Cc1cccc2ccccc12,-1.1895
CCC(C(C)C)C(C)C,1.0021
Cc1ccc(C(C)C)cc1,0.1657
CC(C)(C)CC(C)(C)C,1.3008
OCCO,-1.8069
CC(C)S,2.443
CC(C)C,3.4243
CCOCCO,0.7251
CS(C)=O,-0.2151
CCC(C)S,1.9064
