SMILES,TARGET
CO,0.07
CCl,0.05
S=C=S,1.85
CCOCC,3.74
COC(C)=O,3.47
c1ccccc1,11.91
CCOC(C)=O,8.99
Cc1ccccc1,20.07
Clc1ccccc1Cl,44.39
Clc1cccc(Cl)c1,44.39
CCO,1.32
CCCO,6.63
CC=O,0.27
ClCCCl,7.99
C1CCCC1,5.65
C=C(Cl)Cl,6.37
Cc1ccccc1C,28.73
Clc1ccccc1,19.94
Cc1ccc(C)cc1,27.37
CN,0.05
CBr,0.31
CCCC,2.28
CCCCO,15.41
CCCCC,5.68
CC(C)O,5.0
CCCCCl,11.69
CCCCCC,11.16
CCCC=O,6.27
C1COCCO1,9.99
ClC=C(Cl)Cl,19.86
C[N+](=O)[O-],2.12
CSC,6.77
CCC#N,3.46
COCOC,3.59
COC=O,0.4
CN(C)C,1.69
C=CC#N,3.48
C=CCCC,5.22
CCCCCCN,23.12
CCCCCCC,17.39
C=CCCCC,10.66
CCCOCCC,16.25
CC(=O)O,3.7
CCCCCCl,19.59
CC(C)CO,13.94
CCC(C)CC,10.73
CC(C)CCO,23.16
C1CCCCC1,9.15
BrC(Br)Br,81.07
CCCCOCCCC,28.04
ClC(Cl)Cl,10.22
C1=CCCCC1,12.22
CCCCCCCCO,39.16
CC(Cl)CCl,17.78
C=CC(=C)C,5.35
CCCCOC(C)=O,24.51
CCCc1ccccc1,32.38
C=Cc1ccccc1,30.02
CC(=O)OC(C)C,11.56
CC[N+](=O)[O-],7.96
ClC(Cl)=C(Cl)Cl,39.17
C=CC,0.4
C=CCl,0.43
CCCCl,5.36
C=CCC,2.43
C=CC=C,2.0
CC(C)CN,7.82
CCC(C)C,5.25
CCCC(C)C,10.46
C=C(C)CC,5.33
CCCCCCCC,17.45
C=CCCCCC,16.9
CCCCC(C)C,16.44
CC1CCCCC1,17.91
CCOC(=O)CC,16.32
CCC(C)(C)C,9.62
CCCCC(C)=O,21.6
COc1ccccc1,32.61
CCc1ccccc1,27.16
CC(C)C(C)C,10.29
O=Cc1ccccc1,38.21
CC(C)C(=O)O,24.66
CCCC(=O)OCC,23.08
CC(C)OC(C)C,13.72
CCCCC(C)(C)C,20.89
CCCCCOC(C)=O,31.33
CCOCCOC(C)=O,34.35
CC(C)CCC(C)C,21.11
CCCCCCOC(C)=O,35.56
CC(=O)OCC(C)C,22.83
