SMILES,TARGET
CCCC(CC)CC,22.49
NCCN,9.55
Brc1ccccc1,48.97
C1CS1,2.86
CCCCCCCCCCC=O,40.54
CCCCOCCCC,28.04
CC(C)(C)CC(C)(C)C,24.72
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,83.12
CCCCCCCC(C)O,39.56
CC(C)CCCl,18.01
OC1CCCCC1,35.27
CC(C)c1ccc(C(C)C)cc1,40.11
CCCCCCCCCCCCS,43.09
CCCCOC(C)=O,24.51
CC(C)(C)OO,20.9
CC(C)CC(C)C(C)C,25.83
CCCOCCO,27.75
C=CC(=O)OCCO,47.47
CCCCOC(=O)c1ccccc1,49.61
CC(C)(C)N,6.09
CC=CCCCC,17.465
CCCCCc1ccccc1,38.8
CCCCCC(C)=O,28.0
CCC(CC)CO,29.56
O=C(Cl)Cl,0.85
CCCCCCCCC=O,36.78
C=CC(=O)OCC(CC)CCCC,41.85
CCCC(CC)CCC,26.96
CCC(CC)C(C)C(C)C,30.68
CCc1c(C)cccc1C,38.46
CCCCCCCC(C)C,30.6
Cc1cccc(C)n1,29.75
C=CCCCC,10.66
CCCCCCCCCO,41.13
CCOc1ccc(N)cc1,53.74
C=Cc1ccccc1C,35.9
CC(O)C#N,37.02
CCCc1ccccc1,32.38
CC1CCC(C)C1,16.575
C=C(Cl)CCl,16.92
CC(C)Cc1ccccc1,34.92
C=C=C(C)C,6.17
CC=CC(C)C,10.27
CCC(CC)CC(C)C,26.16
Cc1cc(C)nc(C)c1,35.24
CCCCC(C)CCC,26.89
CN1CCCC1,12.16
C=CC,0.4
CC(C)c1cccc(C(C)C)c1,39.43
CCCCOCCOCCOCCCC,44.23
CCCCN=C=O,19.49
CCCC(CCC)C(C)C,30.09
CCCCOCC,16.78
CC(C)CC(C)O,24.84
c1cc[nH]c1,14.9
CC(C)C1CCCCC1,29.88
CCC(C)C(CC)CC,27.17
CO,0.07
Clc1ccccc1Cl,44.39
C[SiH](Cl)Cl,10.17
CCC(C)OC(C)CC,25.54
N=CO,36.52
CCC(C)C,5.25
C1CSC1,10.35
C=C1C=CC(C(C)C)CC1,35.16
CC=CCCCCC,23.08
CC(C)c1ccccc1,28.89
NCCCO,41.58
CCCCC1CCCCC1,33.82
CN(C)P(=O)(N(C)C)N(C)C,49.99
Fc1ccccc1,14.51
CCCC(CC)C(C)CC,30.7
FC(F)(F)c1ccc(Cl)cc1,42.55
C1CN1,0.47
CN(C)C,1.69
CCSCC,15.23
CCCCC(C)C(C)CC,30.69
C#CCO,5.65
CCCC(C)C(C)CC,26.94
CCI,19.99
CC(O)C(C)O,39.7
CCC(C)CCC(C)C,26.19
CCC(C(C)C)C(C)(C)C,30.1
C=CCCC=C,10.16
CCCCNCCCC,30.1
O=[N+]([O-])c1ccccc1,51.25
CCC(CC)CC(C)(C)C,28.95
CC(C)C#N,8.31
CCC(C)CC(C)CC,26.35
OCc1ccccc1,45.25
CCC(C)Br,22.99
CCC(C)(C)CC(C)C,25.63
CC(C)OC(C)C,13.72
CCC(C)C(C)(CC)CC,30.93
C1=CCC=C1,4.04
CC1CCCC(C)C1,23.445
C=CCCl,4.73
CCOc1ccccc1,37.32
Cc1ccccc1,20.07
CC(O)CN,30.69
OCCc1ccccc1,47.59
CCCCO,15.41
O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl,72.69
O=[N+]([O-])C(Cl)(Cl)Cl,29.04
CCCCC(C)CC,22.38
C1=CCCC=CCC1,29.69
CCCCCCCCCCCC=O,41.83
CCCCC(C)(C)C(C)C,30.4
CCC,0.47
C=C(C)CCCC,16.83
CC1=CCC(C(C)C)=CC1,35.95
CC=O,0.27
CCCCCC(C)O,31.89
CCCCBr,24.44
CCCCCCCc1ccccc1,42.57
CC(C)C,2.02
CCCCCCCCCC=O,39.33
COCCOCCO,44.01
CCCCCCCCCCCCC,37.26
CC(C)CNCC(C)C,27.49
CCCC(C)(CC)CC,27.05
CCC(C)S,14.12
C#CCCCC,10.64
C=CCCCCCCC,27.58
CCCC(C)C(CC)CC,30.78
NCCNCCN,40.5
CCCCCC(C)CCC,30.45
C1CCNC1,8.72
CC(C)CC(C)C,15.43
BrC(Br)C(Br)Br,146.05
C1=CCCCC1,12.22
ClC(Cl)Cl,10.22
CCCI,33.57
CC1CN1,3.03
c1ccncc1,15.96
C=CC(=C)Cl,10.15
CC(=O)OCc1ccccc1,48.36
CCCCC(C)CC(C)C,29.58
S=C=S,1.85
CCC(C)(CC)CC,22.47
C#N,0.0005
CCc1cccc(C)c1,32.82
C=C(CC)CCCC,22.76
CCCNCCC,20.22
COCCO,13.06
