SMILES,TARGET
COP(OC)OC,15.91
CCC(C)(C)CC(C)(C)C,29.46
CC=C(C)C,5.82
OCCO,36.77
CCCCOC=O,17.45
CS(C)=O,32.05
CC(C)C(=O)C(C)C,23.73
ClCOCCl,18.27
CCCBr,13.68
CNC,0.24
C=CC=C,2.0
O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],45.01
CCCCC(C)CCC,26.89
CCCC(C)(C)CCC,26.2
CCCCCl,11.69
CCCC(C)CCC(C)C,29.87
COCCOCCO,44.01
O=C(O)CCS,55.9
CCC(=O)OC(=O)CC,36.72
CCCS,7.63
CCC(CC)(CC)C(C)C,32.04
CCC(C)S,14.12
CCCCBr,24.44
C[Si](Cl)(Cl)Cl,19.75
CC(C)(C)CCC(C)(C)C,27.73
C=C(C)C=O,6.03
CC(C)C,2.02
CCCCC(CC)C(C)C,30.44
CC(O)CCO,48.89
CC1CCC(C)CC1,23.28
CCC(C)C(C)(CC)CC,30.93
FCBr,6.34
CCC(C)C(C)(C)C,21.46
CCCC(C)(C)C(C)CC,30.69
CCCCCCCC=O,33.24
C=C(C)CC(C)(C)C,20.54
CC(C)CCCC(C)(C)C,28.87
NCCO,27.27
CC=O,0.27
COCC(C)C,10.51
N#CC=CCCC#N,50.52
COC=O,0.4
NCCNCCN,40.5
CC(C)C(C)(C)C(C)C,27.14
CC(O)CC(C)(C)O,46.3
COP(=O)(OC)OC,42.76
CC(=O)N(C)C,26.23
CCCC(C)CC,16.7
CC(C)Br,12.6
C=CC(=O)OCC(CC)CCCC,41.85
C=C(C)C(=O)OCCCC,35.11
CCCCC#N,18.23
COCCOC,10.89
CC(C)(C)NC=O,37.06
COC(C)(C)C,9.14
CCC(CC)C(C)(C)C,26.02
C=CCOC(C)=O,16.37
C=CCCCCCCC,27.58
CCCCC(CC)CCC,30.53
CCCCOCC,16.78
C#C,0.035
CCC(CC)CC,16.98
CCCCCC(C)C,22.1
C=CCCCC,10.66
NCCN,9.55
CCCCCC=O,21.54
CC(C)C(C(C)C)C(C)C,30.36
C1CCC2CCCCC2C1,36.47
C=C(CC)CCC,17.0
CCCCCCCCCCC=O,40.54
CCC(C)CO,23.38
C=CCC(C)CC,16.26
CCCOC=O,9.43
CI,11.39
C[SiH](Cl)Cl,10.17
CCCCCN,15.89
C[Si](C)(C)C,8.4
CCC(C)C(C)CC(C)C,29.95
CCC=CCCCC,22.9
CC(C)C(C)C(C)C(C)C,30.14
C1CCCCC1,9.15
CCCCC(C)C(C)(C)C,30.01
CC(=O)OCCC(C)C,29.69
CCCCCC#N,25.63
CCCCCCCCCCCCS,43.09
ClC=CCl,6.93
CCCC(C)CC(C)CC,30.1
CCC(C)(C)C(C)(C)C,27.34
O=C(Cl)C(Cl)Cl,29.7
CCCCCCCO,36.45
CCOCCOCCOCC,40.01
CCCI,33.57
O=[N+]([O-])C(Cl)(Cl)Cl,29.04
C[N+](=O)[O-],2.12
CCC(C)(C)O,17.07
C#CCO,5.65
CCCCCCC(C)C,26.88
CC(C)CN,7.82
FC(Br)(Br)Br,0.13
C=CCCC=C,10.16
CC(Cl)Cl,7.65
ClCCCl,7.99
C=CCl,0.43
C=C(CC)CCCC,22.76
C=C(C)C(=C)C,11.86
CC(C)C=O,5.45
N=CO,36.52
CCCCCC(C)O,31.89
CCOCC,3.74
CC(Cl)(Cl)Cl,17.29
CC(C)C(C)C(C)C,21.91
CCCCCCCCCCN,38.05
N#CCCO,41.72
CC(C)CC(C)C(C)(C)C,29.13
CCCC(C)CO,28.67
C=CCCCCCCCCCC,36.2
CCC(C)CC(C)C(C)C,30.28
CCC(C)(C(C)C)C(C)C,31.8
FC(F)(F)Br,0.13
CCC(C)=O,6.52
CN(C)P(=O)(N(C)C)N(C)C,49.99
CC(N)CN,15.4
C=CC(=O)OCCCC,30.45
CC#CC,2.05
CCC(C)CC(C)(C)C,25.17
ClC(Cl)Cl,10.22
CCC(Br)CBr,63.83
C=C=CCC,6.31
CCCCC(C)O,27.46
CC1CCCC1C,17.235
CCCCl,5.36
CCC(C)C(C)C(C)C,26.89
CCC(CC)CC(C)C,26.16
C=C(C)C(C)(C)C,15.35
CCCCCS,23.67
CCCCCCOCCCCCC,39.1
CCCCN=C=O,19.49
CN(C)C=O,17.22
CC(C)CC(C)C,15.43
CC(=O)O,3.7
C#CCCC,4.96
CSSC,12.26
CCCC1CCCCC1,29.94
COCCC#N,24.04
CCC(C)CC(C)C,21.23
COC(=O)Cl,6.48
CC(=O)Cl,2.96
CC,0.018
CCCC(CCC)C(C)C,30.09
CC(C)CCOC(=O)CC(C)C,37.77
CCCCCOC=O,27.0
CCCCCCCCCO,41.13
C=C(C)C(C)=O,13.14
CC(C)(C)S,11.85
ClCCCCCl,34.71
OCCCO,46.73
FC(F)(Br)C(F)(F)Br,14.16
CCCC(C)(C)C(C)(C)C,30.78
CCCCCCC(C)(C)C,29.43
CCCC(C)C(C)(C)C,26.15
CCNCC,6.83
CC=CCCCC,17.465
FC(F)(F)C(Cl)Br,16.45
CC(C)C1CCCCC1,29.88
CCCCCCCCCCS,41.75
CC[N+](=O)[O-],7.96
CCOCCOCCO,44.92
C=C(C)C(=O)OCC,22.93
CCOC(=O)CCC(=O)OCC,50.52
CC(C)=C(C)C,13.35
CCCCCCCCC,23.03
CC(CO)OC(C)CO.CC(O)COCC(C)O,49.63
C=CC=CC,6.715
CC(=O)C=C(C)C,22.8
C=O,0.016
CCC1(C)CCCC1,23.43
CCCCC(C)C(C)C,26.79
CC(C)CS,14.57
CCC(C)OC(C)=O,22.06
CCCC(C)C(C)CCC,30.65
CCCCS,15.93
CCC(C)Br,22.99
CCCC(=O)OCC,23.08
CS,0.29
CC(C)S,7.12
CCCCCCC(C)CC,30.76
C=CCCCCCCCC,31.29
CCC(C)OC(C)CC,25.54
CCCCCCCCCCCCC,37.26
C=CCI,35.96
CC(C)C(=O)O,24.66
CCC(CC)CC(C)(C)C,28.95
CCCCSC,23.32
NC1CCCCC1,24.01
COCCOCCOC,33.51
CCC(C)CC(CC)CC,30.17
ClCC=CCCl,36.645
CCC(Cl)Cl,16.48
COCCOCCOCCOC,48.12
CCCCCCC(C)O,36.94
ClCBr,10.05
CCCCOC(=O)CCCC,38.16
CCCCN(CCCC)CCCC,37.83
CCCC(C)(CC)C(C)C,31.1
CC(C)CC(C)(C)C(C)C,29.77
C1CCC(NC2CCCCC2)CC1,45.24
FC(F)(F)C(F)(F)Cl,2.61
CCCCOC(C)=O,24.51
CCCCCCCCCC,31.25
CC(C)OC(C)C,13.72
CCCCOB(OCCCC)OCCCC,40.19
CC(C)NC(C)C,16.37
CC(C)CNCC(C)C,27.49
CCCCCCCC,17.45
CCC(C)CCCC(C)C,29.9
CC=C(C)CC,11.28
CNCCO,25.53
CCC#N,3.46
CCC(C)CCC(C)C,26.19
CCCCC1CCCCC1,33.82
C=CC#CC,6.85
CCCC(C)CC(C)C,25.91
C=CC(=O)OC,5.75
CCCCC(C=O)CC,32.05
C=C(C)CCCC,16.83
CCCCCCS,30.02
CC(C)N,2.69
COC(C)C,4.64
CN(C)C,1.69
CCCCCCCCCC=O,39.33
OCCCl,14.43
C1CCCC1,5.65
CCCCC(C)C(C)CC,30.69
CC=CC(C)C,10.27
CCCl,0.94
CC(=O)CC(C)(C)O,33.13
CC(=O)OC(C)OC(C)=O,43.19
CCCC(CC)C(C)C,26.77
CCCCO,15.41
CCCCCCC(C)=O,34.87
CCCCOC(=O)CCC,34.63
CC(O)CN,30.69
CCOC(C)=O,8.99
CCC(C)OC,9.65
C=C(C)CCC,10.62
CCC(C)(C)C(C)(C)CC,31.98
CCCCCCN,23.12
C1CCCCCC1,20.81
CC(C)[N+](=O)[O-],14.25
N#CCCCC#N,50.12
CCS,2.47
CCOC(=O)Cl,17.47
CC(=O)OC(C)(C)C,19.53
FC(Cl)(Cl)C(F)(Cl)Cl,34.25
CCCCC(CC)CC,27.11
C=CCCCCCCCCC,34.13
CC(Br)C(C)Br,62.52
CCCC(C)=O,13.26
FC(F)(Cl)C(F)(Cl)Cl,28.05
CC(C)CCCCO,34.83
CCC(=O)C(C)C,19.72
C#CCCl,4.52
CCCCC,5.68
CC(C)C(C)O,19.35
CCCCCC(C)(C)C,25.7
CCC1CCCC1,18.19
CCC(CC)C(CC)CC,30.76
C=C(CC)CC,10.89
CCCCOC(=O)CC,30.55
CCCCCCCCCN,36.13
CCCCCCCS,34.69
CSC(C)C,14.23
OCCN(CCO)CCO,16.89
CCC(C)C(C)CC,22.44
CNC1CCCCC1,29.73
CC(C)=O,2.03
CCCCOCCOCCOCCCC,44.23
CCCC=CCCC,22.79
CCOC(=O)OCC,24.39
CCCOCCC,16.25
CC(C)C(C)(C)C,15.54
CCC(C)(CC)CC,22.47
CCC(C)(C)C(C)C,22.07
CC(C)=CC(C)(C)C,21.34
CCCC(C)CCC,22.32
CCCC1CCCC1,24.64
CCCC(CC)CC,22.49
CCCCCCCCCCO,42.23
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,44.61
CCCO,6.63
C=CC(CC)CC,15.96
CCCCNCCCC,30.1
CCC(C)C(C)(C)C(C)C,31.25
C=CC(=C)C,5.35
CCCCCCCCC=O,36.78
CC(C)COC(=O)C(C)C,32.05
O=C=O,0.0014
CCCOC,4.77
CCOP(=O)(OCC)OCC,47.24
CC(C)(C)N,6.09
CCC(CC)(CC)CC,27.76
O=C(Cl)Cl,0.85
CCCC(C)(C)CC(C)C,29.25
C=C(C)C(C)C,10.06
C=CC(=O)OCCO,47.47
CCCCC=O,13.65
CCCCCCO,27.56
OC1CCCCC1,35.27
ClCC(Cl)CCl,42.87
C1CSC1,10.35
CCSC,8.39
CCCC(=O)OC,16.83
CC(C)CCC(C)C,21.11
CC#CCCC,12.25
CCOC(=O)C(C)C,21.65
CC(O)C#N,37.02
CC(C)CO,13.94
CC(C)(C)Cl,8.97
CC(C)(C)CC(C)(C)C,24.72
CCOC(=O)C=CC(=O)OCC,45.98
CC(C)CCCl,18.01
CC(C)(C)OC(C)(C)C,23.91
C=CC(Cl)CCl,26.75
ClCC(Cl)(Cl)Cl,40.99
CCOC(=O)CC(=O)OCC,46.63
CCCSCCC,28.75
C1CCSCC1,27.6
CCCCC(CC)COC(C)=O,40.58
CCCCC(C)(C)C(C)C,30.4
ClCC(Cl)Cl,26.43
CCCCCCCCN,32.92
CCC(C)C(CC)CC,27.17
ClCCCCCCl,42.48
ClC(Cl)=C(Cl)Cl,39.17
CC=CCC,5.685
CC(C)CC(C)(C)C,19.99
CC1(C)CCCCC1,23.13
CCCC(C(C)C)C(C)C,30.58
CC(=O)CC(C)=O,27.19
CCCCCCC=O,28.34
CCC(C)(C)CC,16.09
COCOC,3.59
CBr,0.31
C1CCSC1,17.02
FC(F)(Br)Br,13.0
CC=CCCCCC,23.08
COCCO,13.06
C=CC#N,3.48
CCOCCOC(C)=O,34.35
CCCCCCl,19.59
CCCOC(=O)CCC,29.55
C=C(C)C(=O)OC,20.57
CC(C)C(C)C(C)(C)C,26.19
CC(C)(C)OOC(C)(C)C,26.71
CCCCC(C)=O,21.6
C1CS1,2.86
CCCCCC(C)(C)CC,30.26
CCCC(CC)C(C)(C)C,30.03
CC(C)CC(C)C(C)C,25.83
CCCCCC(C)CC,27.08
NCCCO,41.58
CCCCOCCO,34.95
CC(C)CCCCCCCO,41.94
CC(C)Cl,4.42
CCSCC,15.23
CCCCCCCCC(=O)OCCCC,42.9
C=CC(=O)OCC,6.64
CC(C)CCC(C)(C)C,24.77
CCC(C)C(CC)C(C)C,30.6
CCCC(C)CC(C)(C)C,28.84
CC(C)CCC(C)C(C)C,29.75
CCOC(=O)CC#N,50.06
CC=C=CC,6.73
C=C=C(C)C,6.17
C[Si](C)(C)N[Si](C)(C)C,29.9
CCC(C)C,5.25
CCCCC(C)CC(C)C,29.58
CCBr,5.28
CCC(C)CCC(C)CC,30.26
CC1CCCC(C)C1,23.445
CCOCCO,21.14
C=CC,0.4
C=COCC,4.47
CO,0.07
O=C=NC1CCCCC1,42.45
S=C=S,1.85
CCCC(C)(C)C,15.27
CC(=O)CCC(C)C,26.99
CC(C)C(C)C,10.29
CC(O)C(C)O,39.7
CCC(C)C(C)C(C)CC,30.85
FCCF,0.02
CCCCCCCCCCCC,34.95
CCCC(=O)O,28.4
CC1CCCC1,11.09
CCC(=O)O,14.86
CC(=O)C(=O)O,26.95
CC(Br)Br,40.19
CCCC(C)(C)C(C)C,26.69
C=CCCCCCC,22.75
CCCC(C)O,20.71
CCC(C)(C)C,9.62
CC(=O)CC(C)C,19.36
C#CCCCCC,16.73
CCCCC(CC)CO,38.53
CCCOC(=O)CC,23.85
CCC(C)(C)CCC(C)C,29.6
C=CC=O,1.49
CCCCCC(C)C(C)C,30.54
COCC(=O)O,51.0
CCCCCC(=O)O,43.98
CCCCOCCCC,28.04
C=CC(C)CCC,15.9
CC#N,0.65
CCCCCCCBr,46.97
CCC(O)CC,19.49
BrC(Br)C(Br)Br,146.05
CC1CCC(C)C1,16.575
CCCCCCCCCCCC=O,41.83
C#N,0.0005
CC1CCCCC1C,24.065
CCC(C)(C)S,19.51
CCC(C)(CC)C(C)(C)C,32.0
C=CCCCCCCCCCCCC,38.94
C=CCC(C)C,9.81
CCCOC(C)=O,16.75
C=CCCCCC,16.9
CC(C)C(C)(C)C(C)(C)C,31.55
CCOC(=O)C(=O)OCC,44.86
CC(C)CC(O)CC(C)C,36.77
CCCCC(C)C,16.44
C[Si](C)(C)O[Si](C)(C)C,26.74
CCC(C(C)C)C(C)(C)C,30.1
C=C(Cl)CCl,16.92
CCCCCOC(C)=O,31.33
O=C(O)C(Cl)Cl,61.47
CC(C)I,30.54
CCC1CCCCC1,24.85
CCCCCCCCCCCCCC,33.96
CCC(CC)CO,29.56
CCC(C)(C)CC(C)C,25.63
CCC(C)O,12.01
CCC(C)C(C)C,16.54
CCCC(C)C,10.46
CCCOCC,9.97
C1CCC(C2CCCCC2)CC1,42.49
CC(O)CO,39.69
CCCC(CC)CC(C)C,29.81
CCCCCCOC(C)=O,35.56
CCOC(=O)CC,16.32
C=CCC#N,9.7
ClC(Cl)(Cl)Cl,21.57
C#CCC,1.98
FC(F)(Cl)Cl,2.06
CCCCC(=O)O,38.02
CCCCCO,20.36
CCC#CCC,11.98
CCCC(C)C(C)(C)CC,30.74
CCCCCCCC(C)C,30.6
C=CCCC,5.22
O=CC(Cl)(Cl)Cl,26.19
C=CCN,3.46
CCC(=O)OC,9.2
C#CCCCC,10.64
CCCCCCCCS,37.85
CCCCCCCCCS,40.14
CC(C)CCO,23.16
CCCNCCC,20.22
COC(=O)C=CC(=O)OC,50.88
O=C=S,0.12
CCCCCCCCOC=O,38.36
C=CC(C)CC,9.84
CCCC(C)(C)CC,21.6
CC=CC=O,10.35
CCC(C)CCC(C)(C)C,29.08
C=C(C)CC,5.33
CCCCCCCC(C)O,39.56
CCC(C)(C)Cl,16.69
CCCCCCCCO,39.16
CCO,1.32
CCC=CCCC,17.265
CCCSCC,22.58
CCCCC(C)(C)CCC,29.83
C=CC(=O)OCCC,24.3
C=CCCl,4.73
CC(=O)OCCOC(C)=O,51.33
CCOS(=O)(=O)OCC,50.82
CCCC(CC)CCC,26.96
CCCC#N,9.83
CN=C=O,0.52
CC1CCCCC1,17.91
CC(C)CCCCC(C)C,29.83
CCC(C)CC(C)CC,26.35
CCC(C)C(C)C(C)(C)C,30.3
CC(O)C(=O)O,50.06
CCCCCC(CC)CC,30.86
COC(C)=O,3.47
CCOC(=O)C(C)O,30.59
CCCCCC(C)CCC,30.45
CCCC(CC)(CC)CC,31.25
C,0.0003
CC(C)CCCC(C)C,25.95
CCCCC(C)CC,22.38
CC(C)CC(C)O,24.84
CC(=O)OCC(C)C,22.83
CCOC=O,3.37
C=CCCCCCCCCCCC,37.54
CC(C)O,5.0
OCCCCO,51.19
CCCC(C)C(C)CC,26.94
CCSSCC,34.5
CCC(C)CC,10.73
C=CCC,2.43
COC(=O)CC#N,45.43
CC(C)CC(C)CC(C)C,28.79
C#CC,0.1
ClC(Cl)C(Cl)Cl,48.03
CCOC(C)OCC,21.01
CCCCC(C)CCCC,30.55
ClC(Cl)C(Cl)(Cl)Cl,58.22
CCCC,2.28
CCC=CCC,11.125
C=C(C)C#N,6.68
ICI,119.66
CCC(CC(C)C)C(C)C,29.72
CC(C)(Cl)Cl,13.33
C=COC(C)=O,8.56
CCCN(CCC)CCC,32.1
[C-]#[O+],0.0001
BrC(Br)Br,81.07
C=CC(C)(C)C,8.88
FC(Cl)(Cl)Cl,3.64
CCC=C(C)C,11.32
CC(Cl)CCl,17.78
CC(C)C#N,8.31
CCCCC(C)(CC)CC,30.73
BrCBr,26.52
CCCC(C)(CC)CC,27.05
CCC(=O)CC,13.28
ClC(Cl)(Cl)Br,40.63
CCC=O,3.23
CCC(C)N,7.36
ClCCl,2.51
CN(C)CCO,24.42
CCCCCCCN,28.94
CC(=O)OC(C)C,11.56
CCCC(CC)C(C)CC,30.7
CCCC(CCC)CCC,30.06
