SMILES,TARGET
CO,22.8675
CCl,15.695
CCOCC,16.5235
COC(C)=O,24.6205
CCC,7.076
CCO,22.6575
CCCO,23.974
CC=O,20.0725
ClCCCl,31.49
CC(C)=O,23.035
C1CCCC1,21.969
CCCCCCO,25.8745
CC(Cl)Cl,24.2075
CCC(C)=O,24.024
C=C(Cl)Cl,17.69
Clc1ccccc1,32.981
ClCC(Cl)Cl,33.6125
CC(Cl)(Cl)Cl,25.109
Cc1ccc(C)cc1,27.9555
CN,19.475
CBr,24.17
CCCl,18.53
CCCCN,24.04
CCC=O,22.57
CCCCCO,25.7425
CCCCCC,17.957
CCCC=O,24.245
CCCC(C)=O,24.219
Brc1ccccc1,36.136
ClC=C(Cl)Cl,28.765
Cc1cccc(C)c1,28.262
C[N+](=O)[O-],36.219
CC(C)c1ccccc1,27.819
CSC,24.16
CNC,16.495
CCC#N,26.7475
CCNCC,19.725
COC=O,24.098
CN(C)C,13.56
C=CC#N,26.88
C=CCCC,15.5925
CCCCCCC,19.629
CCCOC=O,23.916
C=CCCCC,17.9765
CCCOCCC,20.16
CC(=O)O,27.06
c1ccncc1,36.6685
CCC(C)CC,17.478
CC(C)CCO,24.368
CCC(=O)O,26.023
C1CCCCC1,24.596
CCCCOCCCC,22.44
ClC(Cl)Cl,26.5675
CCCCCCCCO,26.985
CC(Cl)CCl,29.215
C=CC(=C)C,16.255
CCC(C)(C)O,23.292
CCCCOC(C)=O,24.772
CCCc1ccccc1,28.635
CC(=O)OC(C)C,21.6425
CC[N+](=O)[O-],31.655
ClC(Cl)=C(Cl)Cl,31.7275
NCCN,41.7625
CCBr,23.579
C=CCl,16.17
C1CO1,23.9725
CCCCl,21.468
C=CCC,12.345
CC(C)N,17.685
CCOC=O,23.141
CCC(C)O,23.665
CC(C)CN,21.7275
CCC(C)C,14.5855
CCCC(C)C,16.989
CCCCCCCC,21.135
CN(C)C=O,35.234
CCCCCCCCC,22.5135
CC(C)(C)C,10.69
CCCCC(C)C,18.8495
Nc1ccccc1,42.5575
CC1CCCCC1,23.332
CCOC(=O)CC,23.8775
CCC(C)(C)C,15.832
CCCCC(C)=O,25.36
CC(C)C(C)C,17.005
CC(C)C(=O)O,24.5935
CCCC(=O)OCC,24.1325
CCCCC(C)(C)C,19.27
CCCC(C)(C)CC,20.3225
CCCCc1ccccc1,28.766
CCCCCOC(C)=O,24.926
CCOCCOC(C)=O,30.8
CC(C)CCC(C)C,19.39
CCCCCCOC(C)=O,26.1075
CC(=O)OCC(C)C,23.1975
ClC(Cl)(Cl)Cl,26.653
CC(C)CC(C)(C)C,18.459
CCC(C)(C)C(C)C,21.2275
CC(C)C(C)C(C)C,20.805
Cc1ccc(C)c(C)c1,29.456
CC(C)(C)c1ccccc1,27.88
Clc1ccc(Cl)c(Cl)c1,44.66
O=[N+]([O-])c1ccccc1,43.0135
CI,29.928
CCS,22.985
CCN,19.565
O=CO,38.204
CCCBr,25.3075
C1CN1,33.67
COCCO,32.055
C=CCO,25.939
CC1CO1,21.71
C=CC=O,23.14
CCCCBr,26.054
CCCOCC,19.1625
CCC(C)N,21.155
CCCCC=O,24.9
C1CCNC1,30.0175
CCCNCCC,22.26
ClCCCCl,33.566
CC1CCCC1,21.949
CCCC(C)O,23.5225
C1=CCCC1,21.915
CCCCOCCO,27.495
Cc1ccncc1,35.11
CCCCCCC=O,26.5725
CCCCCCCCN,26.94
CCCCNCCCC,24.18
CCCCCCCBr,28.2685
Fc1ccccc1,27.15
CCC(=O)OC,24.395
CCCCCCCCCC,23.4825
O=C1CCCCC1,34.746
CCCCC(C)CC,20.9065
CCC(C)(C)CC,19.175
CCCCCC(C)=O,26.1415
CCc1ccccc1C,29.9325
Oc1ccccc1Cl,40.1
CC(=O)C(C)C,24.83
CCCN(CCC)CCC,22.495
CC(=O)OC(C)=O,32.517
CC(C)C(C)(C)C,18.572
CCc1cccc(CC)c1,29.47
CCc1ccc(CC)cc1,28.735
CC(C)Cc1ccccc1,27.225
ClC(Cl)C(Cl)Cl,35.255
Cc1cc(C)cc(C)c1,28.5305
Cc1cccc2ccccc12,38.832
CCC(C(C)C)C(C)C,22.4575
Cc1ccc(C(C)C)cc1,28.35
CC(C)(C)CC(C)(C)C,20.0275
CC(C)CC(=O)CC(C)C,23.515
ICI,49.8165
CCSCC,24.566
OCCCl,36.55
CC(C)S,21.38
CC(C)C,9.9635
CCOCCO,28.885
CS(C)=O,43.2845
CCC(C)S,24.06
CC(C)Br,21.868
CC(C)C=O,20.31
CC=C(C)C,16.8485
CC(C)C#N,23.92
CCCCOC=O,24.705
CCC(CC)CC,20.06
C1CCCCCC1,27.46
OC1CCCCC1,33.61
C=CC(=O)O,28.5
NC1CCCCC1,31.306
C=C(C)C=O,23.41
CCC1CCCCC1,25.2225
C1=CCCC=C1,26.72
CCCCC(=O)O,26.86
CCCCCCCC=O,27.33
CCCC(=O)OC,24.41
C=COC(C)=O,23.9575
CCCCCCCCCO,27.839
C=CCCCCCCCC,23.66
CCCCC(C)CCC,22.0125
CCCCCC(=O)O,27.1315
CCCOC(=O)CC,24.294
CCCCCCCCCCO,28.2125
CCCCC1CCCCC1,26.77
CCC(C)(CC)CC,21.3525
CCC(C)CC(C)C,19.705
CC(=O)CC(C)C,23.515
CCC(C)C(C)CC,21.424
CCCCCCC(C)=O,26.0585
CCCCCCCCCCCCC,25.671
CN(C)c1ccccc1,36.0915
CC(C)CCCC(C)C,20.6335
CCOC(=O)C(C)O,28.6875
Cc1ccc(Cl)cc1,31.74
CC(=O)C=C(C)C,27.9
CCc1cccc(C)c1,28.8075
CCCCCCCCCCCCCC,26.256
CC(=O)OCCC(C)C,24.25
