SMILES,TARGET
CCC(C)CO,24.7025
CCCCCCCCCCCCOCCOCCOCCOCCO,29.6
C=CCC(C(=O)OCCC)C(=O)OCCC,29.42
CCCCOC(=O)Cc1ccccc1,33.11
O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl,32.2
CCCCCCCCCCC(C)O,29.16
Oc1ccc(Cc2ccccc2)cc1-c1ccccc1,43.942
CCCCCCCCCCCCOC(=O)CCC,28.8
CCCCOC(=O)CCO,31.1
CCCCCCCCCCCOC(=O)C(CC)CCCC,27.5
CC(=O)OCC(O)CO,40.145
CCCCCCCCCCCCBr,30.31
C1CCCCCC1,27.46
BrCC1CCCO1,36.59
FC(F)(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,32.6
Oc1ccc(Cl)cc1,44.14
COC(C)OC,21.062
C=CC(=C)C,16.255
FC(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,17.1
CCOC(=O)c1ccccc1,34.9035
CN(C)C=S,45.4
N#CCCCC#N,48.64
CC(C)(C)[N+](=O)[O-],27.38
CCCOB(OCCC)OCCC,21.51
COC(=O)CC1(CC(=O)OC)CCCCC1C,35.645
CCCCCCCOC(=O)Cc1cccc2ccccc12,35.24
CC(C)CC(O)CC(C)C,25.5
CCC(=O)C(C)C,23.64
COCCOCCOCCOCCOCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,18.5
FC(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,15.8
C#CCO,35.77
CCCCCCc1ccc2ccccc2c1,33.94
CCCCCCCCCCCCCCOC(C)=O,29.73
CCCCCCC(C)(Cl)CCC,26.49
CN1CCOCC1=O,46.3
CCCCCCCCCc1cccc2ccccc12,35.56
C=CC(=O)OCCCC,25.98
C=C(C)CC(C)(C)C,19.25
CCSc1ccccc1,36.89
CC1CCCC(C)C1,23.51
CC=C(C)C,16.8485
C=CC(C)(O)CCCC(C)CCCC(C)CCCC(C)C,28.04
CCCCCCOC(=O)c1cccnc1,33.72
CCCCCCCCCCSSCCCCCCCCCC,26.07
CCCCCCCc1ccccn1,30.85
CCCCCCCCCC1CCCCC1,28.9
CC=CC(=O)OCCCC,27.35
CCCCCCC(=O)O,28.045
CCCCCCCC1CCCCC1,27.9
CCCCCCCCCCCCCCCCCCCCC1CCCCC1,31.6
C=Cc1cccc(C)c1,33.58
CCCCCCOCCOP(OCCOCCCCCC)OCCOCCCCCC,29.93
CCCCCOC(=O)CCOCCCC,27.31
CCCCCCCCCSCCCC,29.05
CC(C)CCl,21.735
C1=CC=CC=CC=C1,30.84
O=[N+]([O-])c1ccccc1,43.0135
CC(CCOCCCc1ccccc1)COCCCc1ccccc1,37.5
CCC(C)C1CCCCC1,27.46
CCCCCCCCCCCCCCCCC(C(=O)OCC)C(=O)OCC,31.2
CCC(C)CC(C)C(C)C,22.05
Cc1ccc2cccc(C)c2c1,37.44
CCc1cc(CC)cc(CC)c1,28.2
CCCCCCCOC(=O)c1ccccn1,33.38
C=CCN,24.22
C=C(C)Cl,18.72
CCCCc1ccc2ccccc2c1,35.14
CCCCCCCCCCCc1ccccc1,30.45
CC(C)CC(=O)OCc1ccccc1,33.3
CN1CCCC1c1cccnc1,38.73
CCCCCOC(=O)CC(=O)OCCCCC,27.935
CCCCCC(=O)CCCC,26.47
C=CBr,20.05
CCCCCCCCCCC1CCCCC1,29.385
CCC(=O)c1cccs1,39.96
CC(C)=NO,29.26
C=COC,16.52
CCCOC(=O)Cc1ccccc1,34.398
CCCCCc1cccnc1,31.6
CCC(C(=O)OC)C(=O)OC,31.992
CCCOC(OCCC)OCCC,24.78
C=Cc1ccccc1C,33.7
Oc1ccccc1Cl,40.1
COc1ccc(C)cc1,33.52
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,15.6
C#CC(C)(O)CCCC(C)CCCC(C)C,26.76
CCC(=O)OCC#CCOC(=O)CC,36.16
CCCCCCCCOCCCCCCCC,27.29
CCC(CC)(CC)CC,23.43
CCCCCC(=O)CC,26.273
ClCc1ccccc1,37.021
CCCOC(=O)c1cccnc1,36.16
C=C(C)CCCC(C)CCO,27.42
CCNCCC#N,32.49
CCCCCCCCCCCCCCCCI,32.347
O=C(CC(=O)c1ccccc1)CC(=O)c1ccccc1,15.7
CCCOC(=O)OCCC,27.36
CC(C)CCSCCC(C)C,26.075
C=CCC1CCCCC1,29.8
CCCC(O)(CCC)CCC,25.045
Cc1ccccc1C#N,37.275
CC(Cl)CCl,29.215
CCCCc1ccccn1,31.03
C=CC(C)(O)CCC=C(C)C,27.3
ClCC(Cl)(Cl)Cl,31.67
CCCCCOC=O,25.4235
CC(C)C(=O)c1cccs1,37.01
CCCCCC[N+](=O)[O-],29.62
C#CC,11.51
CCCCCCCCCCCCCCC,26.8105
NC1CCCC1,30.75
Cc1cccc(N)c1,37.8155
CCCCCN,24.858
CCCCCCOCCC(=O)OCC,27.65
O,71.97
CCCOc1ccccc1,31.6
C1CCCSCC1,33.32
O=CO,38.204
CCCCCCCOCCC(=O)OCCCC,28.04
BrC1CCCCCC1,34.365
CC(C)(C)C(C)(C)C,20.22
O=C(c1ccccc1)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,12.8
CCCCCOC(=O)CCCCC,27.0
CCCC(C(C)=O)C(=O)OCC,29.86
FC(F)(F)c1ccc(Cl)cc1,21.44
Cc1cccc(CCc2cccc(C)c2)c1,36.3
C=CC(C)C,13.95
C=CCl,16.17
CCCSCC,25.35
C1CSCCO1,42.39
CC(C)=O,23.035
N#Cc1ccccc1,38.345
CC1CCCCC1,23.332
CC(C)(C)Cl,18.705
CCC(C)c1ccncc1,34.72
CCCC(C)(Cl)CCC,24.75
CC(=O)OCCOC(C)=O,33.01
CCCCCCC1CCCCC1,27.5
FC(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,12.8
