SMILES,TARGET
CCCCCCCOC(=O)CC,27.28
c1ccc(CNCc2ccccc2)cc1,40.25
CCSC#N,33.68
CCCC(CC)CCC,22.4775
CC#CC,20.15
CCC#N,26.7475
C=CC(=O)OC,24.23
CCCCOCCC(=O)OCCCC,26.84
CN=C=O,26.1
CCCCOC(OCCCC)OCCCC,25.245
OCCN(CCO)CCO,45.99
CCCCCCCc1ccc2ccccc2c1,33.89
C=CCC#N,28.91
CCCC(CC)CC(C)C,21.64
CCC(C)C(CC)CC,22.9175
O=COC1CCCC1,29.73
CNN,35.0
CCCCCCCCSC,28.91
CCON=C(C)C,22.33
CCOC(=O)CN(CC(=O)O)CC(=O)O,29.762
Cc1cc(Cc2ccccc2)c(O)c(Cc2ccccc2)c1,40.757
SC1CCCC1,31.09
CC1(C)CCCC1,21.75
FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,12.29
CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,24.32
COC(=O)CC1(CC(=O)OC)CCCC(C)C1,33.15
CCCCCCCCCCCCCCCCC,27.475
CCOC(=O)CC(C)=O,32.115
CCCCCN(C)CCC,24.885
CCCC(C)CC,19.424
ClCOCCl,33.18
CC(C)C(C)(C)C,18.572
CCCCCCC(C)(C)Cl,25.375
CCC(CC)C(C)C(C)C,22.72
CCCC(C)Cl,22.96
CCOC(=O)C(C)O,28.6875
CCOC(=O)C(Br)C(=O)OCC,33.08
C#CCCCCCCC,24.765
CCC(C)CC(CC)CC,22.01
CCCCCCCC(C)O,27.1
CC(C)CCCC(C)C,20.6335
CCCCSSCCCC,30.1
CCOC(=O)N=NC(=O)OCC,33.05
O=C1CCC1,31.93
CCCCCCCC(OCCOCCOCCO)OCCOCCOCCO,32.9
CC(C)NCCO,40.7
CC(C)(C)O,20.516
CCCCCCCCCSCCCC,29.05
CCCCCCCCCCCCCS,29.64
CCCCc1ccc2ccccc2c1,35.14
CCCCC(C)(C)Cl,23.675
CC(=O)OCCCl,33.25
CCCCCCCCCCCCCCC1CCCCC1,25.21
COCCOCCOCCOCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,20.0
CCCCCCCCCCCCCCC(=O)OC,29.41
C=CC(C)C,13.95
CC=C(CC)CC,21.42
CCC(C)CC,17.478
CCCCCC(C)(C)C,20.5225
C=C(C)C(=O)OCC,24.41
CC(C)OC(=O)Cl,25.1
CC(C)CCCC(C)CCO,25.49
CCC(C)(C)S,22.48
CCOC(=O)C(C#N)=C(CC)CC,33.02
CCC(=O)CC(C)=O,29.73
CCCCC(=O)OCC(C)C,23.4
CCCCCCCCCCCCCCCCI,32.347
CCCOC(=O)CCCCCCCCC(=O)OCCC,31.9
c1ccc(Cc2ccccc2)cc1,38.18
CC1CCC(C)(C(=O)O)C1(C)C,32.21
CCCCCCOC(=O)CCO,30.1
CC(F)(F)CC(F)(F)F,15.65
CCCCCCCCOC(C)=O,27.55
CC(C)c1ccccc1-c1ccccc1,35.0
CS,24.27
CC(=O)CC(C)(C)O,29.63
C#CCCl,29.22
CCC(C)(CC)CC,21.3525
CC=CCCC,18.59
CCC(C)=O,24.024
CC(CCOCCCc1ccccc1)COCCCc1ccccc1,37.5
CCCCC,15.5885
CCCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCCC,28.95
CCC(C)C(C)O,24.84
COCCOCCOCCOCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,18.0
CCCC(C)(C(=O)OC)C(=O)OC,30.19
CCCCCCCCCCCC1CCCCC1,26.32
C1=Cc2ccccc2C1,19.245
CCCC(C)CCC(C)C,21.58
CCCCOC(=O)CBr,31.495
CCCCCCOC(=O)CO,29.66
CCOCCBr,29.225
CC(CCOC(=O)CCCC(=O)OCCC(C)CC(C)(C)C)CC(C)(C)C,28.4
CC(C)CCCCCCCO,27.58
CCCCCCCCCCCCCCCCCC,27.977
CCCCOS(=O)OCCCC,28.6
COC(=O)CC#N,38.63
COB(OC)OC,19.45
ClCC1CO1,35.655
CCCCCCCCCCCCCC(=O)OC,29.688
CCCC(=O)O,26.0905
CC(O)C(=O)O,38.82
CCCC(=O)OCC,24.1325
CCOC(=O)c1cccc2ccccc12,41.34
C1CCCC1,21.969
CCCCCC(C(=O)OCC)C(=O)OCC,28.57
CCOCCOC(C)=O,30.8
CCCC(CC)=C(C#N)C(=O)OCC,31.3
COC=O,24.098
CCCCCCCCCCCCCCCC,27.174
CCS(=O)(=O)Cl,40.75
