SMILES,TARGET
CO,239.7
CCl,234.18
CCOCC,341.0
COC(C)=O,319.8
c1ccccc1,269.2
CCOC(C)=O,359.7
Clc1cccc(Cl)c1,343.53
CCC,270.2
CCO,282.59
CCCO,324.72
CC=O,250.2
ClCCl,270.18
ClCCCl,308.28
CC(C)=O,295.35
CC(Cl)Cl,305.06
CCC(=O)CC,370.1
C=C(Cl)Cl,267.87
Cc1ccccc1C,352.75
Clc1ccccc1,313.47
CN,243.3
CBr,245.85
CCCC,309.91
CCCCN,363.0
CCCCO,362.75
CCCCC,349.45
CCCCCO,402.5
CC(C)O,309.91
CCCCCl,355.17
CCCCCC,388.74
CCCC=O,343.65
C1COCCO1,299.78
CCCC(C)=O,378.81
Brc1ccccc1,324.39
ClC=C(Cl)Cl,325.09
Cc1cccc(C)c1,357.69
C[N+](=O)[O-],275.01
CC(C)c1ccccc1,388.57
CSC,285.85
CNC,272.96
CCC#N,286.6
CCNCC,352.21
COCOC,335.72
CN(C)C,288.78
C=CC#N,275.31
C=CCCC,345.81
CCCCCCN,441.0
CCCCCCC,427.98
CCCOC=O,372.54
C=CCCCC,384.64
CCCOCCC,422.5
CC(=O)O,282.5
CCCCCCl,394.85
c1ccncc1,282.8
CC(C)CCO,388.0
CCC(=O)O,323.0
BrC(Br)Br,330.59
CCCCOCCCC,501.4
ClC(Cl)Cl,295.51
C1=CCCCC1,310.75
CC(Cl)CCl,354.8
C=CC(=C)C,315.64
COC(C)(C)C,352.96
CCCc1ccccc1,400.66
C=Cc1ccccc1,345.1
CC(=O)OC(C)C,390.2
CC[N+](=O)[O-],315.43
NCCN,321.83
C=CC,268.6
CCCS,336.5
CC#N,243.47
C=CCl,273.54
C1CO1,242.92
C=CCC,307.83
CCOC=O,328.2
CCC(C)O,359.03
CC(C)CN,351.0
CCC(C)C,343.63
CCCC(C)C,380.89
C=C(C)CC,341.96
CCCCCCCC,467.23
C=CCCCCC,423.59
CCCCCCCCC,506.4
CC(C)(C)C,305.89
CCCCC(C)C,420.41
Nc1ccccc1,319.16
CCOC(=O)CC,402.5
CCC(C)(C)C,358.34
COc1ccccc1,361.0
CCc1ccccc1,380.45
CC(C)C(C)C,365.92
O=Cc1ccccc1,335.9
CCCC(=O)OCC,441.7
CC(C)OC(C)C,381.58
CCCC(C)(C)CC,438.23
CCCCc1ccccc1,439.49
CCCCCOC(C)=O,481.8
CCOCCOC(C)=O,493.0
CC(C)CCC(C)C,442.33
CCCCCCOC(C)=O,520.9
CC(=O)OCC(C)C,441.0
