SMILES,TARGET
CN(C)c1ccc(C=O)cc1,434.0
CC1CCCCC1O,391.0
C=CC(C)CCC,420.8
COC(=O)c1ccccc1C(=O)OC,660.0
CC1=CCC(C(C)C)C=C1,429.0
C=COCCCC,428.0
CC(C)(C)OC(C)(C)C,425.0
Nc1ccccc1,319.16
ClCC=CCCl,459.5
O=C1CCCCCN1,363.59
Nc1ccccc1N,360.0
C=CCCC,345.81
CC(=O)C(C)C,369.9
CCC1CCCC1,378.32
CCCCCCO,441.5
CC(C)(C)S,337.86
CCOC(=O)Cl,346.0
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,406.0
CCCCC(C)CC,465.51
Cc1cccc([N+](=O)[O-])c1,387.0
CCCCCCCCCC(=O)O,599.0
C=C1C=CC(C(C)C)CC1,422.0
CCCCC,349.45
CCCCCO,402.5
Fc1c(F)c(F)c(F)c(F)c1F,362.2
O=C1CCCC1,325.0
CC1CCCC(C)C1,373.34
CCCCC(C)O,436.0
C1=CCC=C1,280.33
C=C(CC(=O)O)C(=O)O,438.0
CC(C)COC=O,406.6
CCc1ccc(O)cc1,390.54
CC1=CCC(C(C)C)=CC1,457.0
Cc1ccncc1,319.47
CCc1cccc(CC)c1N,473.0
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,436.62
CC1CCCC(O)C1,391.0
c1ccc(C2CCCCC2)cc1,428.48
CC(C)CCOC(=O)CC(C)C,589.0
Nc1cccc(Cl)c1,356.0
CC(=O)CC(C)=O,403.0
CCCN(CCC)CCC,530.0
O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,619.0
S=C=S,237.79
CC(C)I,324.47
CC(C)C#N,313.3
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,523.0
c1cc2c3c(cccc3c1)CC2,368.9
C=COCC,349.0
OCCc1ccccc1,405.0
CI,254.01
CC,229.12
C=C(C)CCCC,418.4
C=C=C,243.93
c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,526.0
Nc1cccc([N+](=O)[O-])c1,383.0
Cc1cccc(C)c1O,389.72
CC1CN1,286.0
OCc1ccco1,408.0
CCOS(=O)(=O)OCC,417.0
O=C(O)CCCC(=O)O,443.0
Cc1cccc(C(C)C)c1,431.5
CC(C)C(C)C(C)C,428.4
ClC(Cl)C(Cl)Cl,354.97
O=C(O)COCC(=O)O,441.0
Cc1ccc(Cl)cc1,342.0
CCC(C)(C)O,382.75
CCCCCCCC(C)C,538.02
CCOc1cc(C=O)ccc1O,506.0
CN(C)C=O,326.03
ClCOCCl,360.0
CC1CCC(C)CC1,367.625
CCC(C)(C)OC,408.0
C=CC(=O)O,315.01
CC(O)C(C)O,399.0
FC(F)(F)c1ccc(Cl)cc1,403.0
CCc1cccc2ccccc12,420.9
CC=Cc1ccc(OC)cc1,464.0
CCc1ccccc1N,402.0
C=CCC,307.83
FC(F)F,259.56
ClCCCl,308.28
C=C(C)CCC,374.0
CSC,285.85
CC=CCCC,368.5
Cc1cccc(C)n1,356.09
Cc1cc2ccccc2o1,302.0
C=Cc1cccc(C=C)c1,412.0
C1=CCOC1,284.84
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,405.0
C=CC(N)=O,301.08
CC(C)(C)N,327.73
CC(C)OC(C)C,381.58
CCOC(=O)C=CC(=O)OCC,582.0
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,543.54
CCC(C)(C)CC,398.15
CCCBr,330.87
C1CCC2CCCCC2C1,374.55
C[Si](Cl)(Cl)Cl,351.15
COC(=O)c1ccc(C(=O)OC)cc1,550.0
C1CC1,237.65
CC(C)(C)CC(C)(C)c1ccc(O)cc1,567.0
C=CCCCCCC,462.54
CCCCCCCCCCCO,636.26
C1CCCCC1,298.24
CCCCCl,355.17
CCF,265.01
O=C1OC(=O)c2ccccc21,399.53
CC(=O)OC(C)C,390.2
