SMILES,TARGET
CO,36.0
CCl,17.4
S=C=S,50.0
CCCC#N,11.4
COC(C)=O,16.0
c1ccccc1,7.1
CCOC(C)=O,11.4
Cc1ccccc1,7.1
Clc1ccccc1Cl,9.2
Clc1cccc(Cl)c1,7.8
CCC,9.5
CCO,19.0
CCCO,12.0
CC=O,10.4
ClCCl,66.0
ClCCCl,16.0
CC(C)=O,12.8
C1CCCC1,9.4
CCC(=O)CC,8.0
C=C(Cl)Cl,16.0
Cc1ccccc1C,6.0
Clc1ccccc1,7.1
ClCC(Cl)Cl,27.8
CBr,16.0
CCCl,15.4
CCCCN,9.8
CCCCO,11.2
CCC=O,16.1
CCCCC,7.8
CCCCCO,10.0
CCCCCC,7.5
CCCC=O,12.5
Brc1ccccc1,9.1
ClC=C(Cl)Cl,10.5
C[N+](=O)[O-],22.2
CSC,19.7
CNC,14.4
CCC#N,14.0
COC=O,20.0
CN(C)C,11.6
C=CC#N,17.3
C=CCCC,8.7
CCCCCCC,7.0
C=CCCCC,9.2
CCCOCCC,9.5
CC(=O)O,16.0
CCCCCCl,8.6
CC(C)CO,10.9
CC(C)CCO,9.0
CCC(=O)O,14.8
BrC(Br)Br,35.3
CCCC(=O)O,13.4
ClC(Cl)Cl,12.9
C1=CCCCC1,10.1
CCCCCCCCO,6.4
C=CC(=C)C,9.6
COC(C)(C)C,15.1
CCC(C)(C)O,9.0
CCCc1ccccc1,5.7
C=Cc1ccccc1,6.1
NCCN,14.4
C=CC,11.0
CCBr,11.3
C=CCl,33.0
CCCCl,11.1
C=CCC,9.3
CC(C)N,10.4
CCC(C)O,9.8
CC(C)CN,11.6
CCC(C)C,7.6
CCCC(C)C,7.0
C=CCCCCC,8.0
CCCCCCCCC,5.6
CCCCC(C)C,6.0
CC1CCCCC1,7.2
CCOC(=O)CC,11.0
CCC(C)(C)C,7.0
CCCCC(C)=O,8.0
CC(C)C(C)C,7.0
O=Cc1ccccc1,7.8
CC(C)C(=O)O,9.2
CC(C)OC(C)C,21.0
CCCC(C)(C)CC,5.5
CC(C)CCC(C)C,5.9
CCCCCCOC(C)=O,6.1
CC(=O)OCC(C)C,10.5
CCC(C)(C)C(C)C,5.6
CC(C)C(C)C(C)C,6.0
CCC(C)C(C)(C)C,5.6
Cc1ccc(C)c(C)c1,5.2
CCC[N+](=O)[O-],13.8
CC(C)(C)c1ccccc1,5.7
Clc1ccc(Cl)c(Cl)c1,6.6
Cc1cccc([N+](=O)[O-])c1,7.6
CCS,18.0
C#N,41.0
C1CN1,5.4
C=CCO,18.0
CC1CO1,21.5
C=CC=O,31.0
CCCCBr,6.6
CCCOCC,9.0
CCC(C)N,11.8
CCCCC=O,9.5
C1CCNC1,12.0
CCCNCCC,7.7
C1CCOC1,11.8
CCCCCCCO,7.2
CCC(C)Cl,9.9
CC1CCCC1,8.4
CCCC(C)O,9.7
C1=CCCC1,12.1
CCCCOCCO,12.7
CCCCCCCCN,6.4
CCCCNCCCC,6.1
C=CCCCCCC,7.1
Fc1ccccc1,9.1
CCCC(C)CC,7.0
CCCCCCCCCC,5.4
O=Cc1ccco1,19.3
O=C1CCCCC1,8.8
CCCCC(C)CC,5.8
CCCOC(C)=O,8.0
CCC(C)(C)CC,7.0
CCCCCC(C)=O,7.9
CCCC(C)(C)C,6.0
CC(=O)N(C)C,13.8
CCc1ccccc1C,5.5
Oc1ccccc1Cl,8.8
CC(=O)C(C)C,9.0
Cc1cccc(N)c1,7.6
CCc1ccccc1CC,5.1
Cc1cccc(C)c1C,5.2
CCc1ccc(C)cc1,5.5
CC(=O)OC(C)=O,10.3
CCc1cccc(CC)c1,5.1
CCc1ccc(CC)cc1,6.1
CC(C)Cc1ccccc1,6.0
Cc1cc(C)cc(C)c1,5.2
Cc1cccc2ccccc12,5.3
CC(C)CC(=O)CC(C)C,6.2
OCCO,21.6
OCCCl,15.9
CC(C)C,8.4
CC(C)Br,13.8
CC(C)C=O,10.6
CCC(O)CC,9.0
CC=C(C)C,9.6
CC(C)C#N,11.5
CCCCOC=O,8.0
C1COCCN1,10.8
CCC(CC)CC,7.0
Cc1ccccn1,11.9
C1CCCCCC1,7.1
OC1CCCCC1,9.3
C=CC(=O)O,20.2
C=C(C)C=O,14.6
OCc1ccco1,16.3
CNc1ccccc1,7.4
CCC1CCCCC1,6.6
C1=CCCC=C1,11.8
CCCCCCCC=O,6.4
Cc1ccccc1N,7.6
CCCC(=O)OC,8.8
OCc1ccccc1,7.9
CCCCC(C)CCC,5.4
CCCCCC(=O)O,8.2
CCCOC(=O)CC,7.7
CCCCCCCCCCO,5.5
CCC(C)(CC)CC,5.5
CCC(C)CC(C)C,5.9
CCC(C)C(C)CC,5.9
CCCCCCC(C)=O,6.1
CC(C)C1CCCCC1,5.9
CCCCCCCCCCCCC,4.7
CC(C)CCCC(C)C,5.4
CCOC(=O)C(C)O,10.6
Cc1ccc(Cl)cc1,6.7
CC(=O)C=C(C)C,8.8
CCCCCCCCCCCCCC,4.7
CC(=O)OCCC(C)C,7.5
Cc1ccccc1C(C)C,5.2
CCC(CC)C(C)(C)C,5.2
CC(C)CCC(C)(C)C,5.2
CC(C)[N+](=O)[O-],11.0
CCC(C)(C)C(C)(C)C,4.9
CC(C)C(C)C(C)(C)C,5.3
Cc1ccccc1[N+](=O)[O-],7.6
C=O,73.0
BrCBr,27.2
C#CCO,50.3
C=CCN,22.0
C#CCCC,22.3
C=CCC=C,13.1
CCCCC#N,9.6
COC(C)C,14.3
C=C(C)C,8.8
CCCCCC=O,8.1
O=C1CCCC1,10.4
CCC1CCCC1,6.7
Oc1ccccc1,8.6
CCCCC(C)O,8.3
CCC(CC)CO,8.3
C=CCC(C)C,9.4
C=CC(=O)OC,25.0
CCCC(C)CCC,5.8
C=C(Cl)CCl,7.8
C=CCCCCCCC,6.4
c1cc[nH]c1,12.0
CC(C)C(C)O,9.9
CC(O)C(C)O,13.7
NCc1ccccc1,7.8
CCCCCOCCCCC,6.0
CC(C)CC(C)C,6.5
CCCC1CCCCC1,5.9
Cc1ccccc1Cl,6.7
CCOC(=O)OCC,12.4
CCOCCOCCOCC,10.1
CCCCCCCCCCC,4.8
CCCCCC(C)CC,5.4
CCCCOC(=O)CC,6.8
CC1CCC(C)CC1,6.5
Cc1cccc(O)c1,7.6
CCCCCCCCCCCC,4.7
C=CC(=O)OCCCC,9.9
CCCCCCCCCCCCO,5.1
CC(=O)CC(C)=O,11.6
C=Cc1ccc(C)cc1,6.1
Brc1cccc(Br)c1,9.8
C=Cc1cccc(C)c1,11.0
CC(=O)c1ccccc1,6.7
CC1OC(C)OC(C)O1,16.2
CC(=O)OC(C)(C)C,7.3
CCOC(=O)c1ccccc1,6.1
CCc1cccc2ccccc12,5.2
O=C=S,29.0
C#CCC,32.9
C=COCC,28.0
CC(N)CN,16.9
CC(C)Cl,10.7
FC(F)Cl,26.9
CCC=CCC,9.0
ClCC1CO1,21.0
ClCCCCCl,10.1
Cn1cccc1,14.0
C=CCCC=C,10.9
CCC(C)CO,9.0
COCCOCCO,22.7
CN(C)CCO,11.5
CC(=O)Cl,15.6
C=CC(C)C,9.1
CC=C(C)CC,8.3
CC(C)(C)O,8.0
Cc1cccnc1,11.9
ClCCCCCCl,8.6
C=CC(C)CC,9.4
C=C=C(C)C,15.2
C=C(CC)CC,9.0
CC(C)(C)N,8.9
CCCC(=O)CC,8.0
COC(=O)CCl,12.8
CN1CCCC1=O,12.2
CCC(C)(C)OC,9.1
ClCc1ccccc1,7.1
CCCCCCCCCCN,5.5
C=C(C)C(C)C,9.1
CCCCC(CC)CC,5.4
CCCCCCC(C)O,6.5
CC(C)=C(C)C,8.1
OCCc1ccccc1,7.0
CCCCCCC(C)C,5.4
C=C(C)C(=O)O,8.7
CCCCCC(C)CCC,5.0
CC1(C)CCCCC1,6.1
CCCCC(C)CCCC,5.0
CCC(CC)(CC)CC,5.7
C=CCCCCCCCCCC,5.4
CC(C)CNCC(C)C,6.3
CCCCCC(C)(C)C,5.1
CCCCCCCC(=O)O,6.4
CCc1cc(C)ccc1C,4.9
O=CC(Cl)(Cl)Cl,14.7
CCc1ccc(C)cc1C,4.9
C1CCC2CCCCC2C1,4.9
c1ccc2ncccc2c1,7.8
C=CCCCCCCCCCCC,5.4
Cc1cc(C)nc(C)c1,8.9
CCCCN(CCCC)CCCC,4.9
CC(C)=CC(C)(C)C,6.4
CCCCCCCCCCCCCCCC,4.7
CC(C)(C)OC(C)(C)C,6.8
CCCCCCCCCCCCCCCCC,2.6
CC1=CC(=O)CC(C)(C)C1,3.8
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,5.3
CS,21.8
COC,18.0
NCCO,21.6
C#CC,39.9
CN=CO,18.6
OCCCO,16.6
CC(F)F,18.0
CC=CCC,10.6
OCCCCO,13.2
ClCOCCl,21.9
CC(O)CN,16.9
C=C=CCC,12.3
OCCOCCO,17.1
C=CC=CC,13.1
CCCCOCC,9.5
CCC1CO1,18.3
CC=CCCC,9.0
CC(Br)Br,20.5
CCC(C)OC,11.5
CCCCCCCN,7.2
COCC(C)C,15.3
CC1CCCCC1C,6.55
OCCOCCOCCO,9.2
CC(C)NC(C)C,7.1
CCCCC(CC)CO,9.7
C=CCCCCCCCCC,5.6
CCCCCCCC(C)C,5.0
C=C1CC(=O)O1,16.8
COCCOCCOCCOC,11.4
CCC(C)OC(C)CC,7.4
CCCCOC(=O)CCC,6.1
CCc1c(C)cccc1C,4.9
O=C(O)C(F)(F)F,28.0
C=C(C)c1ccccc1,6.1
C=CCCCCCCCCCCCC,5.4
CCCCCCCc1ccccc1,4.9
CC(C)CC(C)C(C)C,5.2
CC(=O)CC(C)(C)O,6.9
CCCCCCCCc1ccccc1,4.9
CCc1ccc(C)c(C)c1,4.9
CC(C)COC(=O)C(C)C,7.6
CCOC(=O)CCC(=O)OCC,6.5
COC(=O)c1ccccc1C(=O)OC,5.8
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,15.7
N=CO,29.3
CC=CC,9.7
C1CC1,10.4
C1COC1,37.0
C1CCC1,11.1
OCCCCCO,10.9
CCC#CCC,17.8
COCCC#N,16.8
CC=C=CC,12.1
C1CCSC1,9.0
CC=CCCCC,7.8
C#CC(C)C,22.8
O=C1CCO1,25.1
CC(O)C#N,17.9
C=C(C)C#N,15.5
CCC=C(C)C,9.4
O=C1CCCO1,12.6
CC(F)(F)Cl,17.9
CCCCCCCCCN,5.9
C=CCC(C)CC,8.1
NCCNCCNCCN,9.5
C=CC(=C)Cl,20.0
CCc1ccccc1N,6.7
O=C1CCCCCO1,9.6
C=CC(C)(C)C,9.0
CC(C)CC(C)O,5.5
OCCN(CCO)CCO,9.9
CCCOC(=O)CCC,6.8
CCCCCCCCCCCO,5.2
CCCCC(C=O)CC,7.2
C=CC1=CCCCC1,8.8
CCOC(=O)CC#N,10.6
CCCC(C)CC(C)C,5.2
O=C=Nc1ccccc1,8.4
NCCNCCNCCNCCN,4.6
OCCOCCOCCOCCO,11.0
CCOC(=O)C(C)C,7.8
