SMILES,TARGET
O=[N+]([O-])c1cccc(Cl)c1,8.8
C=CC#N,17.3
Cc1cccnc1,11.9
O=C(O)c1cccc(C(=O)O)c1,7.7
CC(CO)OC(C)CO.CC(O)COCC(C)O,11.5
CCCCCOC=O,8.1
CCOc1ccccc1,7.8
CCCCCCCN,7.2
CC(C)(O)C#N,12.0
CC(O)CN,16.9
CC(=O)O,16.0
CC(=O)OC(C)OC(C)=O,8.5
O=[N+]([O-])c1cccc(C(F)(F)F)c1,9.0
CCCCCCC(C)O,6.5
CCC(CC)(CC)C(C)C,4.7
CCCCCCOC(=O)CCCCC(=O)OCCCCCC,3.0
BrC(Br)Br,35.3
CCCC(CC)(CC)CC,4.7
CCc1cc(CC)c(CC)c(CC)c1CC,3.2
CCC(C)C(CC)C(C)C,4.7
OCCCl,15.9
CC(C#N)CCC#N,3.3
C=C=CCC,12.3
CC(C)C=O,10.6
CCCCCCCCCCCCc1ccccc1,2.9
CC(N)=O,20.5
C=CC(=O)OCC(C)C,8.0
CCCCCCCCCCCCCCCCCCCO,2.6
CCCCC(C)CCC,5.4
CCCOC(=O)CC,7.7
Cc1ccccc1,7.1
CCCCCC#N,8.2
CCCC(C)CC(C)(C)C,4.7
CCCCC(O)C(=O)O,8.7
Nc1cccc([N+](=O)[O-])c1,9.8
CCCC(C)(CC)CC,5.2
FC(F)F,35.3
N#Cc1ccccc1,8.0
CCC(CC)(CC)CC,5.7
[C-]#[O+],74.0
C=C(Cl)Cl,16.0
CC=Cc1ccccc1,6.3
CCc1c(C)cccc1C,4.9
CC(C)CC(C)C,6.5
CC(=O)c1ccccc1,6.7
COC(=O)c1ccccc1O,7.2
C=CC(=C)C,9.6
C=CC#CC,25.1
CCCC(=O)OCC,7.7
CCCC(C(C)C)C(C)C,4.7
CCCCCC(C)CC,5.4
CC(=O)N(C)C,13.8
CCCCCCC(C)(C)C,4.8
CC(Cl)(Cl)Cl,10.5
CCC(C)N,11.8
CCC(C(C)C)C(C)(C)C,4.7
O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,7.8
CCCCCC(C)C(C)C,4.7
CCCCCc1ccccc1,5.1
CCO,19.0
CNCCO,15.2
C=C(F)F,21.3
CC(C)(C)c1ccc(O)c(O)c1,5.8
CC(C)CNCC(C)C,6.3
CCCCCCCC,6.5
CSC,19.7
C=Cc1cccc(C=C)c1,6.9
N#CCCC#N,14.4
CCCCC(C)(CC)CC,4.7
CCC(C)(C)CC,7.0
CCCCN(CCCC)CCCC,4.9
CCC(=O)O,14.8
CC=CCCCCC,6.9
CCOC(=O)C(=O)OCC,8.4
N#CCC=CCC#N,11.6
COC(=O)c1ccccc1,6.7
CCCC(=O)O,13.4
CC(C)CN,11.6
CCC(C)(C)C(C)(C)CC,4.7
CCc1cc(CC)cc(CC)c1,4.4
NCCO,21.6
CC(C)Br,13.8
C=CC=O,31.0
CCCCCC(C)C,5.8
CCCCCC,7.5
O=C(Cl)c1cccc(Cl)c1,7.3
C=COCC,28.0
CC(C)c1ccc(C(C)C)cc1,4.9
