SMILES,TARGET
CCCC(=O)O,725.372222
CCCCl,793.15
CCCCCCCO,554.816667
COC(=O)c1ccccc1O,728.15
COC(=O)Cl,777.038889
CC=CC(=O)O,669.261111
C=CCCCCCCCCCC,528.15
NCCNCCNCCNCCN,573.15
CCCCOC(C)=O,694.261111
CC(O)CN,647.038889
CCCCCCCCCCCCCCCCCC(=O)OCCCC,628.15
CCCCCCCCCCCCCCCC(=O)O,649.816667
CCC(C)OC(C)=O,694.816667
CCCCCC(=O)O,653.15
CC(c1ccccc1)c1ccccc1,713.15
CC(=O)OCCC(C)C,633.15
COC(=O)CC(C)=O,553.15
COCOC,510.372222
CCCCC(C)CC,512.038889
CC(O)C(C)O,675.372222
CC[N+](=O)[O-],633.15
O=C(O)c1ccc(C(=O)O)cc1,769.261111
CCOCC,453.15
CCCC(C)(CC)CCC,484.816667
CCCl,792.038889
C#CCO,388.15
CCCCCCO,558.15
CCCCCC,507.038889
CCCCCCCCCCCCCCCCCCC(=O)O,649.816667
CCCC(C)CC,553.15
O=Cc1ccccc1,464.816667
CCCCOCCCC,467.594444
COCCO,558.15
Cc1cccc(C)c1,800.927778
CCCCCCCC,493.15
C=CC(C)C,638.15
CC(=O)CC(C)C,732.038889
CCCCCCC(=O)O,649.816667
CCOC(=O)CC(C)=O,568.15
CC(C)CCC(C)C,709.816667
Cc1ccc2ccccc2c1,802.038889
CCCCCCCCO,554.816667
CCOCCC(=O)OCC,650.372222
CCCCBr,538.15
Cc1cccc([N+](=O)[O-])c1,663.15
CBr,810.372222
Clc1ccccc1,910.927778
O=C(O)c1ccccc1C(=O)O,769.261111
NCCN,658.15
C#N,810.927778
CO,737.038889
C=CCCCC,525.927778
C=C(C)CCC,573.15
FC(F)=C(F)F,473.15
OCC(O)CO,665.927778
Clc1ccc(Cl)cc1,919.816667
OCCCl,698.15
CC(=O)Nc1ccccc1,803.15
CCCCCCOCCCCCC,458.15
CCc1ccc(C)cc1,748.15
CC(C)(O)C#N,960.927778
C=CC(=O)OCC,655.927778
CCC(C)N,650.927778
COS(=O)(=O)OC,460.927778
CCOS(=O)(=O)OCC,709.261111
CCOC(=O)CC,749.816667
c1ccc2c(c1)CCCC2,657.038889
NCCNCCNCCN,610.927778
c1ccc(-c2ccccc2)cc1,813.15
C=Cc1ccccc1,763.15
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,883.15
CCc1cccc2ccccc12,753.15
CCCCCCC(C)CC,487.038889
OCc1ccccc1,709.261111
COC=O,729.261111
Cc1cccc(O)c1,832.038889
C=C(C)C(C)C,633.15
CCO,695.927778
CCOCCOCCOCC,489.261111
CCOC(=O)c1ccccc1C(=O)OCC,730.372222
Cc1ccccc1C,737.038889
CCCCCCCCCCCCCCCCCCCC,474.816667
C=CCC(C)C,573.15
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,658.15
CCCCCCCCCCCCCCCCC,474.816667
CCCCCCl,533.15
Cc1cccc(C)c1O,872.038889
CC(=O)Cl,663.15
CCCCOC=O,595.372222
CN(C)C=O,718.15
CC(C)C(C)C(C)C,699.816667
CC(C)Cl,866.483333
C=CC(=O)OCCCC,565.927778
CCCC(=O)OC(=O)CCC,552.594444
CCC,723.15
C=CCCCCCCCCCCCCC,509.816667
CCCC(=O)OCC,735.927778
CCCCCCCCCC,480.927778
CCCCCCC(C)C,493.15
CC(=O)OCCOC(C)=O,755.372222
CCCCCOCCCCC,444.261111
S=C=S,363.15
Oc1ccccc1O,839.816667
Cc1cc(C)c(C)c(C)c1,700.372222
