SMILES,TARGET
CO,33.0
CCl,10.0
S=C=S,2.6332
CCCC#N,24.471
COC(C)=O,6.68
c1ccccc1,2.27805
CCOC(C)=O,6.0817
CCC,1.65945
CCO,24.8
CCCO,20.62
CC=O,21.1
ClCCl,8.93
ClCCCl,10.39
CC(C)=O,20.86
C1CCCC1,1.964685
CCCCCCO,13.075
CCC(C)=O,18.435
C=C(Cl)Cl,4.6
Cc1ccccc1C,2.561
Clc1ccccc1,5.65475
ClCC(Cl)Cl,7.1937
CC(Cl)(Cl)Cl,7.1415
Cc1ccc(C)cc1,2.26611
CCCl,9.45
CCCCN,4.955
CCCCO,17.77
CCC=O,18.4
CCCCCO,14.865
CC(C)O,19.655
CCCCCl,7.26
CCCC(C)=O,15.415
Brc1ccccc1,5.42
ClC=C(Cl)Cl,3.38
CC(C)c1ccccc1,2.37855
CSC,6.7
CCC#N,28.45
COC=O,8.69
C=CC#N,33.0
C=CCCC,2.013
CCCCCCN,4.01
CCCCCCC,1.91745
C=CCCCC,2.077
CC(=O)O,6.19
CCCCCCl,6.654
CC(C)CO,17.93
c1ccncc1,12.78
CCC(C)CC,1.89065
CCC(=O)O,3.32
C1CCCCC1,2.02072
BrC(Br)Br,4.4
C1=CCCCC1,2.2125
CC(Cl)CCl,8.37
C=CC(=C)C,2.099
CCC(C)(C)O,5.74
CCCCOC(C)=O,5.01
CCCc1ccccc1,2.37
C=Cc1ccccc1,2.4737
CC[N+](=O)[O-],28.9
ClC(Cl)=C(Cl)Cl,2.3163
NCCN,13.41
C=CC,1.885
CCBr,9.105
C1CO1,12.42
CCCCl,8.4934
CC(C)N,5.5462
CCOC=O,8.7
CCC(C)O,16.99
CCC(C)C,1.83625
CCCC(C)C,1.886
C=C(C)CC,2.18
C=CCCCCC,2.092
CN(C)C=O,37.48
CCCCCCCCC,1.9732
CC(C)(C)C,1.769
CCCCC(C)C,1.9221
Nc1ccccc1,7.037
CC1CCCCC1,2.024
CCOC(=O)CC,5.76
CCC(C)(C)C,1.869
CCCCCC(C)C,1.9519
COc1ccccc1,4.3155
CCc1ccccc1,2.4237
CC(C)C(C)C,1.9186
O=Cc1ccccc1,17.625
CC(C)C(=O)O,2.58
CCCC(=O)OCC,5.18
CC(C)OC(C)C,3.8875
CCCCc1ccccc1,2.3845
CCOCCOC(C)=O,7.567
CC(C)CCC(C)C,1.9561
CCCCCCOC(C)=O,4.42
CC(=O)OCC(C)C,5.334
CC(C)CC(C)(C)C,1.9415
CC(C)C(C)C(C)C,1.9738
Cc1ccc(C)c(C)c1,2.3775
Clc1ccc(Cl)c(Cl)c1,6.75
O=[N+]([O-])c1ccccc1,35.15
Cc1cccc([N+](=O)[O-])c1,25.075
CCS,6.667
O=CO,51.1
C1CN1,18.3
COCCO,17.15
C=CCO,19.7
CCCCBr,6.93
CCCCC=O,10.0
C1CCNC1,8.3
CCCCCCCO,11.64
CCC(C)Cl,8.564
CC1CCCC1,1.9853
CCCC(C)O,13.455
C1=CCCC1,2.083
Cc1ccncc1,12.2
CCCCCCC=O,9.07
CCCCCCCCN,3.555
CCCCNCCCC,2.765
C=CCCCCCC,2.0985
Fc1ccccc1,5.4025
CCC(=O)OC,6.1485
CCCC(C)CC,1.92
CCCCCCCCCC,1.98745
O=Cc1ccco1,42.1
CCCOC(C)=O,5.568
CCCCCC(C)=O,11.825
CCCC(C)(C)C,1.915
CCc1ccccc1C,2.595
CC(=O)C(C)C,10.355
Cc1cccc(N)c1,5.816
CCc1ccccc1CC,2.594
CCCN(CCC)CCC,2.335
Cc1cccc(C)c1C,2.656
CC(=O)OC(C)=O,21.625
CC(C)C(C)(C)C,1.93
CCc1cccc(CC)c1,2.369
CCc1ccc(CC)cc1,2.259
CC(C)Cc1ccccc1,2.318
CCC(C)c1ccccc1,2.357
Cc1cccc2ccccc12,2.7984
CC(C)CC(=O)CC(C)C,9.91
ICI,5.32
OCCO,41.005
CCSCC,5.7215
OCCCl,25.8
CCCCCN,4.27
CC(C)S,5.952
CS(C)=O,46.82
CCC(C)S,5.466
CC(C)Br,9.46
c1ccsc1,2.732
CCC(O)CC,13.375
CC(C)C#N,24.115
CCCCOC=O,6.1
C1COCCN1,7.42
CCC(CC)CC,1.93995
Cc1ccccn1,9.94
C1CCCCCC1,2.074735
OC1CCCCC1,15.7
OCc1ccco1,16.85
CNc1ccccc1,6.1
CCCCC(=O)O,2.6775
Cc1ccccc1N,6.138
CCCC(=O)OC,5.48
CCCCCCCCCO,8.915
C=CCCCCCCCC,2.136
CCCCC(C)CCC,1.967
CCCOC(=O)CC,5.211
CCCCCCCCCCO,7.98
CCC(C)C(C)C,1.94115
CC(=O)CC(C)C,13.015
CN(C)c1ccccc1,4.9601
Cc1ccc(Cl)cc1,6.035
CC(=O)C=C(C)C,15.25
CCc1cccc(C)c1,2.365
CCCCCCCCCCCCCC,2.03545
CC(=O)OCCC(C)C,4.72
CCI,7.755
C#CCO,20.8
C=CCCl,8.2
BrCCBr,4.76
COCCOC,7.25
CC(C)CS,4.961
C#CCCCC,2.621
C=CCC=C,2.054
CCCCC#N,20.04
C1CCNCC1,4.255
CCCCCCCS,4.1515
O=C1CCCC1,13.58
Oc1ccccc1,12.9
CCCCC(C)O,11.06
Ic1ccccc1,4.605
CCN(CC)CC,2.407
C=CC(=O)OC,6.805
c1cc[nH]c1,8.1575
CC(C)C(C)O,12.1
CC(C)(C)Cl,9.6185
NCc1ccccc1,5.19
CCCCCOCCCCC,2.798
CC(C)CC(C)C,1.91075
Cc1ccccc1Cl,4.721
N#Cc1ccccc1,25.48
CCOC(=O)OCC,2.82
CCCCCCCCCCC,2.00105
CCCCOC(=O)CC,4.8105
Cc1cccc(O)c1,12.12
C=CC(=O)OCCCC,5.25
Brc1cccc(Br)c1,4.74
C=C(C)CC(C)(C)C,2.0908
CC1OC(C)OC(C)O1,14.05
CC(=O)OC(C)(C)C,5.672
CCCCCCCCCCCCCCC,2.04215
c1ccc2c(c1)CCCC2,2.771
FC(F)(F)c1ccccc1,9.22
Clc1cccc2ccccc12,5.04
CCOC(=O)c1ccccc1,6.155
CCOC(=O)c1ccccc1C(=O)OCC,7.86
CC,1.42343
CCCI,7.015
CCCCS,5.073
CCCCCS,4.7595
CCCCCCS,4.39
CCCCCC#N,17.26
ClCCCCCl,9.51
C=CCCC=C,2.125
CCC(C)CO,15.63
CCC(C)Br,8.64
CC(=O)Cl,15.85
CCCC=CCCC,2.02675
Cc1cccnc1,11.1
ClCCCCCCl,9.92
O=C(Cl)Cl,4.3
CCCCCC(C)O,9.25
COC(=O)CCl,12.0
CCOC(=O)Cl,11.0
CN1CCCC1=O,32.55
C=CC(CC)CC,2.051
C=CC(=O)OCC,5.95
ClCc1ccccc1,6.852
CCCCCCC(C)O,7.965
CCCCCCC(C)C,1.967
Cc1cccc(C)n1,7.33
C=CCCCCCCCCCC,2.152
CCC(C)OC(C)=O,5.135
C=C(C)C(=O)OC,6.05
CCOC(=O)CC(C)C,4.71
c1ccc2ncccc2c1,9.08
C=CCCCCCCCCCCC,2.139
Cc1cc(C)nc(C)c1,7.807
CCCCN(CCCC)CCCC,2.3035
CC(C)=CC(C)(C)C,2.0908
CCCCCCCCCCCCCCCC,2.043
CC1=CCC2CC1C2(C)C,2.2741
CCCCCCCCCCCCCCCCC,2.0552
ClC(Cl)C(Cl)(Cl)Cl,3.716
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,5.22
CN=CO,187.95
OCCCO,34.6
OCCCCO,31.9
ClCOCCl,3.51
OCCOCCO,31.38
CC=CCCC,1.98
OCC(O)CO,46.125
CC(O)CCO,28.8
CCCCCCCN,3.81
Sc1ccccc1,4.321
COCCOCCOC,7.23
CCOCCOCCO,13.4
OCCOCCOCCO,23.345
CCCCC(CC)CO,7.58
C=C(C)C(=C)C,2.102
COCCOCCOCCOC,7.62
O=C(O)C(Cl)Cl,8.515
CCCCOC(=O)CCC,4.39
O=C(O)C(F)(F)F,8.34
CCCCCCCc1ccccc1,2.26
CCOC(=O)CCC(=O)OCC,6.098
COC(=O)c1ccccc1C(=O)OC,8.66
CC=CC,1.96
OCCCCCO,25.75
COCCC#N,36.0
CC=CC=CC,2.207
CCCC(C)CO,12.93
O=C1CCCO1,39.0
NNc1ccccc1,7.15
O=C1CCCCCO1,39.43
CCCOC(=O)CCC,4.3
CCCC(C)CC(C)C,1.89
OCCOCCOCCOCCO,20.07
CCCCCCc1ccccc1,2.3
CC(O)CC(C)(C)O,25.43
COC(=O)c1ccccc1O,8.4
CCOC(=O)C(=O)OCC,8.467
