SMILES,TARGET
CCCC[n+]1cc([O-])on1,52.8
CCCCCCCC/C=C\CCCCCCCCO,3.85
COC(=O)c1ccccc1OC,7.7
CCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCC,2.102
CCCCCC(O)CCCC,3.24
COc1c(C)cccc1C,3.78
C=CCCCCCCCCCCC,2.139
CC(CCl)CBr,8.9
CC(=O)/C=C/C1=C(C)CCCC1(C)C,11.66
CCOCCOCCO,13.4
FC(F)(F)c1cccc(C(F)(F)F)c1,5.98
OCCOCCOCCOCCOCCO,18.2
ClSSCl,5.0
CCCCCN,4.27
Brc1ccccn1,23.18
CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC,3.043
CN(C)C(=O)CCl,49.4
CCOC(=O)CCCCCCCCC(=O)OCC,4.995
Cc1ccc(O)cc1,12.85
Cc1cccc(F)c1,5.41
CC(O)CC(=O)O,31.5
CCCCCCCCOC(C)=O,4.03
O=S=Nc1ccccc1,6.97
COc1cccc2ccccc12,4.02
CCOC(=O)c1ccco1,9.02
CC(C)ON=O,10.95
CCCCCCCCC(C)(C)CO,3.27
CCC=CCC=CCC=CCCCCCCCC(=O)OC,3.355
NCCCc1ccccc1,4.83
CCCCCC(=O)OCC,4.415
Fc1ccccc1I,8.22
C/C=C(/C)Br,5.38
C=CC(C)=CC,2.43
COC(=O)C1CCCCC1,4.87
CCCCOC(=O)C=Cc1ccccc1,5.13
CCCCBr,6.93
CC(C)(Cl)CCl,7.15
CCCCCCCCOC(=O)c1cccnc1,5.8
CCN1CCOC1=O,66.8
CCOS(=O)(=O)OCC,29.2
CCCCCOC(=O)c1ccncc1,7.0
CCCCCCCC/C=C\CCCCCCCC(=O)OC,3.211
CCCCCCCCCCCCCCCCCCBr,3.53
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.76
CCCCCC(=O)CC,10.5
Cc1ccccc1F,4.23
BrC(Br)Br,4.4
C/C(=C\C(C)C)CC(C)C,2.293
CCCCOC(=O)c1ccccc1,5.485
O=CCc1ccccc1,4.8
OCCCCCO,25.75
CCCCCCCCc1ccccc1,2.26
CCCCCCCCCCCCOC(=O)c1ccccc1,3.9
Fc1ccccc1Cl,6.1
CCOCc1ccccc1,3.9
CCCCCCCCCCOC(=O)C1CCCCC1,3.52
CCCCCOC(=O)c1ccccc1C(=O)OCCCCC,6.0
Cl,4.6
O=C=NP(=O)(N=C=O)Oc1ccccc1,8.82
CCCC=CCCC,2.02675
CCCOC(=O)Cl,11.2
CCCCCCCCCCOC(C)=O,3.75
O=S(=O)(c1ccc(S)cc1)C(F)(F)F,28.5
ClCC(Cl)Cl,7.1937
CCC(C)O[Si](OC(C)CC)(OC(C)CC)OC(C)CC,2.59
Cc1cccc(C(C)(C)C)c1,2.33
CCCC=C(C)C,2.962
Clc1ccccc1Cl,10.11
CCCCN1CCOC1=O,52.4
CCCCCCCCCCCCCCCCCCC,2.0706
CCCCOCCOCCO,10.93
CCCCCCCCC(=O)O,2.4815
CCC(C)c1ccccc1,2.357
ClC(Cl)(Cl)Br,2.4025
CC(C)(C)N1CCOC1=O,57.6
CCS(=O)(=O)C(C)C,55.0
N#Cc1ccccc1,25.48
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,5.62
CCCCCC=CCC=CCCCCCCCC(=O)OC,3.47
CCc1ccc(Cl)cc1,5.16
CC(C)=CCC(C)C,2.431
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,2.589
Brc1ccccc1,5.42
COCCOCCOC,7.23
CCCCCCCCCCCl,4.581
CCCCC(=O)N(C)C,26.4
CCCCCCCCCCOB(OCCCCCCCCCC)OCCCCCCCCCC,2.21
CCCCC(C)CCC,1.967
ICI,5.32
CNC(=O)CC(C)C,114.0
CCCCOCCOCCOCCOCCOCCCC,5.15
CCN(CC)C(=O)CCl,39.2
CCCCOCCCOC(O)CC,7.71
CN(C)C(C)(C)CO,12.36
CCCCC(I)CCC,5.42
O=C(Cl)Cl,4.3
C=CC(CC)CC,2.051
O=[N+]([O-])C(Br)(Br)Br,9.034
C=CC(=O)OCC,5.95
CCCCCCCCOC(=O)C=Cc1ccccc1,4.38
C/C=C\C=C/C,2.163
CC1CCC(C)O1,5.06
CC=O,21.1
CC(C)N1CCOC1=O,51.0
Fc1ccccc1F,13.38
CCCCC#N,20.04
CCCCCCCCOC(=O)c1ccco1,5.67
CCCCCOC(=O)Cc1ccccc1,4.48
CCCI,7.015
CCCCCCCBr,5.3175
CCCCCCCC(C)=O,9.14
C=C(C)[C@@H]1CC=C(C)CC1,2.3738
OCCOCCO,31.38
CCCCCCCCCC,1.98745
Nc1ccc(S(=O)(=O)C(F)(F)F)cc1,77.0
CC(C)(C)OCCO,8.865
C=CCCl,8.2
C=Cc1ccccc1,2.4737
C/C=C(C)/C=C/C=C(C)C,2.5574
CC[C@@H](Br)[C@@H](Br)CC,4.67
CCCCC(I)CC,6.39
CCCCC(=O)OC,4.992
CCCCCCCCC=CCCCCCCCC(=O)OCCCC,4.0
SCc1ccccc1,4.705
C[Si](C)(C)Oc1ccccc1,3.3953
ClCc1ccccc1,6.852
CCCC(C)(O)CC,3.248
CCCCCCCOC(=O)c1ccncc1,6.07
CC1=CCC23CC1C(C)(C)C2CCC3C,3.235
CCc1ccccc1Br,5.55
O=S(Cl)Cl,8.675
FS(F)(F)(F)(F)S(F)(F)(F)(F)F,2.0202
CCCC(=O)OC(=O)CCC,12.8
CC(C)OCCO,10.75
C=CCCC,2.013
ClC=C(Cl)Cl,3.38
CC(C)CCCC(C)CCC(C)C(=O)O,3.04
CCCS,5.72
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,2.476
C1=C\CCCCCC/1,2.306
CCCCP(=S)(CCCC)CCCC,30.8
CCCCCCCCCCCCCCCCCC(=O)OCC,3.106
Cc1ccccc1Br,4.7
FC(F)(Cl)C(Cl)Cl,4.01
OCC(O)C(O)C(O)CO,40.0
OCCOCCOCCOCCO,20.07
CCCCC(=O)NC,114.0
Fc1ccccc1Br,4.72
CCCOP(=O)(OCCC)OCCC,10.93
C[C@H]1CCCC[C@H]1O,9.375
C#COCCCC,6.62
CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,2.754
C=CCCCC=C,2.161
CCCCCOC(=O)c1ccccc1,5.07
C1CCCCCCC1,2.115765
Cc1ccccc1C,2.561
C[N+](=O)[O-],37.935
Cc1ccc(N=C=O)cc1N=C=O,8.4565
CCCCCl,7.26
CC1=CCC(C(C)C)=CC1,2.2738
Cc1cc(C)cc(C)c1,2.2795
CCSc1ccccc1,4.95
Cc1ccc(Cl)c([N+](=O)[O-])c1,28.07
CCCCCCC(C)[N+](=O)[O-],14.0
CO[Si](C)(C)OC,3.663
C1CCCC1,1.964685
CCCCCC(C)Cl,6.52
CCCCCC(Br)CC,6.08
C1CCOC1,7.78
COC(=O)CCCCl,9.51
CCCCCCN,4.01
CC/C=C\CC,2.069
O=C(c1ccccc1)c1ccccc1,12.62
c1ccc2c(c1)CCCC2,2.771
CCCCCCCCI,4.645
CCCCCCCCCCBr,4.44
N#CC1CCCC1,22.68
CC(C)OP(C)(=O)OC(C)C,7.72
O=C(Cc1ccccc1)OCc1ccccc1,4.54
CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,3.155
BrC(Br)C(Br)Br,6.7
CC(C)O[Si](C)(C)OC(C)C,3.05
CCCN,5.08
Oc1ccc(Cl)cc1,11.3
CCCOCCC,3.36
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,6.7
O=C(O)c1ccccc1.OCC(F)(F)C(F)(F)F,6.86
CCCCCO,14.865
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.15
COC=O,8.69
CO[Si](OC)(OC)OC,6.0
CCCCCP(=S)(CCCCC)CCCCC,23.3
CCCCCC(=O)OCC(COC(=O)CCCCC)OC(=O)CCCCC,4.476
CCCCC,1.83855
COC,5.01
BrCCCc1ccccc1,5.41
Cc1ccccc1N(C)C,3.4
Cc1c(Cl)cccc1Cl,3.36
C=CCNC(=O)N(C)C,36.12
ClCc1ccc(Cl)cc1Cl,6.29
CCOC(=O)/C=C/c1ccccc1,5.63
CCCN(CCC)CCC,2.335
CCCCC(CCC)[N+](=O)[O-],15.7
CCCCCCl,6.654
c1ccncc1,12.78
CC1CCCC1,1.9853
CCCCCCOCCOCCO,8.3
CC1CCCC(O)C1,12.3
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,2.5
CCC(O)c1ccccc1,6.68
O=C(OC(=O)C(Cl)Cl)C(Cl)Cl,15.8
CC/C=C(\CC)CCC,2.475
O=[N+]([O-])OCCCO[N+](=O)[O-],18.97
C=Cc1cc(Cl)ccc1Cl,2.58
Cc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.8
Br/C=C\Br,7.08
CCC(O)C(=O)O,37.7
NNc1ccccc1,7.15
CCCCCCCCCCCCCCC,2.04215
CCCCCCCCC(C)O,5.82
CCCCS,5.073
CCCCCCO[Si](C)(C)C,2.69
CO[N+](=O)[O-],23.9
Cc1ccc(N=S=O)cc1,8.75
C=C(C)C1CC=C(C)CC1,2.381
CCOC(=O)C1CCCCC1,4.64
CC(O)CCCO,26.74
CN(C)N=O,53.5
CCCCCOC(=O)c1ccccc1O,6.25
CCCCC/C(C=O)=C\c1ccccc1,11.0
CCCCCCCCS,3.949
CCC(=O)Oc1ccccc1,4.77
CCCC(=O)OC1CCCCC1,4.58
Oc1ccccc1Cl,7.12
CCOC(=O)CC(C)C,4.71
Cc1cccc(-c2cccc(C)c2)c1,2.519
CC(=O)OC1CCCCC1,5.08
CCCOC(C)=O,5.568
O=C(OCc1ccccc1)c1ccccc1O,4.12
[C-]#[N+]CCCC,12.29
C[C@H](Br)[C@@H](C)Br,6.245
O=COCc1ccccc1,6.34
CCCCSCCCC,4.29
CCCCNC(=O)Cc1ccccc1,11.66
CCCCCCCC(=O)OCc1ccco1,4.02
CCCCCCCCCCCCCC(=O)OC,3.352
CCc1ccccc1N,4.09
CCOC(=O)c1ccccc1N,4.14
CCCCCC(CC)[N+](=O)[O-],15.85
CCCCCC#CCCCCC,2.171
O=C(O)CCl,14.3
CCCCCCCCOC(=O)c1ccccc1,4.34
CC(C)CC(C)(C)CCOC(=O)c1ccccc1C(=O)OCCC(C)(C)CC(C)C,4.72
CC(=O)OCC(COC(C)=O)OC(C)=O,7.11
CCCCC(=O)O,2.6775
CC(C)(O)Cc1ccccc1,5.71
CCOC(=O)Cc1ccccc1,5.2125
O=C(Oc1ccc2ccccc2c1)c1ccccc1O,6.2
Ic1ccccc1,4.605
CCCCCC(=O)OC1CCCCC1,4.15
CCCCCCCC(CCCCCCC)CCCCCCC,2.1017
CCCCCCI,5.36
O=P(Cl)(Cl)c1ccccc1,26.0
CCCCCCC(C)(C)C(=O)O,2.8
CCCCC(C)CO,10.65
Cc1c(C)c(Cl)c(Cl)c(C)c1Cl,6.4
CCCCC(O)CC,6.71
CCC/C=C\CCC,2.053
C=CCCCCC=C,2.19
CCCCCI,5.795
CCCCCC(C#N)CC,15.1
CCC(Br)CBr,4.74
C[Si](C)(C)O[Si](C)(C)C,2.179
CCCl,9.45
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC,3.466
COC(=O)c1ccco1,11.01
CCC(Cl)CCl,7.74
CCOC(=O)CCC(=O)OCC,6.098
CCCCCC(=O)N(C)C,22.7
CCCCCCCC,1.9436
CCCCCCCOC(C)=O,4.2
ClCCOCCCl,21.2
C[C@@H]1CC[C@H](C)O1,5.03
C=CC(=C)Cl,4.914
CCCCCCC(O)CCC,3.42
C1CCCCC1,2.02072
CCCCCCCCCCOC(=O)C=Cc1ccccc1,4.05
CCCN(C=O)CCC,23.5
CCCCCCCOB(OCCCCCCC)OCCCCCCC,2.2
CCCC=O,13.45
OCCNCCO,25.75
C=CCCCCCCCCC,2.137
Cc1c(Cl)c(C)c(Cl)c(Cl)c1Cl,5.4
COCCO,17.15
CC1=CCC(=C(C)C)CC1,2.2918
ClCC(Cl)CCl,7.5
CCCCCCCCCC(=O)OCC,3.75
C=CCc1ccc(O)c(OC)c1,9.55
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,2.669
CCCCCCCCCCCCCCCCI,3.55
CCc1cccc(CC)c1,2.369
Cc1cccc(Cl)c1,5.6565
CCCCCCCCCCP(=O)(OCC)OCC,6.06
CCCCCC(CCCCC)CCCCC,2.054
CCCCCCCCCCCC(=O)OCC1CCCO1,4.88
CCCCCCCCCCCC,2.014
CCCCCC(=O)OCc1ccco1,4.54
