SMILES,TARGET
CO,1.7
CCl,1.87
CCCC#N,4.07
COC(C)=O,1.68
CCOC(C)=O,1.78
Cc1ccccc1,0.36
Clc1ccccc1Cl,2.5
Clc1cccc(Cl)c1,1.72
CCO,1.69
CC=O,2.69
ClCCCl,2.94
CC(C)=O,2.88
C1CCCC1,0.0
CCCCCCO,1.65
CC(Cl)Cl,2.06
CCC(C)=O,2.76
C=C(Cl)Cl,1.34
Cc1ccccc1C,0.62
Clc1ccccc1,1.69
Cc1ccc(C)cc1,0.0
CN,1.31
CCCC,0.0
CCCCN,1.39
CCC=O,2.52
CCCCC,0.0
CCCCCO,1.7
CC(C)O,1.66
CCCCCl,2.05
CCCCCC,0.0
Brc1ccccc1,1.7
ClC=C(Cl)Cl,0.77
Cc1cccc(C)c1,0.3
CC(C)c1ccccc1,0.39
CNC,1.03
CCC#N,4.02
COCOC,0.74
C=CC#N,3.87
CCCCCCN,1.59
CCCCCCC,0.0
CCCOC=O,1.91
C=CCCCC,0.34
CCCOCCC,1.21
CC(=O)O,1.74
CC(C)CO,1.64
c1ccncc1,2.19
CCC(C)CC,0.0
CCC(=O)O,1.75
C1CCCCC1,0.61
BrC(Br)Br,0.99
CCCC(=O)O,1.23
CCCCCCCCO,1.65
COC(C)(C)C,1.36
CCC(C)(C)O,1.7
CCCCOC(C)=O,1.84
CCCc1ccccc1,0.37
C=Cc1ccccc1,0.13
CC(=O)OC(C)C,1.75
ClC(Cl)=C(Cl)Cl,0.0
C=CC,0.37
CCBr,2.03
C=CCC,0.34
CC(C)N,1.5
CCC(C)O,1.66
CC(C)CN,1.27
CCC(C)C,0.13
CCCC(C)C,0.0
C=C(C)CC,0.51
CCCCCCCC,0.0
C=CCCCCC,0.34
CCCCCCCCC,0.0
Nc1ccccc1,1.53
CCOC(=O)CC,1.75
CCCCCC(C)C,0.0
CCCCC(C)=O,2.68
CCc1ccccc1,0.59
CC(C)C(C)C,0.0
O=Cc1ccccc1,2.8
CCCC(=O)OCC,1.76
CC(C)OC(C)C,1.13
CCCCC(C)(C)C,0.0
CCCC(C)(C)CC,0.0
CCCCCOC(C)=O,1.9
CCOCCOC(C)=O,2.25
CC(C)CCC(C)C,0.0
CC(C)CC(C)(C)C,0.0
CCC(C)(C)C(C)C,0.0
CCC(C)C(C)(C)C,0.0
Cc1ccc(C)c(C)c1,0.3
CCC[N+](=O)[O-],3.66
CC(C)(C)c1ccccc1,0.7
Clc1ccc(Cl)c(Cl)c1,1.26
O=[N+]([O-])c1ccccc1,4.22
Cc1cccc([N+](=O)[O-])c1,4.23
C#N,2.98
CCN,1.22
O=CO,1.42
COCCO,2.04
C=CCO,1.6
CC1CO1,2.01
C=CC=O,3.12
CCCOCC,1.16
CCC(C)N,1.28
CCCCC=O,2.57
C1CCNC1,1.58
CCCNCCC,1.07
C1CCOC1,1.63
ClCCCCl,2.08
CC1CCCC1,0.0
C1=CCCC1,0.2
CCCCOCCO,2.08
CCCCCCC=O,2.58
CCCCNCCCC,1.06
C=CCCCCCC,0.34
Fc1ccccc1,1.6
CCC(=O)OC,1.7
CCCC(C)CC,0.0
O=Cc1ccco1,3.6
O=C1CCCCC1,3.08
CCCCC(C)CC,0.0
CCCOC(C)=O,1.79
