SMILES,TARGET
COC=O,1.77
CCCCCCCC(=O)O,1.15
CCCC=O,2.72
ClC(Cl)C(Cl)(Cl)Cl,0.92
CCCOCC,1.16
CCCCCCCCCCCCCCCCO,1.67
CCCCOCCO,2.08
FC(F)(F)c1ccc(Cl)cc1,1.58
ClCC(Cl)Cl,1.25
C1=CCOC1,1.54
CCCN(CCC)CCC,0.74
C=Cc1ccc(C)cc1,0.38
N#CCC#N,3.72
OCCCl,1.78
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,0.2
C1CCCCCC1,0.0
CBr,1.81
CCCCCCl,1.94
CCCCCCCO,1.67
O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],2.48
CCc1ccc(C)cc1,0.0
CCOC(=O)c1ccccc1C(=O)OCC,2.9
O=C(O)c1ccccc1C(=O)O,2.6
BrCBr,1.43
CC(C)CC(C)C,0.0
C=C,0.0
C=C(C)C(=O)OCC,2.15
CCCC(=O)O,1.23
CCF,1.94
OCCc1ccccc1,1.65
Cc1ccc(C)cc1,0.0
CCCCCCO,1.65
Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,6.39
C#CC=C,0.4
FC(F)=C(F)Br,0.76
OCCCCCCO,2.5
Cc1ccccc1N,1.6
COC(C)=O,1.68
CCC(Cl)Cl,2.08
Oc1ccccc1O,2.6
CC(C)C(C)C,0.0
ClCCCCCCl,2.36
CCc1ccccc1CC,0.59
ClCCl,1.6
C1CCCCC1,0.61
CCC(C)N,1.28
CCBr,2.03
CC(=O)C(C)C,2.77
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,0.66
c1ccccc1,0.0
CCCCCCCCCCCC(=O)O,0.76
CCCCC(CC)CO,1.76
CCCCCC(=O)O,1.13
C[SiH](C)C,0.52
CC(Cl)Cl,2.06
C=C(C)C=O,2.68
CN1CCCC1=O,4.09
CCCNCCC,1.07
C=C(C)C,0.5
OCCCCCO,2.37
CCC1(C)CCCC1,0.0
CCCCCCCS,1.55
C=COCCCC,1.25
Fc1ccccc1,1.6
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,0.41
CC(=O)C=C(C)C,3.2
NCCO,0.78
ClC(Cl)Cl,1.01
CCCC(C)CC,0.0
CC(C)COC=O,1.89
CC(=O)OC(C)(C)C,1.91
CCCCCOC(C)=O,1.9
COc1ccccc1,1.36
O=C1OC(C(O)CO)C(O)=C1O,3.96
O=C(Cl)c1ccccc1,3.16
CC(C)(OO)c1ccccc1,1.79
C=CC(=O)O,1.46
CCOC=O,1.93
Cc1ccc(C=O)cc1,3.3
CC(=O)CC(C)=O,2.81
CCCI,2.04
CC(C)S,1.64
CCCCCCCCCCCCCC,0.0
CCc1cccc(C)c1,0.33
NCCN,1.9
C=CCCCCC,0.34
Nc1ccccc1Cl,1.77
CC1CCC(C)C1,0.0
FC(F)(F)c1ccccc1,2.86
CCCC(C)=O,2.72
CCCC(=O)OC,1.72
OCCOCCOCCO,5.58
FC(F)=C(F)Cl,0.4
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1.16
O=[N+]([O-])c1ccc(Cl)cc1,2.83
CCCCOB(OCCCC)OCCCC,0.78
CCOCCOC(C)=O,2.25
C=C(CC(=O)O)C(=O)O,2.25
Cc1ccccc1,0.36
CCCCCCC(C)C,0.0
CCN(CC)CC,0.66
O=C(O)C(F)(F)F,2.28
COC(=O)c1ccccc1C(=O)OC,2.8
CCCC#N,4.07
CCCCC(C)C,0.0
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.54
CCN,1.22
C=CBr,1.42
BrC(Br)C(Br)Br,1.3
O=C1CCC(=O)O1,3.83
CCI,1.91
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,1.68
CC(=O)CC(C)C,2.7
Cc1cccc(O)c1C,1.25
CC=CC(=O)O,2.13
CC(C)[N+](=O)[O-],3.73
Cc1ccc(N)cc1,1.31
OCCO,2.31
Clc1ccc(Cl)cc1,0.0
O=C1C=CC(=O)O1,3.93
CCCC[N+](=O)[O-],3.4
O=C(O)CCCCC(=O)O,2.32
FCCl,1.82
C=C(C)C(=O)OC,1.97
CC(C)Br,2.21
FC(F)(Br)Br,0.66
CC(=O)Cl,2.72
COC,1.3
Nc1ccc(Cl)cc1,2.99
OC1=NCCC1,3.1
O=C(O)C(=O)O,2.63
COCCO,2.04
COc1cc(C=O)ccc1O,2.87
CCOC(C)=O,1.78
CC1CCCC1,0.0
BrC(Br)Br,0.99
Cc1ccccc1C(=O)O,1.7
Nc1ccccc1,1.53
COCCOCCOC,1.97
CCCCOC(=O)CC,1.8
CCCCCCCCCCCCO,1.7
CC(C)(C)c1ccc(O)cc1,1.62
Oc1cccc(Cl)c1,2.17
CCCOC(=O)CC,1.79
C=CCCCCCC,0.34
CCC(C)C(C)(C)C,0.0
CCC(C)S,1.55
Cc1ccc(O)cc1,1.56
O=[N+]([O-])c1cccc(Cl)c1,3.73
CCCCCC(C)CC,0.0
Cc1ccsc1,0.82
CC(C)CCC(C)(C)C,0.0
CC[N+](=O)[O-],3.65
CCCCS,1.53
CCCCC(C)=O,2.68
Cc1ccccc1C,0.62
CCC(C)O,1.66
FC(F)(F)C(F)(F)Cl,0.52
C#CCC,0.81
C=C(C)Cl,1.66
CCC[N+](=O)[O-],3.66
OCC#CCO,2.63
CCCSCCC,1.56
Cc1ccc(Cl)cc1Cl,1.95
C1CCCC1,0.0
C=C1CC(=O)O1,3.54
COc1ccccc1O,2.46
Cc1ccc(C)c(O)c1,1.43
CCOC(=O)C(C)C,2.07
O=C1OCCO1,4.51
CC(=O)OCC(C)C,1.87
C=C(C)C#N,3.69
CC(=O)OCc1ccccc1,1.8
C1COCCN1,1.54
CN(C)C,0.61
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],3.15
CCOc1ccccc1,1.41
OC1CCCCC1,1.86
CCCCCCCCCCCCCCCC,0.0
CCCCCC(C)=O,2.61
OCCOCCO,5.49
C=CCCCC,0.34
CC(C)Cc1ccccc1,0.31
O=Cc1ccc(O)cc1,3.96
Nc1ccc([N+](=O)[O-])cc1,6.29
Cc1cccc([N+](=O)[O-])c1,4.23
ClCc1ccccc1,1.89
CCCCCCCCCCCCCCCCC,0.0
CCCS,1.55
FC(F)(F)F,0.0
CCCCCC,0.0
[C-]#[O+],0.11
CCCCOCC,1.22
O=C(Cl)c1cccc(C(=O)Cl)c1,5.16
C[N+](=O)[O-],3.46
CCCCC1CCCCC1,0.0
CCCCCS,1.58
C[Si](C)(C)C,0.0
CC(C)C(C)C(C)C,0.0
Nc1cccc(Cl)c1,2.94
COCCOCCOCCOC,2.24
C=C(F)F,1.38
CC(C)O,1.66
Oc1ccccc1Cl,1.33
Cc1ccc(C)c(C)c1,0.3
CCCOC(C)=O,1.79
N#CCCC#N,3.83
c1cocn1,1.5
CCCCCCCCO,1.65
CCC(C)Br,2.23
CCC(C)C,0.13
CCC(C)CC,0.0
CCCC(C)C,0.0
CCc1ccc(CC)cc1,0.0
C=CC=C,0.0
C=CF,1.43
CN(C)CCO,2.21
O=Cc1ccccc1,2.8
CC(C)C(C)C(C)(C)C,0.0
FC(F)F,1.65
CNc1ccccc1,1.68
CC=Cc1ccc(OC)cc1,1.5
CCCCCOC=O,1.9
C=CC#CC,0.66
C=COC=C,1.07
CCCCCCCCCC,0.0
CCCCN,1.39
C=C(Cl)CCl,1.74
C=C(C)C(=O)OCCCC,2.15
C#CCCCCC,0.87
Cc1cc(C)cc(C)c1,0.0
C,0.0
CCCCCC(C)C,0.0
Clc1ccccc1,1.69
CCCCCCCC,0.0
OCc1ccco1,1.92
Nc1ccccc1N,1.53
Cc1ccc([N+](=O)[O-])cc1,4.44
Cc1cc(C)nc(C)c1,2.0
Cc1cccc(C)c1C,0.56
C#CC,0.78
CCC(C)(C)C(C)C,0.0
C1CCC1,0.0
CN,1.31
CCCCl,2.05
ClC=CCl,0.95
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,2.17
O=C(O)CC(O)C(=O)O,3.12
