SMILES,TARGET
ClC(Cl)(Cl)Br,3.577
CC(C)C(C)C(C)C,4.081
CCOC(=O)c1ccccc1,4.765
CC(C)(C)CC(C)(C)c1ccc(O)cc1,5.601
Clc1sc(Cl)c(Cl)c1Cl,5.091
CCC(C)(C)O,3.359
CC(=O)Nc1ccccc1,4.345
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,5.299
Cc1ccc(C(C)C)cc1,4.557
CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,10.91
COC(=O)c1ccccc1C(=O)OC,5.166
FC(F)(F)c1ccc(Cl)cc1Cl,5.233
C=C(C)C(=O)OCCCC,5.125
NCCOCCO,3.737
OCCc1ccccc1,4.279
C=CCN,2.704
Oc1ccc(Cl)cc1,3.913
OCCCCCO,4.03
CC(=O)OC(C)=O,3.579
O=C(Cl)c1cccc(Cl)c1,5.002
c1ccc2c(c1)ccc1ccccc12,4.961
NCCNCCNCCN,4.861
CCc1ccccc1C,4.084
FC(F)(Br)C(F)(F)Br,3.779
FC(F)C(F)(F)F,3.282
Cc1cccc(C)n1,3.861
O=C(O)C(F)(F)F,3.294
CCC(C)OC(C)CC,4.373
C(=Cc1ccccc1)c1ccccc1,5.1855
CCCS(=O)(=O)CCC,4.706
CC(C)c1ccccc1,4.322
CC(C)C(=O)C(C)C,3.904
Cc1cccc(C)c1C,4.127
Cc1cccc([N+](=O)[O-])c1,4.468
c1ccc(N=NNc2ccccc2)cc1,6.005
CC(C)CCC(C)C,4.452
C=CC(CC)CC,3.95
CCCCCCCCCCC1CCCCC1,7.225
CCCCCCCCCc1ccccc1O,7.058
c1cc[nH]c1,2.567
CC1CCC(C)CC1,3.906
CC(C)COC(=O)C(C)C,4.768
C=C(C)c1ccccc1,4.147
OCCCO,3.169
CCc1cccc(C)c1C,4.517
C=CCOC(=O)C=CC(=O)OCC=C,6.266
CCOC(C)OCC,4.329
C=CC=CC,3.1495
CNC,2.271
CCc1ccc(CC)cc1,4.58
FC(F)(F)C(F)(F)F,3.419
O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,5.983
CCCCCCCCc1ccccc1,6.498
CN(C)c1ccccc1,4.076
