SMILES,TARGET
CCl,2.6612
CCCC#N,0.4799
c1ccccc1,2.4889
CCOC(C)=O,0.8848
Cc1ccccc1,2.5477
Clc1ccccc1Cl,2.1975
CCC,4.5798
CC=O,0.7278
ClCCCl,1.8157
CC(C)=O,0.5624
C1CCCC1,4.0183
CC(Cl)Cl,2.5119
CCC(C)=O,0.217
CCC(=O)CC,0.8234
Cc1ccccc1C,2.3669
ClCC(Cl)Cl,1.7105
CC(Cl)(Cl)Cl,3.0807
Cc1ccc(C)cc1,2.5339
CBr,2.5758
CCCC,4.7067
CCCCN,0.3948
CCCCC,4.847
CCCCCl,2.9673
CCCC=O,0.8173
CCCC(C)=O,0.6076
Brc1ccccc1,2.075
ClC=C(Cl)Cl,2.8079
C[N+](=O)[O-],1.2016
CSC,2.049
CCNCC,0.5952
COCOC,0.8997
COC=O,2.0258
C=CCCC,4.3462
CCCCCCC,5.1727
CCCOC=O,1.375
C=CCCCC,4.2149
CCCCCCl,3.4568
CCC(C)CC,4.8243
C1CCCCC1,4.0328
BrC(Br)Br,1.5126
ClC(Cl)Cl,2.3576
C1=CCCCC1,3.3973
CCCCCCCCO,0.1432
CC(Cl)CCl,2.193
C=CC(=C)C,3.67135
COC(C)(C)C,1.478
CCC(C)(C)O,0.9888
CCCCOC(C)=O,1.1552
CCCc1ccccc1,2.508
CC(=O)OC(C)C,1.1805
CC[N+](=O)[O-],0.3403
ClC(Cl)=C(Cl)Cl,3.1752
C=CC,4.0536
CCCS,2.4001
C1CO1,1.1215
C=CCC,4.1332
CC(C)N,0.6277
C=CC=C,3.5972
CCCC(C)C,4.9839
C=C(C)CC,4.2082
C=CCCCCC,4.3467
CCCCCCCCC,5.5336
CC(C)(C)C,5.0677
CC1CCCCC1,4.3714
CCCCCC(C)C,5.3627
CC(C)C(C)C,4.858
O=Cc1ccccc1,0.1414
CCCC(=O)OCC,1.3659
CC(C)OC(C)C,1.9901
CCCCC(C)(C)C,5.3086
CCCC(C)(C)CC,5.361
CCCCc1ccccc1,2.8608
CCCCCOC(C)=O,1.284
CC(C)CCC(C)C,5.3145
CC(=O)OCC(C)C,1.3779
CC(C)CC(C)(C)C,5.2835
CC(C)C(C)C(C)C,4.9925
Cc1ccc(C)c(C)c1,2.5764
CCC[N+](=O)[O-],0.674
Clc1ccc(Cl)c(Cl)c1,2.2173
O=[N+]([O-])c1ccccc1,0.0642
Cc1cccc([N+](=O)[O-])c1,0.6171
CCS,2.2062
C#N,0.694
CCN,0.1596
CCCBr,2.7063
CC1CO1,0.6047
C=CC=O,0.6587
CCCCC=O,1.2623
C1CCOC1,0.466
ClCCCCl,1.7383
CCCCCCCO,0.0212
CC1CCCC1,4.297
C1=CCCC1,3.5486
CCCCCCC=O,1.2881
CCCCCCCCN,1.6594
CCCCNCCCC,0.895
C=CCCCCCC,4.542
CCCCCCCBr,3.3986
Fc1ccccc1,2.5427
CCCC(C)CC,5.2316
CCCCC(C)CC,5.3148
CCCOC(C)=O,1.2114
CCC(C)(C)CC,5.0082
CCCCCC(C)=O,0.8655
ClCC(Cl)CCl,1.3185
CCCC(C)(C)C,5.2428
CCc1ccccc1C,2.3911
Oc1ccccc1Cl,0.3166
CCc1ccccc1CC,2.6359
CCCN(CCC)CCC,1.325
CCc1cccc(CC)c1,2.6111
CCc1ccc(CC)cc1,2.6448
CC(C)Cc1ccccc1,2.638
ClC(Cl)C(Cl)Cl,1.2892
CCC(C)c1ccccc1,2.61
Cc1cc(C)cc(C)c1,2.6544
Cc1cccc2ccccc12,1.3993
CCC(C(C)C)C(C)C,5.5872
Cc1ccc(C(C)C)cc1,2.6253
CC(C)(C)CC(C)(C)C,5.5172
CC(C)CC(=O)CC(C)C,0.8201
ICI,1.2779
CCSCC,2.0912
CC(C)C,4.8056
CCC(C)S,2.5662
c1ccsc1,2.2038
CC(C)C=O,0.9809
CCC(O)CC,0.0177
CC=C(C)C,4.195
CCC(CC)CC,5.158
C=C(C)C=O,1.0619
C1=CCCC=C1,2.9099
CCCCCCCCCO,0.2681
CCCCC(C)CCC,5.7468
CCC(C)C(C)C,4.9823
CCC(C)CC(C)C,5.3231
CC(=O)CC(C)C,0.8764
CCC(C)C(C)CC,5.3855
CC(C)C1CCCCC1,4.7649
CN(C)c1ccccc1,0.753
CC(C)CCCC(C)C,5.5156
Cc1ccc(Cl)cc1,2.385
CC(=O)C=C(C)C,0.4404
CCc1cccc(C)c1,2.5071
Cc1ccccc1C(C)C,2.6616
CCC(CC)C(C)(C)C,5.5649
CC(C)C(=O)C(C)C,1.2906
c1ccc2c(c1)CCC2,2.0853
COC(=O)c1ccccc1,0.2861
CCc1cc(C)cc(C)c1,2.6343
CC(C)[N+](=O)[O-],0.8226
CC(C)C(C)C(C)(C)C,5.5918
BrCBr,1.7132
C=CCCl,2.7104
BrCCBr,1.6405
CC(C)CS,2.5838
C#CCCCC,3.3452
C=CCC=C,3.8164
CCCCCC=O,1.1624
CCCCCCCS,3.218
Ic1ccccc1,1.8969
CCC(CC)CO,0.054
C=CCC(C)C,4.5408
C=C(C)CCC,4.1874
CCN(CC)CC,0.8102
CC(C)COC=O,1.2178
CCCC(C)CCC,5.3608
C=CCCCCCCC,4.6479
CCCC1CCCC1,4.696
CC(C)C(C)O,0.0018
NCc1ccccc1,0.2095
CCCCCOCCCCC,2.7253
CC(C)CC(C)C,5.2127
CCCC1CCCCC1,4.7562
CCOC(=O)OCC,0.6893
CCCCCCCCCCC,5.0286
CCCCCC(C)CC,5.5747
FC(Cl)(Cl)Cl,3.8298
CC1CCC(C)CC1,4.59805
CCCCCCCCCCCC,5.6591
C=CC(=O)OCCCC,1.503
CCCCCCCCCCCCO,0.4595
C=Cc1ccc(C)cc1,2.2485
C=Cc1cccc(C)c1,2.2659
C=C(C)CC(C)(C)C,4.6574
CC(=O)OC(C)(C)C,1.2787
CCCCCCCCCCCCCCC,4.6982
FC(F)(F)c1ccccc1,2.9639
Clc1cccc2ccccc12,1.0353
CCOC(=O)c1ccccc1,0.6087
Cc1cccc(C(C)C)c1,2.646
Cc1cc(C)c(C)c(C)c1,2.6575
