SMILES,TARGET
CCCC(CCC)CCC,5.659
CCC(=O)OC,1.0228
CCC(C)CCC(C)(C)C,5.6758
CC(C)=C(C)C,4.3318
CCC(CC)C(C)C(C)C,5.7631
C,4.5485
C=CCC=C,3.8164
CCC(C)(CC)C(C)C,5.6746
CC(C)CN,0.0912
CCCCCCCCC,5.5336
CCCCCCC=O,1.2881
CC=CC,4.11485
CC(C)COC(C)(C)C,2.9164
CCCCCCC(C)C,5.547
CCCCCC(C)CC,5.5747
CCCI,2.6992
CCCC(C)(C)C(C)C,5.6027
CCBr,2.6131
C=C,4.0613
CCCCCOC(C)=O,1.284
C[N+](=O)[O-],1.2016
CC(C)[N+](=O)[O-],0.8226
CC1(C)CCCCC1,4.4915
CC=CCCCC,4.5567
CCCCC(C)(CC)CC,5.7773
CCCCCCOC(C)=O,1.4361
FC(F)(Cl)C(F)(Cl)Cl,4.4263
CCCCOC(=O)CC,1.5861
CCCCSC,2.4957
CCCCC(CC)CCC,5.713
CC(=O)CC(C)C,0.8764
C=COC(C)=O,1.4414
CCCCCCCCOC=O,2.0323
CCCC(C)CC(C)(C)C,5.6622
CCCCCCCCCCCCCCCCC,3.4252
CC(Cl)(Cl)Cl,3.0807
C=C(C)CCC,4.1874
C=C(CC)CCCC,4.7667
CCCOCCC,2.0855
CCC(C)C(CC)C(C)C,5.7617
FC(F)(F)F,5.4709
CCCCCCCCCCCS,2.2034
CCCCCCCCCCCCC,5.5769
CCC(C)CC(C)C,5.3231
CCCCN,0.3948
C=CC(=O)OCC,1.1422
ClC(Cl)C(Cl)(Cl)Cl,2.035
C=CC,4.0536
CC(C)(C)OC(C)(C)C,2.262
CC(C)(C)C,5.0677
C=CC(C)CC,4.2894
O=C(Cl)Cl,2.8893
C=CCC(C)C,4.5408
CC(C)OC(C)C,1.9901
CCCC(CC)CC(C)C,5.6905
CC(C)C,4.8056
CC(Cl)Cl,2.5119
CCC(CC)(CC)C(C)C,5.8624
CCC=CCCC,4.53255
CCCOC=O,1.375
CCC(CC)C(C)C,5.3758
CCCC(C)C,4.9839
CC(C)Cl,2.9878
C#CC,2.7714
CCCCCCC(C)(C)C,5.7029
CCC(C)CC(C)(C)C,5.5002
