SMILES,TARGET
CC(=O)OC(C)C,4.4624
C=C(CC(=O)O)C(=O)O,4.8854
CC1(C)CCCC1,1.3528
CCCCCCCCCCCCCCCC(=O)O,0.8573
CCCCCC1CCCCC1,-1.2327
CCCCCCCCC1CCCCC1,-1.9962
CCCCCCCSC,0.8431
C=CCCCCCCCCCC,-1.7341
CCCCCCC(C)O,3.6021
Cc1ccc(C=O)cc1,3.3562
Nc1ccccc1Cl,3.5758
CC(C)COC(C)(C)C,2.699
C=C(C)C=O,4.8062
C=C(C)CCC,1.8921
CCC(CC)CCC(C)C,-1.1948
CC(=O)C=C(C)C,4.4472
CCCCCCCCSCCCC,-0.1269
CCCCCC=O,3.7516
CCCN(CCC)CCC,2.8738
CCCC(C)CCC(C)C,-1.165
CCCC(CC)C(C)C,-0.6466
CCCCCCCCCCCCCCCCCO,-2.0969
Nc1ccccc1[N+](=O)[O-],3.1004
CCC(=O)CC,4.5315
C=CCN,6.0
CC(=O)c1ccccc1,3.8352
CN(C)C,5.6729
CCC(C)C(C)C,0.7202
Cc1ccccc1N,4.1761
CCCc1ccccc1,1.9696
CCCCCCCCCCCSCC,-0.0539
Cc1ccc(C(=O)O)cc1,2.6021
C1=CCCCC1,2.3286
C=C(C)CCCC,1.1371
CC(C)I,3.1461
CC=O,6.0
CCCSCCC,2.0818
CCC(C)C(C)CC,-0.1285
C#CCCC,3.1962
C1CN1,6.0
Cc1ccc(O)cc1,4.2878
C=CC(=O)OC,4.699
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,1.8373
CCCCO,4.8727
CCCCCCCCCCCS,-0.4217
CC(C)(C)c1ccc(O)c(O)c1,-6.699
CC(C)CC(C)(C)C,0.3309
CC=C(C)CC,1.64155
Cc1ccccc1C(C)C,1.5061
Oc1cccc(O)c1O,5.5798
C=C(C)CC,2.2866
C=CCCCCCCCCCCCCC,-2.3371
CC(=O)C(=O)O,6.0
C=O,6.0
CSC(C)C,3.5239
CCCC(CCC)CCC,-1.1402
C#CCCCCCCCCC,-0.3441
ClC=CCl,3.6717
CCCCCCN,4.0792
C#CC(C)C,3.349
CCOC(=O)c1ccccc1C(=O)OCC,3.0
CCC(CC)CC(C)C,-0.539
CCCCCCCCCCCCCO,0.3324
CCCC#N,4.5045
CCC(C)N,6.0
C=CC(=O)OCC(CC)CCCC,2.0
CC(C)c1ccc(C(C)C)cc1,0.7435
CCC(C)CC(C)(C)CC,-1.095
CC,1.9053
CC(C)CC(C)O,4.1761
Cc1ccccc1C(=O)O,3.0737
C=CCBr,3.5823
CCCC(C)(C)CC(C)C,-0.9773
CCC1CCCCC1,0.4645
CCOP(=O)(OCC)OCC,5.699
CC(C)=CC(C)(C)C,0.8218
CCCI,3.0294
Fc1cccc(F)c1,2.0569
Clc1cccc(Cl)c1,2.0899
O=[N+]([O-])c1ccccc1Cl,2.6446
CCCCOC(=O)CCCC,2.2817
C=Cc1ccccc1,2.5073
CC(=O)CC(C)=O,5.0374
CCC(C)OC(C)=O,3.7924
C1CCCCCC1,1.4771
CCCCCCc1ccccc1,0.0077
CCCC=O,4.9228
CC(C)[N+](=O)[O-],4.2232
CCCCCC(CC)CC,-1.3613
CCCCC(C)C,0.4048
CCCCOCCOCCOCCCC,3.4771
CCSCC,3.4942
CC1CCC(C)CC1,0.6201
Cc1cccc(O)c1C,3.6598
CC(F)F,3.3979
CCCC(=O)OC,4.1761
C=C(Cl)Cl,3.5244
CCCC(C)C,1.1399
C=CCCC=C,2.309
CCCCCCCCCS,0.0189
CCCCCCCCOCCCCCCCC,0.1385
CCCCCCSCCCCCC,-0.1269
CCCCSCC,2.0458
CCC(C)C(CC)C(C)C,-1.2046
CCC(C(C)C)C(C)C,-0.6136
C=C=C(C)C,2.6277
