SMILES,TARGET
CC(C)C(C)(C)C(C)C,-0.7878
CCC(CC(C)C)C(C)C,-1.0553
CCC(O)CC,4.716
OCc1ccco1,6.0
CC(=O)N(C)C,6.0
c1ccsc1,3.4793
Nc1ccccc1Cl,3.5758
CC(=O)OCCC(C)C,3.301
CCC(C)(C)C(C)C,-0.0537
CCCC(C)(C)CC,0.0167
CCCOC(C)=O,4.178
Cc1ccc2ccccc2c1,1.4048
C=C(C)CCC,1.8921
c1ccc(-c2ccccc2)cc1,0.8451
CCCC(CCC)C(C)C,-1.1749
CC(C)(C)C(C)(C)C,0.1543
CCOCCOCCOCC,6.0
CCCC(C)CC(C)C,-0.5157
CCC(CC)C(C)(C)CC,-1.2736
Clc1ccccc1Cl,1.9653
Cc1ccc(O)cc1C,3.678
CCC(C)C(C)CC(C)C,-1.1153
C=CCN,6.0
CCOC(=O)c1ccccc1C(=O)OCC,3.0
CC(C)CCC(C)(C)C,-0.2903
COCCOCCO,6.0
Nc1ccc([N+](=O)[O-])cc1,2.7782
c1ccc(Nc2ccccc2)cc1,1.7243
CCCC1CCCC1,0.3096
CCCC(C)O,4.6532
CCOCCOC(C)=O,5.3617
Cc1ccc(C)c(C)c1C,0.8656
CCc1c(C)cccc1C,1.219
CC=CC(=O)O,6.0
CCCC(C)C(C)CC,-0.713
CC(C)(C)O,6.0
NCc1ccccc1,3.4969
CCc1cccc(C)c1,1.9186
Cc1ccccc1N,4.1761
COC(=O)c1ccccc1C(=O)OC,3.6327
O=C(O)CCCCCCCCC(=O)O,3.0
CC=CC,2.3647
CC(N)=O,5.8482
CCc1ccc(CC)c(CC)c1CC,-0.0487
C1CCOC1,6.0
CC(C)c1ccc(C(C)C)cc1,0.7435
NCCNCCNCCNCCN,6.0
OCCN(CCO)CCO,6.0
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,0.5092
Cc1ccc(C(C)C)cc1,1.5318
CCC(C)(C)O,4.0414
Nc1ccc(Nc2ccccc2)cc1,2.716
CC(C)SC(C)C,2.6649
Brc1cccc(Br)c1,1.9928
CCCC(CC)C(C)(C)C,-1.1053
CC(=O)OCC(C)C,3.7993
CCOC(C)OCC,4.6435
c1ccc2cc3ccccc3cc2c1,-1.2719
CCC(C)CCC(C)C,-0.5954
CCC(C)C(C)C,0.7202
CCC(C)C(CC)CC,-0.7079
CC(=O)C(C)C,4.7839
Cc1cccnc1,6.0
CCCC(C)(C)CCC,-0.5749
CCCC(C)C(C)C(C)C,-1.1997
C#CCO,6.0
Cc1ccc(Cl)cc1,2.0265
CC(Br)CBr,3.1547
CCC(C)CCCC(C)C,-1.2116
CC=CC=CC,1.8246
C=C,2.1173
CC(=O)O,6.0
CCC(C)C(C)(C)C,0.0698
C=C(C)CC,2.2866
FC(Cl)Cl,4.2742
CCCC(C)C,1.1399
CC(C)C(C)O,4.7482
CCc1cc(CC)c(CC)c(CC)c1,-0.0407
N#CCC#N,5.0704
CC#CCCC,2.3419
CC#N,6.0
CCC(C)CC(C)C,0.0803
S=C=S,3.2739
C=CC(=O)OCC(CC)CCCC,2.0
C=CCC(C)C,1.6814
CC(C)[N+](=O)[O-],4.2232
FC(F)(F)c1ccccc1,2.6532
ICI,3.0934
CC(C)C1=CC2=CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,1.6848
OCCOCCO,6.0
CCOC(=O)OCC,4.2742
O=[N+]([O-])c1cccc(Cl)c1,2.436
CCCC(C)CC(C)(C)C,-0.909
CCc1ccccc1CC,1.374
COP(=O)(OC)OC,5.699
CCCCC1CCCCC1,-0.7501
CCCC(C)(C)CC(C)C,-0.9773
Nc1ccccc1[N+](=O)[O-],3.1004
CCCCC1CCCC1,-0.3658
Cc1cc(C)c(C)cc1C,0.5416
C[N+](=O)[O-],4.0
CCC(C)C(C)(CC)CC,-1.2539
c1ccc2cnccc2c1,3.6552
CC=CC=O,5.1761
CC(=O)CC(C)C,4.2788
CC(=CC(=O)O)C(=O)O,5.8938
CC(C)CCC(C)C(C)C,-1.1028
Cc1ccccc1,2.7343
CCCC(C)CO,3.9085
N=CO,6.0
CC(C)(C)c1ccccc1,1.7271
CCC(C)(C)S,2.8256
C1=CC=CCC=C1,2.7925
CCC(C)CCC(C)CC,-1.2219
C=C(C)C(=C)C,2.1248
