inchikey,smiles,value,tier,scaffold
OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,337.85,tier1+confirmed,EMPTY_SCAFFOLD
NEHMKBQYUWJMIP-UHFFFAOYSA-N,CCl,248.93,tier1+confirmed,EMPTY_SCAFFOLD
QGJOPFRUJISHPQ-UHFFFAOYSA-N,S=C=S,319.37,tier1+confirmed,EMPTY_SCAFFOLD
RTZKZFJDLAIYFH-UHFFFAOYSA-N,CCOCC,307.58,tier1+confirmed,EMPTY_SCAFFOLD
KVNRLNFWIYMESJ-UHFFFAOYSA-N,CCCC#N,390.75,tier1+confirmed,EMPTY_SCAFFOLD
KXKVLQRXCPHEJC-UHFFFAOYSA-N,COC(C)=O,330.09,tier1+confirmed,EMPTY_SCAFFOLD
UHOVQNZJYSORNB-UHFFFAOYSA-N,c1ccccc1,353.24,tier1+confirmed,c1ccccc1
XEKOWRVHYACXOJ-UHFFFAOYSA-N,CCOC(C)=O,350.21,tier1+confirmed,EMPTY_SCAFFOLD
YXFVVABEGXRONW-UHFFFAOYSA-N,Cc1ccccc1,383.78,tier1+confirmed,c1ccccc1
RFFLAFLAYFXFSW-UHFFFAOYSA-N,Clc1ccccc1Cl,453.57,tier1+confirmed,c1ccccc1
ZPQOPVIELGIULI-UHFFFAOYSA-N,Clc1cccc(Cl)c1,446.23,tier1+confirmed,c1ccccc1
ATUOYWHBWRKTHZ-UHFFFAOYSA-N,CCC,231.11,tier1+confirmed,EMPTY_SCAFFOLD
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CCO,351.44,tier1+confirmed,EMPTY_SCAFFOLD
BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,370.35,tier1+confirmed,EMPTY_SCAFFOLD
IKHGUXGNUITLKF-UHFFFAOYSA-N,CC=O,293.55,tier1+confirmed,EMPTY_SCAFFOLD
YMWUJEATGCHHMB-UHFFFAOYSA-N,ClCCl,312.9,tier1+confirmed,EMPTY_SCAFFOLD
WSLDOOZREJYCGB-UHFFFAOYSA-N,ClCCCl,356.59,tier1+confirmed,EMPTY_SCAFFOLD
CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(C)=O,329.44,tier1+confirmed,EMPTY_SCAFFOLD
RGSFGYAAUTVSQA-UHFFFAOYSA-N,C1CCCC1,322.4,tier1+confirmed,C1CCCC1
ZSIAUFGUXNUGDI-UHFFFAOYSA-N,CCCCCCO,430.15,tier1+confirmed,EMPTY_SCAFFOLD
SCYULBFZEHDVBN-UHFFFAOYSA-N,CC(Cl)Cl,330.45,tier1+confirmed,EMPTY_SCAFFOLD
ZWEHNKRNPOVVGH-UHFFFAOYSA-N,CCC(C)=O,352.79,tier1+confirmed,EMPTY_SCAFFOLD
FDPIMTJIUBPUKL-UHFFFAOYSA-N,CCC(=O)CC,375.14,tier1+confirmed,EMPTY_SCAFFOLD
LGXVIGDEPROXKC-UHFFFAOYSA-N,C=C(Cl)Cl,304.71,tier1+confirmed,EMPTY_SCAFFOLD
CTQNGGLPUBDAKN-UHFFFAOYSA-N,Cc1ccccc1C,417.58,tier1+confirmed,c1ccccc1
MVPPADPHJFYWMZ-UHFFFAOYSA-N,Clc1ccccc1,404.87,tier1+confirmed,c1ccccc1
UBOXGVDOUJQMTN-UHFFFAOYSA-N,ClCC(Cl)Cl,387.0,tier1+confirmed,EMPTY_SCAFFOLD
UOCLXMDMGBRAIB-UHFFFAOYSA-N,CC(Cl)(Cl)Cl,347.23,tier1+confirmed,EMPTY_SCAFFOLD
URLKBWYHVLBVBO-UHFFFAOYSA-N,Cc1ccc(C)cc1,411.51,tier1+confirmed,c1ccccc1
BAVYZALUXZFZLV-UHFFFAOYSA-N,CN,266.82,tier1+confirmed,EMPTY_SCAFFOLD
GZUXJHMPEANEGY-UHFFFAOYSA-N,CBr,276.71,tier1+confirmed,EMPTY_SCAFFOLD
