smiles,mean,std,n
B12B3B4B1C234,51.88,0.0,1
BrB(Br)Br,-238.49,0.0,1
BrC(=O)c1ccccc1,-107.3,0.0,1
BrC(Br)(Br)C=O,-88.7,0.0,1
BrC(Br)=O,-145.0,0.0,1
BrC(Br)Br,9.4,0.0,1
BrC1CCCCC1Br,-160.5,0.0,1
BrCC=C,16.5,4.9497,2
BrCCCCBr,-140.1,0.0,1
BrCCCCCBr,-163.0,0.0,1
BrCc1ccccc1,22.6667,7.0238,3
Br[Si](Br)(Br)Br,-457.31,0.0,1
Brc1cccc2ccccc12,111.6,0.0,1
Brc1ccccc1,59.75,1.6263,2
C#CC1(CC1)C#C,500.9,0.0,1
C#CC1CC1,261.1,0.0,1
C#CCNCC#C,429.7,0.0,1
C(NCc1ccccc1)c2ccccc2,97.1,0.0,1
C(S\C=C\SCc1ccccc1)c2ccccc2,136.6,0.0,1
C(c1ccccc1)c2ccccc2,94.37,4.7285,3
C/1=C/C=C\C=C/C=C1,254.5,0.0,1
C/C(O)=C/C(C)=O,-426.3,0.0,1
C1C2C1C3C4C(C5CC5C46CC6)C2C37CC7,316.5,0.0,1
C1C2C3CC4C1C4C23,138.2,0.0,1
C1C2CC2C3CC13,112.7,0.0,1
C1C2CC3C4CC(C5CC45)C3C12,127.5,0.0,1
C1C=CC2CC12,120.0,0.0,1
C1C=CC2CC1C=C2,120.0,0.0,1
C1C=CCC=C1,67.9,2.5456,2
C1C=CC[C@@H]2C=CC[C@H]12,64.3,0.0,1
C1C=Cc2ccccc12,110.3,0.4243,2
C1CC1(c2ccccc2)c3ccccc3,185.0,0.0,1
C1CC12C3(CC3)C24CC4,381.5,0.0,1
C1CC12CC23CC3,267.8,0.0,1
C1CC12CC23CC34CC4,387.8,0.0,1
C1CC12CC23CC34CC45CC5,488.6,0.0,1
C1CC1C#CC#CC2CC2,503.6,0.0,1
C1CC1C2CC2,96.0,0.0,1
C1CC1c2ccccc2,100.2,0.0,1
C1CC2C=CC12,261.1,0.0,1
C1CC2CC1C3C4CC(C5CC45)C23,25.8,0.0,1
C1CC2CC1C3CC4CC4C23,3.8,0.0,1
C1CC2CC1C=C2,29.7,0.0,1
C1CC2CC2C1,5.0,0.0,1
C1CC2CCC(C1)O2,-9.54,0.0,1
C1CC2CCC1O2,-223.9,0.0,1
C1CC2CCCN2C1,-48.3,0.0,1
C1CC2OC2C1,-130.8,0.0,1
C1CC=C2CCC2=C1,181.0,0.0,1
C1CC=CC1,4.56,0.4101,2
C1CC=CC=C1,71.41,0.0,1
C1CC=CCCC=C1,24.0,0.0,1
C1CC=CCN1,33.0,0.0,1
C1CC=CO1,-103.02,0.0,1
C1CC=CS1,52.9,0.0,1
C1CCC(=CC1)c2ccccc2,170.0,0.0,1
C1CCC(C1)C2CCCC2,-179.3,0.0,1
C1CCC(CC1)C2CCCCC2,-274.85,2.192,2
C1CCC(CC1)N2CCCCC2,-205.4,0.0,1
C1CCC(CC1)NC2CCCCC2,-226.8,0.0,1
C1CCC(CC1)c2ccccc2,-77.85,1.7678,2
C1CCC2(C1)CCCC2,-144.0,0.0,1
C1CCC2(CC1)CCCC2,-200.0,0.0,1
C1CCC2CC2C1,-31.5,6.364,2
C1CCC2CC2CC1,-60.0,0.0,1
