SMILES,TARGET
CC(=O)O,6.2
CC(=O)C,21
CC#N,37.5
CC(=O)CC(=O)C,23
C(CO)N,37.7
C1=CC=C(C=C1)N,6.8
COC1=CC=CC=C1,4.3
C1=CC=CC=C1,2.3
C1=CC=C(C=C1)C#N,26
C1=CC=C(C=C1)CO,13
CCCCO,17.5
CCC(C)O,17.3
CC(C)CO,17.9
CCC(=O)C,18.6
CC(C)(C)O,12.4
C(=S)=S,2.6
C(Cl)(Cl)(Cl)Cl,2.3
C1=CC=C(C=C1)Cl,5.7
C(Cl)(Cl)Cl,4.8
C1CCCCC1,2
C1CCC(CC1)O,15
C1CCC(=O)CC1,15
CC(Cl)Cl,10
C(CCl)Cl,10.4
CCNCC,3.8
C(COCCO)O,31.8
COCCOCCOC,7.23
COCCOC,7.3
CN(C)C=O,37
CS(=O)C,46.7
C1COCCO1,2
CCO,24
CCOCC,4.3
CCOC(=O)C,6.0
CCOC(=O)C1=CC=CC=C1,6.0
C(CO)O,37.7
C(C(CO)O)O,42.5
CCCCCCC,1.9
CCCCCCCO,12
CCCCCC,1.9
CCCCCCO,12.5
CO,33
CC(=O)OC,6.68
CC(C)(C)OC,2.6
C(Cl)Cl,9.0
CCCCCCCCO,10.3
CCCCC,1.84
CCCCCO,14
CCCC(C)O,13.7
CCC(CC)O,13.3
CCCC(=O)C,15.4
CCC(=O)CC,17.0
CCCO,22
CC(C)O,19
C1=CC=NC=C1,13
C1CCOC1,7.5
CC1=CC=CC=C1,2.4
O,80.1
CC1=CC=C(C=C1)C,2.27
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,2.139
C1COCCOCCOCCO1,11.451470588235300
CCCC(CBr)OCC,6.45
Cl,4.6
c1ccc2c(c1)oc1ccccc12,3.0
CCCCCCCCCCCCC,2.0213
CCC(C)C,1.843
CC=CC(=O)OCC,5.4
O=C1CCCO1,34.76180392156860
CCCCCOC=O,6.4
CCOc1ccc(N)cc1,7.43
CC(=O)N(C)C,35.90108232931730
CCCC(Cl)CCC,6.54
C[N+](=O)[O-],35.87
S=C=Nc1ccccc1,10.4
FC(F)(F)c1ccccc1,9.18
COc1cccc(Br)c1,11.527407407407400
CCOC(=O)C(C)O,12.583977777777800
O=Cc1ccoc1,41.9
CCCCC(=O)CC,12.9
Nc1cccc(Cl)c1,13.3
CCC(C)(C)O,5.82
CC(=O)OCC(C)C,5.29
CCCCCCC=O,9.07
CC(=O)OCCC(C)C,4.63
CCC(C)CCCCO,7.47
CC(CCO[N+](=O)[O-])O[N+](=O)[O-],18.9
O=C1OCC(F)O1,79.7
CCCBr,8.09
CCCOC(=O)Cl,11.0
CCCCCOCCCCC,2.77
[Cl][V]([Cl])([Cl])[Cl],3.05
OCc1ccco1,16.85
COC(=O)c1ccccc1O,9.41
OCC(O)C(O)C(O)CO,40.0
ClC(Cl)c1ccccc1,6.9
CC(Cl)CCl,8.93
N#CCCCCCC#N,31.482105263157900
CC(C)c1ccccc1,2.38
Cc1ccc(O)c(C)c1,5.06
CCCCCI,5.81
Cc1c(C)c(C)c(C)c(C)c1C,2.172
NCCNCCO,16.583333333333300
CC(C)I,8.19
ClC(Cl)C(Cl)Cl,8.2
CC=C(C)CCCC,2.4
CCCCCCCCCCCCCCCCO,3.69
CCCCC(Br)CC,6.93
CC(C)CC#N,18.0
CCC(Br)C(C)Br,5.965
CN(C)S(=O)(=O)C(F)(F)F,23.0
CCN(CC)CC,2.42
CCCCCCC(CO)CCCC,3.28
CC(O)CO,32.0
C1=CCCCC1,2.22
Oc1ccc2c(c1)CCCC2,11.7
O=C(O)C(Cl)(Cl)Cl,4.34
FC(F)C(F)C(F)(F)F,7.276294444444440
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8.858
CC(C)CCOCCC(C)C,2.82
C=C(C)C(=O)OC,6.32
Cc1cc(C)cc(O)c1,9.06
CC(C)(N)CO,29.19215384615390
COCCO,16.0
