SMILES,TARGET
O=[N+]([O-])C(F)(COCC1CO1)[N+](=O)[O-],-511.3
CC(C(=O)O)C(C)C(=O)O,-982.537
CC(C)CC(N)C(=O)O,-640.589
CCCCCCCCCCCCC(CCCCCCCCCCCC)c1ccccc1,-687.04
CCCCCCCCCCCCCCCCCC(CC)c1ccccc1,-548.84
c1cc2ccc1CCCCCCCCc1ccc(cc1)C2,-81.88
O=C(O)Cc1cccc(Cl)c1,-445.356134487
CCOc1cccc(NC(N)=O)c1,-429.489
COc1ccc(CC#N)cc1OC,-206.096300216
O=C(O)Cc1ccc(Cl)cc1,-442.797254487
CC(C)C(C)C=CC(C)C1CCC2C3=CC=C4CC(O)CCC4(C)C3CCC21C,-789.78
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O,-2225.213
O=[N+]([O-])C(c1ccccc1)[N+](=O)[O-],-33.9
C(=Cc1ccccc1)c1ccccc1,140.4731
CCCCCCCCC=CCCCCCCCCCCCC(=O)O,-960.69
c1ccc(N=Nc2ccccc2)cc1,320.541
c1ccc(CN(Cc2ccccc2)Cc2ccccc2)cc1,140.655
c1ccc(CSc2ccccc2)cc1,99.5545688906
NC(CCC(=O)O)C(=O)O,-1005.262
CC(N)C(=O)O,-561.225
CC(O)C(N)C(=O)O,-807.185
OCC(O)C(O)CO,-910.353
CC1=CCC(C(C)(C)O)CC1,-369.150494768
NC(CO)C(=O)O,-732.724739957
CSCCC(N)C(=O)O,-510.277860476
O=C(O)C(O)c1ccccc1,-580.61
CC(O)C(=O)O,-699.6500838
O=C1C=CC(=O)O1,-469.527
OCC1OC(O)C(O)C(O)C1O,-1274.434
OCC1OC(O)C(O)C(O)C1OC1OC(O)C(O)C(O)C1CO,-2484.0989
Cc1cc(C(=O)O)cc(C)c1C,-500.9149
COC1OC(CO)C(O)C(O)C1O,-1237.47
N#CC(=O)c1ccccc1,39.1356729567
OC1CCCc2ccccc21,-241.423
O=CC=Cc1ccco1,-182.02
O=CC=Cc1ccc([N+](=O)[O-])o1,-162.525
ON=C(C(=NO)c1ccccc1)c1ccccc1,53.111
OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,-2236.7198
O=C(Oc1ccc2ccccc2c1)c1ccccc1,-184.764
O=[N+]([O-])C=Cc1ccccc1,30.495
O=C1OC(CO)C(O)C(O)C1O,-1256.38
O=c1cc[nH]cc1,-148.880039143
CC1CCNC(=O)CC1,-362.776
c1cc(-c2ccncc2)ccn1,186.751144627
