SMILES,TARGET
[C-]#[N+]C(C)(C)C,1.377
[C-]#[N+]C(C)(C)CC(C)(C)C,1.421
[C-]#[N+]C1CCCC1,1.441
[C-]#[N+]C1CCCCC1,1.451
[C-]#[N+]CC(=O)OC,1.417
[C-]#[N+]CC(=O)OCC,1.418
[C-]#[N+]Cc1ccccc1,1.521
[N-]=[N+]=NCCCCC(=O)O,1.466
[N-]=[N+]=NCCCN,1.465
[N-]=[N+]=NCCOCCOCCOCC(=O)O,1.471
[N-]=[N+]=NCCOCCOCCOCCN,1.469
[N-]=[N+]=NCCOCCOCCOCCO,1.466
[N-]=[N+]=NCCOCCOCCOCCOCCO,1.467
[N-]=[N+]=NP(=O)(Oc1ccccc1)Oc1ccccc1,1.552
Br[C@@H]1CCCC[C@H]1Br,1.553
Br/C=C/Br,1.547
Br/C=C/c1ccccc1,1.609
Br/C=C\Br,1.543
Br/C=C\c1ccccc1,1.599
BrC(Br)Br,1.597
BrC(Br)C(Br)Br,1.637
BrC(Br)c1ccccc1,1.615
BrC=C(Br)Br,1.602
BrC=CBr,1.542
BrC1C=CCCC1,1.53
Brc1cc(Br)c2c(c1)CCO2,1.634
BrC1CC1,1.459
Brc1ccc(Br)[se]1,1.671
Brc1ccc(Br)o1,1.553
Brc1ccc(Br)s1,1.629
Brc1ccc(C2CCCCC2)cc1,1.559
Brc1ccc(Oc2ccccc2)cc1,1.609
BrC1CCC1,1.48
Brc1ccc2c(c1)OCCO2,1.589
Brc1ccc2c(c1)OCO2,1.584
Brc1ccc2ncccc2c1,1.663
Brc1cccc(-c2ccccc2)c1,1.64
Brc1cccc(-c2ccccn2)c1,1.65
Brc1cccc(-c2cccnc2)c1,1.644
Brc1cccc(Br)c1,1.607
Brc1cccc(C2OCCO2)c1,1.563
Brc1cccc(I)c1,1.661
BrC1CCCC1,1.488
Brc1cccc2[nH]ccc12,1.655
Brc1cccc2ccccc12,1.658
Brc1cccc2ccsc12,1.662
BrC1CCCCC1,1.496
Brc1ccccc1,1.56
Brc1ccccc1-c1ccccc1,1.629
Brc1ccccc1Br,1.612
Brc1ccccc1I,1.663
BrC1CCCCCC1,1.505
Brc1ccccn1,1.571
Brc1cccnc1,1.57
Brc1ccco1,1.498
Brc1cccs1,1.587
Brc1ccncc1,1.569
Brc1ccoc1,1.497
Brc1ccsc1,1.593
Brc1ccsc1Br,1.632
Brc1cnc2ccccc2c1,1.665
Brc1cnccn1,1.579
Brc1csc(Br)c1,1.632
Brc1csc2ccsc12,1.687
Brc1cscc1Br,1.64
Brc1cscn1,1.601
Brc1nccs1,1.593
BrCBr,1.542
BrCC(Br)Br,1.594
BrCC(Br)CBr,1.585
BrCC(Br)COCOCC(Br)CBr,1.559
BrCC#CCBr,1.588
BrCC1CCC1,1.481
BrCC1CCCCC1,1.492
BrCc1ccccc1,1.576
BrCC1CCCO1,1.487
BrCC1CO1,1.484
BrCC1COc2ccccc2O1,1.575
BrCC1OCCO1,1.482
BrCCBr,1.536
BrCCC(Br)CBr,1.561
BrCCC1CCCCC1,1.49
BrCCc1ccccc1,1.557
BrCCC1OCCCO1,1.481
BrCCC1OCCO1,1.482
BrCCCBr,1.522
BrCCCc1ccccc1,1.546
BrCCCC1OCCO1,1.48
BrCCCCBr,1.519
BrCCCCc1ccccc1,1.54
BrCCCCC1OCCO1,1.48
BrCCCCCBr,1.512
BrCCCCCc1ccccc1,1.535
BrCCCCCCBr,1.507
BrCCCCCCCBr,1.503
BrCCCCCCCCBr,1.499
BrCCCCCCCCCBr,1.496
BrCCCCCCCCCCCBr,1.493
BrCCCCCCOc1ccccc1,1.53
BrCCCCCCOCc1ccccc1,1.52
BrCCCCCOc1ccccc1,1.535
BrCCCCCOCc1ccccc1,1.524
BrCCCCOC1CCCCO1,1.48
BrCCCCOCc1ccccc1,1.529
BrCCCn1cccc1,1.535
BrCCCOc1ccccc1,1.547
BrCCCOCc1ccccc1,1.532
BrCCn1cccc1,1.548
BrCCOC1CCCCO1,1.481
BrCCOCc1ccccc1,1.541
BrCCOCCBr,1.514
BrCCSc1ccccc1,1.608
BrCI,1.641
C(=C\c1ccccc1)\c1ccccc1,1.622
C(CC1CO1)C1CO1,1.44
C(CCC1CO1)CC1CO1,1.445
C(CCOCC1CO1)COCC1CO1,1.453
C(COCC1CO1)OCC1CO1,1.468
C(COCCOCC1CO1)OCCOCC1CO1,1.462
C[C@@H](Br)C(=O)O,1.475
C[C@@H](c1ccccc1)N(C)C,1.503
C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1,1.552
C[C@@H](Cl)[C@@H](C)Cl,1.441
C[C@@H](CO)CCN,1.462
C[C@@H](N)c1ccc(Br)cc1,1.568
C[C@@H](N)c1cccc2ccccc12,1.623
C[C@@H](N)c1ccccc1,1.527
C[C@@H](N)CCO,1.455
C[C@@H](O)[C@@H](C)O,1.434
C[C@@H](O)c1ccccc1,1.528
C[C@@H](O)Cc1ccccc1,1.522
C[C@@H](O)CCO,1.44
C[C@@H](OC(C)(C)C)[C@H](N)C(=O)OC(C)(C)C,1.434
C[C@@H]1C[C@@H]1C,1.383
C[C@@H]1C[C@H]1C,1.371
C[C@@H]1CC[C@@H](C(C)(C)c2ccccc2)[C@H](O)C1,1.531
C[C@@H]1CC[C@@H](C)C1,1.411
C[C@@H]1CC[C@@H]2C[C@H]1SC2(C)C,1.518
C[C@@H]1CC[C@H](C)C1,1.409
C[C@@H]1CC[C@H](C)S1,1.48
C[C@@H]1CCC[C@@H](C)C1,1.431
C[C@@H]1CCC[C@@H](O)C1,1.459
C[C@@H]1CCC[C@@H]1C,1.422
C[C@@H]1CCC[C@H](C)C1,1.423
C[C@@H]1CCC[C@H](C)N1,1.439
C[C@@H]1CCC[C@H]1C,1.412
C[C@@H]1CCCC[C@@H]1C,1.436
C[C@@H]1CCCC[C@H]1C,1.427
C[C@@H]1CCCC[C@H]1O,1.461
C[C@@H]1CNC[C@H](C)O1,1.446
C[C@@H]1CO1,1.366
C[C@@H]1O[C@@H]1C,1.38
C[C@@H]1O[C@H]1C,1.374
C[C@H](Cl)C(=O)O,1.435
C[C@H](CN)c1ccccc1,1.525
C[C@H](N)C1CCCCC1,1.462
C[C@H](N)CO,1.45
C[C@H](N=C=O)c1cccc2ccccc12,1.604
C[C@H](N=C=O)c1ccccc1,1.514
C[C@H](NCc1ccccc1)c1ccccc1,1.563
C[C@H](O)[C@H](C)O,1.432
C[C@H](O)C(=O)O,1.429
C[C@H](O)C(=O)OCc1ccccc1,1.513
C[C@H](O)CO,1.433
C[C@H](O)COCc1ccccc1,1.511
C[C@H]1C[C@H](C)C[C@@H](C)C1,1.431
C[C@H]1CC[C@@H](C)CC1,1.429
C[C@H]1CC[C@@H](O)CC1,1.46
C[C@H]1CC[C@H](C)[C@@H](C)C1,1.434
C[C@H]1CC[C@H](C)CC1,1.421
C[C@H]1CC[C@H](N)CC1,1.452
C[C@H]1CC[C@H](N=C=O)CC1,1.451
C[C@H]1CC[C@H](O)CC1,1.456
C[C@H]1CC=CC(=O)O1,1.474
C[C@H]1CCC[C@@H](O)C1,1.457
C[C@H]1CCC[C@H]1O,1.452
C[C@H]1CCCC[C@H]1O,1.464
C[C@H]1COC(=O)O1,1.422
C[N+](=O)[O-],1.382
C[Se][Se]C,1.635
C[Se]C,1.488
