SMILES,TARGET
Br,3.8
Br/C=C/Br,2.88
Br/C=C\Br,7.08
BrBr,3.1192
BrC(Br)Br,4.395
BrC(Br)C(Br)Br,6.85
BrC1CCCCC1,7.92
BrCBr,7.5
BrCC(Br)CBr,6.45
BrCCBr,4.77
BrCCCBr,9.482
BrCCCCBr,8.69
BrCCCCCBr,9.183
BrCCCCCCBr,8.52
BrCCCCCCCCBr,7.43
BrCCCCCCCCCBr,7.153
BrCCCc1ccccc1,5.41
BrCc1ccccc1,7.2
BrNc1ccccc1,13.0
BrP(Br)Br,3.9
Brc1cccc(Br)c1,4.77
Brc1cccc2ccccc12,4.799
Brc1ccccc1,5.32
Brc1ccccc1Br,8.00333333333333
Brc1ccccn1,23.18
C#CC#N,68.5
C#CCCCC,2.621
C#CCCCCCCCCCC,2.2
C#CCO,20.8
C#COCC,8.05
C#COCCCC,6.62
C#COc1ccccc1,4.76
C#Cc1ccccc1,2.98
C#N,110.55
C/C=C(/C)Br,5.38
C/C=C(C)/C=C/C=C(C)C,2.5574
C/C=C(\C)Br,6.76
C/C=C(\C)CCCC,2.436
C/C=C/C(=O)OC,6.6645
C/C=C/C(=O)OCC,5.4
C/C=C/C=C/C,2.123
C/C=C/CCC,1.978
C/C=C\C,1.96
C/C=C\C=C/C,2.163
C1=CCC=CC1,2.211
C1=CCCC1,2.083
C1=CCCC=C1,2.68
C1=CCCCC1,2.2137
C1=CCCCCC1,2.265
C1=C\CCCCCC/1,2.306
C1CCC(OC2CCCCC2)CC1,3.45
C1CCC2CCCCC2C1,2.183875
C1CCCC1,1.962835
C1CCCCC1,2.00857
C1CCCCCC1,2.07107
C1CCCCCCC1,2.11553
C1CCNC1,8.3
C1CCNCC1,4.99
C1CCOC1,7.77
C1CCOCC1,5.66
C1CN1,18.3
C1CO1,12.42
C1COCCN1,7.42
C1COCCO1,2.105
C1COCCOCCOCCO1,11.4514705882353
C1COCCOCCOCCOCCO1,11.4514705882353
C1COCCOCCOCCOCCOCCO1,11.4514705882353
C1C[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C1,2.04425287356322
C1OCOCO1,15.55
