SMILES,TARGET
[O-][n+]1cnc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1O,5.4
C[As](C)(=O)O,6.27
C[C@]12CC[C@@H]3c4ccc(O)cc4C(=O)C[C@H]3[C@@H]1CC[C@@H]2O,9.08
C[C@]12CC[C@@H]3c4ccc(O)cc4C=C[C@H]3[C@@H]1CC[C@@H]2O,9.74
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,10.08
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O,10.91
C[C@@H](O)[C@H](N)C(=O)O,9.1
C[C@@H]1C[C@H]1C(=O)O,5.0
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O,7.94
C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)O,8.03
C[C@H](N)C(=O)N[C@@H](C)C(=O)O,8.14
C[C@H](N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)O,10.3
C[C@H](N)C(=O)NCC(=O)NCC(=O)O,8.05
C[C@H](N)C(=O)NCC(=O)O,8.18
C[C@H](N)C(=O)O,9.87
C[C@H](NC(=O)[C@@H](N)CCCCN)C(=O)O,10.7
C[C@H](NC(=O)[C@H](C)NC(=O)CN)C(=O)O,8.1
C[C@H](NC(=O)CN)C(=O)NCC(=O)O,8.08
C[C@H](NC(=O)CN)C(=O)O,8.23
C[C@H](NC(=O)CNC(=O)CN)C(=O)O,8.02
C[C@H](NCc1ccccc1)C(=O)NCC(=O)O,7.05
C[C@H](O)[C@H](N)C(=O)O,9.096
C[C@H]1C[C@H]1C(=O)O,5.02
C[N+](=O)[O-],10.21
C[N+](C)(C)c1ccc(O)c(Cl)c1,6.62
C[N+](C)(C)c1ccc(O)cc1,8.3
C[N+](C)(C)c1cccc(O)c1,8.12
C[N+](C)(C)c1ccccc1O,7.43
C[S+](C)c1ccc(C(=O)O)cc1,3.3
C[S+](C)c1ccc(O)cc1,7.3
C[S+](C)c1cccc(C(=O)O)c1,3.2
C[S+](C)c1cccc(O)c1,7.67
C[Si](C)(C)c1ccc(C(=O)O)cc1,4.198
C[Si](C)(C)c1cccc(C(=O)O)c1,4.089
C/C(Cl)=C/C(=O)O,3.91
C/C=C/C(=O)O,4.7
C/C=C/c1ccc(O)c(OC)c1,9.89
C/C=C/c1ccc(O)cc1,9.82
C/C=C\C(=O)O,4.42
C#C/C=C/C(=O)O,3.75
C#CC(=O)O,1.887
C#CC#CC#CC(=O)O,1.67
C#CCC(=O)O,3.32
C#CCCC(=O)O,4.2
C#CCCCC(=O)O,4.59
C#CCCCCC(=O)O,4.57
C=C(Br)CC1(C(C)C)C(=O)NC(=O)NC1=O,7.72
C=C(Br)CC1(C(C)CC)C(=O)NC(=O)NC1=O,7.71
C=C(Br)CC1(C(CC)CC)C(=O)NC(=O)NC1=O,7.7
C=C(C)c1ccc(C(=O)O)cc1,4.04
C=C(C)CC1(CC(C)C)C(=O)NC(=O)NC1=O,7.79
C=C(C)CC1(CC(C)CC)C(=O)NC(=O)NC1=O,7.98
C=C(C)CC1(CCC)C(=O)NC(=O)NC1=O,7.82
C=C(CC(=O)O)C(=O)O,3.629
C=C=CC(=O)O,3.69
C=CC(=O)O,4.247
C=CC#CCC(=O)O,3.39
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,7.91
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,8.08
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,7.68
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,7.79
C=CCC1(Cc2ccccc2)C(=O)NC(=O)NC1=O,7.21
C=CCc1c(O)[nH]c(=O)[nH]c1=O,4.78
C=CCc1ccc(O)c(OC)c1,10.19
C=CCc1ccc(O)cc1,10.23
C=CCc1ccc(OC)c(O)c1,10.02
C=CCc1cccc(O)c1OC,9.92
C=CCc1cccc(OC)c1O,10.38
