SMILES,TARGET
CCCCCCCCCCCCC(=O)O,585.55
CCCCCCCCCCCCC(C)O,557.15
Cc1cc(C(C)(C)C)cc(C)c1O,521.15
C/C=C/C(=O)OC,392.65
c1ccc(CCCC2CCCC2)cc1,545.15
CC1CCc2ccccc21,463.75
CCCCCCCCNCC,475.15
Fc1ccc2ccccc2c1,485.15
CC#CCCCCCCC,457.75
CC(C)CC(C)(O)CC(C)C,455.15
FC(F)(F)C(F)(I)C(F)(F)F,313.15
O/C=C/CCO,479.64
O=[N+]([O-])c1ccccc1O,489.216666666667
Cc1ncccn1,411.15
CNCCN,388.4
CCOC(=O)N(c1ccccc1)c1ccccc1,633.15
CC1CCc2ccccc2C1,494.15
CCCCCC(=O)CCCCC,501.2
Cc1ccc2[nH]ccc2c1,540.15
CC=CC(C)C(=O)O,472.15
CCCCCC(=O)c1ccccc1,538.15
CCC1CC1,309.05
CC1=Cc2ccccc2C1,481.15
CCCN(CC)CC,385.2
CCCCCCC(=O)OCC(C)C,481.15
CCCCCCCCCCCCC[C@@H](C)CO,657.42
CC(CCl)CCl,409.55
[Se]=C=[Se],398.65
FC(F)=C(Cl)Cl,292.15
CC(C)=CCC/C(C)=C/CO,500.65
BrCCBr,404.65
O=Cc1cccc(Cl)c1,486.65
C/C=C\CCCCCCCCC,478.32
FC(F)(F)C(F)(F)I,286.15
O=NN1CCOCC1,497.95
c1ccc(C2CCCCC2)cc1,513.25
c1ccc(Cn2ccnc2)cc1,583.15
CC(C)C(C)(C)CCC(C)(C)C,459.15
CC(C)N(CCN)C(C)C,394.15
FC(F)(F)c1cccc(Cl)c1,410.65
COc1ccc(CCl)cc1,535.65
C1CCCOCC1,392.15
CCCCC(O)CCC,448.15
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,571.65
OCC(S)CS,342.25
COC(=O)C(F)(F)F,316.4
Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,553.25
CCC(C)(C)CCC(C)C,426.05
COCCOC(C)=O,416.15
CCCCOC=O,379.3
CCN1CCCCC1,403.95
C=CC(C)C,293.3
CCC=C(CC)CC,389.15
C=C(C)C(C)CCC,383.9
C=CC(O)CO,469.65
CC(C)([N+](=O)[O-])[N+](=O)[O-],458.15
CCCCCOC=O,403.9
CC(C)(C)C(C)(C)C(C)(C)C,467.15
Cc1cc[nH]c(=O)c1,581.15
CC(C)(C)CC(C)(C)C,395.35
CC(=O)OCC(COC(C)=O)OC(C)=O,532.216666666667
CC1=CC(C)(C)Nc2ccccc21,533.15
C=C[Si](Cl)(Cl)Cl,364.65
COc1cccc(OC)c1O,534.2
Clc1cc(Cl)cc(Br)c1,505.15
CCCCCCCCC#N,497.55
ClC(Cl)I,405.15
CC(C)CC(=O)Cl,387.15
CCCC(=O)OC,376.01666666666705
CCCCCCCCCC(C)C(C)C,520.15
Brc1cc(Br)c(Br)c(Br)c1,602.15
Cc1ccc(C)o1,366.65
CC(=O)C=Cc1ccccc1,534.65
Cc1cc(C)c(C)c(C)c1C,505.15
CC(C)CCOC(=O)CC(C)C,463.9
CCc1ccccc1OC,460.15
CCSSSC,475.25
O=C(O)CCS,384.25
CCC(C)CC(C)CC,408.65
CCCCCCCCCCN(C)C,507.15
CCCCCCOCCCCCC,496.15
Cc1cccs1,385.75
Oc1ccc2c(c1)CCC2,526.15
Sc1ccccc1,442.3
O=C(Cl)/C=C/C(=O)Cl,432.15
CC#CC(C)(C)O,434.83
C#CC(C)(O)CCCC(C)CCCC(C)CCCC(C)C,734.95
CN(C)c1ccc(N(C)C)cc1,533.15
CCCCCc1ccc(O)cc1,523.65
Nc1c(Cl)cc(Cl)cc1Cl,535.15
CCC(C)(C)C(=O)O,459.15
CCCCCCCCCCCCC(C)CCC,588.12
CC(CCN(C)C)N(C)C,438.175
CCCCCCCCCCCCCC(C)O,572.15
CC1CCCC2(C)CCCCC12O,543.15
C=CCNC,337.65
CC(C)(C)c1ccc2ccccc2c1,549.15
C=C(C)C(OC(C)=O)OC(C)=O,464.15
CCOC(=O)C(Br)(Br)Br,498.15
CCOCCC#N,426.65
Cc1ccccc1CCO,516.65
CC(=O)c1ccccn1,465.15
CC1=CCC(C(C)C)=CC1,456.2
O=c1ccc2ccccc2o1,574.905
C=CC[Si](C)(C)C,359.15
CCOc1ccc(C#N)cc1,531.15
CC(C)(O)C(C)(C)O,447.35
CCCCCCCCCCCCCCCCCC(C)CC,679.64
CCC(=O)C(C)=O,382.15
CC(=O)c1sc(C)nc1C,503.25
ICI,455.15
Cc1ccc(O)c(C(C)(C)C)c1,510.2
C#CCNC,356.15
CCCCC(C)CCC(C)CCC,496.16
CC(C)C(C)CCO,438.0
c1ccc2nsnc2c1,476.15
CCOc1ccc(O)cc1,519.95
Cc1cccc(N)n1,481.65
CCOc1ccc(Br)cc1,504.15
CCCCC(C(C)=O)C(=O)OCC,494.65
ClB(Cl)Cl,285.75
CCC(C)(C(C)C)C(C)C,442.59
CCCC(O)CO,481.4
C/C=C/CC(C)CC,386.36
Cc1c2ccccc2c(C)c2ccccc12,633.25
C#CCI,388.15
ClC1CCCC1,387.15
CCCNCC(C)C,397.15
O=C(O)c1ccccc1,522.4
COc1ccccc1C,444.7
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,375.15
C=CCN(C#N)CC=C,418.25
Cc1ccc2oc(C)nc2c1,491.65
CCCCCCCCCC(C)C=O,444.15
O=C1c2ccccc2C(=O)c2ccccc21,650.2
CC/C=C/CCCCCCCCCC,524.08
CC(=O)C(c1ccccc1)c1ccccc1,580.15
CCOc1ccc2ccccc2c1,555.2
CCCCCCCCCCCCCCCCN(CC)CC,472.65
CCOC(=O)c1cccc([N+](=O)[O-])c1,570.15
C=C[Si]1(C)O[Si](C)(C=C)O[Si](C)(C=C)O[Si](C)(C=C)O1,497.15
C=CCOC,317.15
Oc1ccccc1-c1ccccc1O,593.15
CCCc1ccccc1,432.4
CC=CCCCCC,397.6
FCOC(C(F)(F)F)C(F)(F)F,331.55
C=CCSSCC=C,460.65
CCCCCCBr,428.45
CCCCC(C)(O)CC,437.65
C/C=C/C(C)CC,360.625
c1cc2c3c(c1)ccc1cccc(c13)C2,626.15
CCCCCC(CC)CCC,457.15
NCCOCCO,494.2
COCC(C)O,392.95
CCCCCCCCCCCCCCCC,560.05
CC(C)[C@@H]1CC[C@@H](C)[C@H](O)C1,490.65
CCOCc1ccco1,422.7
C=C1CCCC1,348.65
CC(C)(N)Cc1ccccc1,478.15
Cc1cc2ccccc2nc1C,536.15
CCCCCCC(C)CCCCCC,519.48
FC(F)(F)C1(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,398.15
O=C1C=C(Cl)C(=O)O1,469.15
CC(C)(C)CC1(C)CO1,414.05
CCC(C)(O)C#CC(C)(O)CC,408.15
CCCCOC(=O)OCCCC,443.15
CC(C)N=C=NC(C)C,420.15
CCOC(=O)CCCCC(=O)O,558.15
CNCc1ccco1,422.15
O=C(O)CCCc1ccccc1,563.15
c1cc2c(c3c1CCCC3)CCCC2,568.15
ClCc1ccccc1CCl,512.65
COc1cccc(-c2cccc(OC)c2)c1,601.15
C[C@H](N[C@@H](C)c1ccccc1)c1ccccc1,569.65
CC(C)(C)C(=O)c1ccccc1,493.15
CC(C)C(N)C(C)C,399.15
CC#CCCCCCCCCC,499.15
CCCCCCCCOC(=O)CCCCC,548.15
Clc1cccc(Br)c1,469.15
CCC(=O)c1ccc2ccccc2c1,586.15
CNC1CCCCC1,420.15
CCCCCCCN(CC)CC,471.15
COC=O,304.8
CC(C)=CCC/C(C)=C/CC/C(C)=C\CO,647.1
Cc1cc(C)c([N+](=O)[O-])c(C)c1,528.15
CC(C)CC(C)N,382.05442
OCCCC(F)(F)F,398.15
SCc1cccs1,439.25
CC(C#N)CCC#N,536.15
CCCCCCCCCCCCCS,563.95
CCCCOc1ccccc1,483.15
Fc1cccc(N=C=S)c1,500.15
CC(C)C(C)N,356.4
CCCCCCCCCCC(O)CCC,611.66
C=CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,974.2
C=CCCCCCCCCCO,523.15
CCCCCCCSC,435.65
ClCC(Cl)=C(Cl)Cl,440.15
CCOP(C)(=S)OCC,472.05
CCCCCCC(=O)OCCCCC,518.55
ClC(Cl)(Cl)Cl,349.95
Clc1cccc(Cl)c1Cl,491.7
C=CCSC,365.7
C#CC(C)=O,357.15
CC1CCC(O)CC1,445.15
FC(F)(F)c1nc(C(F)(F)F)nc(C(F)(F)F)n1,368.65
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,449.2
CC(C)C(C(C)C)C(C)C,430.2
N#CCCCC#N,559.15
CCP(Cl)Cl,385.15
CC(C)(C)Cl,323.6
O=C(Nc1ccccc1)Nc1ccccc1,534.2
CCC(C)Cc1ccccc1,468.55
CCC(C)C(C)CC(C)(C)C,442.15
O=Cc1ccc(C=O)cc1,519.2
CCOCCC(OCC)OCC,458.15
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,601.2
Cc1c(F)c(F)c(C)c(F)c1F,416.65
Cc1coc(C)n1,381.2
CCC/C=C/CCO,442.65
O=[N+]([O-])c1ccc(Cl)cc1,515.2
CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],631.35
CCCCCCCCCCCCCCCCCCN=C=O,573.15
FC(F)OC(F)(F)C(F)Cl,329.65
Clc1cc(Cl)nc(Cl)n1,485.65
CN1C2CCCC1CC(=O)C2,519.15
C/C=C(\C)C=O,390.15
Clc1cccc(Cl)c1,446.216666666667
C#CCC#CC,353.7
O=C=Nc1ccc(N=C=O)cc1,533.15
C=CCCCCCCCCCCCCC=C,559.04
C=CC(=C)F,285.15
CCC#CC(C)CC,391.2
OCC(O)C(O)CO,603.65
CCCCC(C)CCC,415.35
CC(C)(C)OOC(C)(C)C,384.15
CCC(C)Nc1c([N+](=O)[O-])cc(C(C)(C)C)cc1[N+](=O)[O-],419.25
CCCCCCCCC(C)(C)CC,493.81
Cc1ccc(C=O)cc1,477.45
CCc1ccc([N+](=O)[O-])cc1,518.65
CC=CC(C)=O,395.4
CCCCCCCCCCCCCCOCCO,680.28
CCCCCCC(C)CCC,460.65
Cc1ccnc(Cl)c1,465.15
CCCc1ccccc1N,499.15
C/C=C\CC(C)(C)C,380.05
CCC(C)C(N)C(=O)O,499.25
CC(=O)NC(C)=O,496.65
CCCCCCCCCCCCCCCCCl,595.15
Cn1cc[nH]c1=S,553.2
C=CC(=O)OCC(CC)CCCC,488.95
CCCCCNCC,409.15
C1CO1,283.816666666667
C=CCC(C)(C)O,392.7
OC[C@@H](O)C(O)[C@@H](O)CO,653.15
C#CC(C)CC,330.02093
FC(F)=C(C(F)(F)F)C(F)(F)F,273.65
Cc1cc(C)c(C)c(C)n1,476.15
c1ccc(-c2ccncc2)cc1,554.15
C#CCCCCCCCCCCCCCC,557.15
CCC(C)CCN,395.15
CC(Br)C(Br)Br,473.65
ClCCCCCCCl,477.15
CCC(CC)CN,398.2
CC(C)(C)c1ccc(Cl)cc1,486.15
C=CC(Cl)(Cl)Cl,387.65
CC(C)CCCCC(C)(C)O,516.91
Cc1ccc(C)c(C)n1,444.75
CCOc1cccc([N+](=O)[O-])c1,537.15
CCCCCC#CCCCCCCC,528.92
O=C(CCl)c1ccccc1,520.2
CCCCCCCCCCCCCCCCC1CCCCC1,658.15
CCc1cccc(CC)c1,454.25
CCCCCCCC(=O)OCCCCC,533.35
O=S(=O)(Cl)C(Cl)(Cl)Cl,443.15
CCCCCCOC,399.25
CCCCC(C)CCO,459.15
c1ccc(CNc2ccccc2)cc1,579.65
C=CCC[C@@H](C)CC,386.45
CC=CCCO,413.65
CC(C)CNCC(C)C,412.75
NC1CCC1,355.15
CCC(C)CCCC(C)CO,519.7
C=C1[C@H]2CC[C@@H]3[C@H]2C(C)(C)CCC[C@]13C,531.15
CCCCC(CC)CC(C)(C)C,460.15
CCC(Cc1ccccc1)c1ccccc1,563.15
Cc1ccc(C(C)c2ccc(C)cc2)cc1,570.65
CCC(=O)CC(C)CC,432.15
Cc1cc(C)c(C(C)C)cc1C,494.15
CC=C(C)CCl,383.15
NCCCCCCNCCCCCCN,493.15
CC(C)NC(C)(C)C,371.15
CCCCCCC(=O)OC(=O)CCCCCC,542.65
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,484.15
C/C=C\C(C)C,329.55
Cc1cncnc1,426.15
CCC(C)c1ccccc1O,501.15
CC(Br)C(C)(Br)Br,479.15
CCCC(C)C=O,390.15
O=C(O)C(F)(F)C(F)(F)F,369.65
C=CC=CC=C,353.25
O=[N+]([O-])OC(CO)CO,430.65
CCCNC,335.65
CCOC(=O)OCC,399.216666666667
CCCCCCOC(C)=O,444.7
CC(C)(C)CCCC(C)(C)C,436.15
CC[C@H]1CCCC[C@H]1C,427.0
CCCCC(C)c1ccccc1,481.15
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,434.15
CN(C)c1ccccc1N,491.15
COC(C)(OC)OC,381.15
CC(C)=CCCc1ccoc1,458.65
Cc1ccc(F)cc1,389.75
Cc1cc(C)cc(CO)c1,492.65
COP(=O)(O)OC,447.15
CCCCC(C)(CC)CCC,453.15
CC(C)C(=O)Cl,365.15
CCCCCCCCC(O)CO,528.2
CC(O)c1ccccc1,477.7
CC[C@H](C)CCO,426.0
CC(=O)CC(C)(C)O,441.1
Cc1cc(C)c(Br)cc1C,507.15
c1ccc(-n2cccc2)cc1,507.15
CCCC/C=C/C(C)C,409.24
CC=CCC(C)C,361.25
ClC1OCCOC1Cl,355.25
SCCCS,446.05
Clc1nc2ccccc2o1,474.65
Cc1cc(Cl)nc2ccccc12,569.15
CC#CCCCCCCCCCC,518.15
O=[N+]([O-])c1ccccc1C(F)(F)F,490.15
O=[N+]([O-])CCCl,446.65
CCC(C)CCCC(C)CC,457.15
C=C(C)C1CC1,343.15
OCCNc1ccccc1,552.65
CCCCCCCOC(=O)CCCCC,534.15
O=C1CCCCCC1,451.65
COc1ccc(C)cc1,448.716666666667
O=C(O)c1cnc[nH]1,567.65
CCOC(=O)CC(C(C)=O)C(=O)OCC,528.15
CCOC(=O)C(Br)CBr,487.65
ClC1=C(Cl)C(Cl)(Cl)C(Cl)(Cl)C1(Cl)Cl,556.15
CCOC(=O)CO,433.15
CC(C)CCC[C@H](C)O,447.15
N,306.6
FC(I)I,373.45
CCOC(=O)C(C(C)=O)C(=O)OCC,505.15
C=CCCCCCC(C)CC,447.52
O=[N+]([O-])c1cc(F)ccc1F,479.65
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,633.15
CCCS(=O)(=O)CCC,543.15
c1ccc2c(c1)Cc1ccccc1S2,614.15
CC1=CC(=O)C[C@H](C)C1,481.65
C#CCN,357.15
CCCCCCCCCCCCCCCCC(C)CCCC(C)CCCCCCCCCC,953.76
CCNC1CCCCC1,437.15
C=C/C=C/C=C/C,386.65
CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,519.15
Cc1cnc(C)o1,390.65
CC(C)c1ccccc1Cl,464.25
CN(C)c1ccc(C(=N)c2ccc(N(C)C)cc2)cc1,603.65
FC(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,314.15
COP(=O)(OC)OC,470.416666666667
Sc1ccc(Br)cc1,503.65
CCCCCCCCCCCCNCCCCCCCCCCCC,453.15
CCCCCCOCC(O)CO,611.86
CC(C)=CCCC(C)CCOCC=O,403.25
C=CC(=C)CC/C=C(\C)CCC=C(C)C,544.12
C1CCC(CCCCCC2CCCCC2)CC1,598.15
c1ccc(C2CCOCO2)cc1,520.15
CC/C=C(\C)CC,367.15
Cc1c(N)cccc1[N+](=O)[O-],578.15
C=CCC(=C)C,329.15
Cc1ccc(Cl)c(N)c1,502.15
O=C(O)C1CCC1,463.15
c1ccc(-c2cccc3ccccc23)cc1,607.15
CCC(C)O[N+](=O)[O-],397.15
CCC(S)C(C)=O,438.25
C=C(C)CCO,404.51666666666705
Cc1c[nH]c(C)c1,441.15
CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,545.15
Cc1cccc(Cl)n1,456.65
CCC(C)OC(C)=O,385.2
Cc1cc(O)ccc1Cl,508.216666666667
O=C(Cl)OCCCl,428.2
CCCCCC(C)CCCCC,479.15
CCCl,285.5
CCCCCCOC=O,428.95
C=CCOC(=O)OCC=C,415.15
CCC1(C)CC1,329.95
OCCOCc1ccccc1,529.25
CCC(=O)OCCC(C)C,433.95
O=C(O)[C@H]1CC=CCC1,507.65
CCN(C(C)=O)C(C)=O,470.15
Cc1cc(O)c(C(C)(C)C)cc1C,531.65
C=CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,762.15
CCCc1ccco1,388.2
C=C(C)CC=C(C)C,389.7
Clc1ccc(Cl)c2ccccc12,561.15
COCCc1ccccn1,476.15
O=C(O)CC=Cc1ccccc1,575.15
CCCCCCCCCCCCCCC=O,559.25
CC(C)COC(=O)CCCCC(=O)OCC(C)C,552.7
CCCCCCC(C)(O)CC,517.35
CCN(C)CC,339.1
ClCCOCOCCCl,491.15
CC(C)CB(CC(C)C)CC(C)C,461.15
CC=NO,388.25
CC(C)CCCCCCC=O,470.15
CCCCCCI,454.15
c1ccc2c(c1)Cc1ccccc1C2,578.15
CCC(C)C(C)C(C)C(C)CC,472.15
C=CCCCCCCCCCCO,563.02
C1=CCOC1,339.65
CCCC(C)C(C)C(C)CC,454.15
CCOC(=O)c1ccc2ccccc2c1,581.65
CCC(C)C=C(C)C,384.0
