SMILES,TARGET
Brc1cc(Br)c(Br)c(Br)c1,602.15
Brc1cc(Br)cc(Br)c1,544.15
Brc1ccc(Br)c(Br)c1,548.15
Brc1ccc(Br)cc1,492.65
Brc1ccc(I)cc1,525.15
Brc1cccc(Br)c1,491.15
Brc1cccc(I)c1,525.15
BrC1CCCCC1,439.35
Brc1ccccc1,429.3
Brc1ccccc1Br,498.15
Brc1ccccc1I,530.15
Brc1ccccn1,467.95
Brc1cccnc1,446.15
Brc1cncc(Br)c1,495.15
BrCc1ccc(CBr)cc1,518.15
BrCc1ccccc1,474.15
BrCCC1CCCCC1,485.15
BrCCc1ccccc1,492.15
BrCCCc1ccccc1,492.65
C[C@@H](CN)c1ccccc1,483.15
C[C@@H](O)C(=O)c1ccccc1,524.15
C[C@@H]1C[C@H](C)CC(C)(C)C1,425.65
C[C@@H]1CCC[C@H](C)N1,400.15
C[C@@H]1CCCCN1,393.15
C[C@H](N)[C@H](O)c1cccc(O)c1,491.15
C[C@H](N)Cc1ccccc1,476.15
C[C@H](N)CCc1ccccc1,496.15
C[C@H](O)CCc1ccccc1,512.15
C[C@H](Oc1ccccc1)C(=O)O,539.15
C[C@H]1CC=CCC1,375.85
C[Si](C)(C)c1ccccc1,442.65
C[Si](C)(C)Oc1ccccc1,392.15
C[Si](C)(CCl)c1ccccc1,498.15
C[Si](Cl)(Cl)c1ccccc1,479.65
C[Si]1(C)N[Si](C)(C)N[Si](C)(C)N1,461.15
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,407.15
C/C=C(/C)c1ccccc1,467.85
C#CC(C)(O)c1ccccc1,490.65
C#CC1(O)CCCCC1,447.15
C#Cc1ccc(C)cc1,442.15
C#Cc1ccccc1,416.15
C#CCC1CCCCC1,430.65
C=C(C)C1CC=C(C)C(O)C1,500.7
C=C(C)C1CC=C(C)CC1,449.15
C=C(C)C1CC=C(C=O)CC1,513.15
C=C(C)C1CC=C(CO)CC1,517.15
C=C(C)c1ccc(C(C)C)cc1,493.95
C=C(C)c1ccc(C)cc1,458.45
C=C(C)C1CCC=C(C)C1,449.15
C=C(C)c1cccc(C(=C)C)c1,504.15
C=C(C)c1cccc(C)c1,458.15
C=C(C)c1ccccc1,438.6
C=C(C)c1ccccc1C,448.15
C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],529.25
C=C(CC)c1ccccc1,455.15
C=C(Cl)c1ccccc1,472.15
C=CC(=O)OC1CCCCC1C,483.15
C=CC(CC)c1ccccc1,464.65
C=CC1=CCCCC1,418.2
C=Cc1c(C)cc(C)cc1C,482.15
C=CC1CC=CCC1,401.15
C=Cc1ccc(C(C)C)cc1,477.25
C=Cc1ccc(C)cc1,445.6
C=Cc1ccc(C)nc1,454.15
C=Cc1ccc(CC)cc1,465.45
C=Cc1ccc(Cl)cc1,465.15
C=Cc1ccc(OC)cc1,478.15
C=Cc1cccc(C)c1,440.2
C=Cc1cccc(CC)c1,463.15
C=CC1CCCCC1,401.15
C=Cc1ccccc1,418.35
C=Cc1ccccc1Br,482.35
C=Cc1ccccc1CC,460.45
C=Cc1ccccc1Cl,461.85
C=Cc1ccccc1OC,470.2
C=Cc1ccccn1,432.7
C=Cc1cccnc1,435.15
C=Cc1ccncc1,338.25
C=CCc1cc(C)ccc1O,510.15
C=CCc1cc(OC)c(O)c(OC)c1,442.25
C=CCc1cc(OC)c(OC)c(OC)c1,429.25
C=CCc1ccc(O)c(OC)c1,526.3
C=CCc1ccc(O)cc1,510.2
C=CCc1ccc(OC(C)=O)c(OC)c1,554.15
C=CCc1ccc(OC)cc1,488.65
C=CCc1ccc(OC=O)c(OC)c1,543.15
C=CCc1cccc(C)c1O,505.15
C=CCC1CCCCC1,405.15
C=CCc1ccccc1,429.15
C=CCc1ccccc1C,455.65
C=CCc1ccccc1O,493.15
C=CCCc1ccccc1,450.15
C=CCNc1ccccc1,492.15
C=CCOC(=O)CCC1CCCCC1,364.25
C=CCOc1ccccc1,464.85
C=COc1ccccc1,428.65
C1=CCC=CC1,358.65
C1=CCCC=C1,353.65
C1=CCCCC1,356.15
C1=CCNCC1,381.15
C1=COCCC1,359.15
C1=COCCO1,367.25
C1CCCCC1,353.9
c1ccccc1,353.24
C1CCNCC1,379.2
c1ccncc1,388.45
c1ccnnc1,481.15
C1CCOCC1,361.2
C1CCSCC1,414.95
C1CNCCN1,419.15
c1cnccn1,388.7
c1cncnc1,396.95
C1COCCN1,401.2
C1COCOC1,378.75
C1CSCCN1,448.15
C1CSCCO1,420.15
c1ncncn1,387.15
C1OCOCO1,387.65
CC(=NO)c1ccccc1,518.15
CC(=O)C=Cc1ccccc1,534.65
CC(=O)C1(C)CC=C(C)CC1,484.25
CC(=O)C1(O)CCCCC1,398.65
CC(=O)C1=CCCCC1,474.65
CC(=O)c1c(C)cc(C)cc1C,514.15
CC(=O)c1cc(C(C)C)ccc1C,522.65
CC(=O)c1cc(C)c(C)cc1C,519.65
CC(=O)c1cc(C)ccc1C,505.65
CC(=O)c1cc(C)ccc1O,483.15
CC(=O)C1CC=C(C)CC1,444.15
CC(=O)c1ccc(C(C)C)cc1,527.2
CC(=O)c1ccc(C)c(C)c1,519.65
CC(=O)c1ccc(C)cc1O,518.15
CC(=O)c1ccc(Cl)cc1,508.55
CC(=O)c1ccc(F)cc1,469.15
CC(=O)c1ccc(N)cc1,567.2
CC(=O)c1ccc(O)cc1C,586.15
CC(=O)c1cccc([N+](=O)[O-])c1,475.15
CC(=O)c1cccc(C(F)(F)F)c1,472.15
CC(=O)c1cccc(C)c1,493.15
CC(=O)c1cccc(Cl)c1,517.15
CC(=O)c1cccc(N)c1,562.65
CC(=O)c1cccc(O)c1,569.15
CC(=O)C1CCCCC1,453.65
CC(=O)c1ccccc1,475.25
CC(=O)c1ccccc1C,487.2
CC(=O)c1ccccc1N,525.25
CC(=O)c1ccccc1O,491.15
CC(=O)c1ccccn1,465.15
CC(=O)c1ccncc1,485.15
CC(=O)CC(=O)c1ccccc1,534.65
CC(=O)Cc1ccccc1,488.45
CC(=O)CC1CCCCN1,468.15
CC(=O)CCc1ccc(C)cc1,517.25
CC(=O)CCc1ccc(O)cc1,473.25
CC(=O)CCc1ccc(OC(C)=O)cc1,397.25
CC(=O)CCc1ccccc1,506.65
CC(=O)COc1ccccc1,502.65
CC(=O)N(C)c1ccccc1,529.15
CC(=O)N(C)c1ccccc1C,533.15
CC(=O)Nc1ccc(C)cc1,580.15
CC(=O)Nc1cccc(C)c1,576.15
CC(=O)Nc1ccccc1,577.2
