SMILES,TARGET
Cc1cc(C)c2ccccc2n1,276.688
Cc1ccc(C)c(C)c1,212.60735767790248
C1N2CN3CN1CN(C2)C3,172.3491
CCCOC(=O)CC,224.48
CCCCCCCCCCCCCCC(C)CC(C)C,592.845
CC(Cl)(Cl)Cl,145.57
CCC(C=O)CC,221.61
c1ccc(-c2cc(-c3ccccc3)cc(-c3ccccc3)c2)cc1,284.6025
CCC1CCSC1,195.676
Oc1cc(Cl)nc(O)n1,208.163707317073
CCC(Br)CC,200.545
OCCO,165.51
O=C(c1ccccc1)c1ccccc1,336.477777777778
N#Cc1cccc2ccccc12,180.832142857143
CCCCCCCCCSC,355.02
CC(=O)OC(C)C(C)C,256.54
CCCCCCCCCCCCCCOC(C)=O,407.774
C1=Cc2cccc3cccc1c23,215.930644444444
CC(C)C(F)F,166.568
CC(C)C(C)CC(C)C(C)(C)C,353.392
CCCC(C)CCC(C)(C)C,333.885
CCC=O,159.48250000000002
FC(F)C(F)C(F)F,194.245
OC1=NCCN1,129.376470588235
CCCCCCCCCCOC(=O)CCC,454.289
CCCc1cccs1,210.8083333333333
CCC(C(C)C)C(C)(C)CC,328.411
CC1N=C(O)N=C1O,143.53
CCOCC,172.51
c1ccc(-c2nc3ccccc3[nH]2)cc1,238.893333333333
C=CCCCCCCCCCCCC,441.25
ON=Cc1ccccn1,164.314090909091
O=C(CO)[C@H](O)[C@H](O)[C@H](O)CO,233.728333333333
C/C=C/CC(C)CC,239.211
O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],233.645
C=C(C)[C@@H]1CC=C(C)CC1,263.780952380952
CCCCCCCCCCCCc1ccccc1,511.81
CC(C)=CCC(C)C,235.09
C[Si](C)(C)O[Si](C)(C)C,312.83
CCC/C=C/I,182.609
C=C(C)C(=O)OCCCC,263.63
c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1,333.763076923077
NCC(=O)O,40.1427730291262
FC(F)=CCl,133.241
Cc1cccnc1,163.96620795107034
CCCCOCCOCCOCCOCCCC,399.07124872
CCCCCCC(C)=O,274.71700000000004
Cc1ccc(-c2ccccc2)cc1,312.138965517241
COC(=O)CCC(C)=O,295.269869890075
CCc1ccc(CC)c(CC)c1,288.446
CCCNC,182.45
CCCCCCCCCCCCCCCC(C)C(C)C,595.97
CCCCCCCCCCCCCCCCCC,583.958
CC(=O)N1CCOC1=O,139.25
ICCCI,169.2
CCCN(C)C,179.063
CCCCCCCCCCC(=O)OC,417.549252173913
CC(C)[N+](=O)[O-],173.02
CCC(C)C(C)CO,292.233
FC(F)CC(F)F,165.243
CCCCCCCCCCOC(C)=O,393.05
CCSCC,171.19
CC1=CC(=O)[C@H]2C[C@@H]1C2(C)C,243.037076309677
CCCCCI,193.6
CCOC(=O)CC,203.47
O=c1cc(-c2ccccc2)oc2ccc(O)cc12,265.317708333333
CCCCCC(C)(O)CC,346.6333333333334
