SMILES,TARGET
O=C(O)c1cccnc1C(=O)O,-733.163611783
O=C1C(CO)(CO)C(CO)(CO)C(O[N+](=O)[O-])(O[N+](=O)[O-])C1(O[N+](=O)[O-])O[N+](=O)[O-],-706.087879047
O=C1CCCCCCCCCCCCCC1,-491.944
Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-67.9289
Nc1ccccc1I,87.9062722298
O=c1[nH]cnc2nc[nH]c12,-110.733
Cc1cc(C)c(C(=O)O)cc1C,-495.6849
COc1ccc(C(=O)O)cc1OC,-714.400520087
Cc1n[nH]c(C)c1N=O,111.287076143
CC(=O)Nc1nn[nH]n1,-7.577
COc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-159.015
O=C(O)c1ccc[n+]([O-])c1,-377.45258587
Cc1c(C)[n+](=O)c2ccccc2n1[O-],25.1078167134
Oc1ccc(-c2ccccc2)cc1,-106.306660946
CNC(=O)c1ccccc1C,-241.613220533
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,-865.386122685
O=[N+]([O-])c1ccccc1Br,26.9
COc1ccccc1C(=O)O,-538.592197287
CCC1(CC)C(=O)OC(=O)C1(CC)CC,-799.4112
c1ccc(N=Nc2ccccc2)cc1,320.541
O=c1[nH]c2ccccc2c(=O)o1,-417.911181037
Cc1cccc(O)c1O,-392.531221573
O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,-618.838
Brc1ccc(Br)nc1,113.158579043
OCc1ccccc1-c1ccccc1,-107.751007713
CC(CC(=O)c1ccccc1)=NCCN=C(C)CC(=O)c1ccccc1,-303.238976093
COC(=O)c1ccc(I)cc1,-285.973751561
CC1(C)CC(=O)CC(C)(C)N1,-334.2092
O=CC(O)C(O)C(O)CO,-1057.9133067
COc1ccc(O)c([N+](=O)[O-])c1,-364.25359107
CCC(C(=O)O)C(CC)(CC)C(=O)O,-1066.3198
O=C(C(=O)c1ccccc1)c1ccccc1,-178.201
O=C(O)CN(CC(=O)O)CC(=O)O,-1311.895
O=[N+]([O-])C(F)(CNCC(F)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],-538.978519004
O=[N+]([O-])OCCN(CCO[N+](=O)[O-])[N+](=O)[O-],-317.040839307
CCC(C)C(N)C(=O)O,-637.865
NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)O,-1650.08
Cc1ccc(C(O)(c2ccc(C)cc2)c2ccc(C)cc2)cc1,-67.574697866
CC(C)(CO)[N+](=O)[O-],-410.125
CC(CO[N+](=O)[O-])(CO[N+](=O)[O-])[N+](=O)[O-],-363.99842246
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-80.523
Nc1nc2ccc(Cl)cc2s1,-5.4705602598
c1cc2c3c(cccc3c1)CC2,70.338
CC(C)(C)C(N)=O,-399.708394803
O=c1[nH]nn[nH]1,6.2921
NNC(=S)NN,105.486
Cc1ccc(N)cc1[N+](=O)[O-],-71.706
Nc1cc(Cl)c(Cl)cc1Cl,-60.5026494567
c1ccc(-c2cc(-c3ccccc3)nc(-c3ccccc3)c2)cc1,276.715
Cc1ccc2nc(C)ccc2c1,36.4265156103
COc1ccc(-c2c3nc(c(-c4ccc(OC)cc4)c4ccc([nH]4)c(-c4ccc(OC)cc4)c4nc(c(-c5ccc(OC)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,-170.960569753
CCOC(=O)c1ccc(N)cc1,-417.952
Cc1ccc2cccc(O)c2n1,-129.807799017
Cc1c(Cl)c(Cl)c(C)c(Cl)c1Cl,-175.785747415
c1ccc2ocnc2c1,-24.1790134433
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2nc(Nc3c([N+](=O)[O-])cc([N+](=O)[O-])cc3[N+](=O)[O-])c([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,80.45
COC(=O)c1ccc(C(=O)O)cc1,-779.06288
NC(CCC(=O)O)C(=O)O,-1005.262
Nc1ncnc2nc[nH]c12,96.009
CC(C)(C[N+](=O)[O-])C[N+](=O)[O-],118.409
N#Cc1ccc([N+](=O)[O-])cc1,121.947480373
c1ccc(-c2cc(-c3ccccc3)on2)cc1,144.767
CCC1=C(C)c2cc3[nH]c(cc4[nH]c(cc5nc(cc1n2)C(C)=C5CC)c(C)c4CC)c(C)c3CC,-25.2
Clc1nc2ccccc2nc1Cl,111.684793687
NC(=O)C(N)=O,-456.05
NCC(=O)O,-528.5221
NCCCCCCC(=O)O,-667.434
[O-][n+]1c2ccccc2[n+]([O-])c2cc(O)ccc21,-76.6799380134
O=C1CCOc2ccccc21,-289.116619873
O=C(O)c1cccc[n+]1[O-],-364.08411487
NC12CC3CC(CC(C3)C1)C2,-195.458900649
COc1ccc(C=CC(=O)O)cc1,-512.661296973
CC(C)CC(N)C(=O)O,-640.589
Cc1c[n+](=O)c(C)cn1[O-],-23.2246916
Nc1ccc(Cl)cc1,-18.2174464299
COc1cc(O)cc(OC)c1OC,-643.403509073
OCC(O)C(O)C(O)CO,-1120.15756515
O=NN(CC(F)([N+](=O)[O-])[N+](=O)[O-])CC(F)([N+](=O)[O-])[N+](=O)[O-],-434.67003112
O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],119.66
CCCCCCCCC=CCCCCCCCCCCCC(=O)OC,-839.988292932
CC(=O)OC(OC(C)=O)c1ccccc1,-773.094353044
O=C1c2ccccc2Cc2ccccc21,-85.0843896464
O=C(NCC(F)([N+](=O)[O-])[N+](=O)[O-])C(=O)NCC(F)([N+](=O)[O-])[N+](=O)[O-],-981.684515778
CCCCCC(N)=O,-411.174834937
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,182.7864
NNC(=O)C(=O)NN,-295.17
CNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-67.532
N#Cc1cc[n+]([O-])cc1,162.790366487
