SMILES,TARGET
CCCCCCCCCCCCC(CCCCCCCCCCCC)c1ccccc1,-687.04
CCCCCCCCCCCCCCCCCC(CC)c1ccccc1,-548.84
O=C(O)Cc1cccc(Cl)c1,-445.356134487
CCOc1cccc(NC(N)=O)c1,-429.489
COc1ccc(CC#N)cc1OC,-206.096300216
O=C(O)Cc1ccc(Cl)cc1,-442.797254487
O=[N+]([O-])C(c1ccccc1)[N+](=O)[O-],-33.9
CC1=CCC(C(C)(C)O)CC1,-369.150494768
O=C(O)C(O)c1ccccc1,-580.61
CC(=O)OCC1OC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,-2232.6387
OCC1OC(O)C(O)C(O)C1O,-1274.434
Cc1cc(C(=O)O)cc(C)c1C,-500.9149
COC1OC(CO)C(O)C(O)C1O,-1237.47
N#CC(=O)c1ccccc1,39.1356729567
O=[N+]([O-])C=Cc1ccccc1,30.495
N#CCC(=O)c1ccccc1,153.06741409
CC=CCN1CCCCC1,-55.0712035367
CC(=O)c1cc(C)c(C)cc1C,-248.950198984
CC(=O)c1cccc(N)c1,-173.329
CC(=O)c1cccc([N+](=O)[O-])c1,-198.5
CC(=O)c1ccc([N+](=O)[O-])cc1,-196.1
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-115.8462
Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-243.5816
CC(=O)CC(=O)c1ccccc1,-335.13638026
O=[N+]([O-])c1ccccc1Br,26.9
O=[N+]([O-])c1ccc(Br)cc1,0.5
O=[N+]([O-])c1ccccc1Cl,-18.3911435701
O=[N+]([O-])c1cccc(Cl)c1,-42.1186253701
O=[N+]([O-])c1ccc(Cl)cc1,-36.2576537701
COc1ccc([N+](=O)[O-])cc1,-171.486808606
Cc1c([N+](=O)[O-])ccc([N+](=O)[O-])c1[N+](=O)[O-],-74.475
CC(C)OC(=O)Nc1ccccc1,-442.077
O=C(OCC(O)CO)c1ccccc1,-777.3518
CC1=C(C)CC(C#N)(C#N)C(C#N)(C#N)C1,580.321
O=C(O)c1ccccc1C(=O)O,-781.714
Oc1ccccc1O,-354.200318487
COc1cccc(O)c1O,-510.117653487
O=C(O)C1CCCCC1C(=O)O,-961.06
COc1cccc(Cl)c1Cl,-200.731681687
Cc1ccc(O)c(O)c1,-393.325711173
O=[N+]([O-])c1ccccc1[N+](=O)[O-],-1.83
O=C(O)c1cccc(C(=O)O)c1C(=O)O,-1160.36543974
Oc1cccc(O)c1O,-551.1131835
Clc1cccc(Cl)c1Cl,-69.757
O=[N+]([O-])c1cccc([N+](=O)[O-])c1[N+](=O)[O-],5.5
Clc1ccc(Cl)c(Cl)c1Cl,-97.8454799134
Clc1cc(Cl)c(Cl)c(Cl)c1,-105.785479913
O=C(O)c1ccc(C(=O)O)c(C(=O)O)c1,-1179.15243974
Oc1ccc(O)c(O)c1,-563.7116724
CC(C)(C)c1ccc(C(C)(C)C)c(C(C)(C)C)c1,-251.65
CCCOC(=O)c1cc(C(=O)O)c(C(=O)OCCC)cc1C(=O)O,-1644.23
O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,-1570.83139957
Cc1c(Cl)c(Cl)c(C)c(Cl)c1Cl,-175.785747415
Clc1cc(Cl)c(Cl)cc1Cl,-108.825479913
Cc1cc(C)c(C)cc1C,-126.844
N#Cc1cccc(C#N)c1,272.54
Oc1cccc(O)c1,-367.735285527
Cc1ccc(O)cc1O,-404.038906873
Cc1cc(C(C)(C)C)cc(C(C)(C)C)c1,-245.838554239
O=C(CC(=O)C(F)(F)F)c1ccccc1,-955.721190426
Ic1cccc(I)c1,187.373604502
O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,-1190.11443974
CC(C)(C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1,-321.94
Nc1nc(N)nc(N)n1,-71.666
COc1nc(OC)nc(OC)n1,-291.355539091
O=[N+]([O-])c1c(Cl)cc(Cl)cc1Cl,-57.7581856969
Clc1cc(Cl)cc(Cl)c1,-77.727
Oc1cc(O)cc(O)c1,-584.5452096
COc1cc(OC)cc(OC)c1,-471.90986426
Cc1cc(C)c([N+](=O)[O-])c(C)c1,-105.403892217
Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(C)c1[N+](=O)[O-],-124.600753476
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,-43.888
ONc1nc(NO)nc(NO)n1,285.857
C1OCOCO1,-522.157
O=C(O)c1ccc(C(=O)O)cc1,-816.149
COC(=O)c1ccc(C(=O)O)cc1,-779.06288
OCc1ccc(CO)cc1,-393.941
Oc1ccc(O)cc1,-362.761
O=[N+]([O-])c1cc(Cl)ccc1Cl,-46.5404347835
Clc1ccc(Cl)cc1,-39.5931998866
Ic1ccc(I)cc1,161.009421299
COc1ccc(OC)cc1,-295.65731806
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,-38.65
O=NN1CCN(N=O)CC1,93.03
CC(C)c1ccccc1C(=O)O,-460.692767946
CC(C)c1ccc(C(C)(C)O)cc1,-343.69
Nc1ccc([N+](=O)[O-])cn1,-8.9636997835
O=C(O)CNC(=O)c1ccccc1,-611.2735
O=C(O)c1ccccc1Br,-368.370038243
COc1ccccc1Br,-98.9426429732
Nc1ccc([N+](=O)[O-])cc1Cl,-74.6170102268
O=[N+]([O-])c1ccc(O)c(Cl)c1,-237.747918983
Nc1c(Cl)cc([N+](=O)[O-])cc1[N+](=O)[O-],14.0
Nc1cc([N+](=O)[O-])ccc1Cl,-70.7687438268
O=C(O)c1ccccc1Cl,-404.679
N#Cc1ccccn1,209.9735984
O=C(O)c1ccccc1F,-568.812312914
ON=Cc1ccccc1O,-183.722
NC(=O)c1ccccc1O,-402.639456563
Oc1ccccc1I,-95.3425776374
COc1cc([N+](=O)[O-])ccc1O,-376.93879107
COc1ccc([N+](=O)[O-])cc1O,-374.09730627
COc1ccccc1C=O,-266.39
COc1ccccc1C(=O)O,-538.592197287
Cc1ncccc1O,-173.60290733
Cc1ccc([N+](=O)[O-])cc1N,-91.287
Cc1ccccc1C(=O)O,-416.388
Cc1cnc(C(=O)O)cn1,-314.433383313
O=C(OC(CO)CO)c1ccccc1,-772.833
Nc1ccccc1[N+](=O)[O-],-26.16
O=C(O)c1ccccc1[N+](=O)[O-],-398.505
NC(=O)Cc1ccccc1,-223.866371736
OCC1CCCCN1,-328.17988519
COC(=O)C=Cc1ccccc1,-302.22843506
O=C(O)c1cnccn1,-271.161245927
Nc1ccccn1,39.3892071134
ON=Cc1ccccn1,78.56
NC(=O)c1ccccn1,-156.34004454
N#CC(C#N)(C#N)Cc1ccccc1,444.505
Nc1cccc(Cl)c1Cl,-47.6172019433
Oc1cccc(Cl)c1Cl,-222.6049378
Clc1cccnc1Cl,16.5573296433
O=C(O)c1cccc(O)c1O,-783.113908513
COc1cccc(C(=O)O)c1OC,-686.900520087
Cc1cccc(O)c1C,-241.2253
N#Cc1nccnc1C#N,429.65473326
Nc1ccc(Cl)c(Cl)c1Cl,-63.4691199567
Cc1ccc(C(=O)O)c(C)c1C,-486.6474
Nc1c(F)c(F)c(F)c(F)c1F,-879.488463162
Cc1cc(C)c(C(=O)O)c(C)c1C,-507.6769
Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],-49.1344
Cc1cc(C)c(C)c(C(=O)O)c1,-488.6976
O=[N+]([O-])c1c(Cl)c(Cl)cc(Cl)c1Cl,-65.7064725103
Nc1ccc(Br)cc1Br,31.5069407567
Nc1ccc(Cl)cc1Cl,-51.9429490433
O=[N+]([O-])c1ccc(Cl)cc1Cl,-46.7900282835
Oc1ccc(Cl)cc1Cl,-225.7507799
Clc1ccnc(Cl)n1,49.6540129732
O=C(O)c1ccc(O)cc1O,-798.063645513
COc1ccc(C(=O)O)c(OC)c1,-712.100520087
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],-83.1307
Cc1ccc(C(=O)O)c(C)c1,-458.5052
Cc1ccc([N+](=O)[O-])c(C)c1[N+](=O)[O-],-85.643
Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-67.9289
COc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-186.661
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,-235.797
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1O,-415.626
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-71.81
Nc1cc(F)c(F)cc1F,-549.409312354
Cc1cc(C)c(C(=O)O)cc1C,-495.6849
Clc1nc(Cl)c(Cl)c(Cl)n1,4.9405359464
CC(C)(C)c1cc(C(C)(C)C)c(N=O)c(C(C)(C)C)c1,-208.332952283
Nc1c(Br)cc(Br)cc1Br,59.8
Oc1c(Br)cc(Br)cc1Br,-96.9
COc1cc(OC)c(C#N)c(OC)c1,-357.11004673
Cc1cc(C)c(C(=O)O)c(C)c1,-477.861
Cc1cc(C)c(C#N)c(C)c1,23.5645531103
Cc1cc(C)c(C#[N+][O-])c(C)c1,55.9384708969
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1O,-531.265
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c(O)c1[N+](=O)[O-],-255.247
COc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-159.015
CCc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-73.227
CCOc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-204.396
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,-224.9251
O=[N+]([O-])c1cc([N+](=O)[O-])nc([N+](=O)[O-])c1,34.22
O=[N+]([O-])c1cc([N+](=O)[O-])[n+]([O-])c([N+](=O)[O-])c1,102.22
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],-80.523
CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,-475.053681612
Nc1cc(Br)ccc1Br,37.4788605567
Brc1ccc(Br)nc1,113.158579043
Nc1cc(Cl)c([N+](=O)[O-])cc1Cl,-84.9899447402
Nc1cc(Cl)ccc1Cl,-61.0642809433
Oc1cc(Cl)ccc1Cl,-231.2111794
Clc1ccc(Cl)nc1,4.8812342433
Cc1ccc(C)c(C(=O)O)c1,-456.1622
Cc1ccc(C)c(O)c1,-246.6226
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,-405.134808953
CC(C)(C)c1cccc(C(C)(C)C)c1O,-353.402688166
Nc1c(Br)cccc1Br,34.5430848567
Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,-106.68459274
Nc1c(Cl)cccc1Cl,-53.4172673433
Clc1cncc(Cl)n1,75.1434643732
Cc1c(O)cccc1O,-396.094010873
