SMILES,TARGET
Br/C=C/c1ccccc1,3759.17096747
BrC1=CCCCC1,4093.37981775
BrC1C=CCCC1,4345.46585989
BrC1CC=CCC1,4000.70252336
BrC1CCC(Br)CC1,3312.01407111
BrC1CCCC(Br)C1,3312.01407111
BrC1CCCCC1,3968.51884689
BrC1CCCCC1Br,3312.01407111
BrCC(Br)c1ccccc1,4039.49421677
BrCC1(CBr)CCCCC1,3342.48803911
BrCC1CCCCC1,3407.88769238
BrCCC(Br)c1ccccc1,3569.82164399
BrCCC1CCCCC1,3055.78550341
BrCCCCc1ccccc1,2749.95037366
BrCc1cccc(CBr)c1,3631.78847743
BrCc1ccccc1,4010.40379524
BrCc1ccccc1CBr,3859.24578971
Brc1c(Br)c(Br)c(Br)c(Br)c1Br,2542.48876364
Brc1cc(Br)c(Br)c(Br)c1,3409.11278541
Brc1cc(Br)c(Br)c(Br)c1Br,2918.30190213
Brc1cc(Br)c(Br)cc1Br,4361.00475693
Brc1ccc(Br)c(Br)c1,3725.76565289
Brc1ccc(Br)c(Br)c1Br,3409.11278541
Brc1ccc(Br)cc1,4078.711863
Brc1ccc(Br)nc1,5582.02190431
Brc1ccc(I)cc1,4727.77458843
Brc1cccc(Br)c1Br,3725.76565289
Brc1cccc(Br)n1,4949.07367301
Brc1cccc(I)c1,4633.21123182
Brc1ccccc1Br,4092.26514142
Brc1ccccc1I,4722.03290819
Brc1ccccn1,5512.59128459
Brc1cccnc1,5512.59128459
Brc1ccncc1,5225.6259745
Brc1cnc(Br)nc1,4578.6946923
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,2281.27908255
C#CC1(O)CCCCC1,3641.09095329
C#CCCC1CCCCC1,3002.43948208
C#Cc1ccc(Cl)cc1,3896.60493827
C#Cc1ccccc1C#C,3446.03873656
C#Cc1ccccc1O,4812.59028359
C1=CCC=CC1,4662.00250768
C1=CCCC=C1,4571.59074059
C1=CCCCC1,4362.0
C1=CCNCC1,5109.33726275
C1=COCCC1,4579.65
C1CCCCC1,4085.0
C1CCNCC1,4653.876666666667
C1CCOCC1,4785.0
C1CNCCN1,5600.0
C1COCCN1,5486.631166955
C1COCCO1,5207.866666666667
C1COCOC1,5235.81043015
C1CSCCO1,5258.61611103
C1CSCCS1,5260.47420753
C1CSCSC1,5944.1594712
C1OCOCO1,5962.94032587
C=C(C)C(=O)Nc1ccc(Cl)c(Cl)c1,2984.29264874
C=C(C)C(=O)OC1CCCCC1,2709.85011548
C=C(C)C(=O)OCc1ccccc1,2796.51364237
C=C(C)C1(C(C)C)CC=CC(C)C1,1992.55792379
C=C(C)C1(C)CCC(C)=C(C)C1,2340.55605526
C=C(C)C1=C(C(C)C)CCC(C)C1,2066.11570248
C=C(C)C1CC=C(CC)CC1,2497.50187375
C=C(C)CCCC(C)C=CC=Cc1ccccc1,1657.84252353
C=C(C)CCCC(C)C=Cc1ccccc1,1864.33043691
C=C(C)[C@H]1CC=C(C)CC1,2810.0
C=C(C)c1ccc(C(C)(C)N=C=O)cc1,2315.96017945
C=C(C)c1ccc(Cl)cc1,3413.7957972
C=C(C)c1cccc(C(C)(C)N=C=O)c1,2392.61177514
C=C(C)c1ccccc1,3550.0
C=C(CCOC(C)=O)c1ccccc1,1975.09738117
C=C=CC1CCCCC1,3291.58614624
C=CC(=O)OC1CCCCC1,2986.05512258
C=CC(=O)OCc1ccccc1,3086.41975309
C=CC=CC1=CCCCC1,3002.43948208
C=CCC1(C)CCC=C(C)C1,2600.4278744
C=CCC1=CCCC(C)C1,2741.15292892
C=CCC1=CCCCC1,3286.52844199
C=CCCC1=C(C)CCCC1,2530.27217632
C=CCN(C)c1ccccc1,2989.27378927
C=CCN1CCCCC1,3714.13269729
C=CCOC(=O)c1ccccc1,3086.41975309
C=CCOC(=O)c1ccccc1C(=O)OCC=C,2052.90473261
C=CCOc1nc(OCC=C)nc(OCC=C)n1,2522.6527914
C=CCS(=O)(=O)c1ccc(C)cc1,2827.69783638
C=CCc1ccc(OC(C)=O)c(OC)c1,2443.41464423
C=COc1ccc([N+](=O)[O-])cc1,3620.19463666
C=COc1ccccc1,3773.80965887
C=Cc1cc(Cl)ccc1Cl,3687.45227793
C=Cc1ccc(Br)cc1,2485.59344417
C=Cc1ccc(CCCCCCCCCCCC)cc1,1255.36580589
C=Cc1ccc(CCCCCCCCCCCCCCCCCC)cc1,940.255673149
C=Cc1ccc(Cl)c(Cl)c1,3544.96551332
C=Cc1ccc(Cl)cc1,3687.49048134
C=Cc1ccc(OC)cc1,3527.70063449
C=Cc1cccc(Br)c1,3777.52852497
C=Cc1cccc(C(F)(F)F)c1,2774.21926417
C=Cc1cccc(Cl)c1,3682.44270647
C=Cc1cccc(O)c1,4893.01231583
C=Cc1cccc([N+](=O)[O-])c1,3664.09720681
C=Cc1ccccc1,3877.0
C=Cc1ccccc1Br,3756.9657375
C=Cc1ccccc1Cl,4632.75951247
C=Cc1ccccc1O,4650.03921569
C=Cc1ccccn1,5019.36817374
C=Cc1cccnc1,4891.65600242
C=Cc1ccncc1,4867.97504771
CC#CC1CCCCC1,3392.02785262
CC(=Cc1ccccc1)[N+](=O)[O-],3310.3706587
CC(=O)C(C)C(=O)c1ccccc1,3055.78550341
CC(=O)C(Cc1ccccc1)C(C)=O,2863.84993854
CC(=O)C1=CCCCC1,3677.31763382
CC(=O)C=CC1=C(C)CCCC1(C)C,2295.83349866
CC(=O)C=CC1C(C)=CCCC1(C)C,2324.71161336
CC(=O)CC(=O)OCc1ccccc1,2844.44444444
CC(=O)CC(=O)c1ccccc1,3376.27847005
CC(=O)N(C(C)=O)c1ccccc1,2967.25918766
CC(=O)N1CCCCC1,3789.47580767
CC(=O)N1CCOCC1,4003.78409628
CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C,2331.17080252
