SMILES,TARGET
CC(C)CCOC(=O)Cc1ccccc1,1.486
CC(=O)OCC=C(C)C,1.43
ClCC(Br)CBr,1.553
C=CCCCCCCCCO,1.448
NCc1ccccc1OC(F)(F)F,1.454
CC1CCCCN1CCC#N,1.471
O=C1CCCC1=C1CCCC1,1.517
C=CC(=O)Oc1c(F)c(F)c(F)c(F)c1F,1.434
Cc1cccc(C)n1,1.498
CCOC(=O)C(F)(F)C(F)(F)C(F)(F)F,1.303
CCOC(=O)CS,1.458
CCCCC(=O)OCC,1.401
CC(C)(N)c1ccccc1,1.52
CN1CCCC1CCO,1.471
COCc1c(Cl)cccc1Cl,1.544
CC(Br)C(C)(C)Br,1.51
CCN(CC)CC(O)CO,1.46
Fc1ccc(F)nc1,1.444
CN1CCCCCC1=O,1.483
Cc1ccccc1S,1.581
Cc1cccnc1C=O,1.539
CCNC(C)=O,1.434
FC1(F)Oc2ccccc2O1,1.444
CCC1CCCCN1,1.45
C[Si](C)(C)OC1=C(O[Si](C)(C)C)CC1,1.435
CC(=O)C1(O)CCCCC1,1.467
c1cc2c3c(c1)CCC3CCC2,1.564
Cc1ccc(C(C)c2ccc(C)c(C)c2)cc1C,1.564
CCO[Si](CC)(CC)CC,1.413
CC(C)c1ccccc1Br,1.541
CCCCc1ccc([N+](=O)[O-])cc1,1.532
COC(=O)C(C)Br,1.452
OCCc1ccc(F)cc1,1.508
COC(=O)C[C@H](C)C(=O)OC,1.419
C[Si](C)(Cl)Cc1ccccc1,1.51
C=C[Si](CC)(CC)CC,1.434
C=COC(=O)CCl,1.444
C=C(C)C(=O)OCC(F)(F)C(F)F,1.374
COc1c(F)cc(Br)cc1F,1.51
OC(c1ccccc1)(C(F)(F)F)C(F)(F)F,1.415
C=CC(C)C(C)CC,1.415
CCN(CC)C(=O)CC(C)C,1.442
S=C=S,1.628
CCCCCCCCCCCCCC[Si](Cl)(Cl)Cl,1.457
CC(C)OC(=O)Cl,1.401
C=C(C)C(=O)OC1CCCCC1,1.458
CC1(CCl)CO1,1.434
CCCC(=O)OCCl,1.42
C/C=C\CO,1.434
O=Cc1ccc(Cl)s1,1.606
CC(C)(C)OC(=O)C1CC2C=CC1C2,1.46
CCOC(=O)CCCCCC(=O)O,1.441
Fc1ccccc1S,1.555
CC(C)=Cc1ccccc1,1.54
CN(C)C(=N)N(C)C,1.469
CN(CCN)CCN,1.471
CC/C=C\CCOC(=O)CC(C)C,1.432
CC(=O)C=C(C)C,1.445
CC(C)(C)OC(=O)C[C@H]1C[C@@H](CO)OC(C)(C)O1,1.452
FC(F)(F)Oc1ccc(CCl)cc1,1.454
O=[N+]([O-])c1cccc(C(F)(F)F)c1,1.472
CCCNc1ccccc1,1.543
FC(F)(F)C(F)(F)c1nc(C(F)(F)C(F)(F)F)nc(C(F)(F)C(F)(F)F)n1,1.312
CC(C)(C)CN,1.403
CCCCCCCCCCCCCBr,1.46
CNCCc1ccc(OC)cc1,1.524
CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)OCC,1.469
C=C1N(C)c2ccccc2C1(C)C,1.578
Fc1nc(F)c(Cl)c(F)n1,1.441
CN(C)S(=O)(=O)Cl,1.452
CCCCC/C=C/C(=O)O,1.459
Fc1cc(C(F)(F)F)cnc1F,1.388
C[C@@H](O)[C@@H](C)O,1.434
CC(C)C(O)c1ccccc1,1.519
CCCCCCCCCCC1CCCCC1,1.452
C[C@@H]1CCC[C@H](C)C1,1.423
CCCCC(=O)CC(=O)OCC,1.431
CC(C)c1ccc(CCl)cc1,1.524
NCCCN(CCCN)CCCN,1.494
CC(=O)c1nccs1,1.548
CO[Si](C)(C)OC,1.371
Cc1ccncn1,1.495
O=Cc1ccc(Cl)c(C(F)(F)F)c1,1.504
CCC1CC2C=CC1C2,1.463
ClCCSCCCl,1.531
C[Si](C)(C)C(Br)[Si](C)(C)C,1.468
O=C(CCl)OCc1ccccc1,1.526
OO,1.407
CC1CCC(CO)CC1,1.463
FC(Cl)(Cl)c1ccccc1,1.514
COC(=O)/C=C(\CC(=O)OC)C(=O)OC,1.464
CC1=CCC(C(C)C)CC1,1.474
c1ccc(SC2CC2)cc1,1.582
O=C(O)C1CCC1,1.443
C[Si](C)(C)CCl,1.417
Nc1cccc(F)c1,1.546
COC(CCCN)OC,1.43
CC1(C)[C@H]2CCC(=O)[C@@H]1C2,1.479
CCCOC(=O)c1ccco1,1.475
OCCSc1ccccc1,1.591
CCCCCCCOC(=O)CCC,1.423
CCOC(=O)c1cccc(Cl)c1,1.522
O=C1CCCC1C1CCCC1,1.478
CS(=O)c1ccccc1Br,1.617
CCCCCCCCC(C)C,1.415
C=C(CC)CCCC,1.415
OCCOCCOCCOCCOCCOCCOCCO,1.464
Fc1cccc(F)c1F,1.424
CCCCCCCCC1CCC(=O)O1,1.453
CC(=O)CCCCl,1.438
CC(=O)c1ccc(C)o1,1.513
Cc1cncs1,1.529
N#CCCN,1.438
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,1.499
CCCCCOc1ccc(C=O)cc1,1.534
CCOC(=O)c1cc(Cl)ccc1Cl,1.539
CC(C)[C@H]1CC[C@@H](C)CC1,1.444
O=C1CCCCCC1=O,1.469
CCCCOP(=O)(OCCCC)OCCCC,1.4222
CC(C)NCCCCO,1.45
Cc1cccc(N=C=O)c1,1.531
CCCCCC/C=C\CCCCCCCC(=O)OC,1.45
CCN(CC)[Si](C)(C)c1c(F)c(F)c(F)c(F)c1F,1.448
COC(=O)C1CCCO1,1.438
CCCCCCCCOC(=O)c1cccnc1,1.488
C=C/C=C/CC,1.441
CCCCC(O)CCC,1.4255
OCCOCCOCCOCCOCCOCCOCc1ccccc1,1.494
NCCCN1CCOCC1,1.477
CC1CC(CC2CCC(N)C(C)C2)CCC1N,1.5
C#CCOC(C)=O,1.419
CCCOC(OCCC)(OCCC)OCCC,1.411
CCCCCOC,1.386
CC(C=O)c1ccccc1,1.517
Fc1cccc(I)c1,1.585
CCCCCC/C=C\CCCCCCCCCC(=O)OC,1.452
C/C=C/C(=O)OC(C)(C)C,1.425
CCCCc1ccc(Br)cc1,1.53
CC(C)(C)c1ccc(Cl)cc1,1.512
c1cocn1,1.427
C/C=C/C(=O)OC(C)C,1.424
Oc1cc(OC(F)(F)F)ccc1Br,1.482
