SMILES,TARGET
CCCCCC(C)C,0.019676
ClC(Cl)(Cl)Cl,0.02776
NN,0.0685
CC(C)CCN,0.0233
CCCC(C)(C)C,0.017543
CCCCCCCCCO,0.02755
CC(C)CCNCCC(C)C,0.02421
ClCCCl,0.0301
CC(C)CCl,0.0218
CCCC(=O)O,0.02619
CCC(C)(C)O,0.02361
Nc1ccccc1Cl,0.0405
CCC(C(=O)OC)C(=O)OC,0.03175
CCCOC(=O)CCCCCCC(=O)OCCC,0.03166
CC#N,0.02776
COCCOCCO,0.03473
COB(OC)OC,0.01945
COC(C)=O,0.0247
Brc1ccccc1,0.0365
CC(=O)C=CC=C(C)CCC=C(C)C,0.03161
Fc1ccc(F)cc1,0.0265
CCC(C)C(C)(C)C,0.0204
CCOC(=O)CC(C)=O,0.0323
O=C(O)C(F)(F)F,0.01344
CCCCOC(=O)CCCCC(=O)OCCCC,0.03122
CC(C)=O,0.02302
CCC(C)(C)C,0.0157
CCCOC(=O)C(CCC)C(=O)OCCC,0.02857
CCOC(=O)CCCCCCCCC(=O)OCC,0.03219
CNN,0.035
CC(C)CCO,0.02415
C=CCCCCCCCCCCCC,0.02598
CCCCC(O)CO,0.0238
CCNC(=O)OCC,0.03027
c1ccccc1,0.028165
CCOC(=O)Cl,0.0262
Cc1ccc(Cl)cc1,0.03224
CCOC(=O)C=Cc1ccccc1,0.0365
Cc1ccccc1N,0.0412
CCC(CC)CO,0.02432
Cc1ccccc1C,0.02935
NC=O,0.05651
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,0.0297
CCCCCCOc1ccccc1,0.03088
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,0.01804
COC(C)OC,0.0209
BrCCBr,0.03754
Cc1ccc(N)c(C)c1,0.03675
CC(O)CO,0.0354
Cc1ccccn1,0.03278
CC(=O)O,0.027
CC(C)(C)O,0.01985
CCCCCCO,0.02573
CCCCN(CCCC)CCCC,0.02686
CCCO,0.02315
OCCCO,0.053125
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],0.0502
S=C=Nc1ccccc1,0.039324
CCSCC,0.02416
COc1cccc(O)c1,0.046
ClC1CCCCC1,0.03105
CCCC#N,0.02588
CC(C)CCOC(=O)CCC(=O)OCCC(C)C,0.02944
CCCC,0.0128
CC(=O)CCCC(C)CCCC(C)C,0.02633
C=CCCCC,0.01749
CC(C)OC(=O)CCCC(=O)OC(C)C,0.02912
CCCCNc1ccccc1,0.0339
N#CC(O)c1ccccc1,0.04298
C=CCCCCC,0.01937
C1CCNCC1,0.02956
C=CCN,0.02427
CC(=O)c1ccccc1,0.0388
CC(C)C(C)(C)O,0.02359
ClCC1CO1,0.034
Fc1ccc(Br)cc1,0.0343
CCCCC#N,0.024038
c1ccc2ncccc2c1,0.04425
CC(C)CO,0.0223
FC(F)(Cl)C(F)(Cl)Cl,0.01724
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,0.034793
CC(C)CC(C)C,0.017649
CCCCOC(=O)C(CC)C(=O)OCCCC,0.02886
CC(C)CCC#N,0.02561
CCC(=O)O,0.0255
CCOC(=O)c1ccccc1O,0.0363
CCC(C)Cl,0.02193
CC[N+](=O)[O-],0.0315
CCCCCCCCCCCCCCCCCC,0.02759
CC=C(C)C,0.01613
CCCC[N+](=O)[O-],0.02868
CCCCOCCOCCO,0.02501
CO,0.02212
CC(=O)CC(C)=O,0.0309
CCOCC,0.016578
CCC(C)CO,0.02361
COC(=O)c1ccccc1,0.0372
OCCN(CCO)CCO,0.04588
Cc1cccc(N)c1,0.03773
CC(C)(C)Cl,0.0189
FCC(F)(F)C(F)(F)C(F)(F)F,0.012057
NCCO,0.04796
CCCCCCOCOCCCCCC,0.0269
CCCCCC,0.01794
CCCOC(=O)CCCCCCCCC(=O)OCCC,0.03178
CCOC(=O)CCCCC(=O)OCC,0.0322
c1cc[nH]c1,0.03706
CC(C)OC(=O)CCC(=O)OC(C)C,0.02781
CN(C)CCO,0.0315
CC(C)CN,0.02171
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,0.01743
O=Cc1ccccc1,0.0421
CCCCCOC(=O)CCC(=O)OCCCCC,0.02987
CCCOB(OCCC)OCCC,0.02151
C1CCC(NC2CCCCC2)CC1,0.03376
C[N+](=O)[O-],0.0358
O=COCC(COC=O)OC=O,0.0467
COCCOCCOC,0.02456
Cc1ccccc1C#N,0.0367
CCCC(C)(C)O,0.0229
CCCC(C)O,0.02328
COCCOCCOCCOC,0.02756
COCOC,0.020358
CC(C)[N+](=O)[O-],0.02868
COc1ccccc1[N+](=O)[O-],0.0484
CCC[N+](=O)[O-],0.02961
CCOC(=O)NC,0.03212
CC(=O)CC=C=C(C)CCC=C(C)C,0.03026
FC(Cl)Cl,0.0183
C[Si](C)(C)N[Si](C)(C)C,0.01816
CC(C)(C)[N+](=O)[O-],0.02738
CC1=CCC(CC(=O)O)C1(C)C,0.0338
COC(=O)CCCCCCC(=O)OC,0.03566
CCCNc1ccccc1,0.03477
CC(C)COC(=O)CCC(=O)OCC(C)C,0.02785
COC(C)(C)C,0.01815
FC(F)(Br)C(F)(F)Br,0.016
O=CO,0.03817
CCCCOC(=O)CCCCCCC(=O)OCCCC,0.03113
ClCCOCCCl,0.03723
CCCCCN(CCCCC)CCCCC,0.0258
Fc1c(F)c(F)c(C(F)(F)F)c(F)c1F,0.02176
CCSC(C)(C)C,0.02336
CCCCCCCCCCC1CCCCC1,0.02909
CCCCC(C)C,0.0188
Cc1cccc(C)c1,0.02836
C#CC(C)(O)CCCC(C)CCCC(C)C,0.02676
Fc1c(F)c(F)c(F)c(F)c1F,0.0218
COCCOC,0.02379
CCNCC,0.01991
FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,0.01941
CC1=CCC(C)C(C)C1=O,0.03067
Cc1ccc(C)cc1,0.02789
CCOC(=O)OCC,0.02543
FC(Cl)C(F)(F)C(F)(F)Cl,0.01618
O=[N+]([O-])c1ccccc1,0.0425
CC(C)CNCC(C)C,0.02189
CCC(=O)OC,0.0243
CCCCCC(C(=O)OC)C(=O)OC,0.0302
FC(F)(F)C(Cl)Cl,0.0148
CC(C)CB(CC(C)C)CC(C)C,0.02192
FC(Cl)(Cl)C(F)(Cl)Cl,0.02273
CCCN(CCC)c1ccccc1,0.03246
CCCCCCCCCCO,0.02812
CCCCCN,0.02499
CCCCCCCCCC(=O)OCCCC,0.02816
CCCCOC(=O)CCC(=O)OCCCC,0.03022
FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,0.01226
CCOC(=O)CCC(=O)OCC,0.031
CC=O,0.0206
CCCCCNCCCCC,0.02579
Cc1ccc(C#N)cc1,0.03651
C1CCCC1,0.02206
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.01396
O=C(OCc1ccccc1)c1ccccc1,0.0425
FCC(F)Cl,0.0107
CCC(C)(C)CC,0.01925
CCCC(C(=O)OCC)C(=O)OCC,0.02858
FC(F)CC(F)(F)F,0.013589
CCC(C)(C)CO,0.02441
O=[N+]([O-])c1cccc(F)c1,0.0371
CC(C)CC(C)(C)C,0.0186
CCOC(C)=O,0.0237
OCC(F)(F)F,0.02111
CC(C)C,0.01005
CCC(C)O,0.0233
c1ccc(CNCc2ccccc2)cc1,0.03961
CCCOC=O,0.02383
CCCCO,0.0242
CCCN(CCC)CCC,0.02248
Cc1ccccc1[N+](=O)[O-],0.0409
