SMILES,TARGET
Fc1ccc(Br)cc1,0.0343
O=[N+]([O-])c1cccc(F)c1,0.0371
COc1ccccc1[N+](=O)[O-],0.0484
CCCCCCOc1ccccc1,0.03088
COc1ccccc1OC,0.0377
Cc1ccccc1C,0.02935
Clc1cccc(Cl)c1,0.0356
COc1cccc(OC)c1,0.0386
Cc1cccc(C)c1,0.02836
Cc1ccc(C)cc1,0.02789
Cc1ccccc1Br,0.0341
Nc1ccccc1Cl,0.0405
N#CC(O)c1ccccc1,0.04298
Cc1ccccc1N,0.0412
Cc1ccccc1C#N,0.0367
Cc1ccccn1,0.03278
Cc1ccccc1[N+](=O)[O-],0.0409
OCCc1ccccc1,0.03943
Cc1ccc(N)c(C)c1,0.03675
Cc1cccc(F)c1,0.0283
COc1cccc(O)c1,0.046
Cc1cccc(N)c1,0.03773
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,0.0297
CC(=O)C=CC1=C(C)CCCC1(C)C,0.03843
Cc1ccc(Cl)cc1,0.03224
COc1ccc(C=O)cc1,0.0418
CC(=O)c1ccccc1,0.0388
O=Cc1ccccc1,0.0421
c1ccccc1,0.028165
Brc1ccccc1,0.0365
Clc1ccccc1,0.033
ClC1CCCCC1,0.03105
NC1CCCCC1,0.03154
CCCCCCCCCCC1CCCCC1,0.02909
CCOC(=O)c1ccccc1O,0.0363
CCOC(=O)C=Cc1ccccc1,0.0365
Fc1ccccc1,0.02743
Fc1c(F)c(F)c(F)c(F)c1F,0.0218
Ic1ccccc1,0.04035
Cc1cccc(C#N)c1,0.03581
COC(=O)c1ccccc1,0.0372
CN1CCOCC1,0.02822
CCCNc1ccccc1,0.03477
CC(C)CN(CC(C)C)c1ccccc1,0.0299
CCCN(CCC)c1ccccc1,0.03246
O=[N+]([O-])c1ccccc1,0.0425
Fc1c(F)c(F)c(C(F)(F)F)c(F)c1F,0.02176
Cc1ccc(C#N)cc1,0.03651
C1CCNCC1,0.02956
c1ccncc1,0.03652
C=Cc1ccccc1,0.03072
C1COCCN1,0.03768
Cc1ccccc1,0.027541
C1COCO1,0.03271
CC1=CCC(CC(=O)O)C1(C)C,0.0338
CC1CCC(CC(=O)O)C1(C)C,0.0314
C1CCCC1,0.02206
O=Cc1ccco1,0.04295
c1cc[nH]c1,0.03706
C1CCNC1,0.02923
Brc1cccc2ccccc12,0.04328
Cc1cccc2ccccc12,0.03751
FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,0.01941
c1ccc2ncccc2c1,0.04425
C1CCC(NC2CCCCC2)CC1,0.03376
CC1=CCC(C)C(C)C1=O,0.03067
c1ccc(CNCc2ccccc2)cc1,0.03961
CN1CCCC1=O,0.04025
ClCC1CO1,0.034
O=C(OCc1ccccc1)c1ccccc1,0.0425
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,0.0184
