SMILES,TARGET
CCCCCCCCCCCC(C)CC(C)CC(C)C,5.7
CCC(F)Cl,0.418341
CCCCI,0.82603795
C1=CCCCC1,0.66
CCC(=O)OCCC(C)CCC=C(C)C,1.27104
C/C=C(/C)Cl,0.398001
CCCCn1cccc1,0.98052
c1ccc2c(c1)CCCC2,2.121
CCC(C)CN(CC(C)CC)CC(C)CC,1.18427
CCSC,0.373
COCCOCCOCCOCCO,3.26
CCC(C)N(C)C,0.396362
CC(C)(C)N,0.4391
CCCC(C)CC(C)(C)C,0.52
CCC(C)(O)CC(C)C,0.685801
COC(=O)C(C)O,0.702631
CCCCC(CC)COC(=O)c1ccccc1,5.574
CC(C)CCC(C)(C)O,0.675691
CCCOc1ccccc1,1.588
ClCC(Cl)Cl,1.103269655
Cl/C=C\Cl,0.442529
CC/C=C/C(C)(C)C,0.378555
C=CCC(C)C(=O)OCC,0.66577
C1CCCNCC1,1.78221
C=C(Br)CCC,0.679406
CC(CO)CC(C)(C)C,0.725642
O=C/C=C/c1ccccc1,3.4778
CC(Br)Br,0.995665
C[C@H]1CCCC[C@H]1O,18.08
CCCNCCC,0.465947
CCOC(=O)C1CCC1,0.996
CCCCOC(=O)c1ccccc1C(=O)OCCCC,19.91
CCCCCC(=O)OCCC,0.783344
COC(=O)NCCC[Si](C)(C)O[Si](C)(C)C,11.0
C=C/C(C)=C/C,0.343255
COC(=O)CCCCl,1.519
C[C@H]1CC[C@@H](O)CC1,24.7
C=C(C)C(Cl)CC,0.535218
CCCCCCCCCCC1CCCC1,3.2
CCCC(C(C)=O)C(=O)OCC,2.264
C=COCCC,0.359281
CC[SiH](CC)CC,0.39
CCCCCCOC(=O)C(C)(C)C,0.897766
CCO[Si](OCC)(OCC)OCC,0.6
CCc1ccccn1,0.700336
CC(C)CC(=O)O,2.411
CCOC(=O)C(CC)C(C)=O,1.69
COc1ccc(Br)cc1C12CC3CC(CC(C3)C1)C2,1.76
C1=CCCC=C1,0.549398
Br/C=C/CBr,1.15364
ClC=CCl,0.48
CC(CCO)CCO,1.42842
CCCCCCCCCCCCCN(C)C,1.14047
CCC(C)(Cl)C(C)C,0.604403
C=CCCCCCCCCC,0.9463835
C=CC(=O)OCC(C)CC,0.68855
CC=CCCBr,0.705072
CCCOC(=O)CC(CC(=O)OCCC)C(=O)OCCC,16.6
FCC(F)(F)CCl,0.452075
CCCCC=C(C)C,0.403964
C1CC[C@H]2CCCC[C@@H]2C1,2.12
CCCCCCC(=O)OCC(COC(=O)CCCCCC)(COC(=O)CCCCCC)COC(=O)CCCCCC,29.7
COC(=O)CC#N,2.61122
CC[C@H]1CC[C@H](C)C1,0.473265
C=C(Br)C(C)C,0.682802
C=CCCCCCCC,0.62
CCCC(=O)OC(=O)CCC,1.52109
ClC(Cl)(Cl)C(Cl)(Cl)Cl,2.26
CCCCCc1ccccc1,1.20598
C[C@@H]1CCCC[C@@H]1C,1.08353
CC(C)CC(=O)CC(C)C,0.932621
CC1=CCC2CC1C2(C)C,1.7
CCC(C)(C)OC(=O)CC(C)C,0.868256
CCCNC,0.299324
CCOC(=O)CC(=O)OCC,1.7277049999999998
CCC1CO1,0.4
Br/C=C\CBr,1.1942
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,10.8
CCCCCCI,1.09994
FC(F)(Cl)C(Cl)(Cl)CCl,0.598063
C=C(C)CCBr,0.683291
C=CCCCCCCCCCCCCCCCCC,4.60579
CC(O)CC(C)(C)C,0.612705
O=C(O)C(Cl)Cl,5.915616342
CC(C)CC(=O)OC(C)C,0.64675
CCCCCOC(C)=O,0.92
FC(F)(Cl)C(F)(Cl)Cl,0.711
O=C1CCCCC1,2.0608
CCCCCC(C)CCC,0.728613
CCCC(CCC)C(=O)O,7.642
CC(=O)C(C)(C)C,0.71285303
CN(C)P(=O)(N(C)C)N(C)C,3.47
C/C=C(\C)C(=O)OCC,0.621069
C=COCCCC,0.395729
CCCOC(=O)C(C)C,0.7389
CCC(C)OC=O,0.441986
CCCC(C)=O,0.48464
CCOC=O,0.3924999999999999
BrC(Br)C(Br)Br,9.797
COC=O,0.3355
CCCC(C)CC(=O)OCC,0.758052
CCN1CCOCC1,1.08
C=C(C)CCC(C)C,0.398024
Cc1ccc(Br)cc1,1.16425
CC(C)CCCl,0.418906
CCC(C)COC(C)=O,0.872
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC,4.4275
ClC(Cl)C(Cl)Cl,1.6244999999999998
CC(C)C1CCCC1,0.482062
COC(=O)C1CCC(C(=O)OC)CC1,8.0
CCCCC#N,0.691830971
CCCCCCCCC1CCCCC1,2.91985
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.914625469
C/C=C/c1ccc(OC)cc1,3.52591
CCc1cccc(N)c1,1.24554
CCC=CF,0.168827
CCCCC(C)CCOC(C)=O,0.853621
CCCCCCCCCCCCCCCCCC,3.98473
CCCCC(C)=C(C)C,0.465516
C=CCCCCCCCCCCCCCCC,3.24
CCOC(=O)/C=C/c1ccccc1,8.7
CC(Cl)C(Cl)(Cl)Cl,0.924584
CCCCC(CC)C(=O)OCC,0.799632
C/C=C\C(C)Br,0.700646
C=C(C)CCCCCCC,0.580662
CCCCCCN,0.837412
OCCOc1ccccc1,12.8581
ClC(Cl)=C(Cl)Cl,0.8634999999999999
CCCCCN(CCCCC)CCCCC,0.987948
CC/C=C\CBr,0.692294
CCc1ccccc1CC,0.9
C=CC#N,0.341372078
Clc1cccc2ccccc12,2.94
CC/C(C)=C(/C)CC,0.413466
CC(C)CCOC=O,0.794
CCCCCCCCCCCCC1CCCC1,4.56
CCc1ccccc1Br,1.18928
CCOCC,0.229634
C/C=C\CCl,0.402393
FC(F)(F)C(F)(Br)Br,0.72
C/C=C/C(C)Br,0.700646
CC(C)(O)C(F)(F)F,3.32
CCCCCCCCCCCCCC(=O)OC(C)C,5.6
O=C(Cl)c1ccccc1,1.137627286
CCCCCCCCOC(=O)CCCCCCC,4.4
C=CC(C)CCCC,0.418595
C=CC(=O)OCCCC,0.8195436666666667
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,57.58
CCCCCCCCC(C)C,1.15
CC(C)CCN,0.7235
CN(C)C=S,1.981527026
CCCCOP(OCCCC)OCCCC,1.9
C=CC(C)Cl,0.388175
C=C(C)OC(C)=O,0.439785
BrC=CCBr,1.18215
FCC(F)(F)C(F)(F)Cl,0.247953
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC,4.8073
S=C=NC1CC1,0.58
Fc1ccccc1,0.5705
CCI,0.59
FC(F)(F)/C(Cl)=C(/Cl)C(F)(F)F,0.402248
CCC(=O)c1ccccc1,1.51
CCCC1CCCCC1,1.01
CCCOCCOCCO,6.8
C=Cc1ccccc1C,0.836444
CCOC(=O)CC=C(C)C,0.709547
CC1CCNC1,0.488464
OCCOCCOCCOCCO,44.63
CCC(F)(F)CC,0.38898
C=CC(=O)OC(C)(C)C,0.581858
Cc1cc(C)nc(C)c1,0.805378441
C=CCCCCCCCC,0.805
C/C=C(/C)C(C)(C)C,0.403579
CCCCCCCS,1.24
CCCCc1ccccc1,0.968
CCCCCCCCCC(C)OC(=O)CCCCCCCC,6.6
CCOC(=O)CCC(C)=O,1.9296
COCCOC,0.4343666666666666
CC(O)COC(C)COC(C)COC(C)CO,44.89
CCCCCC/C=C\CCCCCCCC(=O)OC,3.6471
CN(CCO)CCO,77.85
CC12CCC(CC1)C(C)(C)O2,2.3129709085
CCCCOCCOC(C)=O,0.882633
CCCN(C)CC,0.387569
C=CCCCCCCCCCOC(C)=O,1.27104
CC(=O)CCC=C(C)C,0.980181
CC(CO)c1ccccc1,15.6
CCCCCCCCCCBr,2.55
CSC(C)C,0.403029
CC(=O)c1ccc(C)cc1,1.581
FC(Cl)C(F)(F)C(Cl)(Cl)Cl,0.690238
CCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CC,10.3
CCOC(=O)CCCCCC(=O)OCC,3.29
CN1CCOCC1,1.028
CCCCCC1CCCCC1,1.06
CC1C=CCC1,0.3082465
CCc1ccc(CC)cc1,0.89
CCCC(CC)CCO,0.729138
C/C=C\CC,0.21
CCCCCCCCCC(C)C,1.79
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,1.8
CC(C)OC(C)C,0.3178
CCCCCCCCCCCCCCC1CCCCC1,9.0
C=C(CC)C(C)CC,0.398045
C=C(C)C(=C)C,0.2733
CC(C)COC=O,0.665
COCCOCCOCCOC,2.0475
