SMILES,TARGET
CN1CCCC1c1cccnc1,8.937
O=P(N1CC1)(N1CC1)N1CC1,14.62
CCCCCCCCI,4.62
CCCCN(CCCC)C(C)=O,19.1
CCCC=C(C)CCCC,2.18
CCOC(=O)NC,21.1
CC(=O)C(Cl)Cl,14.6
C=C(C)C(=C)C,2.101
CCCCCCCCCCCl,4.581
CN1CCN(C)C1=O,37.6
CCCOP(=O)(OCCC)OCCC,10.93
CCCOC(=O)c1ccccc1,5.75
N#CC1CCCC1,22.68
CCCCOCCN=C=O,9.355
CCCCCCC(C)O,8.0
CC12CCC(C1)C(C)(C)C2=O,12.2666666666667
O=C(O)C(Cl)Cl,8.36666666666667
CCCCC(C)(O)CC,3.7475
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1.76
NCCNCCN,12.62
CCCCCCCC(=O)OC,4.101
ClC(Cl)C(Cl)Cl,8.35
CCCCCC(F)CC,4.28
CCCC(C)(O)CCC,2.886
CCCCC(C)O,11.06
c1cc[nH]c1,8.1575
CCC(Br)(Br)Br,6.4
CCl,11.45
COC(=O)OC,2.9785
CCCCC(Br)C(C)Br,5.08
BrCc1ccccc1,7.2
CCC(O)CCC(C)C,5.34
CCCCCC=CCC=CCCCCCCCC(=O)O,2.732
CCCCCCCCCCCCCl,4.17
CCCCOC(=O)c1ccncc1,7.8
COC(=O)CC(=O)OC,9.91
C=CC(C)(O)CCC1OC1(C)C,5.78
CC(F)(F)Cl,7.8314064516129
Cc1ccc(Br)cc1,6.9015
CC(C)CC(=O)O,2.6
CCCC(C)O,13.45
Fc1cc(Cl)cc(C(F)(F)F)c1C(F)(F)F,5.44
CC(C)(C)C,1.769
CCC(=O)OCCC(C)C,4.47
ClP(Cl)(Cl)(Cl)Cl,2.85
COC(=O)c1ccccc1C(=O)OC,8.55333333333333
ClC(Cl)C(Cl)(Cl)Cl,3.723
CC=C(C)Br,6.7
CCCCCCCI,4.92
SC1CCCCC1,5.42
CCCNc1ccccc1,5.48
CCCC/C=C/CCCC,2.03
CCC(Br)C(Br)CC,6.216
COC(F)(F)C(F)(F)F,8.16505882352941
CC(C)(C)N=S=NC(C)(C)C,3.41
O=C(O)CCC(=O)O,2.4
CCCCN(CCCC)C(=O)N(CCCC)CCCC,9.41
C=Cc1ccccn1,9.126
FC(F)(Br)Br,2.826
CCCCOC(=O)c1ccccc1C(=O)OCCCC,6.47
CC1=CC(=O)OC1=O,40.3
CC(=O)CC(C)=O,24.762
C1C[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C1,2.04425287356322
CCC(C)=O,18.47
CCCCCC(=O)O,2.82
NC=O,109.866666666667
CCC(C)OC(C)=O,5.135
CCOP(=O)(OCC)N(C)C,11.7
ClSCl,2.915
O=S(=O)(c1ccccc1)C(F)(F)F,31.0
CCC(C)(C)Br,9.2
CCC=CCC,2.031
CCCCCC#CCCCCC,2.171
CCCCC(I)CCC,5.42
CCOS(=O)OCC,15.75
O=[N+]([O-])c1cccc(CO)c1,22.0
CCCC(O)CC(C)C,3.319
FC(F)C(F)C(F)(F)F,7.27629444444444
CC(C)CCCCCO,9.8
COCCOCCOC,7.23
O=C(OC(=O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,5.0
CCCCCCCCCCCCI,3.92
Fc1cccc(Cl)c1,4.96
CCC(C)(C)F,5.89
CC=O,21.05
CCOC(=O)c1ccncc1,8.95
CC1CCCO1,6.97
FC(F)(Cl)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)Cl,2.86
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,4.96
c1ccc(COCc2ccccc2)cc1,3.821
CCOC(C)(C)C,7.07
CCCCCCC(C)(C)C(=O)O,2.8
CC(C)CBr,7.18
CCCCN,5.25
CP(C)(C)=S,71.6
CCCCCNC(C)=O,89.9
FC(F)(Cl)Cl,2.4
CI,6.945
Cc1ccccc1Cl,4.557
O=C1CCCCCC1,13.5017045454546
CCCCCCCOC(C)=O,4.2
CC(=O)OCCF,7.8
CC1CC(C)S(=O)(=O)C1,29.5
Cc1ccccc1O,9.94
COC(C)(C)C,3.55
FC(F)(Br)C(F)(F)Br,2.34
CC(=O)C(C)(C)C,12.73
CCOC(=O)OCC,2.815
CCCCCC(Cl)CC,6.17
O=C(CCCCCCCCC(=O)OCc1ccccc1)OCc1ccccc1,4.60333333333333
Nc1cccc(Br)c1,13.0
CCC(I)CC,7.431
CCCCP(=S)(CCCC)CCCC,30.8
CSSC,9.6
CC(C)CCOC(=O)c1ccccc1O,5.4
CC(C)COC=O,7.28
CC(C)N(C=O)C(C)C,24.2
O=C1CCCC1,13.6372881355932
ClC(Cl)(Cl)c1ccccc1,7.15
CCCCCCC(O)CC,4.49
CCOC(=O)Cl,10.368
CCc1cccc(CC)c1,2.369
CCCC(=O)O,2.925
CC(C)(O)c1ccccc1,5.61
CCCCC(=O)OC1CCCCC1,4.32
CCC/C=C\CCC,2.053
CC(C)CCCC(C)CCCC(=O)O,3.0
Fc1cccc(I)c1,4.62
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,4.54
c1ccoc1,2.96766666666667
CCCCCC(C)=O,11.8333333333333
FC(F)(Cl)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)Cl,2.75
I,2.9
O=S=Nc1cccc(Cl)c1,7.0
O=S(=O)(c1ccc(F)cc1)C(F)(F)F,12.7
OCCCc1ccccc1,11.97
C=CCCCCCCC,2.18
CCCNC(C)=O,117.8
c1cc2c3c(cccc3c1)CC2,3.0
CCCC(=O)N(C)C,29.7
BrC(Br)Br,4.395
CCCC(C)CCCO,4.385
CC(Br)C(C)Br,5.956
CCCC(OCC)C(Br)CC,6.24
CCCCCCCC(O)CC,4.05
O=C=NP(N=C=O)N=C=O,5.3
CCCO,21.22
O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],2.36
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,1.91
C=C(C)C1CC=C(C)CC1,2.3405
CC/C=C(\CC)CCC,2.475
CCCON=O,9.43
C/C=C(\C)Br,6.76
COP(C)(=O)OC,22.3
C#CCCCC,2.621
CCCCC(C)(C)O,3.257
Cc1ccc(O)cc1C,9.02
O=[N+]([O-])c1ccccc1O,16.75
CCNC=O,101.5
O=C1OCC(F)O1,79.7
CCCCCCCO,11.765
O=S(Cl)Cl,8.9625
C=C(C)c1ccccc1,2.28
CCCCOC(=O)c1cccs1,6.4
CCCCCCCCCCCCBr,4.07
CSc1ccc(Cl)cc1,5.95
Cc1ccccc1N(C)C,3.4
ClC(Cl)c1ccccc1,6.9
CCC(Br)CBr,4.74
CC[C@@H](Br)[C@@H](Br)CC,4.67
Nc1ccccc1Cl,13.4
C/C=C/CCC,1.978
C1CCCC1,1.962835
C=C(C)[C@@H]1CC=C(C)CC1,2.3738
Cc1ccccc1Br,4.9295
CCCCCCCCC(CCCCCCCC)CCCCCCCC,2.1061
CCCCSCCCC,4.29
NC(=O)CCC(N)=O,2.9
CCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCC,2.102
Cc1ccccc1[N+](=O)[O-],27.4
CCCCCCCCCCCCCCCCCC(=O)OCC,3.106
CCCCCCCCCCCCCCCC(=O)OCC,3.2
CNS(C)(=O)=O,104.4
c1ccc(Cc2ccccc2)cc1,2.53
CC(=O)C=C(C)C,15.25
C1CCCCC1,2.00857
CC(S)CS,7.24
CCCCCOC(=O)Cc1ccccc1,4.48
CCC(C)C(C)CC,1.9712
CCCCCCCOC(=O)c1ccncc1,6.07
CC1COC(=O)O1,64.65
O=C1OCCO1,90.5
Brc1ccccn1,23.18
Fc1ccc(I)cc1,3.12
COC(=O)CCCC(=O)OC,7.87
CC(O)CC(C)(C)O,24.7
Cc1cccc2ccccc12,2.7984
CCCCCC(C)Br,6.46
CCCCC(CC)C(=O)O,2.64
COc1cccc(Br)c1,11.5274074074074
C1CCCCCC1,2.07107
CCCCCCl,6.654
CC(=O)OCCc1ccccc1,4.93
CCC(Br)CC,8.37
CCCCCCCCC=CCCCCCCCC(=O)OCCCC,4.0
CCCCCCCCC(=O)N(C)C,15.8
Cc1ccc(S(=O)(=O)c2ccc(C)c(C)c2)cc1,23.5
CC(C)(C)C#N,20.93
CCCCC(O)CCCC,3.54
CC[N+](=O)[O-],28.0
CC(=O)N(C)C,37.7655411646587
CCOC(=O)C=CC(=O)OCC,7.56
CCCCCCCCCCCC,2.016
O=S=Nc1ccc(N=S=O)cc1,7.8
OC[C@@H](O)[C@@H](O)CO,50.3629411764706
CCOC(=O)C=C(CC(=O)OCC)C(=O)OCC,6.4
CC(=O)OCCC#N,19.3
CNC=O,186.9
CCOC(=O)C1CCCS1,6.18
CCCS(=O)(=O)CCC,32.62
CC(C)COC(=O)Cl,9.1
O=CC=Cc1ccccc1,17.31
CCCCCCC(CCCCCC)CCCCCC,2.0715
C1CCNCC1,4.99
CC(C)CCN(CCC(C)C)CCC(C)C,2.29
CCOC(C)OCC,3.8
CCCCCCCCC=CCCCCCCCC(=O)OCC,3.17
CC(C)CCC(C)C,1.9503
CC(C)CI,6.47
CCOC(=O)CCCCCCCCC(=O)OCC,5.0
OCC(O)C(O)C(O)CO,40.0
c1ccc(Nc2ccccc2)cc1,3.73
CCC(CC)CC,1.93845
CCC(C)C#CC=O,13.0
CC(C)(C)N=S=O,7.22
OCCCl,25.9
CN(C)c1ccccc1,4.77673333333333
CC(=O)NCCO,96.6
C=COC=C,3.94
O=C(Oc1ccccc1)c1ccccc1O,6.72
C=CC=CC,2.32
CCCCCCCCCCO,8.42817307692307
c1ccc(Sc2ccccc2)cc1,5.43
COCCO,16.55
FC(Br)(Br)Br,3.0
CCCCCC(C)Cl,6.52
CCCCC=O,10.0
CC(C)(C)CC(=O)O,2.85
COc1ccc(Br)cc1,7.06
CCCCCCCCCCCCCC(=O)OCC,3.5
CCCCOC(C)=O,4.99
CCCC/C=C\CCCC,2.071
CC1=CC[C@@H]2C[C@H]1C2(C)C,2.3684
CSC#N,35.9
CCCCOC(=O)C(C)O,12.5839777777778
CS(=O)(=O)Cl,34.0
CCCCCCOC(=O)c1cccs1,5.57
N#CCCCCCC#N,31.4821052631579
ClSSCl,5.0
CCS,7.3335
O=C(Oc1ccc2ccccc2c1)c1ccccc1O,6.2
CCN(CC)C(=O)N(CC)CC,14.39
CCCCCCCCCCCCCCCCCCCCO,3.13
NCCO,34.82
CCCCCCCC(=O)OC1CCCCC1,3.7
Cl,4.6
CCCC(Cl)CCl,6.89
CCCCC(=O)CC,12.8
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,2.55
CC(C)CC(C)C(C)C(=O)O,2.6
ClC(Cl)(Cl)Br,2.4025
CCC(CC)CO,6.19
CCc1cc(C)cc(CC)c1,2.264
COS(=O)(=O)OC,55.0
C1OCOCO1,15.55
FC(F)(F)c1ccccc1,9.2
O=C(Cl)c1ccccc1,22.7
NCCNCCNCCNCCN,2.39
CCc1cc(C)cc(C)c1,2.275
OC(C(F)(F)F)C(F)(F)F,16.7
Cc1ccc(C=O)o1,24.3066666666667
OCCCO,34.55
CC=Cc1ccccc1,2.705
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC,3.466
CCN(C=O)CC,28.4
CCCCCCc1ccccc1,2.3
CC(C)CCOC(=O)CCl,7.8
COc1cccc(C)c1,3.9835
COc1ccccc1OC,4.40433333333333
Cc1cccc(C)c1,2.37466666666667
CCCCCCCCC(=O)O,2.488
CCC(Br)C(=O)O,7.2
c1ccc(CNCc2ccccc2)cc1,3.523
ClCCCCCCl,9.92
CCOCCO,13.38
CC(C)N1CCOC1=O,51.0
CCC(=O)OC1CCCCC1,4.82
FC(F)(F)C(=C/C=C/C(F)(F)C(F)(F)F)C(F)(F)F,1.9
CCOc1ccc(N)cc1,7.43
CCc1ccco1,2.72836666666667
C=CCCl,8.2
CC(C)(C)CO,8.35
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,35.5
ClCc1ccccc1,6.70133333333333
CCC#N,27.2
CCCC(=O)OCCC(C)C,3.95
CC(C)ON=O,10.95
CCCCCCCCCCCCCCC,2.0452
CN1CCCC1,32.2
CCCCCC(O)CCC,3.69
COC=O,8.595
CC(CCO[N+](=O)[O-])O[N+](=O)[O-],18.9
CCCCCCCCCC(=O)OC,3.785
COc1ccc([N+](=O)[O-])cc1,24.0
C=C1CCC2CC1C2(C)C,2.497
CCOc1ccccc1C,3.9
BrCBr,7.5
COC(C)OC,3.49
C1=CCCCC1,2.2137
CCN=C=O,19.7
CCCC(C)(C)C,1.9135
CC1CCCCC1,2.022
CCCCC(Cl)CCC,5.83
CCCCOC(=O)C1CCCCC1,4.26
NN,52.3
CC(=O)N(C(C)C)C(C)C,23.2
CCCCCCCCCCCCCCCBr,3.885
CCc1ccccc1Br,5.55
CCCOC(=O)c1ccncc1,8.24
FC(F)(F)c1cccc(C(F)(F)F)c1,5.98
