inchikey,canonical_smiles,target,knn_predicted,residual,residual_over_sigma,best_neighbour_tanimoto,reason,Solvent
CPELXLSAUQHCOX-UHFFFAOYSA-N,Br,-57.41,-0.963,-56.447,3.83,0.0,high_residual: |res|>3.0σ (k=20),acetonitrile
RWRDLPDLKQPQOW-UHFFFAOYSA-N,C1CCNC1,-69.11,-19.4762,-49.6338,3.36,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
NQRYJNQNLNOLGT-UHFFFAOYSA-N,C1CCNCC1,-67.31,-17.8247,-49.4853,3.35,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
JUJWROOIHBZHMG-UHFFFAOYSA-N,c1ccncc1,-64.81,-9.0115,-55.7985,3.78,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
WYURNTSHIVDZCO-UHFFFAOYSA-N,C1CCOC1,-72.81,-2.4431,-70.3669,4.77,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
YNAVUWVOSKDBBP-UHFFFAOYSA-N,C1COCCN1,-72.21,-6.4678,-65.7422,4.46,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
KWOLFJPFCHCOCG-UHFFFAOYSA-N,CC(=O)c1ccccc1,-67.31,-12.3089,-55.0011,3.73,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,-56.91,-9.616,-47.294,3.21,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
YBRBMKDOPFTVDT-UHFFFAOYSA-N,CC(C)(C)N,-69.01,-15.4078,-53.6022,3.63,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
DKGAVHZHDRPRBM-UHFFFAOYSA-N,CC(C)(C)O,-80.51,-5.8327,-74.6773,5.06,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
CSCPPACGZOOCGX-UHFFFAOYSA-N,CC(C)=O,-75.61,-4.0465,-71.5635,4.85,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
KDSNLYIMUZNERS-UHFFFAOYSA-N,CC(C)CN,-71.61,-7.9009,-63.7091,4.32,0.417,high_residual: |res|>3.0σ (k=20),acetonitrile
NJBCRXCAPCODGX-UHFFFAOYSA-N,CC(C)CNCC(C)C,-63.51,-8.1783,-55.3317,3.75,0.357,high_residual: |res|>3.0σ (k=20),acetonitrile
YUKQRDCYNOVPGJ-UHFFFAOYSA-N,CC(N)=S,-71.71,-14.5626,-57.1474,3.87,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
RZXMPPFPUUCRFN-UHFFFAOYSA-N,Cc1ccc(N)cc1,-72.51,-8.2947,-64.2153,4.35,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
JYYNAJVZFGKDEQ-UHFFFAOYSA-N,Cc1ccnc(C)c1,-60.01,-8.3571,-51.6529,3.5,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
WGYKZJWCGVVSQN-UHFFFAOYSA-O,CCC[NH3+],-73.81,-8.6834,-65.1266,4.41,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
HQABUPZFAYXKJW-UHFFFAOYSA-N,CCCCN,-73.81,-5.9675,-67.8425,4.6,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
IMFACGCPASFAPR-UHFFFAOYSA-N,CCCCN(CCCC)CCCC,-55.51,-6.9627,-48.5473,3.29,0.571,high_residual: |res|>3.0σ (k=20),acetonitrile
JQVDAXLFBXTEQA-UHFFFAOYSA-N,CCCCNCCCC,-62.91,-1.9094,-61.0006,4.13,0.571,high_residual: |res|>3.0σ (k=20),acetonitrile
LRHPLDYGYMQRHN-UHFFFAOYSA-N,CCCCO,-83.31,-2.6565,-80.6535,5.47,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
QUSNBJAOOMFDIB-UHFFFAOYSA-N,CCN,-74.91,-1.0235,-73.8865,5.01,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
HPNMFZURTQLUMO-UHFFFAOYSA-N,CCNCC,-65.61,-2.308,-63.302,4.29,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
RTZKZFJDLAIYFH-UHFFFAOYSA-N,CCOCC,-69.11,-1.9187,-67.1913,4.55,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
BAVYZALUXZFZLV-UHFFFAOYSA-N,CN,-78.31,-10.9853,-67.3247,4.56,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
GETQZCLCWQTVFV-UHFFFAOYSA-N,CN(C)C,-64.21,-4.4891,-59.7209,4.05,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
OKKJLVBELUTLKV-UHFFFAOYSA-N,CO,-90.21,-3.802,-86.408,5.86,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
RDOXTESZEPMUJZ-UHFFFAOYSA-N,COc1ccccc1,-68.51,-9.9318,-58.5782,3.97,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
IAZDPXIOMUYVGZ-UHFFFAOYSA-N,CS(C)=O,-71.61,-15.9215,-55.6885,3.77,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
QGZKDVFQNNGYKY-UHFFFAOYSA-N,N,-87.41,-14.7742,-72.6358,4.92,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
KXDAEFPNCMNJSK-UHFFFAOYSA-N,NC(=O)c1ccccc1,-67.81,-17.9143,-49.8957,3.38,1.0,high_residual: |res|>3.0σ (k=20),acetonitrile
