SMILES,TARGET
S=C=S,117.07
CO,-201.17
CCl,-86.32
CCOCC,-252.21
ClCCl,-95.4
CCCC#N,34.06
COC(C)=O,-410.0
c1ccccc1,82.93
CCOC(C)=O,-442.92
Cc1ccccc1,60.0
Clc1ccccc1Cl,29.96
Clc1cccc(Cl)c1,26.44
CCC,-103.85
CCO,-234.81
CCCO,-257.53
CC=O,-166.36
CCCCN,-92.05
CCCCC,-146.44
ClCCCl,-129.7
CC(C)=O,-217.57
C1CCCC1,-77.24
CCCCCCO,-319.62
CC(Cl)Cl,-129.91
CCC(C)=O,-238.36
CCC(=O)CC,-259.2
C=C(Cl)Cl,2.38
Cc1ccccc1C,19.0
Clc1ccccc1,51.84
ClCC(Cl)Cl,-138.49
CC(Cl)(Cl)Cl,-142.3
Cc1ccc(C)cc1,17.95
CN,-23.01
CBr,-37.66
CCCl,-111.71
CCCC,-126.15
CCC#N,50.63
CCNCC,-72.38
CCCCO,-274.43
CCC=O,-192.05
COC=O,-349.78
CCCCCO,-302.38
CC(C)O,-272.59
CCCCCl,-147.28
CCCCCC,-167.19
CCCC=O,-205.02
CC(=O)O,-434.84
C1COCCO1,-315.06
CCCC(C)=O,-258.65
Brc1ccccc1,105.02
ClC=C(Cl)Cl,-9.62
Cc1cccc(C)c1,17.24
C[N+](=O)[O-],-74.73
CC(C)c1ccccc1,3.93
CSC,-37.53
CNC,-18.83
COCOC,-348.2
CN(C)C,-23.85
C=CC#N,184.93
C=CCCC,-20.92
CCCCCCN,-133.0
CCCCCCC,-187.78
CCCOC=O,-404.38
C=CCCCC,-41.67
CCCOCCC,-292.88
CCCCCCl,-174.89
CC(C)CO,-283.22
c1ccncc1,140.16
CCC(C)CC,-171.63
CC(C)CCO,-302.09
CCC(=O)O,-453.5
C1CCCCC1,-123.14
BrC(Br)Br,16.7
CCCCOCCCC,-333.88
CCCC(=O)O,-470.28
ClC(Cl)Cl,-101.25
C1=CCCCC1,-5.36
CCCCCCCCO,-357.06
CC(Cl)CCl,-165.69
C=CC(=C)C,75.73
COC(C)(C)C,-292.88
CCOC(=O)CC,-463.6
CCC(C)(C)O,-329.385
CCCCOC(C)=O,-485.6
CC(=O)N(C)C,-225.0
O=Cc1ccccc1,-36.8
CC(C)C(=O)O,-484.13
CCCc1ccccc1,7.82
C=Cc1ccccc1,147.36
CC(=O)OC(C)C,-481.7
CC(=O)OCC(C)C,-494.7
CC[N+](=O)[O-],-101.25
ClC(Cl)=C(Cl)Cl,-12.13
Clc1ccc(Cl)c(Cl)c1,-11.76
O=[N+]([O-])c1ccccc1,67.6
O=CO,-378.61
NCCN,-17.32
C=CC,20.42
CCBr,-64.02
CCCS,-67.86
CC#N,87.86
C=CCl,28.45
C1CO1,-52.83
CCCCl,-130.12
C=CCC,-0.13
CC(C)N,-83.8
C=CC=C,110.16
CCOC=O,-383.3
CCC(C)O,-292.29
CC(C)CN,-98.8
CCC(C)C,-154.1
CCCNCCC,-116.0
C1CCOC1,-184.18
CCCC(C)C,-174.31
C=C(C)CC,-36.32
CCCCCCCC,-208.45
C=CCCCCC,-62.3
CN(C)C=O,-191.7
CCCCCCCCC,-229.03
CC(C)(C)C,-167.4667
CCCCC(C)C,-194.93
Nc1ccccc1,86.86
CCC(=O)OC,-427.5
CC1CCCCC1,-154.77
CCC(C)(C)C,-185.56
CCCCCC(C)C,-215.48
CCCCC(C)=O,-279.83
COc1ccccc1,-68.0
CCc1ccccc1,29.79
CC(C)C(C)C,-177.78
Oc1ccccc1Cl,-123.0
CCCC(=O)OCC,-485.5
CC(C)OC(C)C,-318.82
CCCCC(C)(C)C,-224.72
CCCC(C)(C)CC,-220.12
CCCCc1ccccc1,-13.81
CCCCCOC(C)=O,-505.5
CCOCCOC(C)=O,-611.0
CC(C)CCC(C)C,-222.63
CCCCCCOC(C)=O,-526.3
ClC(Cl)(Cl)Cl,-100.42
CC(C)CC(C)(C)C,-224.14
CCC(C)(C)C(C)C,-218.44
CC(C)C(C)C(C)C,-217.44
CCC(C)C(C)(C)C,-220.12
Cc1cc(C)cc(C)c1,-16.07
Cc1ccc(C)c(C)c1,-13.93
CCC[N+](=O)[O-],-124.68
CC(C)(C)c1ccccc1,-21.63
Cc1cccc([N+](=O)[O-])c1,20.8
CI,13.97
CCS,-46.11
C#N,135.14
CCN,-46.02
OCCO,-389.32
CCCBr,-87.86
C1CN1,123.43
COCCO,-434.0
C=CCO,-132.01
CCCCCN,-112.76
CC1CO1,-92.76
C=CC=O,-81.0
CCCCBr,-107.32
CCCOCC,-272.2
CCC(C)N,-104.18
CCCCC=O,-227.82
C1CCNC1,-3.6
ClCCCCl,-161.5
CCC(O)CC,-316.73
CCCCCCCO,-340.0
CCC(C)Cl,-161.5
CC1CCCC1,-106.69
CCCC(C)O,-313.8
C1=CCCC1,32.93
CCCCOCCO,-441.0
Cc1ccncc1,102.13
CCCCCCC=O,-264.01
CCCCCCCCN,-174.0
CCCCNCCCC,-156.6
C=CCCCCCC,-82.93
CCCCCCCBr,-168.0
Fc1ccccc1,-116.57
CCCC(C)CC,-192.3
CNc1ccccc1,88.0
CCCCCCCCCC,-249.66
O=Cc1ccco1,-151.04
O=C1CCCCC1,-230.12
CCCCC(C)CC,-212.63
OCc1ccccc1,-100.4
CCCOC(C)=O,-464.8
CCC(C)(C)CC,-201.54
CCCCCC(C)=O,-300.45
ClCC(Cl)CCl,-185.77
CCCC(C)(C)C,-206.15
CCc1ccccc1C,1.21
CC(=O)C(C)C,-262.4
Cc1cccc(N)c1,64.0
CCc1ccccc1CC,-18.95
CCCN(CCC)CCC,-161.0
Cc1cccc(C)c1C,-9.58
CCc1ccc(C)cc1,-3.26
CC(=O)OC(C)=O,-575.72
CC(=O)CC(C)=O,-380.0
CC(C)C(C)(C)C,-204.81
CCc1cccc(CC)c1,-21.84
CCc1ccc(CC)cc1,-22.26
CC(C)Cc1ccccc1,-20.34
ClC(Cl)C(Cl)Cl,-152.72
CCC(C)c1ccccc1,-16.9
c1ccc2c(c1)CCC2,60.7
Cc1cccc2ccccc12,116.86
CCC(C(C)C)C(C)C,-235.06
Cc1ccc(C(C)C)cc1,-29.0
CC(C)(C)CC(C)(C)C,-241.96
CC(C)CC(=O)CC(C)C,-357.6
ICI,117.99
CCSCC,-83.47
OCCCl,-262.0
CC(C)S,-76.23
CC(C)C,-134.9
COCCOC,-346.0
CCOCCO,-400.0
CC(O)CO,-421.5
CS(C)=O,-209.16
CCC(C)S,-96.23
CC(C)Br,-97.07
c1ccsc1,115.73
CC(C)C=O,-215.6
CC=C(C)C,-42.55
CC(C)C#N,25.4
CCCCOC=O,-425.09
C1COCCN1,-156.0
CCC(CC)CC,-189.66
Cc1ccccn1,98.95
C1CCCCCC1,-119.33
OC1CCCCC1,-294.55
C=CC(=O)O,-336.23
NC1CCCCC1,-104.9
C=C(C)C=O,-112.0
OCc1ccco1,-218.9
CC(C)COC=O,-436.3
CCC1CCCCC1,-171.75
C1=CCCC=C1,106.2
CCCCC(=O)O,-490.36
CCCCCCCC=O,-289.66
Cc1ccccc1N,58.0
CCCC(=O)OC,-450.7
NCc1ccccc1,62.23
C=COC(C)=O,-315.7
CCCCCCCCCO,-386.89
C=CCCCCCCCC,-124.14
CCCCC(C)CCC,-233.34
CCCCCC(=O)O,-513.6
CCCOC(=O)CC,-483.1
CCCCCCCCCCO,-403.25
CCOCCOCCOCC,-580.0
CCC(C)C(C)C,-199.24
FC(Cl)(Cl)Cl,-284.93
CCCCC1CCCCC1,-213.17
CCC(C)(CC)CC,-214.97
CCC(C)CC(C)C,-219.41
CC(=O)CC(C)C,-288.49
CCC(C)C(C)CC,-213.01
CCCCCCC(C)=O,-321.6
CC(C)C1CCCCC1,-196.0
CCCCCCCCCCCCC,-311.5
CN(C)c1ccccc1,100.5
CC(C)CCCC(C)C,-243.38
CCCCCCCCCCCCO,-442.83
CCOC(=O)C(C)O,-635.0
Cc1ccc(Cl)cc1,18.2
CC(=O)C=C(C)C,-195.56
CCc1cccc(C)c1,-1.92
CCCCCCCCCCCCCC,-332.13
CC(=O)OCCC(C)C,-511.9
Cc1ccccc1C(C)C,-26.4
CCC(CC)C(C)(C)C,-238.32
