SMILES,TARGET
S=C=S,168.271
CO,-129.666
CCl,-78.585
CCOCC,-435.586
ClCCl,-88.982
CCCC#N,-250.21
COC(C)=O,-296.83
c1ccccc1,-156.733
CCOC(C)=O,-387.456
Cc1ccccc1,-241.523
Clc1ccccc1Cl,-176.824
Clc1cccc(Cl)c1,-174.878
CCC,-289.596
CCO,-223.143
CCCO,-317.156
CC=O,-110.884
CCCCN,-473.755
CCCCC,-463.089
ClCCCl,-187.322
CC(C)=O,-216.401
C1CCCC1,-386.596
CCCCCCO,-809.324
CC(Cl)Cl,-190.575
CCC(C)=O,-309.576
CCC(=O)CC,-416.368
C=C(Cl)Cl,-77.209
Cc1ccccc1C,-345.766
Clc1ccccc1,-168.712
ClCC(Cl)Cl,-204.595
CC(Cl)(Cl)Cl,-221.734
Cc1ccc(C)cc1,-346.067
CN,-185.376
CBr,-31.863
CCCl,-173.436
CCCC,-365.588
CCC#N,-152.675
CCNCC,-484.555
CCCCO,-415.093
CCC=O,-206.574
COC=O,-176.388
CCCCCO,-511.924
CC(C)O,-332.048
CCCCCl,-363.877
CCCCCC,-559.92
CCCC=O,-302.7
CC(=O)O,-195.036
C1COCCO1,-450.344
CCCC(C)=O,-407.781
Brc1ccccc1,-112.393
ClC=C(Cl)Cl,-86.165
Cc1cccc(C)c1,-340.869
C[N+](=O)[O-],-227.335
CC(C)c1ccccc1,-446.252
CSC,-149.187
CNC,-291.196
COCOC,-408.821
CN(C)C,-411.739
C=CC#N,-34.815
C=CCCC,-335.536
CCCCCCN,-668.455
CCCCCCC,-656.616
CCCOC=O,-377.293
C=CCCCC,-433.071
CCCOCCC,-828.274
CCCCCCl,-461.144
CC(C)CO,-499.681
c1ccncc1,-167.835
CCC(C)CC,-568.506
CC(C)CCO,-526.882
CCC(=O)O,-291.129
C1CCCCC1,-519.537
BrC(Br)Br,31.192
CCCCOCCCC,-822.908
CCCC(=O)O,-388.651
ClC(Cl)Cl,-109.743
C1=CCCCC1,-378.388
CCCCCCCCO,-803.958
CC(Cl)CCl,-277.042
C=CC(=C)C,-235.2675
COC(C)(C)C,-561.597
CCOC(=O)CC,-483.985
CCC(C)(C)O,-551.501
CCCCOC(C)=O,-581.251
CC(=O)N(C)C,-457.823
O=Cc1ccccc1,-198.558
CC(C)C(=O)O,-409.022
CCCc1ccccc1,-434.077
C=Cc1ccccc1,-222.841
CC(=O)OC(C)C,-496.394
CC(=O)OCC(C)C,-578.568
CC[N+](=O)[O-],-323.159
ClC(Cl)=C(Cl)Cl,-116.619
Clc1ccc(Cl)c(Cl)c1,-183.834
O=[N+]([O-])c1ccccc1,-303.203
O=CO,-92.604
NCCN,-404.293
C=CC,-141.876
CCBr,-126.446
CCCS,-234.915
CC#N,-59.5
C=CCl,-48.566
C1CO1,-132.584
CCCCl,-266.477
C=CCC,-239.577
CC(C)N,-388.16
C=CC=C,-135.871
CCOC=O,-285.762
CCC(C)O,-419.151
CC(C)CN,-486.997
CCC(C)C,-468.422
CCCNCCC,-680.195
C1CCOC1,-350.495
CCCC(C)C,-667.801
C=C(C)CC,-341.875
CCCCCCCC,-754.151
C=CCCCCC,-530.304
CN(C)C=O,-346.436
CCCCCCCCC,-851.384
CC(C)(C)C,-505.618
CCCCC(C)C,-664.598
Nc1ccccc1,-267.751
CCC(=O)OC,-390.743
CC1CCCCC1,-610.599
CCC(C)(C)C,-590.106
CCCCCC(C)C,-765.521
CCCCC(C)=O,-502.284
COc1ccccc1,-303.975
CCc1ccccc1,-338.051
CC(C)C(C)C,-582.526
Oc1ccccc1Cl,-223.713
CCCC(=O)OCC,-581.251
CC(C)OC(C)C,-660.54
CCCCC(C)(C)C,-789.636
CCCC(C)(C)CC,-782.76
CCCCc1ccccc1,-531.678
CCCCCOC(C)=O,-677.511
CCOCCOC(C)=O,-633.909
CC(C)CCC(C)C,-781.788
