SMILES,TARGET
CCC(CC)C(=O)O,467.15
c1ccc2c(c1)ccc1cccnc12,612.15
Fc1cccc(F)c1,363.66
N#CCCCOc1ccccc1,561.15
CCC(CC)C(C)C(C)C,434.06
CCCCCCCCCCCC(=O)O,571.85
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],590.0
CC(Br)CCBr,447.15
Clc1ccccc1I,507.65
Cc1cccc(C)c1C,449.27
Cc1cccc(C)n1,417.2
CCCCCCCCCCCCCCCCN,595.65
CCOC(=O)c1ccc(OC)c(OC)c1,568.65
CCOC(=O)c1ccccc1[N+](=O)[O-],548.15
CC(Br)C(C)Br,434.16
Cc1cc(C)c(N)c(C)c1,505.65
CC(=O)CCCC(C)C,440.15
CN(N)c1ccccc1,501.15
C=CCOC(=O)Cl,382.65
O=C(c1ccccc1)C(Cl)Cl,522.15
CCC(C)CC(C)(C)C,399.69
CC(N)c1ccccc1,458.15
CCCCCN,377.65
Clc1ccccn1,443.15
CC1CCCC(Br)C1,454.15
FC(F)(F)CBr,299.15
CCC=CCC,339.92
C=CCc1ccccc1,429.15
CCCCCCCCF,415.55
CC=C(C)CC,342.225
CC(=O)C(C)=O,361.15
C=C(Cl)c1ccccc1,472.15
Cc1cc(O)c(C)c(O)c1,551.65
FC(F)(F)c1nc(C(F)(F)F)nc(C(F)(F)F)n1,368.65
CC(C)c1ccc(O)c(O)c1,544.15
CCCCCCCCCCCCCc1ccccc1,614.43
Cc1ccccc1[N+](=O)[O-],495.64
COCC(=O)Cl,385.65
Clc1ccc2cccc(Cl)c2c1,558.65
CCCCOCC,365.35
CCCCOCC(C)C,424.15
CCCCOC(=O)C(=O)OCCCC,514.15
CC(F)F,247.35
CCOC(=O)CC(C)=O,453.95
CCCCCCCCCCCN,515.15
C/C=C\CC(C)(C)C,380.05
c1ccc(-c2c3ccccc3cc3ccccc23)cc1,690.15
NCCOCCO,514.0
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,522.15
Cc1ccc2c(c1)CC=C2,480.15
CC(=O)Nc1ccccc1,576.95
CC(O)C1CCCCC1,462.15
COc1ccccc1Br,489.15
Cc1c(Cl)cccc1Cl,471.15
CCC(=O)OC(C)C,382.65
C=CC#CCCC,383.15
CCCCCCCCCCCS,530.55
CCCCCCCCCCCC(C)=O,536.15
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,451.15
Cc1cccnc1C,434.35
CC(C)(C)NC=O,475.15
CCSc1ccccc1,478.15
C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@@H]34)[C@H]2C1,598.15
CCC(Cl)(Cl)Cl,381.15
N#CC1CC1,408.25
CCCCCCCCI,498.65
Cc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,574.15
CCCCCCCCNCCCCCCCC,570.65
OCCN(CCO)CCO,613.0
CCCCCCC(=O)OCCC,481.15
CN=C=O,312.0
Cc1ccc(Cl)c([N+](=O)[O-])c1,534.15
CCOC(CN(C)C)OCC,443.65
CCOC(=O)c1cccc(N)c1,567.15
Clc1cc(Cl)c2ccccc2c1,564.15
Cc1ccncc1,418.5
CCCCCCCCCCCCCCCCCC1CCCCC1,670.15
CC1(C)CC(C)(c2ccccc2)c2ccccc21,581.65
CCc1cccc(C)c1N,504.15
CCC(Br)C(Br)Br,489.35
Cc1cc(C)on1,416.15
Clc1cccc(Br)c1Cl,518.15
CSSC,382.9
O=C(O)CCCCCCCCC(=O)O,642.09
CC(C)=NN=C(C)C,406.15
CCCCCCCC(N)=O,512.15
CC(C)(C)CC(=O)Cl,403.15
CCCCCCCCSC,491.16
Fc1ccccc1F,364.66
N#Cc1ccncc1,486.65
CCNC=O,471.15
C=CCC(=O)O,442.15
C#CCCCCCCCCCCCCC,541.16
C1=CCCCCC1,388.15
CC(=O)OO,383.15
CCOC(=O)c1cccc([N+](=O)[O-])c1,570.15
C=COCCC(C)C,385.65
CCOc1ccc(C)cc1,461.65
Cc1ccnc(C)n1,423.65
CSc1ccccc1,466.15
FC1(F)C(F)(F)C(F)(F)C1(F)F,237.17
CN1[C@@H]2CC[C@H]1C[C@@H](O)C2,510.15
Cc1c(O)cccc1Cl,498.15
CC(C)C=CCO,432.15
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,371.15
Cc1cccc(Oc2ccccc2)c1,545.15
COc1ccc(C(=O)Cl)cc1,535.65
Cc1c(C)c(C)c(O)c(C)c1C,540.15
O=c1c2ccccc2oc2ccccc12,624.15
Cc1cc(O)ccc1Cl,508.15
CCC(=O)CC,375.14
CNc1ccccc1,469.02
C[Si](C)(C)C#C[Si](C)(C)C,407.15
CC(C)CC=NO,434.45
CCF,235.45
FC(Cl)(Cl)c1ccccc1,452.15
CN1CCN(C)C1=O,494.15
Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F,482.15
CC(O)CCO,480.15
CCI,345.45
FC(F)(Cl)C(F)(Cl)Cl,320.75
CC(=O)N1CCCCC1,499.65
C=CCOCC1CO1,427.15
O=C(c1ccccc1)c1ccc(Cl)cc1,605.15
CC1=CCCC(C)(C)C1CO,488.15
O=S(=O)(O)C(F)(F)F,439.15
C=CCc1cccc2ccccc12,539.15
CCc1cnccc1C,471.15
CCC(C)(O)CC,395.55
