SMILES,TARGET
Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],175.3168
O=C(Cl)c1cccc(Cl)c1,137.6602
CN1CCCC1,103.672
O=[N+]([O-])c1ccccc1,119.0198
CC(C)c1ccccc1,155.7457
CCOC=O,88.8493
OCc1ccccc1,111.3672
Cc1cc(C)cc(O)c1,154.8987
CCCCCCCCCCCCCCN,345.21
Brc1ccccc1,101.8682
CCCS,96.8624
CCC=C(C)C,130.6531
CC(C)(C)NC=O,126.5688
CCCCC(C)C,166.9387
C1CCOC1,78.6746
C=C(C)CCC,138.6485
CS,51.3002
CCOC(C)OCC,188.573
C1=CCCCC1,103.8606
O=S1(=O)CCCC1,116.9657
CCC(C)OC,136.3672
CC1CCC(C)C1,141.1035
CCc1ccccc1C,157.5395
Clc1cccc(Cl)c1,115.0003
C=C=C,58.9929
Cc1cc(C)nc(C)c1,141.3448
C1CN1,54.4038
C=C1CCC2CC1C2(C)C,166.8785
Nc1ccccc1N,134.1809
C=CCCCCCCCCCCCCCC,372.7656
CCCCCCCCCCC1CCCCC1,361.8438
CCCCCOC=O,155.6893
CC1(C)CCCCC1,161.313
O=C(O)COCC(=O)O,138.9096
CCCCCCCCCCCC(=O)OC,319.4813
N#Cc1ccccc1,111.488
C1CN2CCN1CC2,118.6839
C=CCCCCCCCCCCCCCCC,394.2078
CCc1ccc(O)cc1,154.5173
CCCCCCCCCCCCCCCCO,393.5667
FC(F)(Cl)C(F)(F)Cl,117.3429
C=CCOC(=O)C=CC(=O)OCC=C,249.3739
CCCC=CCCC,174.1101
O=C=O,38.4185
C=CC(=O)OCCO,146.4415
CC(C)CNCC(C)C,201.4445
CC(C)C1CCCCC1,179.1134
CCCCCCS,167.688
FC(F)(Br)Br,76.6474
C=CCCCCC,159.4322
CCCCCCCCCc1ccccc1,294.9373
CCl,41.686
CCCCC(C)CCC,215.7041
N#CCC=CCC#N,126.5478
FC(=C(F)C(F)(F)F)C(F)(F)F,96.8976
CCCCOCCO,165.9912
Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,175.3168
CC(C)(C)N,123.6906
CCOc1ccccc1,132.1492
C=Cc1ccc(C)cc1,150.0939
C#N,35.9152
CCCC(C)(C)CC,192.3862
COC(C)(C)C,131.8657
CCCCCCCCCCCCCCCCCC(=O)O,436.3995
CC(=O)C(=O)O,91.4003
CCCCCCN,167.4987
CCc1ccccc1N,154.9069
O=C(O)CCS,114.4663
C#CCCCC,130.9779
CCC(=O)C(C)C,143.8373
CC(=O)OC(C)OC(C)=O,157.6111
O=C(O)c1ccccc1,108.4923
CCS,74.3659
CCC1(C)CCCC1,138.2536
C=COC(C)=O,98.81
C=COC,77.0794
CC(C)CO,111.2599
Cc1cccc(O)c1,127.3136
CC(=O)OC(C)C,131.3124
O=[N+]([O-])c1cccc(C(F)(F)F)c1,163.7684
CCCCC(C)=O,150.5332
CCCCCCCCCCCCC,310.6401
CC(C)CCC(C)C,186.9499
FC(F)(F)C(F)(F)Cl,109.607
O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,166.8697
FC(F)(F)Cl,66.8156
CNc1ccccc1,105.1514
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,188.1407
CCC(C)(C)OC,159.9219
CCC(CO)(CO)CO,182.1035
CCCCCCCCCC(=O)O,253.4035
CC(C)(C)OC(C)(C)C,215.0654
CCCCCCCCCCCCCCCCCCCCO,484.7015
CCN(CC)CC,166.4078
Cc1ccccc1[N+](=O)[O-],140.9668
CCCCC(O)C(=O)O,173.0999
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,187.7198
FC(F)Cl,56.6751
CC(C)CC(=O)O,134.6393
CC=CC=CC,120.3395
CCC(C)=O,105.0153
CC(C)(C)CC(C)(C)S,212.4909
COC(=O)c1ccccc1C(=O)OC,171.5427
