SMILES,TARGET
CC(=O)OC(C)=O,102.6304
CC(Cl)Cl,76.9121
CCCCOCCCC,208.6785
CCCCCC(C)=O,175.0014
C=CCCCCCCCCCCCCCCC,394.2078
COC(=O)Cl,79.2858
OCCCCO,122.6377
Oc1ccc(O)cc1,124.7108
CCc1ccc(C)cc1C,178.6522
CC(Br)Br,80.1908
ClCc1ccccc1,99.5917
CCCCCCCCCCCCC,310.6401
FC(F)=CCl,73.2962
COc1ccccc1O,131.4548
CCC=CCCC,148.21095
CC(C)CC(C)(C)C,190.3198
N#CC=CCCC#N,126.0595
NNc1ccccc1,123.3736
CCC(C)OC(C)CC,202.1535
CCCCC(CC)CC,218.1165
CCCCCCCCC=CCCCCCCCC(=O)OC,441.9926
CC(C)CNCC(C)C,201.4445
OCC(O)CO,114.5828
C=C(C)C(=O)OCCCC,182.2521
Oc1cccc(Cl)c1,118.1578
CCCCCCCCCCCCCCCCCC(=O)OCCCC,522.7871
CCCCCCCCCCCCCCCCCCC,455.1699
c1cocn1,61.9212
Sc1ccccc1,107.5969
CCCOC=O,109.7715
c1ccsc1,72.9342
CC[N+](=O)[O-],80.4995
C=CCCCCCCCCCCC,301.9004
CCc1cc(C)ccc1C,178.6522
C=C(C)C#N,91.2309
CCC(C)CO,131.1386
OCC(O)C(O)C(O)C(O)CO,227.9373
CCCCCCS,167.688
Nc1ccccc1N,134.1809
CCCCCCCCO,203.5886
COC,66.0251
C=CC(=C)Cl,94.6479
C=C(CC)CC,137.4387
C=CCCCCCCCCCCCC,328.4476
CC(C)COC(=O)C(C)C,190.2936
CC(C)Cl,88.7253
CCCCC(O)C(=O)O,173.0999
OCc1ccccc1,111.3672
O=C1CCCCC1,111.7864
CC=O,55.9844
CCc1ccccc1CC,188.0082
CCOCCO,120.9433
C=CC,64.9936
CCC=O,82.7176
C=CC=O,66.3002
CCCC=O,106.3489
CCOCCOC(C)=O,164.5867
Cc1cccc([N+](=O)[O-])c1,140.9668
C=C1C2CCC(C2)C1(C)C,159.2601
CCC(C)S,122.1052
CC(=O)OCc1ccccc1,162.6715
CCCCC(C)CC,188.5386
CCCC(CC)CC,252.6184
CCCCCCCCCCCCCO,320.2206
CCCCCCCCCCCCCc1ccccc1,394.41
CCc1ccc(CC)cc1,181.9259
CC12CCC(CC1=O)C2(C)C,167.3417
COc1ccc(O)cc1,131.628
O=C(O)CCCCCCCC(=O)O,248.3821
CCCCCCCCOC=O,223.765
CC(F)F,69.2061
C=CC(=O)OCCO,146.4415
COc1ccccc1,111.8084
CCc1cccc(O)c1,154.5173
CCC(C)C(=O)O,127.7739
C1CCOC1,78.6746
CC(C)CC(O)CC(C)C,224.0486
CCCCCOC=O,155.6893
CCC[N+](=O)[O-],105.0493
COCCC#N,106.9602
CC(O)C(=O)O,104.5224
CCCCCCCCCOCCCCCCCCC,427.4041
O=C(O)COCC(=O)O,138.9096
CCOS(=O)(=O)OCC,138.0209
C=CC(=O)OCC(C)C,178.9392
CCCCCC(C)CCC,238.2177
CCCC(C)CO,153.0109
CCCCCCCCCCCS,284.5991
Cc1cc(C)cc(O)c1,154.8987
CC1=CCC2CC1C2(C)C,142.7217
C1=CC2C3C=CC(C3)C2C1,155.2914
CCCCCCCCCCCCCCN,345.21
C=C=O,47.0896
C#CC,61.9541
ClC(Cl)=C(Cl)Cl,94.947
O=C(O)CCC(=O)O,134.3612
CCCCS,120.6907
C#CC(C)C,107.6467
C=Cc1ccccc1C,150.0939
CC(C)CC(C)O,157.1652
C=CC1=CCCCC1,137.3287
CC=CC=CC,120.3395
Nc1cccc(Cl)c1,130.9937
CCOC(=O)C=CC(=O)OCC,224.488
C=CCCCCCCCCCCCCCCCCC,437.6425
O=C(Cl)c1ccccc1,121.1642
CCCI,89.8915
CCCN(CCC)CCC,224.8819
CCCCCO,133.7003
CC(=O)C=C(C)C,148.2998
Clc1sc(Cl)c(Cl)c1Cl,122.7623
O=C(Cl)CCl,79.2343
C=Cc1cccc(C)c1,150.0939
O=C(O)C(=O)O,31.7247
CCCCCC(C)(C)C,216.9549
C,36.337
ClC=CCl,67.0537
CC=C=CC,82.0967
CC=CC(C)C,141.2952
C#CCC,83.472
O=CO,45.9559
O=C=S,41.2219
COC(=O)c1ccccc1O,143.9697
CCCCCCCC,192.3777
CC(=O)C(C)C,112.5036
O=[N+]([O-])c1cc(C(F)(F)F)ccc1Cl,182.4084
CC(=O)N(C)C,110.2907
CCCCC(C=O)CC,183.0641
CCCCCC#N,145.1271
CN1CCCC1=O,102.766
COCCOCCOCCOC,234.5531
C=CCCCCCCCCCCCCCCCCCC,465.8982
CN(C)C=O,96.0061
O=C(O)CCCCC(=O)O,171.3522
C=CC=CC,99.70675
CC(=O)C(=O)O,91.4003
CCC(C)O,115.5731
CC(=O)CCC(=O)O,142.5799
C=C(C)C1CC=C(C)CC1,188.2952
CCC,74.6578
C#CCCCC,130.9779
O=C(O)CC(O)(CC(=O)O)C(=O)O,211.6842
C#CC=C,74.5643
C1=CCCC=C1,96.4128
C=CC(=O)OCCCC,186.3754
CCC(C)C(C)CC,183.0291
Nc1ccccc1,112.8793
Fc1ccccc1,97.644
CC(C)c1cccc(C(C)C)c1,219.0711
Cc1cccc(O)c1C,165.8744
CC(C)c1ccccc1,155.7457
CN=C=O,51.3336
Cc1cccc(C)c1O,158.1044
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,175.3536
S=C=S,45.2539
CC(C)CCC(C)(C)C,211.7097
CCC(C)Cl,112.1417
C1COC1,61.991
CCC(C)(C)C(C)C,187.4292
Nc1cccc([N+](=O)[O-])c1,147.2293
Cc1ccccc1C(C)C,174.9581
N#CCl,44.6466
C=CC(=O)O,78.6357
CCc1cccc(CC)c1N,202.3379
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],175.3168
CCOC(=O)c1ccccc1C(=O)OCC,212.2025
C=CCCl,77.0912
C1=CCOC1,77.7606
CC(C)C1=CC2=CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,370.518
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,162.1853
NCCCCCCO,176.0591
FC(F)(F)c1ccccc1,134.2974
CCC(=O)OC(=O)CC,151.2891
CCC#N,74.5163
N#CCCOCCC#N,152.7903
CCCCCC(C)C,190.3143
CSSC,95.5058
O=C(O)c1ccccc1Cl,120.1269
COCOC,91.2503
CCCCCCCCCCCCN,299.7771
Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],175.3168
COCCOCCO,155.7486
C#CCO,72.8242
CCOCC,118.2607
Ic1ccccc1,103.8678
CCOC(=O)C(C)C,146.5269
CC(=O)Nc1ccccc1,134.2508
O=[N+]([O-])c1ccc(Cl)cc1,138.2481
CCOC(=O)CC(=O)OCC,181.7069
CC(C)C(C)C(C)C,190.7639
C1=CCCC=CCC1,140.505
Cc1ccccc1Cl,120.5764
CCCCOCC,157.7534
CCC(C)C(C)(C)C,186.9915
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,572.4071
C=CC(C)(C)C,131.4367
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,155.8998
CC=CCC,108.6802
CC(C)CCCCCCCO,245.3438
OCCc1ccccc1,141.0232
CCOC(C)OCC,188.573
C[Si](C)(C)O[Si](C)(C)C,242.9958
CCCCCCCC(C)O,225.788
ClC(Cl)(Cl)c1ccccc1,146.3289
OCc1ccco1,119.3215
C1=CCCCC1,103.8606
CCCCCCC=O,176.6108
COC(=O)c1ccc(C(=O)OC)cc1,166.8634
C1CO1,49.4037
CCc1ccccc1C,157.5395
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,187.7198
CCOCCOCCO,177.2394
c1ccncc1,79.0988
C=C(CC(=O)O)C(=O)O,146.0956
CCCCCCCCC(=O)O,232.5609
CCN,74.1997
NCCNCCO,144.9996
CC(C)(C)c1ccc(O)cc1,194.5265
CCCC(=O)CC,154.9956
NCCNCCN,152.3063
CCOCc1ccccc1,154.0329
C=C(C)C(=O)O,94.2897
CCCCCCCC(=O)O,206.4574
Clc1cccc(Cl)c1,115.0003
C=COC(=O)CC,119.3604
Nc1ccc([N+](=O)[O-])cc1,147.2293
CCO,66.1721
CCOC(=O)C(C)O,146.9423
CCCCC(=O)O,137.7124
O=C1CCCC1,94.0639
COCC(C)C,131.6513
N#Cc1ccccc1,111.488
Cc1cccc(C)n1,124.2565
CC(C)C(C)O,134.3508
C=COC=O,73.4121
C=C(C)CCC,138.6485
CCCCC(C)O,157.4602
Nc1ccc(N)cc1,134.1809
C1CCSC1,93.5104
Cc1ccc(C)c(O)c1,159.6192
CCCCCCCCCCc1ccccc1,323.4368
CC1=CCC(C(C)C)=CC1,205.0475
COC(C)C,113.9948
CC(=O)O,63.8125
CC(C)Br,91.3321
C=C(C)CC(C)(C)C,162.4969
Oc1ccccc1O,121.2464
CC(C)O,89.9941
COCCOCCOC,178.1764
CCC(CC)CO,154.0317
CC(C)CC(=O)O,134.6393
CCOC(=O)CC,135.1104
CC(CO)OC(C)CO.CC(O)COCC(C)O,182.7721
CCC(C)C,120.4133
CCCC(C)=O,125.7601
O=C(Cl)C(Cl)Cl,92.2607
CCC(C)(C)OC,159.9219
CCCCCCCCCCCCCCCCCC(=O)O,436.3995
FC(F)(F)c1ccc(Cl)cc1Cl,165.2193
CCCCCOCCCCC,246.282
OCC#CCO,105.1993
Brc1cccc(Br)c1,119.4282
CC(C)=C(C)C,127.3293
C=C(CC)CCCC,177.4911
C=C=CC,80.0004
CS,51.3002
CCCOCCC,151.4086
Cc1cccc(N)c1,130.8722
CC(C)(C)c1ccccc1,177.5547
C=C(Cl)CCl,91.6375
C=C,43.9243
C=CCO,77.9167
CCCCCCCCCC(=O)O,253.4035
O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,166.8697
CC1=CC(=O)CC(C)(C)C1,181.6797
CC=CCCC,133.19375
CCOC(=O)CC#N,133.7385
CC#CCCC,120.5289
O=C1C=CC(=O)O1,111.779
CCCCCCCCCCCCCCCC(=O)O,378.0415
CC(O)CCO,126.0074
C=CCCC,113.11
CCC(C)c1ccccc1,188.9898
CS(=O)(=O)O,74.3812
CN,52.1019
CC=CCCCC,154.2016
O=Cc1ccccc1,115.3383
CC(C)S,98.0316
CCCCCCCCCc1ccccc1O,308.8875
Cc1ccccc1N,135.5709
CCCO,93.4806
CCCCCl,110.979
CCCCCCCCCCCCCCC(=O)O,366.9192
CNC,72.0327
CC(C)C(=O)O,103.94
CCc1ccccc1N,154.9069
CCc1cc(C)cc(C)c1,174.0369
CCCCCCCCCCCCCCO,343.2945
CCOCCOCCOCC,220.3492
CC(C)CCCC(C)C,213.3021
CC(C)NC(C)C,158.8505
CNc1ccccc1,105.1514
CCCOCC,134.4862
C#C,44.4912
CCBr,67.0779
CCCCN,121.0949
Cc1cccnc1,102.1947
CC1CO1,72.6565
CCc1ccc(O)cc1,154.5173
C[Si](Cl)(Cl)Cl,103.4551
CCCCCCOC(=O)CCCCC(=O)OCCCCCC,400.7218
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,175.3168
CCc1cccc(CC)c1,182.6295
COC(=O)CC(C)=O,127.6186
OCCCCCO,144.962
CCCCCCCCCCCCCCCCCCCC,478.6096
O=C(Cl)Cl,57.1783
COC(=O)CC#N,104.1341
Cc1ccccn1,102.4634
CCCCC#N,121.885
CCOC(=O)C(=O)OCC,165.4129
CCCCCCCCCCCCCCCCC,406.7767
Nc1ccc(Cl)c(Cl)c1,140.3293
CCC1CO1,97.3378
O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],151.8255
Nc1ccccc1[N+](=O)[O-],147.2293
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,327.2489
CC(=O)Cl,69.1324
O=C(O)C=CC(=O)O,142.0582
CCCCCCCCCCCCCCCCO,393.5667
CCCCCCCCCCCCCC(=O)O,332.5125
C=COCC,97.8699
O=C(O)c1ccccc1O,123.4298
C#CCCC,107.6309
C=CCCCCCCCCCCCCC,343.6425
CC(C)CO,111.2599
CC(C)CCOC(=O)CC(C)C,246.2191
CC(O)C(C)O,127.694
COC=O,66.5192
CCCCCC,146.0652
CCc1c(C)cccc1C,183.5344
CCCCCCOC(C)=O,197.9763
