SMILES,TARGET
CCC(C)(CC)CC,19.92
CCC(C)Br,-25.77
CN,32.26
ClC(Cl)C(Cl)Cl,-85.56
CCCCc1cccc2ccccc12,240.08
CCOC(=O)C(=O)OCC,-570.0
CCc1cccc(CC)c1,136.69
C=CCN,135.0
CCCOC(=O)CC,-309.9
Cc1ccc2ccc(C)cc2c1,214.64
Cc1ccc(Cl)cc1Cl,68.66
CC=C=CC,205.89
O=C(O)c1cccc(C(=O)O)c1,-575.59
C(=C(c1ccccc1)c1ccccc1)c1ccccc1,512.0
CC(C#N)CCC#N,249.0
CC(O)CC(C)(C)O,-327.0
C=CCCl,43.6
Cc1cccc2ccccc12,217.69
CCC(C)(C)CC(C)C,23.89
O=C1CCO1,-238.25
CCCC(C)(C)C(C)C,25.9
CC[N+](=O)[O-],-4.9
CNC(C)=O,-135.0
O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,-1290.0
CC(O)CCO,-291.69
Cc1cccc(N)c1,174.0
CC(C)Br,-27.24
Cc1ccc2ccccc2c1,216.15
Cc1ccccc1,122.01
O=C=NC1CCCCC1,32.8
CCC(C)C(C)C(C)CC,38.24
C=C,68.12
CNCCO,-61.1
CC(C)CCCCO,-127.0
CF,-210.0
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-538.0
CC1=CC=CC1,171.0
CC(C)O[N+](=O)[O-],-40.67
CCCC(C)C,-5.02
FC=CF,-299.49
CC(=CC(=O)O)C(=O)O,-622.0
CC1CCCC(O)C1,-141.53
CCCC1CCCC1,52.59
O=C(OCc1ccccc1)c1ccccc1,-34.8
C1=CCCC=C1,181.7
c1ccc2c(c1)ccc1c3ccccc3ccc21,401.08
O=C(Cl)C(Cl)(Cl)Cl,-249.12
O=C(O)CCCCCCCCC(=O)O,-623.0
Cc1ccc2ccccc2n1,294.0
OCCCCCO,-275.0
COC(C)C,-120.88
CC(I)CI,74.52
COCCO,-319.0
C1CCOC1,-79.68
CCOC,-117.65
CCC(O)CC,-158.16
COC(C)(C)C,-125.44
CCCCCCCC1CCCCC1,81.67
FC(F)(Br)Br,-375.7
NC1CCCCC1,82.31
CCCC(=O)OCC,-312.2
C=Cc1cccc(C=C)c1,300.92
Oc1cccc(Cl)c1,-66.6
Cc1cc(C)c2ccccc2c1,213.72
N=C=S,112.88
CC1(O)CCCCC1,-128.76
CCC(C)CCCC(C)C,26.94
CCCCCCCCCC1CCCCC1,98.49
CC(C)C1CCCCC1,49.0
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,-358.81
ICCI,78.49
CCCc1cccc2ccccc12,232.63
CCCC(C)CCC(C)C,26.94
C=CC(=C)C,145.875
CCCCc1ccc2ccccc2c1,238.53
CCCCCCCCCc1ccccc1,186.56
CCCCCC=CCC=CCCCCCCCC(=O)O,-94.3
CCc1ccc2ccc(C)cc2c1,220.2
BrCBr,-16.2
CCCCCc1cccc2ccccc12,248.32
CC(C)C(C)CC(C)(C)C,32.59
CCCC(C)CC(C)(C)C,31.0
CCCCCCCCCc1cccc(O)c1CCCCCCCCC,68.2
Cc1cccc(C)c1C,124.56
CC(C)(C)CC(C)(C)C,34.02
COC(=O)Cl,-361.0
