SMILES,TARGET
CCOCC,-271.2
Cc1cccnc1C,19.3
CC(C)CC(C)(C)Cl,-277.0
CC1(C)COCOC1,-461.3
Cc1ccc(Cl)c(C(C)C)c1,-111.6
CC(Br)CCBr,-147.8
CC(C)Cc1ccccc1,-69.9
C[C@H](Cl)[C@@H](C)Cl,-240.8
C1CCC2OC2C1,-165.65
CCc1ccccc1C,-46.5
CCCC(C)CC,-227.7
CC(C)(C)COCO,-480.6
C1CC2CC1C1CC3CC3C21,3.8
CCC[N+](=O)[O-],-167.8
CC(C#N)CN,-68.3
CCNCc1ccccc1,-36.0
CCCNCCC,-155.4
CCCCCCCCCCCCCCCCCC(=O)O,-891.0
CC(C)c1cccs1,-11.6
CC(Cl)(Cl)Cl,-176.1
C1CCC[C@H]2C[C@H]2CC1,-75.35
O=[N+]([O-])C(F)(F)C(F)(F)[N+](=O)[O-],-880.0
C=CC1CCCC1,-34.8
ClI,-23.93
CC(C)C(C)(C)S,-187.2
Clc1ccccc1Cl,-17.0
ClCCCl,-168.45
c1ccc(CCN2CCC2)cc1,122.0
N#CCCCCC#N,84.9
C1C[C@H]2CCC[C@@H]2C1,-109.0
CC/C=C\C(=O)OCC,-441.0
COC(=O)CC#N,-310.765
CC1CCCCN1,-124.9
CC(C)CO,-334.3
CN=C(SC)SC,-3.0
C=C[C@@H]1CC2C=CC1C2,114.8
CCOS(=O)OC,-567.0
CC[C@H]1OC[C@@H](C)CO1,-532.0
CC(C)(C)/C=C/c1ccccc1,-22.6
CCCCCCCCCCCCCCCCC,-479.5
CC(C)CC(C)(C)C,-259.3
CCCCCCC(N(F)F)N(F)F,-271.0
C[C@H]1CC[C@@H](O)CC1,-418.44
C=COCCCl,-208.0
NC1CCCC1,-95.14
Nc1cccc(Cl)c1,-20.3
C=C[C@H]1CC2C=CC1C2,114.8
COC1(OC)CCCC1,-444.0
CC(C)=C(C)C,-102.9
CCc1cccc(O)c1,-214.3
C[C@H]1CCC[C@H]1O,-344.0
COC(OC)(OC)OC,-767.2
CC1OCCO1,-385.1
Cc1ccc(N)cc1Cl,23.0
CCCc1ccccc1C,-72.9
C=CC(=O)O,-380.8
CCS(C)(=O)=O,-486.39
C=CCN1CCCCC1,-36.4
CN(C)C(C#N)c1ccccc1,157.53
N#C/C(=C/c1ccccc1[N+](=O)[O-])c1nc2ccccc2[nH]1,292.0
CCCCCCN=[N+]=[N-],151.0
