SMILES,TARGET
C1CCC[C@H]2C[C@H]2CC1,-75.35
CC1CCOCO1,-416.85
C1=COCCC1,-147.73
CCC1CCCC1,-164.65
CC(C)(C)c1cccc(Cl)c1,-109.0
FC(F)=C(F)Cl,-522.7
CCc1cccc(CC)c1,-73.25
C/C=C/CC(=O)OC(C)C,-473.0
CC[C@@H]1C[C@@H]1CC,-80.0
Cc1cccc([N+](=O)[O-])c1,-46.0
CCCCOC(CC)OCCCC,-608.6
CCN(N=C(C)C)C(C)C,-53.1
CCCCCCCCCC#N,-158.4
CCCCNCC(C)C,-216.0
CCN(C=C(C)C)CC,-105.0
Cc1cccc(C)c1[N+](=O)[O-],-50.8
CCCCOC(C)(C)CC,-428.34
CCOCOCOCOCC,-794.6
CC(C)[C@H]1CO[C@@H](C(C)C)OC1,-625.0
CC(=O)Cl,-273.7333
C1CC[C@H]2CCC[C@H]2C1,-173.3
CN(C)C(=O)N(C)C,-262.2
C1COCO1,-337.2
C1CC2CCC1O2,-223.9
CC(C)(C)C#N,-39.9
CC(C)(C)c1cccc(-c2ccccc2)c1O,-164.0
CCC(=O)CC,-296.51
CCC(C)(C)OC(C)=O,-581.8
CCOCCOCC,-452.465
CCCCCCCCCCCCBr,-344.7
CC(C)/C=C/C(C)C,-159.3
Cc1cc(C)c2c(c1)CCC2,-63.7
CCCC1CCCCC1,-237.95
C1CCC2OC2CC1,-197.5
C=CS(=O)(=O)C=C,-210.05
FN(F)C1(N(F)F)CCCCC1,-218.4
C=C1CCC1,93.85
C[C@H]1CCC[C@H]1O,-344.0
Cc1ccc(Cl)c(C(C)C)c1,-111.6
O[C@@H]1CC2CCC1C2,-279.0
CCCCNC(C)C,-203.2
CC(C)(C)N=NC(C)(C)C,-75.1
CCBr,-95.5
c1ccc2occc2c1,-34.83
CCCOCC1CO1,-319.9
N#Cc1ccccc1,163.2
[N-]=[N+]=NC1CCCCC1,108.4
O=[N+]([O-])C(F)(COCC1CO1)[N+](=O)[O-],-510.8
CC(I)([N+](=O)[O-])[N+](=O)[O-],-28.0
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,-36.0
CCC(C)(C)OCC1CO1,-392.0
CC/C=C\CC,-78.4425
CCC1(CCl)COC1,-243.0
N#CSc1ccccc1,267.0
Cc1ccc(N)c(C)c1,-88.7
CC(O)C(C)[N+](=O)[O-],-390.3
CC1=CC2CCC1C2,4.4
ClC1CCCCC1,-207.6667
COC(C)(OC)c1ccccc1,-343.48
CC[C@H]1CC[C@H](C)CC1,-246.4
O=P(O)(O)O,-1271.66
Brc1cccc2ccccc12,111.6
CC(=O)OC(C)=O,-625.0
CCN(O)CC,-174.75
CCN(CC)C(C)=O,-335.4
C/C=C/C(=O)OC(C)C,-457.0
COC(=O)C(C)(C)C(=O)OC,-858.43
C=C(C)C=O,-138.6
c1ccc2scnc2c1,144.03
[N-]=[N+]=NC1CCCC1,179.0
CC(C)c1cccs1,-11.6
Brc1ccccc1,59.75
CCCCC/C=C/C/C=C/CCCCCCCC(=O)O,-640.2
C=CSC=C,67.7
Cc1ccc(C)[nH]1,-16.8
ICI,68.5
CC(C)(C)OCC1CO1,-369.3333
CC1CCCCN1,-124.9
CO,-243.74
CC(=O)O[C@@H]1COC[C@H]1OC(C)=O,-980.6
CCOC(COC)n1ccnc1,-329.3
COC(=O)CCl,-487.0
CCNc1cccc(C)c1,-29.5
CCNCC,-131.0
C1CCC2(C1)CCCC2,-144.0
COC(=O)C(F)(F)C(F)(F)F,-1463.0
C1COCOCCO1,-516.0
CC(Cl)([N+](=O)[O-])[N+](=O)[O-],-156.0
Cc1ccc(O)cc1,-193.0
O=C1OCCO1,-682.8
B12B3B4B1C234,51.88
CCCCCCCC(C)C,-309.8
C=CC(C)(C)O,-181.7
CN=C(SC)SC,-3.0
CCc1cccc2cccc(C)c12,26.0
O=C1CCCO1,-422.434
C1C[C@H]2[C@@H]1[C@H]1CC[C@@H]21,193.0
COC(=O)CO,-609.41
CC(C)[C@H]1CO[C@H](C(C)C)OC1,-601.0
CCCCCCCCCCCCCCCCCCCCCC1CCCC1,-648.6
O=C1CCCCCCCCC1,-363.4
CCCCCCCCCCC#N,-184.5
O=C(Cl)c1cccc(Cl)c1,-190.0
CCOC(C)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],-276.8
CC(=O)OOC(C)=O,-535.0
CCC1CC1(C)C,-90.4
O=C1CCCCCCCCO1,-529.0
CCCc1cccc(C)c1,-75.8
CC/C=C/CC,-83.1575
O=[N+]([O-])C(F)(COCOCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],-642.0
CC(=O)C(C)C(C)=O,-437.0
C=CCN,10.0
CCCC(C#N)N(CC)CC,-61.9
C/C=C/C(=O)OCC,-420.0
CCS,-73.68
CCCCCCC1CCC(=O)O1,-559.0
CCCCCCCCCCCCCCCC(=O)OC,-1441.8
Cc1ccc(C)c(C)c1C,-93.3
CCOC(=O)CC#N,-330.3
CCCCCC[C@H]1CO[C@@H](C)OC1,-632.2
CC(C)(C)Cl,-211.2
Cc1ccc(C)cc1,-24.4
C[C@H]1CC2CCC1O2,-250.3
CC(C)S,-106.6
CCCCCCCCCCCCC(CCCCCCCCCCCC)C1CCCCC1,-792.7
CCCCC[N+](=O)[O-],-215.0
O=CC1CCOC1,-301.6
CCc1ccc(C)cc1,-49.9
C/C=C/C(OC)OC,-346.0
ICCCCI,-30.0
C=C(Cl)Cl,-24.4333
CCC(C)c1ccccc1,-66.0
C1CC[C@H]2CCCC[C@H]2C1,-219.7
CCCCCCCCCCCCCCCCCCCl,-544.2
COC(=O)CCC(=O)OOC(C)(C)C,-841.0
CNN=C(C)C,39.7
ClC(Cl)C(Cl)Cl,-198.9
CCN(CC)S(=O)(=O)N(CC)CC,-635.5
O=C(O)/C=C/C(=O)O,-810.2
C=C1CC(C#N)C1,207.9
Fc1cc(F)c(F)c(F)c1F,-842.2
C=Cc1ccco1,-10.0
CCOCOCC,-449.555
COC(CCl)(OC)OC,-661.1
CSC(=S)SC,-8.4
CCCN=NCCC,16.75
Cc1cccc(C(C)(C)C)c1N,-108.6
C1=Cc2ccccc2C1,110.3
Cc1cscn1,67.91
CCCCCCCCC(C)[N+](=O)[O-],-351.0
O=C1CC[C@@H]2CCC[C@H]12,-285.0
COC(=O)CN(C)C,-414.3
CN(C)c1ccccc1,40.85
CCc1ccccc1C,-46.5
CCOCC(=O)CC,-440.0
C1CCC(C2CCCC2)C1,-179.3
CC(C)N(C#N)C(C)C,-51.42
c1ccc(C2CC2)cc1,100.2
O=C1CCCCCCCO1,-487.0
CCOc1c(OCC)c(=O)c1=O,-552.1
CCCCOCC1CO1,-345.0
CCCC[C@H]1CO[C@@H](C)OC1,-610.0
C1COCCOCCOCCO1,-696.8
OCC(Cl)CCl,-381.0
CC(C)(C)OC(C)(C)C,-400.0167
Cc1cc(C)on1,-63.1
CCCOCC(O)COC(C)(C)C,-774.0
CC(N=[N+]=[N-])([N+](=O)[O-])[N+](=O)[O-],196.0
C1CC[C@@H]2C[C@@H]2CC1,-49.6
C/C=C/C(=O)OC,-383.0
CC1CCC(=O)O1,-461.3
COC(=O)CC(=O)OC,-799.69
C=CCCCCCCCC,-173.8
Cc1c(C)c(C)c(C)c(C)c1C,-142.0
C1CCCCCCC1,-169.4
CC(C)(O)C#N,-120.9
CC(C)N,-112.3
CCCc1ccc(C)cc1,-75.35
CCSc1ccccc1,21.9
C#CC1CC1,261.1
CC1COCOC1C,-451.7
BrCc1ccccc1,22.6667
Nc1ccc(Oc2ccc(N)c(N)c2)cc1N,-91.0
C=CC(=O)OC,-362.2
C1=CC2CCC12,261.1
C=C(Cl)CCl,-73.47
CCCCCC(C)C,-255.2
CC=CC(=O)OC(C)CC,-474.0
CCCCCCCCN(CCCCCCCC)CCCCCCCC,-586.4
C/C=C\CCCC,-105.5
C(C#CC1CC1)#CC1CC1,503.6
CC(=O)OCC(COC(C)=O)OC(C)=O,-1330.8
CCCCNC,-141.2
OCC1CCCO1,-435.6
C1=CCCCC1,-38.85
Cc1ccc(O)c(C(C)C)c1,-280.0
Cc1ccc(N)cc1Cl,23.0
O=CC(Br)(Br)Br,-88.7
CC#CCC(=O)OCC,-287.0
[N-]=[N+]=NCc1ccccc1,368.0
CCCCCCCCCCCCCCCC(=O)O,-848.4
O=C(Cl)C(Cl)Cl,-281.0
C[C@@H]1O[C@H](C)C[C@H](C)O1,-488.3
COc1ccc(C=O)cc1,-247.0
CC1(Cl)CCCC1,-198.0
CC(CC(C)O[N+](=O)[O-])O[N+](=O)[O-],-386.0
CCC(=O)c1ccccc1,-167.2
FCc1cccc(F)c1F,-636.7
CC1=CCCC1,-37.15
N#CC#CC#N,500.4
CC(N(F)F)C(C)(C)N(F)F,-244.8
CC(C)c1ccccc1O,-230.0
CCCCN=CC(C)C,-133.0
FC(F)(F)C(Cl)Br,-720.0
CCOS(=O)(=O)OCC,-812.9
CC1CCC2CCC(C)N12,-114.4
C=CCI,55.2
CCN(CC)C(=S)SC,-104.0
OCCCCCCCCCO,-657.6
CC/C=C/C(C)(C)C,-157.8
C1COCCN1,-186.7
COc1cc(C)ccc1O,-362.8
CC(C)c1ccc(Cl)cc1,-77.9
NCCO,-507.5
CC(C#N)CN,-68.3
O=[N+]([O-])C1=NOCC1,-20.0
CCC/C=C(\C=O)CC,-261.3
COC(=O)C1CCC1,-395.1
C1C[C@H]2[C@@H]1[C@@H]1CC[C@@H]12,169.0
OCCOCC(O)CO,-863.4
c1ccc(-c2ccno2)cc1,80.3
SCCCS,-79.5
CCCCCCCCCCC(CCCCCCCCCC)CCCCCCCCCC,-847.8
C[C@H]1CC[C@H](C)C1,-170.2
CCCCCCBr,-194.5
CC(C)(C)N=[N+]([O-])C(C)(C)C,-153.5
CSCc1ccccc1,26.0
CC[C@H]1CC[C@H](C)C1,-196.0
N#C/C(=C/c1cccc(O)c1)c1nc2ccccc2[nH]1,138.2
O=[N+]([O-])C(F)([N+](=O)[O-])[N+](=O)[O-],-220.2
CCCCCCCCCCCC(CCCC)CCCCCCCCCC,-717.6
Fc1cc(F)c(F)cc1F,-683.8
CCN(CC)SSN(CC)CC,-122.2
SCc1ccccc1,40.2
CC(C)C(C)O,-368.25
Fc1c(F)c(F)c(C(F)(F)F)c(F)c1F,-1311.1
Ic1ccccc1I,187.0
CCCCCCC(N(F)F)N(F)F,-271.0
c1ccc2ncccc2c1,141.22
C1CCOCC1,-255.0
CC1(C)[C@]2(C)C[C@@]3(C)O[C@H]3C[C@]12C,-156.4
CC(Br)CCCBr,-173.2
CC1OCCCO1,-436.5
C1C2CC2C2CC12,112.7
CCCCC(C=O)CC,-348.6
O=C(Cl)c1ccc(Cl)cc1,-191.3
CC(=O)O[N+](=O)[O-],-331.0
CC12CCC(C)(CC1)C2,-167.5
CC(C)(C)C(=O)C#Cc1ccccc1,-1.2
Cn1cccc1,62.38
ClCc1ccccc1,-33.0
CC(C)Cc1ccccc1,-69.9
CCCCC(=O)OCC,-553.6667
N#COc1ccccc1,88.3
CCCCCC[C@H]1CO[C@H](C)OC1,-569.0
ClC(Cl)C(Cl)(Cl)Cl,-197.0
CCC=NN(CCC)CCC,-49.4
CC[C@H]1CC[C@@H](C)CC1,-239.0
O=[N+]([O-])C(F)([N+](=O)[O-])C(F)([N+](=O)[O-])[N+](=O)[O-],-415.0
CCCCCCCCCCCCCl,-392.3
C=C(CC)CC,-87.2
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-199.2
CCCCCCS,-175.7
c1ccoc1,-59.895
CCOCOCOCC,-625.8
C1CO1,-95.7
O=C(O)/C=C\C(=O)O,-787.3
CC(C)(C)c1ccccc1O,-280.0
CC(C)(C)c1ccc(C(=O)c2ccccc2)cc1,-136.0
CC(Cl)(Cl)Cl,-176.1
c1ccc(C2CCCCC2)cc1,-77.85
CCCCCCCCCCCCF,-553.19
CCO,-276.0
CC1=NCCO1,-169.5
CCCCOS(=O)OCCCC,-692.9
O=C=C=C=O,-121.5
C1=COCC1,-103.02
CCCc1ccccc1,-38.4
OCC(O)CO,-669.1
N#CC12CC1C2,258.8
CCCO[N+](=O)[O-],-215.0
CCC1(C)CCCCC1,-240.2
CCCCCl,-188.2
C#CC(C)(C)CCC(C)(C)C#C,211.1
CCCCCCl,-212.7
CCCCN(F)[N+](=O)[O-],-167.0
Cc1cc(-c2ccccc2)on1,18.0
OCC1CO1,-298.0
O=C(O)c1ccc(I)cc1,-316.0
CC=C1CCCCC1,-103.6
CN(C)N,48.3
C=CC(=O)O,-380.8
CN(C)[N+](=O)[O-],-71.1
