SMILES,TARGET
Nc1cccc([N+](=O)[O-])c1,23.681
c1ccc(Oc2ccccc2)cc1,17.216
Cc1ccc2ccc(C)cc2c1,23.351
C=CC(=C)C,4.925
Cc1cccc2ccccc12,6.945
CC1OC(C)OC(C)O1,13.844
CCc1ccccc1C,9.962
CCC(C)(CC)CC,10.8
CCCCN,14.8
CCCS,5.477
Cc1ccc(C(=O)O)cc1,22.719
Cc1ccc(C)c(O)c1,13.9
CCc1c(C)cccc1C,14.71
C1=Cc2ccccc2C1,10.2
CCCCCCCc1ccccc1,19.3
c1ccc2cc3ccccc3cc2c1,29.37
CC(C)CCC(C)C,12.954
COC(C)C,5.85
CCC(C)C(C)(C)C,8.619
C(=Cc1ccccc1)c1ccccc1,27.828
CCCCC(C)(C)C,6.778
CCCCOC(C)=O,14.4
O=C=O,9.019
CCCCCCCCC,15.468
O=Cc1ccccc1,9.322
Clc1ccc(Cl)c(Cl)c1,15.565
CCCCC(C)CC,11.627
C=C(C)c1ccccc1,11.924
C1CN2CCN1CC2,8.067
CC(=O)N(C)C,10.418
CCC(C)CC,5.303
CCc1ccc(C)c(C)c1,12.05
FC(F)=C(F)F,7.715
CCCCCCC,14.054
CC(C)(C)N,0.882
Nc1cccc(N)c1,18.8
CCCCCCCC=O,26.13
CCC(C)c1ccccc1,9.832
CCNCC,11.4
Oc1ccc(Cl)cc1,13.6
CCCC(=O)OCC,12.5
c1ccc(CCc2ccccc2)cc1,30.543
Cc1ccccc1C(=O)O,20.167
CCCCCC(C)CCC,15.2
Cc1cccc(C(C)C)c1,13.682
O=C(F)F,6.708
CCC=C(C)C,8.033
C=COC=C,7.95
C#CCC,6.029
CCc1ccccc1N,12.2
C1CCCCC1,2.74
C=CC(=O)O,11.129
CCCCCCCCCCN,33.8
CC=CC(=O)O,12.979
CC1CCCCC1O,11.07
C[SiH](Cl)Cl,9.87
NNc1ccccc1,16.429
Sc1ccccc1,11.45
CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,20.4
CC(C)CC(C)C,6.845
FC(F)(F)F,0.712
CC(C)c1ccccc1,7.326
C=CC#N,6.23
Cc1cc(C)cc(O)c1,17.41
CCOCc1ccccc1,15.4
c1ccc(-c2cccc(-c3ccccc3)c2)cc1,24.09
Cc1ccccc1C(C)C,10.0
CC(C)NC(C)C,6.53
CC,2.859
Cc1ccc(O)cc1,12.707
FC(F)F,4.059
CN(C)P(=O)(N(C)C)N(C)C,16.945
C1COCCN1,9.2
CC1CO1,6.531
CC1CCCC(O)C1,12.0
c1cc2ccc3cccc4ccc(c1)c2c34,17.36
CCc1cccc(C)c1C,13.64
Oc1cccc(O)c1O,9.37
CCCCCCCCCCCCCC,45.07
Cc1cccc(N)c1,3.891
CCCCCCCCCO,28.8
Cc1ccncc1,11.573
CCCCCCCCCCCCCCCCCCC(=O)O,57.618
NCCNCCNCCNCCN,33.2
CCC(C)(C)C(C)(C)C,2.3
CC(C)CCCC(C)C,13.0
C[Si](C)(C)O[Si](C)(C)C,11.92
C=C=CC,6.962
C=CCC,3.848
C,0.941
C=CCN,9.49
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,15.5
CCOC,7.98
c1ccc2c(c1)ccc1c3ccccc3ccc21,26.2
CCCCCCCCCCCCS,39.0
CC(O)CO,7.57
c1ccc2c(c1)CCCC2,12.45
CCCCCCCCCCCCC,28.501
C=CCO,5.12
CC(=O)Nc1ccccc1,21.653
C=CCCCCCC,15.313
Cc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],21.2
OCCCCCO,15.728
CCc1ccc(O)cc1,17.0
CCCCCCCCCCCCCCCCCC(=O)O,61.209
O=C(O)CCCCC(=O)O,16.7
CCCCCCCCCS,33.0
C=CCCCCCCCCCCCCCCCC,32.6
CCCCCCCCCCCc1ccccc1,36.0
O=Cc1ccc(O)cc1,24.0
C1CCC2CCCCC2C1,14.41
CCOCCOCCO,16.3
CCCl,4.452
CCCOC=O,13.2
CCCCCCCCCCCCCCCCCCC,45.815
COCCOCCOC,13.586
CC#N,6.912
CCCCC(C)CCCC,16.6
O=C1CCCO1,9.57
CCCCCCC(C)CC,18.8
COC(C)=O,7.97
CCC(C)N,8.93
COCCOCCOCCOCCOC,25.4
CC1CCCCC1,6.751
CC(C)CC(=O)O,7.322
Oc1ccccc1,11.514
CCCCCO,9.791
CCC(CC)CO,8.22
Oc1cccc(O)c1,21.0
CCCCCCCCCC(=O)O,27.798
NCc1ccccc1,13.4
CCl,6.548
CCCC1CCCCC1,10.372
CC(Cl)Cl,7.67
CC(C)OC(C)C,11.046
COc1ccccc1O,12.5
C=CCCCCCCCCCCCCCCCCC,33.5
C1CCOC1,8.54
c1ccc2sccc2c1,11.827
CCCCCCCCS,24.0
O=CNc1ccccc1,15.6
CCCCCCCC,20.74
COCC(=O)O,10.5
ClC(Cl)=C(Cl)Cl,10.46
c1ccc2c(c1)-c1cccc3cccc-2c13,18.73
CCCCC=O,15.0
c1cc2c3c(cccc3c1)CC2,21.462
CCCCCCCCCCCS,39.9
CCc1ccc(CC)cc1,10.586
OCc1ccco1,13.131
O=C(O)c1ccccc1,18.075
c1ccc(C2CCCCC2)cc1,15.27
C=C(Cl)Cl,6.515
CC12CCC(CC1=O)C2(C)C,6.82
CCCCCc1ccccc1,15.24
CC(C)COC=O,11.2
O=[N+]([O-])c1cccc(Cl)c1,20.782
CCC(C)(C)CC,7.067
CCCCCCCCC=O,34.5
Cc1cccc(C)n1,10.043
NCCN,22.563
Ic1ccccc1,9.749
O=C1CCO1,9.41
N#CCCC#N,3.703
CC(C)CNCC(C)C,14.0
C=C,3.351
CC(C)=O,5.691
CC(=O)OCC(C)C,12.4
COC(=O)c1ccc(C(=O)OC)cc1,31.63
CC=C(C)CC,5.92
N#CCCO,7.55
OC1CCCCC1,1.783
Cc1ccc2cc(C)ccc2c1,22.3
N#CCCCC#N,12.58
CN(C)C,6.544
CN=CO,14.3
OCC(O)C(O)C(O)C(O)CO,32.013
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,18.0
Oc1ccccc1Cl,13.502
CC(=O)CCC(=O)O,9.22
ClC(Cl)C(Cl)Cl,9.172
CC(=O)OC(C)C,8.88
CC(Br)Br,10.63
CCCCCCC(C)O,19.7
C1=CCCC=CCC1,9.828
CCCCCCCCCCCCN,43.5
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,15.0
O=S1(=O)CCCC1,1.373
C=CC=CC,6.3915
CCC(C)O,5.971
ClC(Cl)Cl,9.54
CCCCNCCCC,19.0
CCCCc1cccc2ccccc12,25.1
O=CO,12.698
CCCCCCCCCCCCCCCCCC,61.965
Cc1ccc(N)cc1,18.912
CCC=O,9.75
CCCCCCCCCCCCc1ccccc1,40.166
CCCCOCCOCCOCCCC,30.6
Oc1ccccc1O,22.76
CCCCOCC,12.5
C(#Cc1ccccc1)c1ccccc1,21.402
C=CCl,4.744
Brc1ccccc1,10.627
O=C(O)CCCC(=O)O,20.676
CC(O)C#N,12.8
C1OCOCO1,14.823
CNC(C)=O,16.3
CC(C)(C)OC(C)(C)C,8.38
C[N+](=O)[O-],9.703
CC(C)CO,8.322
CC(C)(C)Cl,2.092
CCc1ccc(C)cc1,13.355
CCCCCCCCCCCC=O,42.21
Cc1cccc(C)c1C,8.18
CCOC(=O)c1ccccc1C(=O)OCC,17.984
CCCCCCCCCCc1ccccc1,32.635
O=[N+]([O-])c1ccccc1[N+](=O)[O-],22.84
C=Cc1ccccc1,10.95
CC(=O)OC(C)=O,10.502
NCCNCCN,19.7
CC1(C)CCCCC1,2.021
CC(C)C(=O)C(C)C,11.18
BrC(Br)Br,11.6
O=C(C(F)(F)F)C(F)(F)F,6.38
C=CCCCCCCCCCCC,22.83
NCCCO,15.9
COCCC#N,15.9
O=C(O)c1ccc2c(c1)C(=O)OC2=O,29.037
C=COCC,1.85
CCCCCCCCCCCC(=O)O,36.295
NCCNCCNCCN,33.4
C#CCCCCCCCCCCCCCCC,31.4
CCOc1ccccc1,11.6
C=CC(=O)OC,11.129
CCCCCCCCCCCCCCC(=O)O,41.526
CCCCCCCCCc1ccccc1,28.87
CCC,3.524
CCCCCCCC(=O)O,21.38
Clc1ccccc1,9.556
O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,28.12
CCCCO,9.372
CCCOC(=O)CC,15.0
Clc1ccc(Cl)cc1,18.2
CCCO,5.372
Cc1ccccc1Cl,8.37
CC1CCCCC1C,6.0335
c1ccc(-c2ccccc2)cc1,18.577
C=C(C)CCCC,13.0
FC(F)=C(F)Cl,5.553
CCCOCCO,11.4
O=C(O)c1ccccc1Cl,25.756
CCCC(C)=O,10.623
CC(C)(C)CO,12.5
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,23.97
CC(C)=C(C)C,6.452
C=CC(C)(C)C,1.07
C=C(C)C,5.931
CC(C)Cc1ccccc1,12.51
CCN,9.35
CC(O)C(=O)O,11.35
CCCC(=O)CC,13.49
OCC(O)CO,18.284
S=C=S,4.393
CCC1CCCCC1,8.334
O=C1CCC(=O)O1,20.415
C=CC=O,1.02
O=C1OC(=O)c2ccccc21,23.43
Cc1cccc(O)c1,10.707
c1cc[nH]c1,7.908
c1ccc2c(c1)CCC2,8.598
CC(C)CCCCCCCO,17.3
CCCCCCCCCCC=O,38.33
CCCCCCCCCCCCCCO,49.51
CCCCCCCCCCCCO,31.38
CCCCC(CC)CC,16.0
CSC,7.965
CC(O)CC(C)(C)O,14.8
OCCO,9.956
O=[N+]([O-])c1ccccc1,11.632
CCCCCCCCCCCCCCCC(=O)O,53.711
CCCCCC(C)CC,17.0
c1ccccc1,9.866
C1CN1,5.67
c1ccc(Nc2ccccc2)cc1,18.702
O=C=S,4.728
COc1ccc(O)cc1,16.2
Cc1ccccn1,9.724
O=C(O)CCl,12.265
ClC(Cl)(Cl)Cl,2.535
CCCCCC#N,16.62
Fc1ccccc1,11.305
CCC#N,5.029
CC(C)C,4.54
C=CCCC,5.807
C=COCCCC,13.8
COC(=O)c1ccccc1,9.736
Cc1ccc(C)c(C)c1,13.192
O=Cc1ccco1,14.351
C[Si](C)(C)C,6.874
CCCCCCCCCC,28.715
CC(C)CCC(C)(C)C,6.2
CC(C)C(C)(C)C,2.261
c1ccncc1,8.28
O=C(O)CCS,16.97
CC(C)C#N,10.3
CC(O)CN,13.557
CCC(C)S,6.477
CCCCCCCCCCCCCCCCC,40.459
CCCC(C)CCC,10.837
N#Cc1ccccc1,10.878
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],26.6
C=CC,3.003
CCCCC(=O)O,14.163
Cc1ccccc1O,15.82
CCCCCC(C)(C)C,8.95
Cc1ccc(Cl)cc1,12.98
FC(F)(F)c1ccccc1,13.782
OCc1ccccc1,8.972
Nc1ccc(N)cc1,26.8
C=CCCCCC,12.401
Cc1ccc(Br)cc1,14.932
C=CC(CC)CC,5.02
OCCNCCO,25.104
CC1CCC(C)CC1,10.82
CCCCOCCCC,16.6
CC(CO)OC(C)CO.CC(O)COCC(C)O,22.7
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,25.52
c1ccc(-c2ccccc2-c2ccccc2)cc1,17.191
CCCCCOC(C)=O,16.5
Cc1ccc(N)cc1N,19.874
C=COC(C)=O,5.37
c1ccc2ccccc2c1,18.979
CCCNCCC,14.5
CCCCOC=O,13.9
Nc1ccccc1[N+](=O)[O-],16.108
CNC1CCCCC1,11.6
COCCOC,12.556
O=[N+]([O-])c1ccc(Cl)cc1,14.101
C=C(C)C(C)(C)C,0.79
CCCCCCCCCCS,31.0
CC1(O)CCCCC1,7.06
CCCC(C)CC,9.46
CCOCCOC(C)=O,17.2
N=CO,7.98
ClCCl,4.602
C1CNCCN1,11.7
Clc1ccccc1Cl,12.66
CCc1ccc(C)cc1C,12.93
CNCCO,8.76
CCc1cccc(CC)c1,10.966
NC1CCCCC1,13.7
CCS,4.975
Cc1ccc(C)cc1,17.113
Nc1ccc(Cl)cc1,19.84
Cc1ccc([N+](=O)[O-])cc1,16.676
C1=CC2C3C=CC(C3)C2C1,0.5
C=O,7.05
c1ccc2ncccc2c1,10.8
Cc1cccnc1,14.18
Cc1ccc2ccccc2c1,12.125
CCCCCCC=O,23.585
C=CCC=C,6.073
C#CCCCCCCCCCCCCCCCCCC,34.3
CCC(=O)O,10.66
CCCCc1ccccc1,11.222
CCCCCCCCCCCCCCCC,53.358
ClC(Cl)(Cl)C(Cl)(Cl)Cl,9.749
Cc1ccccc1N,7.53
ICI,12.05
c1ccc2c(c1)[nH]c1ccccc12,29.429
Nc1cccc(Cl)c1,10.152
O=C1OCCO1,10.042
COCCOCCOCCOC,23.71
CCCCCC,13.079
C=CCCCCCCCCCC,19.908
CCCC(C)(C)C,5.824
OCC(CO)(CO)CO,20.2
CC(C)S,5.736
CCCCCCCCCCCC,36.836
CC(C)(C)CC(C)(C)C,9.7
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,11.402
C=CC(C)C,5.36
CCCCCCCCC(=O)O,20.3
C=CCCCCCCCCCCCC,25.47
CC(N)=O,15.707
N#CCC#N,10.79
CCCc1ccccc1,9.288
Cn1cccc1,0.941
CCCCBr,6.694
Cc1cccc(C)c1O,15.2
CC(C)N,7.325
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,17.36
CCCCOCCO,19.1
CCCCCCCCCCCCCO,45.12
CNc1ccccc1,9.52
C=CCC(C)C,3.556
C=CCCCC,9.348
CC(C)(CO)CO,21.77
CC(C)C=O,12.0
ClC=CCl,9.594
c1ccc2c(c1)oc1ccccc12,22.7
CC(C)CC(C)(C)C,9.196
CCCCCCCCCC=O,34.5
CCCCCCCBr,12.1
CCC(C)(C)C,0.579
C1COCCO1,12.845
CCCCCC=O,18.9
c1ccoc1,3.803
CCCCCCCCCCCCC=O,46.1
CC(C)C(C)C(C)C,9.268
COC,4.937
CC(C)Br,6.527
ClCC1CO1,10.46
CCOC(C)=O,10.48
CC(C)O,5.41
FC(F)(F)C(F)(F)C(F)(F)F,0.477
Nc1ccccc1,10.54
Brc1cccc(Br)c1,13.22
CC(O)C(C)O,11.3
Cc1cc(C)c(C)c(C)c1,10.72
CC=O,3.222
C=COC,5.99
Cc1cc(C)nc(C)c1,9.535
CC(C)(C)C,3.146
CCCCCCCCCCCCCCCCCCCCO,99.161
CCCCCCO,15.397
Oc1ccc(O)cc1,27.108
CC(C)(C)c1ccccc1,8.393
CCCCCCCCCCC,22.179
Cc1ccc(C(C)C)cc1,9.661
OCCCO,12.0
CCCCCCCCCCCCCc1ccccc1,43.932
CC(C)(C)S,2.482
CCCCC(C)C,9.184
Cc1ccccc1[N+](=O)[O-],11.476
O=C(Cl)Cl,5.738
CCCCCCCCCN,34.3
FC(F)(F)C(F)(F)F,2.686
CC(=O)O,11.715
Nc1ccccc1N,22.6
Oc1cccc(Cl)c1,13.6
CCCCCCCC(C)O,14.3
CCCCCN,17.6
c1ccsc1,5.086
CCCCCCCCCCC1CCCCC1,38.6
Cc1ccc(O)c(C)c1,12.84
CCc1cccc(C)c1,7.615
CCCBr,6.527
CC=C(C)C,7.598
Cc1cccc([N+](=O)[O-])c1,14.058
C=CCCCCCCCC,13.807
OCC=CCO,14.5
CCC(C)(C)O,4.456
C1CCNCC1,11.422
OCCCCO,16.3
CCCCCCc1ccccc1,18.41
c1ccc2c(c1)ccc1ccccc12,16.463
CCCCC1CCCCC1,14.16
Cc1ccccc1,6.636
COc1ccccc1,11.2
C=CCCCCCCCCCCCCCC,30.192
Nc1ccccc1Cl,11.883
CCc1ccccc1CC,16.778
CCCCCCS,18.01
C=CC=C,7.985
Cc1cc(C)c(C)cc1C,21.004
CCc1cccc2ccccc12,16.3
CCCCCCCCCCCO,37.4
CN,6.134
C1CC1,5.439
