SMILES,TARGET
COC(C)=O,3.1
CCC(C)C,1.4
CCOCC,1.9
COCCOC,1.9
CCCCCCCCCCO,0.7
CCCCOC=O,1.7
CC(C)CCC(C)C,0.9
CC1CN1,2.3
CCC(C)C(C)C,1.1
ClCC1CO1,3.8
CCCC,1.8
CCC(CC)CCC(C)C,0.7
CC(C)CCOC(=O)CC(C)C,0.8
C=CC(C)C,1.5
CCCOC(=O)CCC,1.1
CCOC(=O)CC(=O)OCC,1.3
CCCCCCCCCOCCCCCCCCC,0.4
OCc1ccco1,1.8
O=C1CCCCC1,1.0
CCC(C)C(CC)CC,0.8
CCCCCC(C)CCC,0.7
CC(C)C(C)(C)C(C)(C)C,0.7
CCCC(CC)C(C)(C)C,0.7
CC(C)CC(C)C(C)C,0.8
C1CCCNCC1,1.6
CCC(C)C(C)(C)CC,0.8
C#CC=C,2.2
CCC(C)(CC)C(C)C,0.8
CCC(=O)C(C)C,1.3
CCC(C)CC(CC)CC,0.7
CCCC(C)CO,1.0
CCCCCCCCCCCCCCCC,0.5
CC(C)(CO)CO,1.4
O=C1C=CC(=O)O1,1.4
O=C1CCC(=O)O1,2.7
CCCC(C)C(C)CCC,0.7
CCC(C)CCCC(C)C,0.7
CC(C)=CC(C)(C)C,0.9
Nc1ccc(-c2ccccc2)cc1,0.7
CCCC(C)CCC(C)C,0.7
CC1CCC(C)CC1,0.9
C=CC(=O)OCCCC,1.5
CC1(O)CCCCC1,1.1
CCCCC(C)CCC,0.9
CCCCCCCCCCC1CCCCC1,0.5
O=C(O)CCCCCCCCC(=O)O,0.8
CC(Cl)Cl,5.4
CCCCCCCCCCCCCCCCCC(=O)OCCCC,0.3
C=CC(=C)C,1.8
c1ccc(Oc2ccccc2)cc1,0.8
C=C(C)C#N,2.1
CC(=O)C=C(C)C,1.3
C=CCC,1.6
Cc1cccc2c(C)cccc12,0.8
CC(C)(C)CCC(C)(C)C,0.7
Cc1ccc2cccc(C)c2c1,0.8
C=CC=O,2.8
NCCO,3.1
OCCCO,2.6
CN(CCO)CCO,1.4
CC=CC=CC,1.3
C=C(C)C1CC=C(C)CC1,0.7
c1ccc2cc3ccccc3cc2c1,0.6
CCCc1cccc2ccccc12,0.7
FC(F)=C(F)F,11.0
CC1=CCC2CC1C2(C)C,0.8
c1ccc(Cc2ccccc2)cc1,0.7
CCC=CCC,1.2
CC=CC=O,2.1
CCC(C)CC(C)CC,0.8
CCCCCCCCCCCC(=O)OC,0.6
O=C(O)C=CC(=O)O,2.9
c1ccc(-c2ccccc2-c2ccccc2)cc1,0.5
C[Si](C)(C)C,1.5
C#CCCCCCCCCCC,0.7
CC(C)C(C)C(C)C(C)C,0.7
CCCC(CC)C(C)CC,0.7
OCCCCCO,1.5
C=CCOC(C)=O,1.7
NCCCCCCN,0.7
C=CC(N)=O,2.7
CCCCc1cccc2ccccc12,0.6
CCCCCO,1.2
C=CC(=O)O,2.4
c1ccc2c(c1)Cc1ccccc1-2,0.7
N=CO,7.0
CCCCCCCCCCCCCC(=O)O,0.5
CCC(C)CC(C)(C)CC,0.7
CC(Br)Br,3.9
CC(C)C1=CC2=CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,0.4
CCCCCCCCCCCCCCC1CCCC1,0.4
CCC(C)S,1.4
C=CC(=O)OCC,1.8
CCC(=O)OC(=O)CC,1.5
CCCCC1CCCCC1,0.9
CC(C)CCO,1.2
C=COC,2.6
CCC(C)CC(C)C,0.9
ClCC(Cl)CCl,3.2
CC(C)CC(C)CC(C)C,0.7
N#CCCO,2.3
