SMILES,TARGET
N#CCCC#N,2.1
CC(C)(C)NC=O,1.5
CCC(CC)(CC)CC,0.7
CCc1cc(CC)c(CC)c(CC)c1,0.6
ON=C1CCCCC1,1.3
O=C(O)COCC(=O)O,2.8
Oc1ccc(O)cc1,1.6
CCCCOCCOCCOCCCC,0.6
CC(=O)c1ccccc1,1.1
CC(C)C(=O)C(C)C,1.1
C1=CC=CCC=C1,1.3
Cc1ccccc1,1.2
c1cc2ccc3cccc4ccc(c1)c2c34,0.6
CCCCC(CC)CCC,0.7
O=C1CCC(=O)O1,2.7
CC(C)C(C(C)C)C(C)C,0.7
C(#Cc1ccccc1)c1ccccc1,0.7
N#Cc1ccccc1,1.3
Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,0.4
CCCCC,1.4
CCCCC=O,1.5
Cc1cccc2ccccc12,0.8
Cc1cc(C)cc(C)c1,0.9
CC=CC(=O)O,2.25
Cc1ccc2cc(C)ccc2c1,0.7
CC(=O)CCC(=O)O,1.8
COCCC#N,2.0
Oc1cccc(O)c1,1.6
CC(C)C(C)(C)C,1.0
C#CCCCCCCCCCCCCCCC,0.5
CC(C)S,1.8
COc1cc(C=O)ccc1O,1.2
ClCOCCl,6.5
CCCCCCC(C)O,0.8
OCCCl,4.9
CNc1ccccc1,1.2
Cc1cc([N+](=O)[O-])ccc1[N+](=O)[O-],1.5
c1ccc(-c2cccc(-c3ccccc3)c2)cc1,0.5
Brc1cccc(Br)c1,1.9
C=CCCCCCC,0.9
CC(O)CN,2.2
CCC(C)(CC)CC,0.9
CCCCBr,2.6
OC1CCCCC1,1.2
O=Cc1ccco1,2.1
CCCC(=O)OC(=O)CCC,1.1
O=C(O)C(=O)O,8.5
CCCC(C)CO,1.0
Cc1ccc(O)cc1,1.1
O=C(O)c1cccc(C(=O)O)c1,1.3
C=CCCC,1.5
CCCCCCl,1.6
OCC(O)CO,2.7
CC1CCCC(C)C1,0.9
C(=C(c1ccccc1)c1ccccc1)c1ccccc1,0.4
N#CCC#N,2.9
NCCNCCO,1.0
CCCCCCCCCOCCCCCCCCC,0.4
O=C(O)C(O)C(O)C(=O)O,3.0
C=CC(=O)OCCC,1.4
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,1.1
C1CN2CCN1CC2,1.2
c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,0.5
CCCCCCCCCCCCCCCCCC(=O)OCCCC,0.3
C=CC#CC,1.7
COC(=O)c1ccccc1,1.2
CCCCCOC(C)=O,1.1
CCCCCCC(C)C,0.9
CC(O)C#N,2.7
CCCCCCCCCCCCCc1ccccc1,0.4
CC(C)CCOC(=O)CC(C)C,0.8
ClCC=CCCl,2.0
CCCCOCC,1.2
COC(=O)c1ccccc1O,1.2
CCCCCCCCCCCCCCCCCCCC,0.4
Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,1.4
Cc1cccc([N+](=O)[O-])c1,1.6
c1ccc(NNc2ccccc2)cc1,0.7
OCC(CO)(CO)CO,1.6
CCCCCCCCCCCCCCCCCCC(=O)O,0.4
CC(=O)OC(C)=O,2.9
CN(C)c1ccc(C=O)cc1,1.0
c1ccc2cnccc2c1,1.0
CCc1c(C)cccc1C,0.8
CCCCCCCCC(=O)OCCCC,0.6
CC(Cl)Cl,5.4
ClCCCCl,3.4
OCc1ccccc1,1.3
CC1CCC(O)CC1,1.1
CCCCCCO,1.2
CCCCCCCCCCCCCCc1ccccc1,0.4
Cc1ccc([N+](=O)[O-])cc1,1.6
CCCCC(CC)CC,0.8
CCOCCC(=O)OCC,1.1
CC1CCCCC1C,0.9
N#CCCOCCC#N,1.4
C=CCC,1.6
NCCCO,2.2
O=Cc1ccc(O)cc1,1.4
FCCF,4.6
CC(C)[N+](=O)[O-],2.6
CCCCOC=O,1.7
CCCC(C)C(C)(C)C,0.8
CCCC(=O)CC,1.0
c1ccncc1,1.8
