SMILES,TARGET
CC(C)(C)OO,43.4
ClC(Cl)(Cl)C(Cl)(Cl)Cl,33.4
CC1CCCCC1C,29.38
CCCC(C)(C)C(C)C,25.53
C=CC(=O)OCC,36.8
CC(C)(C)CC(C)(C)C,23.61
C=C=CCC,38.0
C=C(C)C(C)(C)C,31.4
CC1=CCC2CC1C2(C)C,27.6
CCC(C)Br,46.3
CC1(O)CCCCC1,37.9
CCc1ccc(CC)cc1,28.03
CCOC(=O)C(=O)OCC,30.9
CCCOC(=O)CC,31.1
N#CCC#N,40.4
CC(C)CCCCCOC(=O)c1ccccc1C(=O)OCCCCCC(C)C,11.8
CC(C#N)CCC#N,28.8
CCC(=O)O,45.3
C1=CC2CCC1C2,39.3
O=C(O)c1cccc(C(=O)O)c1,39.5
CN(CCO)CCO,38.8
N#CC#N,59.78
SC1CCCC1,42.7
CCC[N+](=O)[O-],43.5
CCCC(C)(C)CC(C)C,22.19
C=CCOC(C)=O,36.8
OCCCO,59.2
c1ccc(-c2ccccc2)cc1,38.47
ClCC(Cl)Cl,44.8
c1ccc2c(c1)oc1ccccc12,32.0
CCCC(C)C(C)(C)C,24.9
CC(C)C(C)C(C)C,27.3
C=C(C)C#N,38.8
Nc1ccc(Cl)cc1,45.9
O=C1CCO1,69.1
NNc1ccccc1,49.1
CCC(I)CI,37.27
CC(C)N,45.39
CC(C)C(=O)C(C)C,30.2
COCCO,50.1
CC(C)(C)CO,38.8
CCC(C)C(C)C(C)CC,22.39
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,13.32
ClCCCCl,41.5
C=CCC,40.2
CCC(CC)CC(C)C,24.01
Nc1ccc(Cl)c(Cl)c1,41.1
CC(C)CCOC(=O)CC(C)C,22.0
CCC(C)O,41.94
C1OCOCO1,58.2
COC(=O)c1ccccc1C(=O)OC,27.8
C=CCC=C,37.4
CCC(CC)(CC)C(C)C,25.33
CC(C)CCCCC(C)C,20.97
O=C(O)CCCCC(=O)O,35.3
CC1CCCCC1,34.71
C1COCCN1,53.4
CCCC(C)CC(C)(C)C,21.68
CN(C)c1ccc(C=O)cc1,30.7
CCC(C)[N+](=O)[O-],36.0
CC=C(C)C,34.0
FC(F)(F)Br,39.72
COC,53.7
CCCCCCCCC=CCCCCCCCC(=O)OC,12.8
CCCC(=O)OCC,30.6
N#CCCO,48.9
COc1ccccc1[N+](=O)[O-],37.6
O=C1CCCCCN1,47.7
CC(C)(C)c1ccc(O)cc1,33.4
CC1CCCC(O)C1,37.9
CCC(C)C,33.81
CCC(C)OC,34.1
c1ccc(C2CCCCC2)cc1,28.8
C1=CCCCC1,43.5
FC(F)(F)c1ccc(Cl)cc1Cl,28.1
Cc1ccc2c(C)cccc2c1,30.06
CC(C)C(=O)O,40.53
CCC(C)CCC(C)C,23.51
C1CCC(NC2CCCCC2)CC1,25.2
O=C(O)c1ccccc1O,51.8
C=Cc1cccc(C=C)c1,31.2
COCC(=O)O,49.8
CCCC(C(C)C)C(C)C,22.9
CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,21.8
C=CC=C,43.3
C=CC1=CCCCC1,34.3
CCC(CO)(CO)CO,39.1
CCCCCCCCCc1cccc(O)c1CCCCCCCCC,12.4
CCc1ccc(C)cc1,29.38
c1ccc2c(c1)-c1cccc3cccc-2c13,26.1
C=CBr,71.8
OCCCl,59.2
C=COCC,40.73
OCCCCO,48.8
C=Cc1cccc(C)c1,32.9
O=C1OC(=O)c2ccccc21,47.2
COC(C)=O,46.9
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],30.0
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,33.9
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,36.0
C=CC(=O)O,56.6
CC(=O)OC(C)(C)C,31.7
Nc1cccc(N)c1,51.8
C=C=C,54.7
Fc1c(F)c(F)c(F)c(F)c1F,32.73
CCC(C)C(CC)CC,25.13
C=C=O,58.1
CC(=O)N(C)C,40.3
O=C(O)CCl,57.8
COS(=O)(=O)OC,51.6
Cc1cccc(C)n1,37.8
C=C1CC(=O)O1,59.6
CCC(C)(C)S,32.7
c1ccc2c(c1)CCC2,39.5
C=CCBr,51.39
CC(C)=C(C)C,31.6
CCOC(=O)CC,33.62
Cc1ccc(C)c(O)c1,49.0
NC1CCCCC1,42.0
O=C(O)c1ccccc1C(=O)O,39.5
CC(C)Cc1ccccc1,30.4
CC(C)(C)Cl,39.0
CCCCCCCCCCCCCCc1ccccc1,14.19
COC(C)(C)C,34.3
Sc1ccccc1,47.4
CCC(CC)C(C)C,27.1
CCC#CCC,35.3
Clc1ccccc1,45.19
CCOC(=O)CC#N,33.4
C=CCI,45.29
COC(=O)C=CC(=O)OC,32.2
O=Cc1ccco1,55.12
Cc1ccc(O)c(C)c1,44.0
CC(C)CC(C)C(C)C,24.01
CC(C)CC(=O)CC(C)C,24.8
CC(C)C(C(C)C)C(C)C,23.41
CC(C)(C)c1ccccc1,29.7
CC(c1ccccc1)c1ccccc1,26.8
C=CC(C)CCC,29.5
CC(=O)CC(C)C,32.73
C(#Cc1ccccc1)c1ccccc1,29.0
CCCCCCCCCc1ccccc1O,20.7
O=Cc1ccccc1O,49.9
Cc1ccccc1C,37.34
CCC(C)CCC(C)CC,21.89
Fc1ccccc1,45.51
C[Si](C)(C)O[Si](C)(C)C,19.14
CCCCCCCCc1ccccc1,20.2
O=C1CCCC1,58.5
CCC(C)C(C)(C)CC,26.24
CCC(C)(CC)CC(C)C,24.71
Cc1ccc(Cl)cc1Cl,35.9
COCCOCCO,35.4
C=CCC#N,38.8
C=COC=C,42.5
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,16.63
CC(=O)C=C(C)C,34.1
CCOC(=O)CCC(=O)OCC,25.3
FC(F)C(F)(F)F,34.4
CC1CCCC1C,34.45
N#CCCCCC#N,28.3
O=C=O,73.82
COC(=O)CCl,45.0
C1=CC=CCC=C1,43.34
CC(C)(C)I,38.82
C[SiH](C)C,31.9
C=CCO,56.2
CC(C)C#N,37.6
c1cc2c3c(cccc3c1)CC2,31.0
CC(C)=O,47.02
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],34.0
COc1ccccc1,41.75
c1ccc2ccccc2c1,40.51
CCCS(=O)(=O)CCC,31.1
CC(=O)OCc1ccccc1,31.8
O=C1OCCO1,67.7
Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1,34.0
CCC(C)OC(C)=O,31.7
C=CC(=C)Cl,42.6
CCC(C)(CC)CC,28.1
C1CS1,73.8
O=C(O)C1CCC(C(=O)O)CC1,34.2
CCCc1cccc2ccccc12,27.56
CCC(C)CC,31.24
OCC(CO)(CO)CO,47.8
CC(C)CC(C)C,27.37
FC(Cl)Cl,51.84
C1=CCC=C1,51.5
CC(O)CN,56.7
C1=CCC1,52.66
CCc1c(CC)c(CC)c(CC)c(CC)c1CC,13.82
O=C(O)COCC(=O)O,44.2
OCCOCCO,46.0
CC(C)(c1ccccc1)c1ccc(O)cc1,26.8
CCCc1ccccc1,32.0
CCc1cc(CC)c(CC)cc1CC,19.3
CCCCCCCCCc1cccc2ccccc12,16.8
c1ccc2cnccc2c1,49.8
Cc1cc(C)cc(C)c1,31.27
CCC1(C)CCCC1,30.2
C=C(C)C(=O)OC,36.8
CCCC(C)CCC,25.42
C=CF,52.39
CCC(C)=O,41.54
C(=Cc1ccccc1)c1ccccc1,27.4
CC(C)(C)OC(C)(C)C,25.3
C=C(C)C=O,42.5
CCOc1ccc(N)cc1,35.7
CC(C)I,51.2
CC(=O)CC(C)=O,39.6
CCC(=O)C(C)C,33.2
C=C1C2CCC(C2)C1(C)C,27.5
Cc1ccccc1[N+](=O)[O-],38.0
CCCC(CC)C(C)(C)C,23.1
Cc1cc2ccccc2cc1C,30.06
COCCOCCOC,28.6
CCc1cc(CC)c(CC)c(CC)c1,19.3
ClC(Cl)C(Cl)Cl,40.9
CCC(C)(C)Cl,33.96
Cc1ccccc1C(C)C,29.3
c1ccoc1,55.02
O=[N+]([O-])c1cccc(Cl)c1,39.8
C=CCCC,35.29
CCCC(CC)CC(C)C,21.89
CC1C=CCC1,40.16
CC(Cl)CCl,42.4
CCCCOC(=O)C=CC(=O)OCCCC,19.0
Cc1ccc(C=O)cc1,36.7
CCc1ccc(O)cc1,42.9
CC1=CC(=O)CC(C)(C)C1,33.3
O=C(O)CCCCCCCC(=O)O,25.6
ClCBr,68.1
IC(I)I,53.12
C=C,50.32
O=C(O)CC(O)(CC(=O)O)C(=O)O,37.98
CCC(C)C(C)(C)C,27.3
CCC(CC)CCC(C)C,21.89
CC1CCC(C)CC1,29.38
O=CNc1ccccc1,41.1
CCC(C)C(C)C(C)C,25.23
CCCC(C)C(C)C,26.3
C=C(CC(=O)O)C(=O)O,42.4
C1CNCCN1,55.3
O=C=Nc1ccccc1,40.6
CC(C)COC(=O)C(C)C,26.1
CC(O)CO,61.0
CC(C)(C)O,39.72
C#CCCC,41.7
CCC1CCCC1,33.98
NCCNCCO,44.6
CC(C)C,36.48
CCCCOC(=O)c1ccccc1,25.9
C=CC(=O)OCCC,32.5
CC(C)(Cl)Cl,41.04
CCOC(=O)c1ccccc1C(=O)OCC,23.3
C=C(C)C1CC=C(C)CC1,27.5
CC(=O)OC(C)C,35.8
CN(C)CCO,41.4
CCOCC,36.38
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,10.0
C1=CC=CC=CC=C1,41.41
c1cc[nH]c1,62.1
CCOC=O,47.42
CCCC#N,37.9
O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],17.4
C=CCC(C)CC,30.4
FC(F)(Br)C(F)(F)Br,33.93
C[Si](C)(C)C,28.14
C#CCC,49.5
Cc1ccc(Cl)cc1,39.1
CCCC(CCC)C(C)C,22.29
Cc1ccsc1,49.5
Oc1ccccc1O,74.9
Cc1cccc(N)c1,41.54
Cc1cccc2ccccc12,36.6
CC(C)C(C)CC(C)(C)C,22.19
Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,28.5
COc1ccccc1O,47.3
N#CC=CCCC#N,29.5
O=CO,73.9
Nc1ccccc1[N+](=O)[O-],44.2
Cc1cccc(O)c1,45.6
Cc1ccc(N)cc1N,43.8
CCCC(C)CC(C)CC,21.89
CCC(C)CCC(C)(C)C,21.68
CC1CC=CC1,40.16
CCC(C(C)C)C(C)C,25.3
O=[N+]([O-])c1ccccc1Cl,39.8
Ic1ccccc1,45.19
c1cocn1,63.2
ClC(Cl)(Cl)c1ccccc1,33.4
CC(=O)OCC(C)C,31.6
c1ccc(Cc2ccccc2)cc1,29.2
CC1(C)CCCCC1,29.38
CC(=O)C(=O)O,56.5
CCC(C)(CC)C(C)C,26.85
C=C=C(C)C,38.3
CC(Br)CBr,54.07
ClCCCCCCl,31.9
CCOc1cc(C=O)ccc1O,32.7
CC(C)CC(C)CC(C)C,21.48
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,28.4
ClCC=CCCl,37.8
O=C(OCc1ccccc1)c1ccccc1,25.8
CCCCc1ccc2ccccc2c1,24.98
Cc1cc(C)cc(O)c1,36.48
CC(F)(F)F,37.58
COc1ccc(O)cc1,49.7
C1CSC1,61.0
CC(C)Cl,45.4
Cc1ccncc1,46.61
Nc1ccc(N)cc1,51.8
CCCCCCCCC1CCCCC1,18.0
Nc1ccc(Nc2ccccc2)cc1,31.9
BrC(Br)C(Br)Br,46.0
COCCOCCOCCOC,23.1
c1ccc2c(c1)[nH]c1ccccc12,32.6
NCCCO,55.0
c1ccc(-c2ccccc2-c2ccccc2)cc1,39.01
C=COC=O,50.2
C1CCCCCCC1,35.5
C=C1C=CC(C(C)C)CC1,28.2
CCCC(C)(CC)C(C)C,24.22
c1cc2ccc3cccc4ccc(c1)c2c34,26.1
CC(C)S,47.5
c1ccncc1,56.34
CCC(C)(C)C(C)C(C)C,24.22
BrCBr,71.7
CCOC,43.98
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,29.3
CCC(C)N,40.0
Nc1ccccc1N,51.8
CCCC(C)CO,34.0
CCCCCCCc1ccccc1,21.8
CCC(C)(C(C)C)C(C)C,25.43
CC(CO)OC(C)CO.CC(O)COCC(C)O,35.8
CCCOC(C)=O,33.6
C=C(Cl)CCl,43.8
CCSC,42.5
ClC=CCl,51.9
CC=CC=CC,33.5
Cc1cc(C)c(C)c(C)c1,29.7
FC(Cl)(Cl)C(F)(Cl)Cl,33.4
CCC(C)C(CC)C(C)C,23.41
CCCOCC,33.7
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,30.1
CC(C)C(C)C(C)C(C)C,23.41
CCC(=O)CC,37.39
CCC(CC)CO,34.0
CCOS(=O)(=O)OCC,68.9
CCC(C)S,40.6
CCCCCCCCCCCCCCCC1CCCCC1,10.9
FC(F)=C(F)Cl,40.53
Clc1sc(Cl)c(Cl)c1Cl,36.7
Oc1ccccc1Cl,50.0
CCCC(CC)(CC)CC,24.12
Nc1ccccc1Cl,45.9
CC(C)CC(C)O,34.7
