SMILES,TARGET
COC(=O)CC(C)=O,-0.049
OCCCc1ccccc1,-1.7018
Clc1ccc(-c2cc(Cl)ccc2Cl)c(Cl)c1,-5.0716
C1=Cc2cccc3cccc1c23,-2.1752
CC[C@H](C)C(C)(C)C,1.5065
COc1ccccc1[N+](=O)[O-],-2.4576
CCCCI,1.1418
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,-3.0458
C/C=C(\C)C(=O)O,-0.8748
OCc1ccccc1,-1.0919
O=C1c2ccccc2C(=O)c2c(O)cccc21,-6.6792
CCCCc1c(C)nc(NCC)nc1O,-5.699
O=C(Cl)Cc1ccccc1,-0.7018
CCOC(=O)c1nc(C(Cl)(Cl)Cl)n(-c2ccc(Cl)cc2Cl)n1,-8.1752
Cc1c(C)c(C)c(C)c(C)c1C,-3.0655
CCOC(=O)CI,-0.1952
CC(CCl)OC(C)CCl,-0.2518
C[Si](C)(C)Cl,2.3686
Clc1ccc(Cl)s1,0.9337
CC(C)C(O)(c1ccc(OC(F)(F)F)cc1)c1cncnc1,-6.4389
Cc1cc(C)c(C)c(O)c1,-2.4202
c1ccc2c(c1)CCC2,0.1876
CC(C)CCO[N+](=O)[O-],0.7101
CC(=O)Nc1ccc(/N=N/c2cc(C)ccc2O)cc1,-10.301
CCOc1ccc(NC(=O)OC(C)C)cc1OCC,-4.2007
ClCc1ccccc1,0.1154
Cc1ccc(C)c2ccccc12,-1.6696
CCCCOC=O,1.4607
C1=CCCC=CCC1,0.6945
CCCSC,1.706
C1CSC1,1.7207
CCCCCCCCCCCCCCN,-3.0113
CC(C)(C)S,2.2589
CC(CO)CO,-1.6778
FCC(F)(F)F,3.6512
CCCCC(=O)CC,0.415
c1ccc2c(c1)ccc1ccccc12,-3.9172
C=C/C=C\CC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](C=C(C)C)C2(C)C)CC1=O,-4.6925
CC(C)(Cl)Cl,2.1616
CCCCCCCCCCCCCCCCCC(=O)OCC,-5.5867
C[Si](F)(F)c1ccccc1,0.8807
CCCC[C@@H](O)CC,-0.1308
CC=Cc1ccc(O)c(OC)c1,-1.9223
Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],-3.2464
COC1CCC=CO1,1.0374
CC1CCCC(C)C1,1.3318
CCC=C(C)C,2.1979
CCCN,2.4914
C=Cc1ccc(Br)cc1,-0.1085
N#Cc1c(Cl)cccc1Cl,-3.1805
CCOP(=S)(OCC)O/N=C(\C#N)c1ccccc1,-4.8013
CCCCCCCCCCCCCCCC(=O)OC,-4.3279
C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,-1.1726
CC(F)F,3.654
CC(=O)CCC(=O)O,-2.9508
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,-5.185
CCCCCCCCN,-0.0144
CC1CCCO1,1.9883
CCOCOCC,1.5327
CN(C)O,1.3258
[C-]#[N+]c1ccccc1,0.3806
c1ccccc1,1.9769
O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl,-6.8041
C=CCCCCCCCCC,-0.3072
Brc1ccc(-c2ccccc2)cc1,-2.6289
CCCCC(C)(C)O,0.3168
C=C1CCC2CC1C2(C)C,0.4663
CCC(C)C(C)C(C)C,0.9552
CC(C)C12CCC(C)(CC1)O2,0.286
BrCc1ccccc1,-0.3468
O=CCc1ccccc1,-0.4067
CCc1ccc2cc3ccccc3cc2c1,-5.2807
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1,-4.2676
COC(=O)[C@@H]1C2CCC(C[C@@H]1OC(=O)c1ccccc1)N2C,-6.719
CCCC(N)=O,-2.4078
CSC(=O)c1cccc2nnsc12,-5.4815
COc1ccccc1O,-0.9872
Clc1ccc(Cl)c(-c2ccccc2)c1,-2.8601
Ic1cccs1,0.9058
COc1ccc(C=O)cc1,-1.4828
CC(C)(C)c1ccccc1O,-1.0458
CCN,3.0203
CC(C)C[N+](=O)[O-],0.8376
CC(C)CCC(C)(C)C,1.2202
CCCCCCCCCO,-1.6413
c1cc(-c2ccncc2)ccn1,-4.2549
C=C(C)CCCCC,1.3045
COc1cc(Cl)c(Cl)c(Cl)c1O,-2.7286
CCC(C)C1CCCCC1,0.3701
CC(C)(C)N,2.5699
CCOc1cc(C=O)ccc1O,-4.9842
CC=C(C)CC,2.171
COP(=S)(OC)Oc1c(Cl)cc(C)cc1Cl,-3.3665
Cc1nn(C)c(Oc2ccccc2)c1C=NOCc1ccc(C(=O)OC(C)(C)C)cc1,-7.2495
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-6.2441
O=CNc1ccccc1,-2.4471
COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,-7.3768
C/C(=C\c1ccccc1)C(=O)O,-3.0405
CC1CCCCC1NC(=O)Nc1ccccc1,-8.3979
C=C(Cl)C(Cl)CCl,0.2742
CC(C)(C)C1CCC(O)CC1,-1.1549
CCC(C)(C)C(C)(C)C,0.9754
Sc1ccccc1,0.1791
CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1,-7.0862
Oc1ccccc1Cl,0.4032
Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1,-4.9208
CCc1ccc(C(C)=O)cc1,-0.0389
CC(=O)CCC(C)C,0.7163
CCSC(=O)N(CC)C1CCCCC1,-2.699
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(CO/N=C(/c2ccc(Cl)cc2)C2CC2)cc1,-9.3925
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.0835
CCC(=O)C(C)C,1.2579
Cc1ccc(N)cc1,-0.5433
C=CCSCC=C,0.9645
C=COC(C)=O,2.0588
CCCCBr,1.6228
CCCC(C)(C)C,2.0221
C=CC[Si](Cl)(Cl)CC=C,0.445
COC(=O)c1ccccc1N,-1.567
CC(Cl)CCl,1.7168
CCC[C@](C)(O)CC,0.2914
Clc1ccc(-c2ccccc2Cl)cc1Cl,-3.9872
CCCCCCCCCCCCCCCC,-2.8447
COc1ccc(-c2ccccc2)cc1NNC(=O)OC(C)C,-7.1249
CCCCCCCCCCc1ccccc1,-2.8928
CCCC(C)C(C)C,1.3698
BrCBr,1.6553
Fc1ccc(F)cc1,1.8076
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(Cl)c1,-5.3979
OCC(F)(F)C(F)(F)F,1.6641
Clc1ccccc1-c1ccccc1,-2.8601
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,-1.9873
Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1,-6.8239
C#CCCCCCCC,0.7966
COc1cccc(C(=O)O)c1OC,-5.7305
CCC(C)c1ccccc1,0.2432
O=C(O)CCCCCC(=O)O,-7.0458
CCCCC(CC)(CO)CO,-4.0
Clc1cc2c(c(Cl)c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,-10.18835
CC(C)C#N,1.5159
COc1ccc2c(c1)C(=O)c1ccccc1C2=O,-10.1646
CC=C(Cl)Cl,1.9578
Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1,-4.3893
COCC(F)F,2.4771
CNC(=O)Oc1cc(C)cc(C(C)C)c1,-4.5229
C=CCCCC(C)C,1.4015
CC(C)(C)OO,0.7384
CCc1ccccc1O,-0.8153
c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,-6.301
CCCCC(CC)CO[PH](=O)OCC(CC)CCCC,-4.2366
C=Cc1ccc(C)cc1,0.262
CCCCCCN,0.9537
CC(C)CCCCCOC(=O)C(C)Oc1ccc(Cl)cc1Cl,-5.4711
Clc1cc2oc3c(Cl)c(Cl)ccc3c2cc1Cl,-7.6778
Cc1cc(=O)[nH]o1,-2.8633
Clc1cccc(Cl)c1Cl,-0.6778
COCc1ccccc1,0.2201
CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1,-4.301
CCCN(CCC)c1c([N+](=O)[O-])cc(S(C)(=O)=O)cc1[N+](=O)[O-],-8.0315
CCCCOC(=O)N(C)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,-7.5331
CCOC(=O)C=CC(=O)OCC,-0.9851
CCCCCC(C)Br,0.3583
Brc1cc2c(cc1Br)Oc1ccccc1O2,-5.9208
O=C(O)COc1ccc(Cl)cc1CO,-6.1759
COC(=O)COc1ccc(Cl)cc1Cl,-2.6383
CCNc1nc(NCC)nc(OC)n1,-5.6198
FC(F)(F)C(Cl)(Cl)Cl,2.5563
CCCCCCCCBr,-0.4181
CCC(N)=O,-1.4225
O=NN1CCCC1,-1.2218
O=C[C@@H]1C[C@@H]2[C@@H]3[C@H]1[C@@]1(Cl)C(Cl)(Cl)[C@]3(Cl)[C@@]3(Cl)[C@@H]2[C@]31Cl,-6.699
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-5.3288
Clc1ccc(CSC(Cn2cncn2)=Nc2ccc(Cl)cc2Cl)cc1,-9.1952
Clc1cc(Cl)c(Cl)cc1Cl,-2.2676
CCC(C)Cl,2.1959
Cc1nn(C)c(OCC(=O)c2ccccc2)c1C(=O)c1ccc(Cl)cc1Cl,-6.4437
C[Si](C)(F)c1ccccc1,0.4628
C=CC(=C)Cl,2.3394
COC(F)(F)C(F)(F)C(F)(F)F,2.7528
C=C(C)CC(C)(C)C,1.6507
Cc1cccc(Cl)c1,0.5653
CC(=O)OCC(C)C,1.2509
C#CC,3.6338
C=CCCCCCCCCCCCC,-1.8251
CN(CCCl)CCCl,-0.7696
CCOC(=O)CC(C)C,0.9196
Clc1cc(Cl)c2oc3c(Cl)c(Cl)ccc3c2c1,-7.4815
Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,-5.1379
CNC.O=C(O)COc1ccc(Cl)cc1Cl,-9.0
Cc1ccccc1N,-0.5893
Cc1c(N=C=O)cccc1N=C=O,-1.6799
CCCCCCCCCCCCCCCCCC(=O)O,-6.1414
Cc1ccc(O)cc1,-0.9586
O=C(OCc1ccccc1)c1ccccc1,-3.6494
CCCCCc1ccccc1,-0.3583
O=S(=O)(O)C(F)(F)F,-1.0
CC(=O)C=CC1=C(C)CCCC1(C)C,-1.2676
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,-4.5986
C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],-4.0565
O=P(Cl)(Cl)Oc1ccccc1,-1.2802
C[Si](C)(Cl)c1ccccc1,-0.1403
CNC(=O)/C=C(\C)OP(=O)(OC)OC,-5.6615
COC(=O)C(C)C,1.6925
N#Cc1sc2c(=O)c3ccccc3c(=O)c=2sc1C#N,-10.6925
CC1CCCC(C)(C)C1,1.0339
O=P(c1ccccc1)(c1ccccc1)c1ccccc1,-8.585
O=C(O)COc1ccc(Cl)cc1Cl,-4.0835
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0.5236
CCCCCCCCCCCCCCCCS,-4.9855
COc1ccc(Br)cc1,-0.6919
CN(C)C(=S)SSC(=S)N(C)C,-4.7632
O=C1OCc2ccccc21,-2.699
CCOP(=O)(OCC)OP(=O)(OCC)OCC,-3.585
CCCCCCCCCCCCCCCCCBr,-4.7373
ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,-3.3979
FC(C(F)(F)F)C(F)(F)F,3.5328
C=C=CCC,2.5661
CCC(C)O,1.2632
CCCCCCCCCCCCCCCl,-3.1391
Cc1ccn2nc(S(=O)(=O)Nc3c(F)cccc3F)nc2n1,-11.556
COCCOCCOC,0.725
CC(C)O,1.6585
CCCC(C)C(C)(C)C,1.0516
