SMILES,TARGET
CCCCSCC,28.92
CCCCCO,20.36
Cc1cccc(N)c1,42.4
NCCN,9.55
CC(O)C(=O)O,50.06
ClC=C(Cl)Cl,19.86
ClCC1CO1,15.22
Clc1ccc(Cl)c(Cl)c1,58.56
CC=CCC,5.685
CCCC(C)(CC)CCC,30.53
ClC=CCl,6.93
CCC1CO1,5.25
C=CC(CC)CC,15.96
CCC(C)(C)C(C)C,22.07
C=CC(C)CC,9.84
CCC(C)CC(CC)CC,30.17
Nc1ccccc1,0.74
CC(=O)N(C)C,26.23
CCC(C)C(C)C(C)C,26.89
CCCCCCC(C)C,26.88
CC=O,0.27
C#CCCCCC,16.73
CCC(C)CC(C)C,21.23
Cc1cccc(C)n1,29.75
ClC(Cl)(Cl)Cl,21.57
CCCCCCCC=O,33.24
CCCCC(CC)CC,27.11
CCc1cccc(C)c1C,38.87
CCC(=O)C(C)C,19.72
C1CS1,2.86
COC(=O)CCl,23.2
CCCC(C)(C)CC,21.6
BrCBr,26.52
CCCCC(C)(C)C(C)C,30.4
CCCCC(C)CC(C)C,29.58
O=C=S,0.12
CCl,0.05
Ic1ccccc1,73.55
CCCCCOC=O,27.0
c1ccncc1,15.96
CCCCCCCCCCC=O,40.54
Oc1ccccc1Cl,42.9
CCC(C)C(CC)CC,27.17
C#N,0.0005
CCCCCC(C)=O,28.0
CC=CCCCC,17.465
CCC(C)(C)OC,15.93
CCCCCCCCCCC,34.87
C=COCCCC,17.17
Cc1cccc(C)c1C,35.4
CCCSCCC,28.75
Cc1cccc(C(C)C)c1,35.5
CCCCCl,11.69
CCCCOC(=O)CC,30.55
CCCCNCCCC,30.1
CCCC(CC)CC,22.49
CCOCCOCCO,44.92
OCCO,36.77
CC(=O)OC(C)(C)C,19.53
CCCCC(C)C,16.44
CC(O)C(C)O,39.7
ClCc1ccccc1,36.21
C=C(C)C(C)C,10.06
CCCCN=C=O,19.49
C=C=CCC,6.31
CC(C)CCCC(C)C,25.95
CC=CCCCCC,23.08
CCC(C)N,7.36
FCCF,0.02
C[Si](C)(C)C,8.4
CC(C)=O,2.03
C=C(C)CC,5.33
C=Cc1ccc(C)cc1,38.09
CCCCCC(CC)CC,30.86
C=O,0.016
CCCCS,15.93
C=CCC(C)C,9.81
c1ccccc1,11.91
C=CCCC=C,10.16
CCCC,2.28
CCCCOCCCC,28.04
CCC(O)CC,19.49
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,44.61
CC(=O)OC(C)C,11.56
CCC(C)CC,10.73
CCCC(C)(C)CCC,26.2
CCCCCCN,23.12
CCCC(C)C(CC)CC,30.78
CCC(CC)CO,29.56
CC(C)C(=O)C(C)C,23.73
CC1CCCC(C)C1,23.445
C=C1CC(=O)O1,16.06
CCC=O,3.23
CCC(C)(C)C(C)C(C)C,31.29
CCCNCCC,20.22
COCCO,13.06
CC(C)CCCCC(C)C,29.83
C=Cc1ccccc1,30.02
O=[N+]([O-])c1ccccc1,51.25
