SMILES,TARGET
CCCCCCC(C)O,36.94
CCC#N,3.46
c1cc[nH]c1,14.9
CCCCc1ccccc1,36.56
C1=CCCC1,5.17
c1ccc2[nH]ccc2c1,55.74
CCCC(C)CC(C)C,25.91
CCC(C)c1ccccc1,35.45
ICI,119.66
C[Si](Cl)(Cl)Cl,19.75
CC=CC=O,10.35
FC(F)(Cl)C(F)(Cl)Cl,28.05
FCBr,6.34
COC(=O)c1ccccc1O,57.49
CN(C)CCO,24.42
Brc1cccc(Br)c1,87.39
CCCCCCc1ccccc1,41.05
C=CC(=O)OCC,6.64
CCOCc1ccccc1,39.69
CCCC#N,9.83
CC(=O)N(C)C,26.23
Cc1ccc(C)c(C)c1,34.02
C=CCCCCCCCC,31.29
CCC(Br)CBr,63.83
CCCCCCCCCCCC,34.95
CCCCSCC,28.92
CC(C)COC(=O)C(C)C,32.05
O=S1(=O)CCCC1,60.1
ClC(Cl)Cl,10.22
CCCCCCl,19.59
Cc1cccc([N+](=O)[O-])c1,51.57
O=CO,0.18
CCCCCCC,17.39
Clc1ccccc1Cl,44.39
Cc1cccc(O)c1,45.63
CCCCCCCC=O,33.24
ClCCCCl,22.57
Cc1ccccc1N,43.23
CCCCCCCC(C)O,39.56
c1ccc2ncccc2c1,52.31
CC(C)CC(C)O,24.84
CCCCCCCCCCCC=O,41.83
C#C,0.035
CCc1ccc(C)c(C)c1,37.8
O=C(Cl)Cl,0.85
CC=CCCCCC,23.08
CN1CCCC1=O,40.05
CCCC(=O)OC,16.83
CC(C)CC(C)CC(C)C,28.79
CCCCCCO,27.56
Cc1cc(C)nc(C)c1,35.24
CCC(C)C(C)C(C)(C)C,30.3
C#CCCl,4.52
CCCCCCCC(C)C,30.6
CC(C)C(=O)C(C)C,23.73
CCCC(CCC)CCC,30.06
CNCCO,25.53
FC(F)(F)Br,0.13
CC(Cl)(Cl)Cl,17.29
ClC(Cl)(Cl)Cl,21.57
CCCC(C)CCC(C)C,29.87
CCCCC(C)C,16.44
FC(F)(F)c1ccccc1,26.41
CCCCCCCCCC,31.25
CCCO,6.63
C=CCCCCCCCCCC,36.2
CC(=O)O,3.7
C=CC(=O)OC,5.75
CCCCCCCCCCN,38.05
C#CC,0.1
CCc1ccc(C)cc1C,37.52
CCC(=O)OC,9.2
CC(C)c1cccc(C(C)C)c1,39.43
CCCOC=O,9.43
CCCCCC(C)C(C)C,30.54
CCCCOC(=O)CCC,34.63
CCc1ccccc1N,44.62
CCCCC=O,13.65
CCCCCC=O,21.54
CCOP(=O)(OCC)OCC,47.24
CCCCCCS,30.02
BrC(Br)Br,81.07
CCOC(=O)CC(C)C,28.46
NNc1ccccc1,53.68
Cc1ccc2ccccc2n1,53.84
CCCC(C)(C)C(C)C,26.69
CCc1cccc(C)c1,32.82
CCCC(C)(C)C(C)CC,30.69
Cc1cccc(C)c1C,35.4
CCCC(C(C)C)C(C)C,30.58
Cc1ccccc1,20.07
CC(=O)OC(C)C,11.56
CCCCC(C)C(C)(C)C,30.01
CC(=O)c1ccccc1,43.57
CC1=CCCC1,11.37
ClCOCCl,18.27
C=C(CC)CCCC,22.76
NCCN,9.55
CCC(C)CCCC(C)C,29.9
CCCCCCCCCO,41.13
CCCCCCCCCN,36.13
CC1CC=CC1,11.05
CCCOCC,9.97
C=C=C(C)C,6.17
CCCN(CCC)CCC,32.1
CCCCCCC(C)=O,34.87
O=C=Nc1ccccc1,38.18
CCCCC(C)(C)C(C)C,30.4
Fc1c(F)c(F)c(F)c(F)c1F,24.54
ClCC(Cl)CCl,42.87
CCCCCCCCCCCCC,37.26
CCCOCCC,16.25
ClCCCl,7.99
CCC=CCCC,17.265
CC(=O)CC(C)=O,27.19
N#Cc1ccccc1,38.28
ClC(Cl)C(Cl)(Cl)Cl,58.22
Nc1ccccc1,0.74
CCI,19.99
CCC(CC)C(CC)CC,30.76
CC(C)NC(C)C,16.37
C=CC(=O)OCCCC,30.45
CCC(C)OC(C)CC,25.54
CCc1cc(C)ccc1C,37.42
N=CO,36.52
C=Cc1cccc(C=C)c1,40.78
CCCCCCCCCS,40.14
CCC(C)OC(C)=O,22.06
CCCCN(CCCC)CCCC,37.83
CCCCCCCCOC=O,38.36
CCOC(=O)C(C)O,30.59
ClCC(Cl)Cl,26.43
c1ccc(C2CCCCC2)cc1,46.35
CCC(C)CO,23.38
CC1=CCC2CC1C2(C)C,32.84
CC(C)(C)OO,20.9
CCOCCO,21.14
CO,0.07
CCCCC(C=O)CC,32.05
CCC(C)C(C)(CC)CC,30.93
COS(=O)(=O)OC,34.53
CCC(C)OC,9.65
COC(C)(C)C,9.14
Cc1ccc(Cl)cc1Cl,54.15
C=CCCCC,10.66
CCC(C)N,7.36
CCCCCCCS,34.69
CCCCCCCO,36.45
Oc1ccccc1Cl,42.9
COCCC#N,24.04
C=CC(=O)O,14.81
CCCCC(=O)O,38.02
S=C=S,1.85
CC=CC=CC,13.995
CCCC=O,6.27
CCCC(C)CCC,22.32
CCC(C)(C)CC(C)C,25.63
C1CCC(NC2CCCCC2)CC1,45.24
C=CC(=C)Cl,10.15
CCc1cc(C)cc(C)c1,36.77
CCCOCCO,27.75
CCCCCC(C)(C)C,25.7
CC(C)CC(O)CC(C)C,36.77
CC(=O)C(C)C,12.14
CCCCCc1ccccc1,38.8
CCCCCCCCN,32.92
C=CC(C)CC,9.84
Cc1ccccn1,23.35
CC(C)CN,7.82
CCCSCCC,28.75
CCCCCCCCc1ccccc1,43.44
CC1=CCC(=C(C)C)CC1,37.79
O=[N+]([O-])c1ccccc1,51.25
CCCCC(CC)CC,27.11
C=C(C)C1CC=C(C)CC1,29.26
CCC(C)Cl,10.46
CCCCCCCCC(=O)OCCCC,42.9
CCCCCC(C)CCC,30.45
CCOC(=O)CC(=O)OCC,46.63
CCCCCCC(C)C,26.88
CCCCC(C)=O,21.6
COCCOCCOC,33.51
CCCc1ccccc1,32.38
O=Cc1ccccc1O,47.0
CC(C)C,2.02
